"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"LexisNexis Risk Solutions","At LexisNexis Risk Solutions, we believe in using data for good to solve problems and make a positive impact on people, industry and society. We deliver enhanced value to our customers by leveraging the power of insight through data, advanced analytics and innovative technologies to help them solve problems, make better decisions and improve operations. Our technologies, decision tools and services give our customers a clear advantage in evaluating and predicting risk, enhancing operational efficiency and protecting their consumers. 

Our businesses span the following sectors: Aviation | Chemicals/Energy | Corporations/Non-Profits | Financial Services | Government | Healthcare | HR | Insurance | Law Enforcement & Public Safety | Tax | Retail/Ecommerce","Data Infrastructure and Analytics","10,001+ employees","Public Company","Alpharetta, GA","United States","lexisnexis.com","https://www.linkedin.com/company/lexisnexis-risk-solutions"
,"DataVolt","DataVolt is a leading innovator in state-of-the-art and sustainable data center solutions, empowering businesses across the globe to connect, collaborate, and grow in today's data-driven world.
Our solutions, driven by security, sustainability, scalability, and reliability, facilitate digital transformation for our clients, amplifying operational efficiency and enabling them to contribute meaningfully to a sustainable digital future.
With strategically positioned operations in Riyadh, Dubai, and California, we offer businesses the robust digital infrastructure necessary to succeed in the rapidly evolving digital landscape.
We strive to redefine the future of data centers through groundbreaking innovation, unmatched sustainability, and unwavering trust, shaping the digital infrastructure that powers success.","Data Infrastructure and Analytics","51-200 employees","Privately Held","Riyadh","Saudi Arabia","data-volt.com","https://www.linkedin.com/company/data-volt"
,"Microsoft Power BI Mastery","Welcome to Power BI Mastery Insights — a dedicated space for Power BI enthusiasts, users, and business leaders looking to stay updated on the latest trends, tips, and ideas in the world of data visualization and analytics.

Here, we share:
 Power BI tips & tricks
 Latest updates and feature releases
 Best practices and use cases
 Quick tutorials and insights

If you love working smarter with data — follow us!","Data Infrastructure and Analytics","2-10 employees","Self Owned","Chicago, Illinois","United States","travsx.com","https://www.linkedin.com/company/microsoft-power-bi-mastery"
,"Pegasus Knowledge Solutions, Inc.","Founded in 1997,  PKSI [Pegasus Knowledge Solutions, Inc.] is an independent, advanced analytics software and services organization, that partners with the industry leading providers to help customers create value from their data, bringing a range of talents, including data integration and preparation, big data environments, data mining, predictive analytics, machine learning and text mining, as well as dashboarding and visualization. PKSI is focused on quality, speed of execution, value and above all, customer satisfaction. Our global solution delivery centers are ISO 9001-2008 and ISMS 27001-2013 Certified.

Leading Organizations are harnessing the power of Advanced Analytics today to address business challenges. Our Analytics solutions and services utilize statistical techniques, predictive modeling, text and social data mining to provide customer and operational insights. Our Data scientists can help you sift through customer data (including web and social data) and syndicated data sets to build statistical models to improve business outcomes, like customer and employee retention, fraud reduction, increased sales and many other areas. These models seamlessly integrate into visualization tools which can be accessed on any device to enable collaborative sharing and improved decision making.

Our industry-leading technology and platform partnerships enables us to bring best-in-class solutions to you.","Data Infrastructure and Analytics","201-500 employees","Privately Held","Schaumburg, IL","United States","pksi.com","https://www.linkedin.com/company/pegasus-knowledge-solutions"
,"USEReady","USEReady is a data and analytics firm that provides the strategies, tools, capability, and capacity that businesses need to turn their data into a competitive advantage. 

USEReady partners with cloud and data ecosystem leaders like Tableau, Salesforce, Snowflake and Amazon Web Services, and has been named Tableau partner of the year multiple times. 

VALUES:

Fanatical customer centricity. We value our relationships with our customers, and the impact we have on them, above all else.

Humility. We believe we are here to serve, not to command, and view every interaction as an opportunity to learn.

Integrity. We are honest, respectful, and hold ourselves accountable.

Community. We feel a strong connection and a sense of responsibility to the communities in which we live and work. 

Continuous improvement. We are creative in our thinking, iterative in our approach and try to have a learning mindset in all we do.","Data Infrastructure and Analytics","501-1,000 employees","Privately Held","New York","United States","useready.com","https://www.linkedin.com/company/useready"
,"Excelra","Discover how Excelra, a leader in biopharma data and analytics, uniquely blends scientific understanding with technological expertise. This dual mastery empowers innovative drug discovery and development, transforming research data into actionable insights for groundbreaking discovery.

𝗘𝗺𝗽𝗼𝘄𝗲𝗿𝗶𝗻𝗴 𝗗𝗲𝗰𝗶𝘀𝗶𝗼𝗻𝘀 𝘄𝗶𝘁𝗵 𝗘𝘅𝗽𝗲𝗿𝘁𝗶𝘀𝗲

Excelra’s interdisciplinary approach combines life science expertise with cutting-edge technology. This leads to confident, data-centric decisions, simplifying your data-driven drug discovery journey and accelerating your research.

𝗖𝗼𝗹𝗹𝗮𝗯𝗼𝗿𝗮𝘁𝗶𝘃𝗲 𝗦𝗼𝗹𝘂𝘁𝗶𝗼𝗻𝘀 𝗳𝗼𝗿 𝗘𝗻𝗵𝗮𝗻𝗰𝗲𝗱 𝗖𝗮𝗽𝗮𝗯𝗶𝗹𝗶𝘁𝗶𝗲𝘀

At Excelra, collaboration is key. By co-creating solutions, we amplify your team's capabilities, blending scientific insight and technological acumen for more valuable discoveries and greater project control.

𝗙𝗿𝗼𝗺 𝗖𝗵𝗮𝗼𝘀 𝘁𝗼 𝗖𝗹𝗮𝗿𝗶𝘁𝘆: 𝗦𝘁𝗿𝘂𝗰𝘁𝘂𝗿𝗶𝗻𝗴 𝗗𝗮𝘁𝗮

We navigate the complexities of drug discovery, enhancing your success by structuring chaotic data into actionable insights, leveraging our scientific and technological prowess.

𝗖𝗼𝗺𝗺𝗶𝘁𝘁𝗲𝗱 𝘁𝗼 𝗬𝗼𝘂𝗿 𝗚𝗼𝗮𝗹𝘀

Your goals of faster drug development and better patient outcomes are central to our mission. Committed to delivering insights and tangible progress, we ensure each data point contributes to your innovation journey, helping you 'Excelrate' towards success.

𝗥𝗲𝗱𝗲𝗳𝗶𝗻𝗶𝗻𝗴 𝗗𝗿𝘂𝗴 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗺𝗲𝗻𝘁 𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿

Join us in redefining drug development. Our services span across the life science value chain, from molecule to market. At Excelra, each data point is a step towards a healthier future. Discover how partnering with us can 'Excelrate' your healthcare innovations.","Data Infrastructure and Analytics","501-1,000 employees","Privately Held","NJ","United States","excelra.com","https://www.linkedin.com/company/excelra"
,"TGS","TGS provides advanced data and intelligence to companies active in the energy sector. With leading-edge technology and solutions spanning the entire energy value chain, TGS offers a comprehensive range of insights to help clients make better decisions.  

Our broad range of products and advanced data technologies, coupled with a global, extensive and diverse energy data library, make TGS a trusted partner in supporting the exploration and production of energy resources worldwide. 

TGS reserves the right to remove any damaging comments from posts. Please comment professionally and respectfully. As a follower of TGS, you agree to model proper internet citizenship by maintaining a positive and supportive atmosphere. Thank you for your cooperation and support!","Data Infrastructure and Analytics","1,001-5,000 employees","Public Company","Houston, Texas","United States","tgs.com","https://www.linkedin.com/company/tgs-220114"
,"GWI","The next evolution of AI is humanized data. And who’s got that data? We have.

For well over a decade GWI has provided real-world, human-sourced data to power business decisions in some of the world’s biggest companies. Today we’re using that same human data to revolutionize tomorrow’s AI systems. 

It’s a future where real data, gathered from real people, creates real understanding. It means GWI will be at the forefront of shaping how the next generation of AI models understand and interact with the world.

Given the future of AI, the size of this opportunity is simply staggering. If you’d like to be part of it, we’re on the lookout for out-of-the-box thinkers to help us do more great things.","Data Infrastructure and Analytics","501-1,000 employees","Privately Held","London, London","United Kingdom","gwi.com","https://www.linkedin.com/company/gwidotcom"
,"Gramener","Gramener - A Straive Company is a design-led data science firm that helps solve complex business problems with compelling data stories using insights and a low-code analytics platform.

We help enterprises large and small with data insights and storytelling by leveraging Generative AI, AI/ML, Automated Analysis, and Visual Intelligence using modern charts and narratives (NLG).

Our low-code platform, Gramex, rapidly builds engaging data and AI solutions across the pharmaceutical, manufacturing, technology, and public sector industries. Our products have empowered CXOs, CIOs, Chief Data Officers, Citizen Developers, Business Analysts, and others to save millions of dollars by making an impact on revenue and decision-making.

Gramener was founded in 2010 and has over 200+ clients worldwide, 250+ employees, and is present in 4 global locations, including the United States, Canada, India, and Singapore.

Our services & technology have been recognized by analysts such as Gartner and Forrester and have won several awards.

● Gramener is SOC2 Type 2 certified
● Gramener was listed as a Top Data Science service Provider in 2023 by AIMResearch
● Gramener was listed as a Top Gen AI service Provider in 2023 by AIMResearch
● Gramener was named in Gartner's Market Guide for AI services provider 2021
● Gramener ranks #31 among NJBIZ top 50 Fastest Growing Companies in 2020
● Gramener was on Deloitte's Fast 50 Tech list in 2015 and 2016
● Gramener won NASSCOM's Emerge 50 Awards in 2012 and 2016
● Gramener won NASSCOM's Top 10 Innovators in Business Analytics
● Gramener won Microsoft's 'Empowering Societal Progress with AI' Award for developing a salmon detection web application to save salmon species in Nisqually River, Washington. 

Specialties: Generative AI, Data analytics, Unstructured AI, Low Code platform, Computer Vision, Digital Twins, GeoSpatial Analytics, NLP/NLG, and Data Visualization.","Data Infrastructure and Analytics","201-500 employees","Privately Held","Princeton, NJ","United States","gramener.com","https://www.linkedin.com/company/gramener"
,"Nimbli.ai","Nimbli - leveraging the power of AI.","Data Infrastructure and Analytics","51-200 employees","Privately Held",,,"nimbli.ai","https://www.linkedin.com/company/nimbli-ai"
