"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Caterpillar Inc.","For 100 years, we’ve been helping customers build a better, more sustainable world. Our innovative products and services, backed by our global dealer network, provide exceptional value that helps customers succeed. 

With 2024 sales and revenues of $64.8 billion, Caterpillar Inc. is the world’s leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. 

Caterpillar does business on every continent, principally operating through three primary segments – Construction Industries, Resource Industries and Energy & Transportation – and provides financing and related services through our Financial Products segment.","Machinery Manufacturing","10,001+ employees","Public Company","Irving, Texas","United States","caterpillar.com","https://www.linkedin.com/company/caterpillar-inc"
,"John Deere","It doesn’t matter if you’ve never driven a tractor, mowed a lawn, or operated a dozer. With John Deere’s role in helping produce food, fiber, fuel, and infrastructure, we work for every single person on the planet. 

It all started nearly 200 years ago with a steel plow. Today, John Deere drives innovation in agriculture, construction, forestry, turf, power systems, and more.","Machinery Manufacturing","10,001+ employees","Public Company","Moline, IL","United States","deere.com","https://www.linkedin.com/company/john-deere"
,"Atlas Copco","Atlas Copco delivers innovative products and solutions that help businesses grow and drive progress. Our portfolio spans compressed air and gas systems and treatment, vacuum solutions, industrial power tools, assembly systems, and power and flow solutions.
 
We bring a commitment to long-term success built on expertise, reliable service, and uptime. When you level to the Atlas Copco experience you enter a partnership based on quality, sustainability, and ease of collaboration. The technology we bring, and the decades of experience support the future-proofing of your business.","Machinery Manufacturing","10,001+ employees","Public Company","Stockholm","Sweden","atlascopco.com","https://www.linkedin.com/company/atlas-copco"
,"CNH","CNH ( NYSE: CNH ) is a world-class equipment, technology and services company. The Company operates commercially through its brand portfolio which includes Case IH, New Holland Agriculture, New Holland Construction, and CASE Construction Equipment. 

CNH has over 35,000 employees, 40 manufacturing plants, 49 R&D centers, and hold circa 11,000 registered patents. We are the driving force behind the iron and tech transforming our world.","Machinery Manufacturing","10,001+ employees","Public Company","london",,"cnh.com","https://www.linkedin.com/company/cnh"
,"Ferreyros S.A.","Ferreyros es la empresa líder en la comercialización de bienes de capital en el país y en la provisión de servicios en este ámbito. Integrante de la corporación Ferreycorp, junto con otras empresa; es distribuidora de Caterpillar desde 1942, así como de otras prestigiosas marcas, entre las que se incluyen Metso, Astec, Paus, Massey Fergusson (Agco), Challenger, Montana, Zaccaria, Tatu Marchesan , Civemasa, Menta Mit, Nogueira, Weber, Mendes, Benecke, SCM Group, Jumil, etc.

http://www.ferreycorp.com.pe/

http://www.ferreyros.com.pe/es/

Ferreyros S.A.
20100028698","Machinery Manufacturing","1,001-5,000 employees","Public Company","Lima, Lima","Peru","ferreyros.com.pe","https://www.linkedin.com/company/ferreyros-s-a-a-"
,"Sotreq S/A","The Sotreq Group is constituted by the companies Sotreq, Somov, MDPower, Soimpex, Sematech, Sitech, ON², Radix and ISSO (Sotreq Social Institute).

The companies are authorized dealers, representing and commercializing products, services and systems for Caterpillar, Mak, Hyster, Yale, Trimble, Rajant, Perkins and SEM brands, in addition operating with foreign trade,  logistics and technology. As a national capital group, Sotreq offers products and solutions for a range of industries:

- Construction
- Mining
- Energy
- Oil and Marine
- Import and Storage
- Material Handling","Machinery Manufacturing","1,001-5,000 employees","Privately Held","Rio de Janeiro, Rio de Janeiro","Brazil","sotreq.com.br","https://www.linkedin.com/company/sotreqcat"
,"ZEISS Group","ZEISS is an internationally leading technology enterprise operating in the fields of optics and optoelectronics. In the previous fiscal year, the ZEISS Group generated annual revenue totaling almost 12 billion euros in its four segments Semiconductor Manufacturing Technology, Industrial Quality & Research, Medical Technology, and Consumer Markets (September 30, 2025).

For its customers, ZEISS develops, produces, and distributes highly innovative solutions for industrial metrology and quality assurance, microscopy solutions for the life sciences and materials research, and medical technology solutions for diagnostics and treatment in ophthalmology and microsurgery. The name ZEISS is also synonymous with the world's leading lithography optics, which are used by the chip industry to manufacture semiconductor components. There is global demand for trendsetting ZEISS brand products such as eyeglass lenses, camera lenses, and binoculars.

With a portfolio aligned with future growth areas like digitalization, healthcare, and Smart Production and a strong brand, ZEISS is shaping the future of technology and constantly advancing the world of optics and related fields with its solutions. The company's significant, sustainable investments in research and development lay the foundation for the success and continued expansion of ZEISS' technology and market leadership. ZEISS invests 15 percent of its revenue in research and development – this high level of expenditure has a long tradition at ZEISS and is also an investment in the future.

With over 46,600 employees, ZEISS is active globally in around 50 countries with more than 60 sales and service locations, around 40 research and development facilities, and 30 production facilities worldwide.

Learn more about ZEISS: www.zeiss.com/about

Data privacy: www.zeiss.com/data-protection
Imprint: www.zeiss.com/publisher

This is ZEISS's official LinkedIn account. It follows the ZEISS Netiquette: www.zeiss.com/netiquette","Machinery Manufacturing","10,001+ employees","Privately Held","Oberkochen","Germany","zeiss.com","https://www.linkedin.com/company/zeiss"
,"AGCO Corporation","AGCO (NYSE: AGCO) is a global leader in the design, manufacture and distribution of agricultural machinery and precision ag technology. AGCO delivers value to farmers and OEM customers through its differentiated brand portfolio including leading brands Fendt, Massey Ferguson, PTx and Valtra. AGCO's full line of equipment, smart farming solutions and services helps farmers sustainably feed our world. Founded in 1990 and headquartered in Duluth, Georgia, USA, AGCO had net sales of approximately $11.7 billion in 2024. 

Our global team of more than 23,000 employees is passionate about serving the world's farmers and helping them sustainably feed the world’s growing population.  Join us in putting farmers first and delivering high-impact solutions!

https://www.facebook.com/AGCOcorp/ 
https://www.instagram.com/agcocorp 
http://www.twitter.com/AGCOcorp 
http://www.youtube.com/AGCOcorp","Machinery Manufacturing","10,001+ employees","Public Company","Duluth, Georgia","United States","agcocorp.com","https://www.linkedin.com/company/agco-corporation"
,"Sulzer","Sulzer is a global leader in critical applications for core infrastructure and processes for large essential industries around the world. We ensure the security, quality and durability of critical goods and services by supporting energy security, natural resource management and efficiencies in process industries. This in turn supports the transition to a circular economy. Our integrated solutions add significant value by enabling energy efficiency, carbon emissions and pollution reduction, and process efficiency improvements. Customers benefit from our commitment to innovation, performance and quality through our responsive network of 160 world-class manufacturing facilities and service centers across the globe. Sulzer has been headquartered in Winterthur, Switzerland, since 1834. In 2023, our 13’130 employees delivered revenues of CHF 3.3 billion. Our shares are traded on the SIX Swiss Exchange (SIX: SUN). www.sulzer.com","Machinery Manufacturing","10,001+ employees","Public Company","Winterthur","Switzerland","sulzer.com","https://www.linkedin.com/company/sulzer"
,"SANY Group","Founded in 1989, SANY's core business covers design, production, and manufacturing. Our product line includes concrete machinery (pump trucks, truck mixers, trailer pumps, batching plants), earthmoving machinery (excavators, loaders), hoisting machinery, road machinery (rollers, graders, pavers), piling machinery (rotary drilling rigs), port machinery (large and small port machines), petroleum equipment, coal machinery (mining trucks, tunneling machines), wind power equipment, PC equipment sets, photovoltaic equipment (batteries, modules, equipment), hydrogen energy equipment, energy storage equipment and so on. 

In 2022, SANY Heavy Industry was rated by the ""MIT Technology Review"" as one of the ""50 Smartest Companies"" of the year, and the SANY Group was honored on Forbes China's Best Employers list. In 2024, SANY Group's overseas revenue reached 8.2 billion USD. We have 47 lighthouse factories/57 industrial parks in China, the United States, Germany, India, Brazil, Indonesia, and other countries. Our sales and services cover more than 180 countries and regions worldwide.","Machinery Manufacturing","10,001+ employees","Public Company","Beijing, Beijing","China","sanyglobal.com","https://www.linkedin.com/company/sany-heavy-industry"
,"ANDRITZ","ANDRITZ is an international technology group based in Austria. The company offers a broad portfolio of innovative plants, equipment, systems, services and digital solutions for a wide range of industries and end markets. 

Sustainability is an integral part of the company’s business strategy and corporate culture: With its extensive portfolio of sustainable products and solutions, ANDRITZ aims to make the greatest possible contribution to a sustainable future and help its customers achieve their sustainability goals. 


ANDRITZ is a global market leader in all four of its business areas:
Pulp & Paper
Metals
Hydropower
Environment & Energy

Technological leadership and global presence are cornerstones of the group’s strategy, which is focused on long-term profitable growth. 

The publicly listed group has around 30,000 employees and over 280 locations in more than 80 countries.","Machinery Manufacturing","10,001+ employees","Public Company","Graz, Styria","Austria","andritz.com","https://www.linkedin.com/company/andritz"
,"JCB","JCB is one of the largest privately owned engineering and manufacturing companies in the UK and the World's third largest manufacturer of construction machinery. With a global presence and manufacturing facilities on 4 continents, we employ over 15,000 people worldwide and produce over 300 different products.

With a trusted brand that is synonymous with world class innovation. Our team design and build machines for hard work and reliability, using only the most advanced technology and techniques. We produce a broad spectrum of machines from 800kg to nearly 50 tonnes for markets including traditional construction through to defence, waste recycling and agriculture. 

JCB's success is built upon constant customer focus and innovation in everything we do. Always looking for a better way.","Machinery Manufacturing","10,001+ employees","Privately Held","Rocester, Staffordshire","United Kingdom","brnw.ch","https://www.linkedin.com/company/jcb"
,"Volvo Construction Equipment","Volvo Construction Equipment (Volvo CE) is a global leader in construction solutions, delivering premium products and services that combine power and performance with a more sustainable way of working. We are a company driven by people and together we have a purpose: To build the world we want to live in. Founded in 1832 and with a distribution network across every major market, our many dedicated experts around the world are fulfilling our shared purpose through a focus on sustainability, electromobility and services. As well as our expanding range of electric machines and charging solutions, Volvo CE provides industry-leading haulers, loaders, excavators and much more, all built to suit the demands of our customers’ varied construction and infrastructure needs. Volvo CE benefits from being connected to the Volvo Group, which also offers trucks, buses, power solutions for marine and industrial applications, financing and services that increase our customers’ uptime and productivity.","Machinery Manufacturing","10,001+ employees","Public Company","Eskilstuna","Sweden","volvoce.com","https://www.linkedin.com/company/volvo-construction-equipment"
,"TAFE - Tractors and Farm Equipment Limited","TAFE - Tractors and Farm Equipment Limited, is an Indian tractor major incorporated in 1960 at Chennai, India, with an annual turnover in excess of INR 13,700 crores. One of the largest tractor manufacturers in the world and the second largest in India by volumes, TAFE sells over 180,000 tractors annually. TAFE is the single largest shareholder in the AGCO Corporation, USA.

TAFE has earned the trust of customers through its range of products that are widely acclaimed for quality and low cost of operation. A strong distribution network of over 1600+ dealers effectively backs TAFE’s four iconic tractor brands - Massey Ferguson*, TAFE Tractors, Eicher Tractors and IMT. TAFE acquired the Serbian tractor and agricultural equipment brand IMT - Industrija Mašina i Traktora in 2018. TAFE exports tractors to over 80 countries, powering farms in Asia, Africa, Europe, the Americas, and Russia.

Besides tractors, TAFE and its subsidiaries have diverse business interests in areas such as farm-machinery, diesel engines and gensets, agro engines, engineering plastics, gears and transmission components, hydraulic pumps and cylinders, vehicle franchises and plantations. From a humble beginning with just one tractor model in 1961, TAFE today is recognized as a high-quality mass-manufacturer with an extensive product range to meet the expectations of every farmer and every farm mechanization need. TAFE's R&D facilities are centres of excellence renowned for their innovative design and engineering expertise and have been recognized by the Department of Scientific and Industrial Research, Government of India. Extensive research and testing ensure that TAFE's products meet its exacting performance standards.

*TAFE - Tractors and Farm Equipment Limited is the exclusive owner of the Massey Ferguson trademarks in India, Nepal and Bhutan","Machinery Manufacturing","10,001+ employees","Privately Held","Chennai, Tamil Nadu","India","tafe.com","https://www.linkedin.com/company/tafecorporate"
,"Komatsu North America","Komatsu develops and supplies technologies, equipment and services for the construction, mining, forklift, industrial and forestry markets. For more than a century, the company has been creating value for its customers through manufacturing and technology innovation, partnering with others to empower a sustainable future where people, business and the planet thrive together. Front-line industries worldwide use Komatsu solutions to develop modern infrastructure, extract fundamental minerals, manage forests and create consumer products. The company's global service and distributor networks support customer operations to help enhance safety and promote productivity while working to optimize performance. Learn more at www.komatsu.com.","Machinery Manufacturing","10,001+ employees","Public Company","Chicago, Illinois","United States","komatsu.com","https://www.linkedin.com/company/komatsunorthamerica"
,"Valmet","Valmet is a global technology leader serving process industries. We work together with our customers throughout the entire lifecycle, delivering cutting-edge technologies and services as well as mission-critical automation and flow control solutions. Backed by more than 225 years of industrial experience and a global team of over 19,000 professionals close to customers, we are uniquely positioned to transform industries toward a regenerative tomorrow.

In 2024, Valmet’s net sales totaled approximately EUR 5.4 billion. Our head office is in Espoo, Finland, and we have experts in approximately 40 countries around the world. Valmet’s shares are listed on Nasdaq Helsinki.

Valmet has two focused segments: Biomaterial Solutions and Services and Process Performance Solutions. Valmet’s operating model consists of five business areas: Automation Solutions; Flow Control; Pulp, Energy and Circularity; Packaging and Paper; and Tissue. The business areas are supported by a separate Latin America unit and a China Chair. The Global Supply unit supports cost-competitiveness by optimizing and leveraging Valmet’s global scale in procurement and production.","Machinery Manufacturing","10,001+ employees","Public Company","Espoo, FI","Finland","valmet.com","https://www.linkedin.com/company/valmet"
,"Finning","Finning is the world's largest Caterpillar dealer delivering unrivalled service for over 90 years. We sell, rent and provide parts and service for equipment and engines to customers in various industries, including mining, construction, petroleum, forestry and a wide range of power systems applications.

Since 1933, when Finning was first established in Canada by Earl B. Finning, our name has conveyed integrity, reliability and resourcefulness. Over the years, the company has grown as a result of a genuine commitment to earning customer loyalty.

With our broad product support infrastructure and unmatched service capabilities, we deliver solutions that enable customers to achieve the lowest equipment owning and operating costs while maximizing uptime.

Finning employs over 13,000 people world-wide and operates in three geographies, with the head office in Vancouver, Canada.

Finning est le plus grand concessionnaire Caterpillar au monde offrant un service inégalé depuis plus de 85 ans. Nous vendons, louons et fournissons des pièces et des services pour l’équipement et les moteurs à des clients dans diverses industries, y compris l’exploitation minière, la construction, le pétrole, la foresterie et un large éventail d’applications de systèmes d’alimentation.
Depuis 1933, année où Finning a été établi au Canada par Earl B. Finning, notre nom a transmis intégrité, fiabilité et débrouillardise. Au fil des ans, l’entreprise a pris de l’expansion grâce à un véritable engagement à fidéliser sa clientèle.
Grâce à notre vaste infrastructure de support produit et à nos capacités de service inégalées, nous fournissons des solutions qui permettent aux clients d’atteindre les coûts de possession et d’exploitation d’équipement les plus bas tout en maximisant la disponibilité.

Finning emploie plus de 13 000 personnes dans le monde et exerce ses activités dans trois régions géographiques, dont le siège social est situé à Vancouver, au Canada.","Machinery Manufacturing","10,001+ employees","Public Company","south surrey","Canada","finning.com","https://www.linkedin.com/company/finning"
,"XCMG Group","Founded in 1943, XCMG is one of the World's Top 3 construction machinery manufacturers. XCMG is dedicated to providing excellent construction equipment solutions and services for customers. In 2023, XCMG will focus on the comprehensive transformation and upgrading of high-end, intelligent, green, service-oriented, and internationalized industries and solidly help our customers succeed.
徐工集团工程机械股份有限公司是世界三大工程机械制造商之一，拥有80年的品牌历史。 徐工机械致力于为客户提供优质的工程装备解决方案和服务，2023年，徐工围绕产业高端化、智能化、绿色化、服务化、国际化全面转型升级，扎实助力您的成功。","Machinery Manufacturing","1,001-5,000 employees","Public Company","Xuzhou","China","xcmgglobal.com","https://www.linkedin.com/company/2262388admin"
,"Komatsu Brasil","Há mais de 100 anos, a Komatsu é sua melhor parceira para acompanhar a evolução do mundo, criando um futuro sustentável em que negócios, pessoas e o planeta prosperam juntos.","Machinery Manufacturing","1,001-5,000 employees","Privately Held","SP/ MG/ PA","United States","komatsu.com.br","https://www.linkedin.com/company/komatsubrasil"
,"ZEISS India","Overview
ZEISS is an internationally leading technology enterprise operating in the fields of optics and optoelectronics. In the previous fiscal year, the ZEISS Group generated annual revenue totaling 10 billion euros in its four segments Semiconductor Manufacturing Technology, Industrial Quality & Research, Medical Technology and Consumer Markets (status: 30 September 2023).

With around 43,000 employees, ZEISS is active globally in almost 50 countries with around 30 production sites, 60 sales and service companies and 27 research and development facilities (status: 30 September 2023). Founded in 1846 in Jena, the company is headquartered in Oberkochen, Germany. The Carl Zeiss Foundation, one of the largest foundations in Germany committed to the promotion of science, is the sole owner of the holding company, Carl Zeiss AG.

ZEISS in India is headquartered in Bengaluru and present in the fields of Industrial Quality Solutions, Research Microscopy Solutions, Medical Technology, Vision Care and Sports & Cine Optics.

Data privacy: www.zeiss.com/data-protection
Imprint: http://zeiss.com/publisher



Specialties
Optics, Optoelectronics and Precision Mechanics, Binoculars, Microscopy, Eyeglass Lenses, Biomedical Research, Medical Technology, Semiconductor Manufacturing Technology, Nano Technology, Industrial Metrology, Camera and Cine Lenses, Industry 4.0, Artificial Intelligence, Machine Learning, Software Engineering, and Software Development","Machinery Manufacturing","1,001-5,000 employees","Privately Held","Bangalore","India","zeiss.co.in","https://www.linkedin.com/company/carl-zeiss-india-czi"
,"Krones","The Krones Group, headquartered in Neutraubling, Germany, plans, develops, and manufactures machines and complete lines for the fields of process technology, bottling, canning and packaging, plus intralogistics and recycling.

Krones’ success is based on a few crucial strategies: specialised knowledge of mechanical engineering and its customers’ sectoral needs, a technical lead in its chosen field, thanks to continuingly high expenditure on research and development, a manufacturing operation using state-of-the-art equipment to stringent standards of qualitative excellence, plus globalised 24/7 service support, all backed up by a highly qualified and enthusiastically motivated workforce.

Imprint: https://www.krones.com/en/site-notice.php
Data Protection: https://www.krones.com/en/data-protection.php","Machinery Manufacturing","10,001+ employees","Public Company","Neutraubling, Bavaria","Germany","krones.com","https://www.linkedin.com/company/krones"
,"PT United Tractors Tbk","United Tractors (UT/the Company) is the leading and the largest distributor of heavy equipment in Indonesia, providing products from world-renowned brands such as Komatsu, UD Trucks, Scania, Bomag, Tadano, and Komatsu Forest.

We are a company with a long history. Established on October 13th, 1972, the Company reached an important milestone on September 19th, 1989, by listing its shares in Jakarta and Surabaya Stock Exchange as PT United Tractors Tbk (UNTR), with PT Astra International Tbk as the majority shareholder. This initial public offering marked the United Tractors’ commitment to becoming the world-class solution-driven company in heavy equipment, mining, and energy for the benefit of stakeholders.

Today, our vast distribution network includes 19 branch offices, 22 site support offices, and 11 representative offices in 22 provinces across the country. Not content with being the largest distributor of heavy equipment in the country, the Company also plays an active role in the field of mining contracting and has recently ventured into the coal mining business. UT conducted its businesses through three major business units known as Construction Machinery, Mining Contracting and Mining.","Machinery Manufacturing","1,001-5,000 employees","Public Company","Cakung, Jakarta","Indonesia","unitedtractors.com","https://www.linkedin.com/company/unitedtractors"
,"ITW","ITW (NYSE: ITW) is a Fortune 300 global multi-industrial manufacturing leader with revenue of $15.9 billion in 2024. The company’s seven industry-leading segments leverage the unique ITW Business Model to drive solid growth with best-in-class margins and returns in markets where highly innovative, customer-focused solutions are required. ITW’s approximately 44,000 dedicated colleagues around the world thrive in the company’s decentralized and entrepreneurial culture.","Machinery Manufacturing","10,001+ employees","Public Company","Glenview, IL","United States","itw.com","https://www.linkedin.com/company/illinoistoolworks"
,"TRUMPF","TRUMPF - Unlocking technological worlds for generations to come

TRUMPF was founded in 1923 as a series of mechanical workshops, and has since developed into one of the world's leading companies for machine tools, laser technology, and electronics for industrial applications.

Imprint: http://www.trumpf.com/s/impressum","Machinery Manufacturing","10,001+ employees","Privately Held","Ditzingen, Baden-Württemberg","Germany","trumpf.com","https://www.linkedin.com/company/trumpf-se-co-kg"
,"DMG MORI","DMG MORI is a leading global manufacturer of high-precision machine tools and is represented in 44 countries – with 124 sales and service locations, including 17 production plants. In the “Global One Company”, more than 13,500 employees are driving the development of holistic solutions in the manufacturing industry. With technology integration, end-to-end automation and digitization solutions we make it possible to increase productivity and resource efficiency at the same time.","Machinery Manufacturing","10,001+ employees","Public Company","Munich, Bavaria","Germany","dmgmori.com","https://www.linkedin.com/company/dmgmori"
,"Komatsu-Mitsui Maquinarias Peru S.A.","Komatsu-Mitsui Maquinarias Peru S.A. was stablished in 2009 as a join of 2 big Corporations, Mitsui & Company Limited and Komatsu Ltd from Japan.
Komatsu Mitsui Maquinarias Peru, created when Komatsu America acquired a 40% stake in Mitsui Maquinarias Peru (Komatsu distributor in Peru), is a wholesaler of construction and mining machinery and accessories. It serves clients in the mining, construction, industry, telecomunications, power generation, and transportation sectors, among others. Is based in Lima,Peru","Machinery Manufacturing","1,001-5,000 employees","Privately Held","Lima, Lima","Peru","kmmp.com.pe","https://www.linkedin.com/company/komatsu-mitsui"
,"Zoomlion","Founded in 1992, ZOOMLION Heavy Industry Science & Technology Co., Ltd. is mainly engaged in developing and manufacturing major high-tech equipment in the areas of engineering industry and agricultural industry. With more than 20 years of innovation and development, the company is now a global enterprise possessing 9 major categories and 49 product lines, as well as nearly 800 leading products. ZOOMLION is China's first construction machinery company to be listed on both Shenzhen and Hong Kong stock exchanges, with registered capital amounting to RMB 7.664 billion. At present, the company is actively promoting strategic transformation, aiming to build a high-end equipment manufacturing enterprise integrating engineering machinery, agricultural machinery and financial services.","Machinery Manufacturing","10,001+ employees","Public Company","Changsha, Hunan","China","zoomlion.com","https://www.linkedin.com/company/zoomlion"
,"Ferreycorp S.A.A","Ferreycorp es una corporación multilatina líder en la provisión de bienes de capital y servicios relacionados en el Perú y el extranjero.  Con 96 años de operaciones y más de 6,300 colaboradores, abarca 15 empresas subsidiarias tales como Ferreyros, Unimaq, Orvisa, Gentrac, General de Equipos, Soltrak, Motored, Cresko, Trex, Maquicenro, Fargo, Forbis y Sitech.  

Es una de las empresas peruanas con mayor reconocimiento en el ámbito del gobierno corporativo. Seis veces ganadora de la Llave de la BVL al mejor gobierno corporativo, la corporación integra el Índice de Buen Gobierno Corporativo de la Bolsa de Valores.","Machinery Manufacturing","1,001-5,000 employees","Self Owned","Santiago de Surco, Lima","Peru",,"https://www.linkedin.com/company/ferreycorp-s-a-a"
