"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Disway","Disway est le N° 1 de la Distribution en gros de matériel/logiciel informatique et Telecom au Maroc. Disway est cotée à la Bourse de Casablanca (Ticker : DWY) et certifiée ISO 9001. Avec 250 collaborateurs et un réseau de plus de 3500 revendeurs.","Wholesale Computer Equipment","201-500 employees","Public Company","Casablanca","Morocco","disway.com","https://www.linkedin.com/company/diswaymaroc"
,"TLM Distribution","TLM Distribution is a leading value-added distributor of Information and Communication Technology (ICT) covering the Middle East & Africa region.

As an authorized distributor for some of the world’s most renowned brands such as Ubiquiti, Mikrotik, Ruijie, HP, Cudy and more, we offer a wide range of products to meet the needs of our customers. TLM is also a Tier-A consumer tech partner for many of the industry’s most-renowned brands including HP, Epson, Canon, and Acer.

With over 350,000 sq ft of distribution facilities in the Jebel Ali Free Zone, Dubai, TLM has the capacity to efficiently service partners globally. Established in 1997, TLM has built a network of over 1,500 resellers and solution partners, ranging from small independent businesses to large international system integrators.","Wholesale Computer Equipment","51-200 employees","Privately Held","Dubai","United Arab Emirates","tlmintl.com","https://www.linkedin.com/company/tlminternational"
,"Inacorp S.A. del Ecuador","Mayoristas de Soluciones Corporativas, Hardware, y Nube.

Nuestro portafolio de productos incluye a las marcas de clase mundial en tecnología:

Lenovo, Xerox, HP, Samsung, Microfocus, Sophos, Samsung, Poly, BenQ, Kodak Alaris, Wintec, Ezviz, TrippLite, AOC y más

Somos Centro Autorizado de Servicio (CAS) para: Lenovo, Xerox y Kodak Alaris","Wholesale Computer Equipment","11-50 employees","Privately Held","Quito, Pichincha","Ecuador","inacorpsa.com","https://www.linkedin.com/company/inacorpsa"
,"Creative Labs Pte Ltd","Creative is the worldwide leader in digital entertainment products for the personal computer (PC) and the Internet. Creative was founded in Singapore in 1981 with the vision that multimedia would revolutionize the way people interact with their PCs.

Famous for its Sound Blaster sound cards and for launching the multimedia revolution, Creative is now driving digital entertainment on the PC platform with products like its highly acclaimed ZEN line of digital audio players. The company's innovative hardware, proprietary technology, applications and services enable consumers to experience high-quality digital entertainment-anytime, anywhere.

Since launching the phenomenally successful Sound Blaster sound cards and setting the de facto standard for PC audio in 1989, Creative has been able to leverage on its leading-edge audio technology, huge user base and strong brand name to expand into the exciting lifestyle Personal Digital Entertainment (PDE) market.

Today, Creative is widely recognized as a global leader for product innovation in the audio and PDE segments, offering consumers a complete, high quality digital entertainment experience through Creative's hardware, software applications and services. Finding the perfect balance between form and function, Creative strives for every product to be a sensory feast for the eyes and ears.","Wholesale Computer Equipment","201-500 employees","Privately Held","Singapore","Singapore","creative.com","https://www.linkedin.com/company/creative-labs"
,"Esprinet Group","Esprinet Group, leader in southern Europe in the distribution of high-tech products and in the provision of applications and services for digital transformation and green transition, is a group of companies acting under the direction of the holding Esprinet S.p.A.. With 1,800 employees and with 4.1 billion euros in sales in 2024, the Group companies operate through three main brands: Esprinet, V-Valley, and Zeliatech. Since 2025, it has also been present in Benelux and Ireland, as well as in Italy, Spain, Portugal, and Morocco.

The holding (PRT:IM - ISIN IT0003850929) is listed on the Italian Stock Exchange in the Euronext STAR Milan segment and participates in UN Global Compact, adhering to its approach based on the principles of responsible business.","Wholesale Computer Equipment","1,001-5,000 employees","Public Company","Vimercate, Lombardy","Italy","esprinet.com","https://www.linkedin.com/company/esprinet-group"
,"SOS Market Informatique","SoS Market Informatique est une entreprise spécialisée dans l'Ingénierie informatique, Vente de matériels informatiques, Maintenance informatique, Commerce général.","Wholesale Computer Equipment","2-10 employees","Self Owned","Abomey-Calavi","Benin",,"https://www.linkedin.com/company/us-tech-informatica"
,"PORT Computing","In the market since 1993, PORT is an official distributor of the best national and imported brands of stationery, computers, office supplies, housewares and tools.

We offer quality products with a focus on different audiences, such as individuals, professionals and companies.","Wholesale Computer Equipment","201-500 employees","Privately Held","Belo Horizonte, Minas Gerais","Brazil","portinfo.com.br","https://www.linkedin.com/company/portinformatica"
,"Disty Technologies","Disty Technologies est aujourd’hui un acteur majeur de la distribution IT au Maroc. En moins de 15 ans, Disty Technologies a su insuffler un souffle nouveau dans secteur de la distribution des Technologies de l’Information au Maroc. Après HP, ce sont d’autres leaders de l’IT qui ont fait confiance à Disty Technologies, nous citons principalement Microsoft, Lenovo, Asus Schneider-APC, Eaton, Dlink et aussi la premiere distribution officielle de l Iphone au Maroc. L’esprit start-up, le focus client, et le professionnalisme sont les mots clefs de l’approche Disty. CA de 550MDH, 70 collaborateurs (dont 60 cadres), présence sur tout le territoire national.","Wholesale Computer Equipment","51-200 employees","Public Company","Casablanca","Morocco","distytechnologies.com","https://www.linkedin.com/company/distytechnologies"
,"bolttech Poland","bolttech Poland is the largest provider of added services for mobile devices, operating in Poland since 2012 (formerly as Digital Care). We offer solutions at every stage of a device's lifecycle – from its sale or rental, protection services, repairs, to repurchase, refurbishment, and giving devices a second life. The company is part of the international bolttech group, operating in 35 markets on 4 continents – in Asia, Europe, South America, and Africa, employing over 1500 employees. bolttech is an international insurtech with a mission to build the world’s leading, technology-enabled ecosystem for protection and insurance.
On the Polish market, the bolttech group also includes iMad, an Apple Business Partner and Authorised Service Provider, as well as bolttech Repairs, an authorised service centre for mobile devices from other manufacturers.","Wholesale Computer Equipment","51-200 employees","Privately Held","Warszawa, Woj. Mazowieckie","Poland","bolttech.io","https://www.linkedin.com/company/bolttech-poland"
,"Siewert & Kau Computertechnik GmbH","Siewert & Kau is a leading, internationally operating company for IT distribution with its headquarters in Bergheim near Cologne as well as sales offices in Brunswick, Munich, Paderborn, Butzbach and Alella (Barcelona/Spain). 

Since 1994, Siewert & Kau has been active on the market as a wholesaler for IT products and systems. The range of offerings from Siewert & Kau covers a product portfolio specifically tailored to the specialized trade and system houses. This includes PC systems, mobile computing, mobile telecommunications, software, printers, servers, monitors and IT peripherals. The focus is on components and storage products – particularly in this area, Siewert & Kau is among the largest IT distributors in Germany and Europe.

In 19 years of organic growth, our annual revenue and our employee numbers have continued to grow.","Wholesale Computer Equipment","51-200 employees","Privately Held","Bergheim, Nordrhein-Westfalen","Germany","siewert-kau.de","https://www.linkedin.com/company/siewertkau"
,"Disty Technologies","Disty Technologies est aujourd’hui un acteur majeur de la distribution IT au Maroc. En moins de 15 ans, Disty Technologies a su insuffler un souffle nouveau dans secteur de la distribution des Technologies de l’Information au Maroc. Après HP, ce sont d’autres leaders de l’IT qui ont fait confiance à Disty Technologies, nous citons principalement Microsoft, Lenovo, Asus Schneider-APC, Eaton, Dlink et aussi la premiere distribution officielle de l Iphone au Maroc. L’esprit start-up, le focus client, et le professionnalisme sont les mots clefs de l’approche Disty. CA de 550MDH, 70 collaborateurs (dont 60 cadres), présence sur tout le territoire national.","Wholesale Computer Equipment","51-200 employees","Public Company","Casablanca","Morocco","distytechnologies.com","https://www.linkedin.com/company/distytech"
