"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Neemba Sénégal","Installé à Keur Daouda Sarr, Communauté de Bambilor
Route de Sangalkam, Rufisque, nos locaux couvrent une surface totale de 7500 m2, comprenant les bureaux, les ateliers spécialisés et de maintenance générale ainsi qu'un magasin de stockage de pièces détachées.
Des marques de renommée mondiale
Nous assurons la vente des produits CATERPILLAR et de toute une gamme de matériels complémentaires répondant aux mêmes exigences de qualité et de fiabilité.
L'Esprit de service
Nos ateliers bénéficient d'un équipement complet pour la réparation et l'entretien de vos machines, ainsi que pour les interventions directes chez nos clients. Nos techniciens itinérants et nos véhicules équipés sont prêts à intervenir sur tout le Sénégal.

La bonne pièce, au bon endroit, au bon moment
Notre stock de pièces de rechange compte plus de 3000 références. Un service de livraison rapide permet d'obtenir les pièces non disponibles dans les meilleurs délais grâce à la liaison informatique directe avec le centre de distribution CATERPILLAR de Grimbergen. 
Consultez-nous.
Neemba Sénégal, une équipe de 300 personnes, à votre service.","Wholesale Machinery","201-500 employees","Privately Held","Dakar, SENEGAL","Senegal",,"https://www.linkedin.com/company/neemba"
,"Kärcher by AD Tunisie","Nous avons pour but de venir en aide à nos consommateurs à l’aide de produits simples et puissants. L’innovation constitue également un point-clé de notre travail, afin de pouvoir fournir des outils possédants la meilleure qualité qui soit.
Karcher constitue aujourd’hui une référence dans le domaine du nettoyage à haute pression et s’est d’ailleurs spécialisé au fils des années dans le domaine du nettoyage de jardin et d’habitation.","Wholesale Machinery","51-200 employees","Privately Held","Aouina","Tunisia","karchercenter-ad.tn","https://www.linkedin.com/company/kärcher-by-ad-tunisie"
,"GRÚAS SAN BLAS S.A.","Empresa dedicada a la venta y alquiler de maquinaria para la construcción, industria y agro.
Las marcas representadas son: Bobcat, Mitsubishi, Ingersoll Rand, Terex, Stone, LeeBoy, Manitou-
Los productos comercializados son: Minicargadores, Palas retro, Excavadoras, Motocompresores a tornillo, Torres de Iluminación portátil, Autoelevadores, Grúas, Tractoelevadores","Wholesale Machinery","201-500 employees","Self Owned","Don Torcuato, Buenos Aires","Argentina","gsb.com.ar","https://www.linkedin.com/company/gruassanblas"
,"BMC HYUNDAI","A BMC-Hyundai oferece uma ampla rede de atendimento, com mais de 30 pontos de vendas distribuídos pelo Brasil, todos com estrutura de pós-vendas, serviços e estoque de peças.

O estoque central, em Itatiaia (RJ), tem uma área de 6 mil m² e conta com mais de 40 mil itens, e mantém um quadro de profissionais treinados e preparados para atender aos clientes nas condições mais adversas, garantindo comodidade e tranquilidade para as operações em qualquer lugar do Brasil.","Wholesale Machinery","51-200 employees","Privately Held","São Paulo, SP","Brazil","bmchyundai.com.br","https://www.linkedin.com/company/bmchyundai"
,"IRMEN","A IRMEN Máquinas é uma empresa especializada em equipamentos da marca SANY, um dos três maiores grupos industriais do mundo segundo a Forbes.

Com quase quatro décadas de experiência e comprometimento, nossa missão é consolidar e expandir nossa presença nos mercados de Construção e Mineração, ao mesmo tempo em que abrimos novos caminhos nos setores de Içamento, Sustentabilidade, Pedreiras, Indústrias, Locação de Máquinas, Pavimentação, Florestal, Agrícola e Reciclagem.

Comprometidos com a excelência e a inovação, nos dedicamos a fornecer não apenas equipamentos de alta qualidade, mas soluções completas e diferenciadas que atendam às necessidades específicas de cada setor.

Nossos centros logísticos de distribuição estão posicionados estrategicamente, nos estados de Minas Gerais, São Paulo, Rio de Janeiro, Espírito Santo, Mato Grosso e Pará, para atender com agilidade as mais diversas localidades do país.","Wholesale Machinery","501-1,000 employees","Privately Held","Betim, Minas Gerais","Brazil","irmen.com.br","https://www.linkedin.com/company/irmenmaquinas"
,"Elsewedy Machinery","Elsewedy Machinery is the trading arm of Elsewedy Electric Group, delivering comprehensive, high-performance solutions across multiple sectors. As the authorized dealer of SANY for heavy equipment, the authorized distributor of Hitachi for HVAC systems, and the sole agent of Hyundai for elevators, escalators, and moving walks, we provide advanced machinery engineered for efficiency, durability, and exceptional performance.

Strengthening our diversified portfolio, we have proudly launched our Pumps Division, serving as the authorized distributor of NAFFCO for firefighting solutions and Xylem for water pump technologies in Egypt. 
Through these global partnerships, we offer reliable, high-quality systems that meet the highest international standards.

Driven by a commitment to excellence, reliability, and customer satisfaction, Elsewedy Machinery delivers tailored, end-to-end solutions that address the evolving needs of our clients, ensuring access to world-class products backed by globally trusted brands.","Wholesale Machinery","51-200 employees","Privately Held","Cairo","Egypt","elsewedymachinery.com","https://www.linkedin.com/company/elsewedy-machinery"
,"BIA Belgium","Als Total Solutions Partner staat BIA u bij tijdens uw volledige investeringsproject. En dit al meer dan 120 jaar! Samen met u bepalen we de juiste machine voor uw activiteiten, met een gepaste financiering en een serviceplan op maat. Zo verzekert BIA u maximale productiviteit tegen een minimale operationele kost en dat in alle gemoedsrust.","Wholesale Machinery","51-200 employees","Privately Held","Overijse","Belgium","biagroup.com","https://www.linkedin.com/company/bia-belgium"
,"Mason Equipment","A Mason Equipment é a distribuidora oficial dos produtos Komatsu, Bobcat, Dynapac e Clark.

Com sólida experiência e alta confiabilidade, a empresa foi desenvolvida no intuito de prover os melhores produtos e serviços ao mercado de construção.

Saiba mais em nosso site: www.masonequipment.com.br","Wholesale Machinery","201-500 employees","Privately Held","Contagem, Minas Gerais","Brazil","masonequipamentos.com.br","https://www.linkedin.com/company/masonequipamentos"
,"Eurostec Máquinas","A Eurostec comercializa máquinas operatrizes como centros de usinagem, tornos, eletroerosão, injetoras de termoplásticos, máquinas de corte a laser de tubos e de chapas,  gravadoras a laser, solda a laser, entre outras máquinas. Possui equipe própria de técnicos no Brasil especializados para instalação, treinamento e suporte, além de estoque de consumíveis e peças de reposição.","Wholesale Machinery","51-200 employees","Privately Held","Caxias do Sul, RS","Brazil","eurostec.com.br","https://www.linkedin.com/company/eurostecmaquinas"
,"SMART TECH INDUSTRY","SMARTECH INDUSTRY 
CNC Machinery & Tooling Systems
New Machine Tools 
New Factory Automation
New Intelligent Controls","Wholesale Machinery","11-50 employees","Privately Held","Tit Mlil - Casablanca","Morocco",,"https://www.linkedin.com/company/smartech-industry"
