"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Uber","We are Uber. The go-getters. The kind of people who are relentless about our mission to help people go anywhere and get anything and earn their way. Movement is what we power. It’s our lifeblood. It runs through our veins. It’s what gets us out of bed each morning. It pushes us to constantly reimagine how we can move better. For you. For all the places you want to go. For all the things you want to get. For all the ways you want to earn. Across the entire world. In real time. At the incredible speed of now.

The idea for Uber was born on a snowy night in Paris in 2008, and ever since then our DNA of reimagination and reinvention carries on. We’ve grown into a global platform powering flexible earnings and the movement of people and things in ever expanding ways. We’ve gone from connecting rides on 4 wheels to 2 wheels to 18-wheel freight deliveries. From takeout meals to daily essentials to prescription drugs to just about anything you need at any time and earning your way. From drivers with background checks to real-time verification, safety is a top priority every single day. At Uber, the pursuit of reimagination is never finished, never stops, and is always just beginning.","Internet Marketplace Platforms","10,001+ employees","Public Company","San Francisco, California","United States","uber.com","https://www.linkedin.com/company/uber-com"
,"Jobgether","Jobgether is an AI-powered career coach and matching platform fixing the broken job search. Remote professionals no longer waste hours applying blindly; instead, they receive a personalized job search strategy, stronger visibility, and curated matches aligned with their skills, flexibility preferences, and career goals.

We flip the hiring model by connecting talent only to roles that truly match, reducing noise for employers and eliminating wasted effort for candidates. Jobgether combines AI coaching, profile optimization, Match Score insights, and the world’s largest remote job database to help people land opportunities faster and with less bias.

Our purpose is to make remote job search guided and intentional. 
Our mission is to become the world’s reference platform for remote talent, ensuring no professional remains invisible and every match is meaningful.","Internet Marketplace Platforms","11-50 employees","Privately Held","Brussels","Belgium","jobgether.com","https://www.linkedin.com/company/jobgether"
,"foodpanda","At foodpanda, we're on a mission to redefine how food, people, culture and tech are connected. Our panda family consists of problem solvers, designers and thinkers, working around the clock to make foodpanda the most powerful online tool for food convenience in the universe- and we’re just getting started!

foodpanda operates in 11 locations worldwide. Through the energy of our teams in all of our offices, we connect lovers of food to our brilliant partners through our amazing riders. We're changing the way food convenience is viewed and experienced worldwide.

If you're passionate about good food and great work, you're in the right place.","Internet Marketplace Platforms","5,001-10,000 employees","Public Company","Singapore, Singapore","Singapore","foodpanda.com","https://www.linkedin.com/company/foodpanda"
,"Rebel Foods","Founded in 2011 by Jaydeep Barman and Kallol Banerjee, Rebel Foods is the world’s largest and fastest-growing internet restaurant company, home to brands such as Faasos, Behrouz Biryani, Oven Story Pizza, Mandarin Oak, The Good Bowl, SLAY Coffee, Sweet Truth, Wendy’s and more. With over 450+ kitchens across 70+ cities, Rebel Foods has developed its full-stack technology - Rebel OS - through which multiple brands are launched and scaled up in a very short period. Through the Rebel Launcher, powered by Rebel OS, the company has launched over 25 brands. Rebel Foods currently operates 45+ brands across multiple countries - India, the United Arab Emirates (Dubai, Abu Dhabi, Sharjah), and the United Kingdom.","Internet Marketplace Platforms","5,001-10,000 employees","Privately Held","Mumbai, Maharashtra","India","rebelfoods.com","https://www.linkedin.com/company/rebel-foods"
,"Professional.me","Professional.me is an agentic-AI powered talent management platform built on proprietary expert systems. Think of us as the Google Maps of Talent Management- designed to help organizations truly understand, grow, and retain their workforce.

We replace static résumés and job descriptions with structured, AI-enriched talent intelligence. Our platform creates a shared language between candidates and employers by training custom large language models (LLMs) that capture context, capability, and potential on both sides of the hiring equation.

Professional.me supports the entire talent lifecycle, from AI-powered sourcing and shortlisting to internal mobility, upskilling, and career path planning. By integrating seamlessly into existing recruitment workflows, we help organizations make faster, fairer, and more informed decisions- all from within their current talent workflows.","Internet Marketplace Platforms","2-10 employees","Privately Held","Dover, Delaware","United States","professional.me","https://www.linkedin.com/company/meetprofessionalme"
,"Pepperfry","Ambareesh Murty and Ashish Shah embarked on a journey called Pepperfry in 2011 without a precedent or a template to follow, armed only with a mission to spark a feeling called home across the world. They imagined a supercharged lovechild between technology and homely comfort to help them achieve exactly this. 

11 years later with a dominant online presence and over 200 offline studios, Pepperfry has blurred the lines between online and offline.

Warm and fuzzy feelings aside - Pepperfry is a pioneer with a penchant for taking on difficult problems. Whether it's designing a sofa that can survive a nuclear apocalypse or creating a lamp that doubles as a margarita maker or creating India's biggest big-box logistic network covering over 500+ cities, we've always tried to push the boundaries of what's possible.

We've long embraced and injected our eclectic tastes and quirky personality into everything we do. 

Fun fact: Our 200 'offline studios' don't actually sell anything, yet they contribute to 50% of the business.

And when we're not MacGyver-ing the furniture world, we're looking to use technology to change the way our discerning customers shop for their homes, be it through reimagining the overall UX on how our discerning consumers buy for their homes or leveraging AR / VR to help them visualize products before buying or just using ML / Deep tech to build efficiencies in our internal processes.","Internet Marketplace Platforms","501-1,000 employees","Privately Held","Mumbai, Maharashtra","India","pepperfry.com","https://www.linkedin.com/company/pepperfry"
,"NOUS LATAM","PT
Bem-vindo à NOUS, a plataforma de desenvolvimento profissional impulsionada por Inteligência Artificial para quem busca crescer mais rápido, se preparar melhor e acessar as melhores oportunidades reais.

Subscription
Acesse ferramentas potencializadas com IA que transformam sua carreira:
+Nous Prep Zone: prepare-se com perguntas de entrevista e feedback instantâneo.
+Nous Profile: descubra seus pontos fortes e comunique sua autenticidade.
+Nous Compass: conteúdo exclusivo e interativo para acelerar seu crescimento.
+Nous Jobs: acesso antecipado a vagas reais e de alto nível.
+Nous Services: ofereça sua experiência e conquiste projetos.
+Nous Mentors: aprenda em comunidade e cresça junto a outros profissionais.
Com a NOUS, seu talento é reconhecido, potencializado e conectado às melhores oportunidades do mercado.


SP
Bienvenido a NOUS, la plataforma de desarrollo profesional impulsada por Inteligencia Artificial para quienes buscan crecer más rápido, prepararse mejor y acceder a las mejores oportunidades reales.

Subscription
Accede a herramientas potenciadas con IA que transforman tu carrera:
+Nous Prep Zone: prepárate con preguntas de entrevista y retroalimentación instantánea.
+Nous Profile: descubre tus fortalezas y comunica tu autenticidad.
+Nous Compass: contenido exclusivo e interactivo para crecer más rápido.
+Nous Jobs: acceso anticipado a ofertas reales y de alto nivel.
+Nous Services: ofrece tu experiencia y consigue proyectos.
+Nous Mentors: aprende en comunidad y crece junto a otros profesionales.
Con NOUS, tu talento es reconocido, potenciado y conectado con las mejores oportunidades del mercado.","Internet Marketplace Platforms","2-10 employees","Privately Held","São Paulo","Brazil","nouslatam.com","https://www.linkedin.com/company/nous-latam"
,"XpertDirect","XpertDirect is a Direct Marketplace for Tech Xperts Worldwide. Find the best local and global tech talent in days!

- Pricing is based on Job Posts only, so no placement fees or subscriptions required. Pay under $100 per job post instead of a typical recruitment fee of 20/25%, typically $20K to 30K for new employees or freelance margins of $3K to 5K per month.    
- Unlike most tech skills marketplaces, XpertDirect offers permanent employees as well as freelancers.
- Advanced UI displays Profile Cards instead of CV for easy/fast candidate selection with click- based actions for speed along with direct messaging capability. 
- Xpert data is captured through online interview with a focus on Xperts’ strongest, most-recent skills and experience. Instant alerts for new applications, matches and messages.
- Advanced matching algorithms to ensure companies only see top matching Xperts to save valuable time.

Find the best Xperts in days instead of weeks or months!","Internet Marketplace Platforms","11-50 employees","Privately Held","Valencia, Valencian Community","Spain","xpertdirect.io","https://www.linkedin.com/company/xpertdirect"
,"Uptalent.io","We build top Remote Teams with unique skills -  in less than a week.

Uptalent is a network of top talent in Architecture, Engineering, Business, Marketing, and Design, enabling companies to access the skills they need, on demand.

Get access to the best in their fields of expertise, and start working with them in less than a week.

At Uptalent, we are committed to taking away the risk of outsourcing offshore talent by bringing you a trusted network of top candidates to work remotely, saving you countless hours of research, interview, and thousands of dollars in a potential bad hire.

Ready to learn more? Let’s grab a virtual coffee  to chat about your needs. 

Select a time at www.uptalent.io","Internet Marketplace Platforms","11-50 employees","Privately Held","Delaware, Delaware","United States","uptalent.io","https://www.linkedin.com/company/uptalent-io"
,"Moladin","Moladin is Indonesia’s leading mobility marketplace platform with end to end financing solutions for all players in the used car and MSME ecosystems. Moladin empowers its rapidly growing network of over 8,000 used car dealers, used car consumers, and MSMEs with better financing access through digitized loan underwriting. 

This is supported by its strong operational capabilities to underwrite loans secured by used cars and property, wide network of branches and warehouses covering more than 100 cities, industry-leading AI/IoT, partnerships with all top auto financing companies across Indonesia, and through its OJK-regulated and licensed multi-finance company, PT Moladin Finance Indonesia (“MOFI”). 

Moladin’s vision is to be a positive driving force in the physical and social mobility of all the people it touches (“Mobility for all”).","Internet Marketplace Platforms","1,001-5,000 employees","Privately Held","Jakarta, Jakarta","Indonesia","moladin.com","https://www.linkedin.com/company/moladin"
