"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Sabanci Holding","Sabancı Holding is one of Turkey’s leading conglomerate, engaged in a wide variety of business activities through its subsidiaries and affiliates, mainly in the banking, financial services, energy, industrials, building materials and retail sectors. Our Group companies most of which are leaders in their respective sectors.

As Sabancı Group, we position ourselves in new economy, with global partnerships, employment for 60 thousand, and reaching more than 40 million people on 5 continents.

We invest in energy & climate, material and digital technologies, through an agile global footprint to design a sustainable future with a goal of achieving 'Net Zero' by 2050.

We stride confidently towards the future through Sabancı of New Generation culture and our purpose driven, stakeholder oriented, agile and diverse organization. We are committed to ensuring equal rights and opportunities to foster a positive and an inclusive work environment and to contribute to the socio economic development of the community.

With tens of thousands of talents, stakeholders and investments in multiple businesses worldwide, what connects us is our purpose:

We unite Turkey and the World for a sustainable life with leading enterprises.","Investment Management","10,001+ employees","Public Company","İstanbul","Turkey","sabanci.com","https://www.linkedin.com/company/sabanci-holding"
,"Odebrecht","Founded in 1944, Odebrecht is a Brazilian group with diverse businesses and world-class standards of quality.
Its Members, guided by the Group’s own philosophy, the Odebrecht Entrepreneurial Technology (TEO), provide services and manufacture products for clients on five continents. As part of their entrepreneurial responsibility while serving clients and local communities, they contribute to the development of economically prosperous, socially just, environmentally sustainable, politically inclusive and culturally rich societies and countries.","Investment Management","10,001+ employees","Privately Held","Salvador, BA","Brazil","novonor.com.br","https://www.linkedin.com/company/odebrechtsa"
,"Novonor","Somos um grupo empresarial de origem brasileira e com atuação internacional. Nossa cultura, nossos jovens líderes e a nossa excelência técnica - que nos acompanha desde 1944 -,  combinados com o nosso olhar para o futuro, é o que nos define e impulsiona no dia a dia.

Nós utilizamos a nossa reconhecida competência técnica para prestar serviços e fabricar produtos que atendem setores essenciais à sociedade, como engenharia, infraestrutura, construção, petroquímico, sucroenergético, imobiliário, óleo e gás e mobilidade. Além disso, temos o compromisso contínuo com os mais altos padrões éticos, técnicos, de produtividade, de governança e de eficiência em tudo o que fazemos, para promover crescimento e prosperidade.

Do início de nossa história até o presente momento, nós mudamos e evoluímos. Hoje, nossa inspiração é um futuro equitativo, inclusivo, diverso e sustentável. Um futuro com  soluções de engenharia e de infraestrutura que melhoram a vida  das pessoas e protegem o planeta. Um futuro em que a diversidade dos nossos integrantes e das empresas do Grupo possibilite fomentar mudanças positivas nos locais em que operamos.

Somos a Novonor, sempre #InspiradaNoFuturo.","Investment Management","10,001+ employees","Privately Held","Salvador, Bahia","Brazil","novonor.com","https://www.linkedin.com/company/novonorsa"
,"PIMCO","PIMCO is a global leader in active fixed income with deep expertise across public and private markets. We invest our clients’ capital across a range of fixed income and credit opportunities, leveraging our decades of experience navigating complex debt markets. Our flexible capital base and deep relationships with issuers have helped us become one of the world’s largest providers of traditional and nontraditional solutions for companies that need financing and investors who seek strong risk-adjusted returns.

Terms and conditions: www.pimco.com/gbl/en/general/legal-pages/pimco-on-social-media","Investment Management","1,001-5,000 employees","Privately Held","Newport Beach, California","United States","pimco.com","https://www.linkedin.com/company/pimco"
,"Zorlu Holding","Zorlu Holding’in temelleri 1953 yılında, Denizli’nin Babadağ ilçesinde tekstil sektörü ile atılmıştır. Aile şirketi olarak faaliyetlerine başlayan Zorlu Grubu, güçlü bir kurumsallaşma örneği sergileyerek, bugün bünyesinde 34 bine yakın çalışan ve 60’tan fazla şirketi barındıran, 160 ülkeye ihracat yapan bir topluluğa dönüşmüştür.
Türkiye’nin önde gelen şirketler topluluklarından biri olan Zorlu Holding, aşağıdaki alanlarda Grup şirketleri aracılığıyla faaliyet göstermektedir:
•	Tekstil
•	Tüketici Elektroniği, Beyaz Eşya ve Mobilite
•	Enerji
•	Gayrimenkul
•	Maden-Metalürji 
•	Diğer (Turizm, Faktoring)
Yetkinlikleri, öncülükleri, kurumsallaşma seviyeleri ve performanslarıyla sektörlerinde öne çıkan Zorlu Grubu şirketleri global ölçekte de üretim ve hizmet güçleriyle dikkat çekmektedir.
Zorlu Holding, faaliyetlerini Birleşmiş Milletler Sürdürülebilir Kalkınma Amaçları’nı (SKA) rehber alan Akıllı Hayat 2030 sürdürülebilirlik stratejisi doğrultusunda eşit, kapsayıcı, adil ve akıllı bir gelecek için benimsediği “sorumlu yatırım holdingi” anlayışıyla yürütmektedir. Herkes için sürdürülebilir bir yaşam hedefiyle “insan odaklı ekosistemler” ve “yenileyici iş modelleri”ne yatırım yaparken radikal işbirliklerinden güç almaktadır. Grup şirketleri, paydaşları, toplum ve gelecek için yatırım yaparken, çevresel, sosyal ve yönetişim (ÇSY) alanlarında en yüksek değeri yaratmaya odaklanmaktadır.","Investment Management","10,001+ employees","Public Company","Istanbul","Turkey","zorlu.com.tr","https://www.linkedin.com/company/zorlu-holding"
,"Millennium","Millennium is a global, diversified alternative investment firm, founded in 1989, which manages $83.5 billion in assets. Defined by evolution, innovation and focus, Millennium's mission is to deliver high-quality returns for our investors. 

Millennium seeks to empower talented professionals with the sophisticated expertise, resources and technology to pursue a diverse range of investment strategies across industry sectors, asset classes and geographies. 

See our community guidelines at: mlp.com/guidelines

Read our disclosures at: https://www.mlp.com/disclosures/","Investment Management","5,001-10,000 employees","Privately Held","New York, NY","United States","mlp.com","https://www.linkedin.com/company/millennium-partners"
,"Sonae","Sonae exists to create a lasting positive impact on businesses, people, communities and on the planet. 

Managing a diverse portfolio of businesses in retail, financial services, technology, investments, real estate and telecommunications, Sonae makes the most of its expertise and pushes itself to create the future we all want and need. 

Creating today a better tomorrow, for all.","Investment Management","10,001+ employees","Public Company","Porto, Porto","Portugal","sonae.pt","https://www.linkedin.com/company/sonae"
,"Cosan","Somos a Cosan, uma empresa que investe em negócios e pessoas. Com um modelo de gestão próprio e uma cultura empreendedora, impulsionamos o desenvolvimento do país.

Juntos, maximizamos a geração de valor para os nossos colaboradores, investidores e a sociedade.","Investment Management","10,001+ employees","Public Company","São Paulo, São Paulo","Brazil","cosan.com.br","https://www.linkedin.com/company/cosan"
,"Essar","Essar, with an entrepreneurial track record spanning 50+ years, specialises in investing and developing assets to create value in core sectors such as Energy, Infrastructure, Metals & Mining, and Technology & Retail. With a presence in eight countries, Essar generates revenues of US$15 billion and provides employment for over 7,000 people. 

Over the past five years, Essar has strategically rebalanced its portfolio by monetising some world-class assets. Essar is now positioned to transition its existing assets to a greener regime and invest in businesses driving the transformation of sector landscapes from carbon-centric to a clean energy ecosystem, both nationally and globally. The Group is developing sustainable assets and industry ecosystems, with a particular focus on hydrogen, green mobility, and green steel.

Essar Foundation, the CSR arm of Essar, has a rich 50-year heritage of service across India, focusing on areas such as health, education, livelihood, women empowerment, sports, environment, and infrastructure.","Investment Management","10,001+ employees","Privately Held","Mumbai, Maharashtra","India","essar.com","https://www.linkedin.com/company/essar"
,"Grupo Argos","Creemos en el rol transformador de las empresas, en su convicción de aportar al crecimiento y desarrollo, en la generación de empleo, en su capacidad de crear valor social y aportar al progreso y bienestar de millones de familias.
#InversionesQueTransforman #CreamosValorSocial","Investment Management","201-500 employees","Privately Held","Medellin, Antioquia","Colombia","grupoargos.com","https://www.linkedin.com/company/grupoargoscol"
