"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ibex","ibex delivers innovative business process outsourcing (BPO), smart digital marketing, online acquisition technology, and end-to-end customer engagement solutions to help companies acquire, engage and retain valuable customers. Today, ibex operates a global CX delivery center model consisting of approximately 30 operations facilities around the world, while deploying next generation technology to drive superior customer experiences for many of the world’s leading companies across retail, e-commerce, healthcare, fintech, utilities and logistics.

ibex leverages its diverse global team of more than 36,000 employees together with industry-leading technology, including the AI-powered ibex Wave iX solutions suite, to manage nearly 170 million critical customer interactions annually on behalf of our clients, driving a truly differentiated customer experience. To learn more, visit our website at ibex.co and connect with us on LinkedIn.","Outsourcing/Offshoring","10,001+ employees","Public Company","Washington, District of Columbia","United States","ibex.co","https://www.linkedin.com/company/ibex-global"
,"Construction Job Vacancy","Construction Job Placement-Official believes this service will help the job seekers manage their careers more efficiently. This page will also help employers solve many of the problems associated with traditional recruiting methods and allow them to save time and money.
We provide details of all type of Railway, metro, Highway, Power Distribution etc. type job vacancy details.
https://t.me/constructionjobsvacancy Telegram Channel","Outsourcing/Offshoring","10,001+ employees","Non Profit","Delhi","India",,"https://www.linkedin.com/company/construction-job-vacancy"
,"MyRemoteTeam Inc","MyRemoteTeam.com is a quick & easy way for Businesses to Pay Remote Teams, Employees, Consultants & Freelancers.","Outsourcing/Offshoring","11-50 employees","Privately Held","Walnut, California","United States","myremoteteam.com","https://www.linkedin.com/company/myremoteteam-inc"
,"The BIM Engineers","(www.thebimengineers.com) ""We are The BIM Engineers, leading in the world of BIM""

Introduction
We have a large and experienced team of Design Engineers, BIM Managers, Coordinators and Modelers. 
We provide BIM staff on month/hourly fees arrangement to AEC companies to help them in handling surge capacity challenges.
We work on Architectural, Structural, MEP and Interiors of Infrastructure and Buildings projects.
With Offices in USA, Europe, Australia and Asia, we are strategically and time zone wise well placed to cater the technology requirements of Design and Construction industry across the globe.
Our team has vast experience of preparing BIM models, design review, BIM Audits, Design Development, Design Suggestions, preparing Drawings and extracting Quantities using BIM Tools.
We also do onsite deployment of BIM resources, Training and BIM Implementation assistance. 
Our global presence, vast experience of thousands of man-months, working on European, American and other global projects makes us unique and efficient in doing BIM for various phases of design and construction projects.

TECHNOLOGY SERVICES
'The BIM Engineers' is a recognized leader in BIM space, We provides the latest Cutting Edge Technology Services including BIM, Virtual Reality, 4D Construction Sequencing, 5D Cost integration, 6D  Building Life Cycle Management solutions that enhances the collaboration and communication between various stakeholders of the AEC industry. 

Worksharing
For International clientele, 'The BIM Engineers' offers high performance and better bottom lines through our outsourcing/Worksharing services. Our international experience, global presence and experience on various Global Delivery Models make us the “Preferred Partner in the AEC space”. Our core Competency is to support Architects, Engineering Consultants, Contractors, Sub-Contractors and Owners & Developers. 

For more details please reach us at info@thebimengineers.com","Outsourcing/Offshoring","1,001-5,000 employees","Privately Held","Gurgaon, Haryana","India","thebimengineers.com","https://www.linkedin.com/company/thebimengineers"
,"Sindus ANDRITZ","A Sindus ANDRITZ é uma empresa do Grupo ANDRITZ, onde atuam equipes das divisões Maintenance & Performance, ANDRITZ Automation e Metris Technology, além do suporte a outras divisões da companhia. Prestamos serviços baseados em inovação e no desenvolvimento de relações de confiança, com equipes de colaboradores especializados e engajados, que atuam em nível mundial com Contratos de Manutenção Industrial (Integral ou Modular), Contratos de Otimização de Processos (Metris OPP) e no Projeto e Fabricação de sistemas de análise de gases. 

Buscamos pessoas éticas e confiáveis, que gostem de aprender e encontrar soluções inovadoras e colaborativas, com perfil para atuar junto aos clientes, e para as quais o desafio da performance e produtividade industrial seja um grande motivador da sua carreira profissional.","Outsourcing/Offshoring","1,001-5,000 employees","Privately Held","Porto Alegre, RS","Brazil","andritz.com","https://www.linkedin.com/company/sindus-andritz"
,"Holool Aloula (NCBS National Company for Business Solutions)","Holool Aloula is a regional leader in the business services market that covers business process outsourcing, technology solution, training and consultations. Since its inception in 2008, Holool Aloula has led the market in the business services and created a respectful reputation that result in growing its market share and happy customer throughout the years. The Company started its activity in its headquarter in Riyadh, and after proving excellence in its services and widening its coverage, Holool Aloula opened two branches in Jeddah and Dammam, with an intention to extend its services all over the Kingdom. 

VISION 
To be known and respected as the regional leader in business service excellence. 

MISSION 
Our Mission is to grow a regional team of experts that provide the best business services solutions for our clients. We will do this through: 

Creating an internal work environment that stimulates excellence 
Managing our brand as a strategic business asset 
Implementing learning & development programs 
Placing ‘customer-centricity’ at the core of the business 
Best-in-class business practices 
Sound and robust financial modelling, performance and metrics 

VALUES 
We believe in… 
Honesty: Being answerable to others for what one says and does Accountability: Doing what is ethical because it is the right thing to do Positivity: Being encouraging or promising of a successful outcome Passion: Working with zeal, thirst and ardour Empathy: Caring for other people and having a desire to help them . 

OUR BRAND PROMISE 
Relevant end-to-end business solutions. By doing so, we enable our clients to experience improved performance and competitive positioning, thereby realizing the financial gains that can help to sustain long-term strategic success. 

Specialties
Business Process Outsourcing, Technology Solutions, Call Ceneters, Training","Outsourcing/Offshoring","5,001-10,000 employees","Privately Held","Riyadh, Riyadh","Saudi Arabia","holool.sa","https://www.linkedin.com/company/national-company-for-business-solutions-ncbs"
,"Auxis","Now part of Grant Thornton US, Auxis is a leading consulting and tech-enabled nearshore outsourcing pioneer focused on helping organizations achieve a competitive edge through innovative processes, leading technologies, and world-class shared services. Fortune 1000 and upper-middle-market organizations have relied on Auxis’ customized solutions since 1997 to obtain real benefits and ROI from their transformation programs.

Recognized as a top outsourcing company globally by respected research firms, Auxis delivers comprehensive solutions to modernize and scale business operations across Finance, IT, Cybersecurity, HR, Customer Service, and specialized industry functions. Its nearshore delivery platform is supported by award-winning Digital Transformation capabilities spanning Intelligent Automation & RPA, AI, Agentic, Analytics, and Cloud.

Auxis is a subsidiary of Grant Thornton, the brand name for Grant Thornton LLP and Grant Thornton Advisors LLC, the U.S. member firms of Grant Thornton International Ltd. Grant Thornton is part of the Grant Thornton International Limited network, which provides access to its member firms in more than 150 global markets.

Grant Thornton International Limited (GTIL) and the member firms, including Grant Thornton LLP and Grant Thornton Advisors LLC, are not a worldwide partnership. Services are delivered by the member firms. GTIL and its member firms are not agents of, and do not obligate, one another and are not liable for one another’s acts or omissions. Please see www.grantthornton.com for further details.","Outsourcing/Offshoring","1,001-5,000 employees","Privately Held","Fort Lauderdale, FL","United States","auxis.com","https://www.linkedin.com/company/auxis"
,"Gabtech Global, LLC","We are the enabler. We help entrepreneurs, professionals, and coaches grow their businesses by providing live human support to perform daily tasks that can be outsourced at a lower rate instead of them doing the tasks themselves.

Whether you are a business owner, a fitness coach, a life coach, a business consultant, a hobbyist, a musician or whatever it is you want to teach to the world, we can help you develop your brand and put your contents in one digital platform and promote it to the world where people around the globe can consume your contents for a fee.  We will help you make money while you sleep. 

We are a team of diverse specialists focused on helping entrepreneurs, coaches, and professionals multiply their time, provide access to different types of talents while saving money on labor cost.

We're located at 17505 N 79th Ave Ste 210 Glendale AZ 85308","Outsourcing/Offshoring","51-200 employees","Privately Held","Glendale, Arizona","United States","gabtechglobal.com","https://www.linkedin.com/company/gabtechglobal"
,"Trenkwalder Turkey","Stratejik Dış kaynak İş Ortağıyız.

1985 yılında Almanya’da kurulan, uluslararası alanda 14 ülkede danışmanlık ve tamamı özkaynakları ile olmak üzere doğrudan yatırım faaliyetleri gösteren Droege Grubu iştirakiyiz. Grubumuz, Forbes Global’de ilk 100 ve Forbes Almanya’da ilk 10 şirket arasındadır.

2007 yılında Türkiye pazarına adım atarak İstanbul'daki genel merkezimizden, Türkiye'nin dört bir yanındaki iş ortaklarına çoklu dilde çağrı merkezi, müşteri hizmetleri, müşteri deneyimi ve teknolojileri, telesatış, yazılı kanal hizmetleri, dijital dönüşüm, CRM, seçme ve yerleştirme konularında dış kaynak yönetimi ve danışmanlık hizmetleri sunuyoruz.

Operasyonel süreç ve iş yönetimindeki derin deneyim ve uzmanlığımız, iş ortaklarımızın hedeflerine ulaşmalarında stratejik bir iş ortağı olmamızı sağlıyor. Ekibimizin vizyonu ve grubumuzdan aldığımız güçle, ulusal ve uluslararası alanda çeşitli sertifikalara ve ödüllere layık görülen bir şirketiz.","Outsourcing/Offshoring","10,001+ employees","Privately Held","Umraniye, Istanbul","Turkey","trenkwalder.com","https://www.linkedin.com/company/trenkwalder-turkey"
,"SellerPlex","Hi — I’m Nate! A few years ago, I sold my Amazon business but I kept my team.

Why? Because my team was what allowed for my eventual exit. They had me on top of what I needed to be before I even had to ask.

I never had to worry about being on top of our finances and operations, or dealing with all the various random Amazon issues..

So, when I unexpectedly had an opportunity to exit, I was ready and able to take full advantage.

With Sellerplex, our team helps other business owners clean up their finances to allow for an exit, optimize for profit prior to an acquisition, and implement business operations to allow for the owner to unplug and facilitate a successful business sale. 

Find out more about how our team can help you by going to our website and schedule a free call.","Outsourcing/Offshoring","11-50 employees","Privately Held","Minneapolis, MN","United States","sellerplex.com","https://www.linkedin.com/company/seller-plex"
