"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Marine Conservation Institute","Marine Conservation Institute is a team of highly-experienced marine scientists and environmental policy advocates dedicated to saving ocean life for us and future generations. Our goal is to help create a worldwide system of strongly protected areas — Blue Parks (BlueParks.org) — to safeguard marine biodiversity. To enhance marine protection efforts in the U.S. and around the globe, we also built the world’s most comprehensive online marine protected area database, the Atlas of Marine Protection (mpatlas.org).  

We welcome your support in the form of donations, prospective board members, fundraising, and other campaigns. We'd love to hear from you!","Conservation Programs","11-50 employees","Non Profit","Glen Ellen, CA","United States","marine-conservation.org","https://www.linkedin.com/company/marine-conservation-institute"
,"Fondation GoodPlanet","Prolongement du travail artistique et de l’engagement pour l’environnement de Yann Arthus-Bertrand, la Fondation GoodPlanet, reconnue d’utilité publique a pour vocation de sensibiliser l’ensemble des acteurs aux enjeux environnementaux et sociaux actuels.

La fondation propose aux entreprises et aux institutions des projets de sensibilisation interne, un accompagnement sur une politique carbone ou d’alimentation responsable, et le financement de projets de terrain.

Elle met en œuvre des projets de terrain afin d’agir pour la planète et ses habitants, et propose ainsi à tout un chacun de devenir acteur du changement en s’engageant à ses côtés contre le changement climatique.

Afin d’inviter tout un chacun à préserver l’environnement, la Fondation GoodPlanet organise tout au long de l’année différents types d’événements pour la sensibilisation du public.

+ d'infos : GoodPlanet.org
Twitter: @GoodPlanet_
Facebook: @GoodPlanet.org  
Instagram: @FondationGoodPlanet
YouTube: GoodPlanet","Conservation Programs","51-200 employees","Non Profit","Paris, Île-de-France","France","goodplanet.org","https://www.linkedin.com/company/fondation-goodplanet"
,"GIZ Brasil","A Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) Gmbh é uma empresa federal alemã para cooperação técnica que atua no Brasil na promoção do desenvolvimento sustentável há mais de 60 anos. O foco do  trabalho da GIZ no Brasil são as energias renováveis e a eficiência energética, a proteção e o uso sustentável das florestas tropicais, além de temas como formação técnica, transformação urbana e oportunidades de financiamento para investimentos em prol do clima. 

Os projetos de cooperação implementados no Brasil promovem o desenvolvimento econômico, social, ecológico e a sustentabilidade. O trabalho de cooperação técnica Brasil-Alemanha é realizado em consonância com a Embaixada da Alemanha e em coordenação com a cooperação financeira implementada pelo Banco de Desenvolvimento alemão KfW. 

A GIZ está ativamente engajada no país desde 1962 em uma cooperação capaz de transformar realidades locais e apoiar as metas internacionais acordadas pelo Brasil em diferentes fóruns.

Informações de registro: https://www.giz.de/en/html/registration_information.html","Conservation Programs","201-500 employees","Government Agency","Brasília","Brazil","giz.de","https://www.linkedin.com/company/giz-brasil"
,"Reneco International Wildlife Consultants LTD","Reneco is a consulting company ensuring management and coordination of ecology and conservation projects based in North Africa, Middle East, and Central Asia. Engaged for more than 30 years, Reneco mainly operates in the Houbara bustards population preservation through captive breeding, frequent releases, and follow-up actions.

The corporate headquarters is based in Abu Dhabi and houses more than 50 employees working for Reneco supporting functions as Human Resources, Finance, IT, as well as Research department. Located in United Arab Emirates, Morocco, Kazakhstan, and Uzbekistan, the breeding Centres managed by Reneco welcome annually up to 2,000 employees.

Being aware that our human capital is our main strength, we aim to hire qualified employees willing to be part of a multicultural team within a stimulating environment. By joining us, you will be supported in your career development and be involved in meaningful challenges with an international impact.

To learn more about our activity, we invite you to check out our corporate website: www.reneco.net","Conservation Programs","51-200 employees","Non Profit","Abu Dhabi, Abu Dhabi","United Arab Emirates","reneco.net","https://www.linkedin.com/company/reneco-international-wildlife-consultants-ltd"
,"LPO Provence-Alpes-Côte d'Azur","La LPO PACA est une association locale de la LPO France. La LPO est une association de protection de la nature, reconnue d'utilité publique. Créée en 1912, elle est le représentant de ""BirdLife International"", une alliance mondiale pour la nature.

La Ligue pour la Protection des Oiseaux en région Provence-Alpes-Côte d’Azur est une association à but non lucratif qui a pour but d’agir pour l’oiseau, la faune sauvage, la nature et l’homme, et lutter contre le déclin de la biodiversité, par la connaissance, la protection, l’éducation et la mobilisation.

La LPO est une association indépendante, apolitique et citoyenne. Elle agit avec honnêteté, désintéressement, solidarité, partage, dans un esprit de dialogue. Elle entend agir avec compétence, objectivité et sensibilité. Elle considère le respect de la vie sauvage comme essentiel au développement des sociétés humaines. Elle contribue à un développement durable, respectueux des ressources et richesses naturelles.","Conservation Programs","11-50 employees","Non Profit","Hyères","France","lpo.fr","https://www.linkedin.com/company/lpo.paca"
,"Re:wild","Re:wild protects and restores the wild. We have a singular and powerful focus: the wild as the most effective solution to the interconnected climate, biodiversity and human health crises. Founded by a group of renowned conservation scientists together with Leonardo DiCaprio, Re:wild is a force multiplier that brings together Indigenous peoples, local communities, influential leaders, nongovernmental organizations, governments, companies and the public to protect and rewild at the scale and speed we need. Re:wild launched in 2021 combining more than three decades of conservation impact by Leonardo DiCaprio and Global Wildlife Conservation, leveraging expertise, partnerships and platforms to bring new attention, energy and voices together. Our vital work has protected and conserved over 12 million acres benefitting more than 16,000 species in the world’s most irreplaceable places for biodiversity. We don’t need to reinvent the planet. We just need to rewild it—for all wildkind. Learn more at rewild.org. #rewild #wild #teamrewild #wildlife #rewildtheworld #extinctionendshere #lostspecies","Conservation Programs","51-200 employees","Non Profit","Austin, Texas","United States","rewild.org","https://www.linkedin.com/company/rewildorg"
,"Knepp Wilding","We are rewilding pioneers, working with nature to build a sustainable future.

Our Purpose is to continue on the journey of process-led rewilding, seeking to encourage further dynamic natural processes by such means as key species reintroductions and varying the management of the large herbivores. We aim to inspire and promote rewilding through evidence-based studies rigorously conducted at Knepp, and through engagement with local communities, NGOs, policy-makers and educators. Rewilding provides the ethical context for all other activities on the Estate.","Conservation Programs","51-200 employees","Partnership","Horsham, West Sussex","United Kingdom","knepp.co.uk","https://www.linkedin.com/company/knepp-rewilding"
,"Rainforest Trust","For more than 35 years, Rainforest Trust has not wavered from its mission of preventing deforestation, preserving critical habitat and safeguarding endangered species. We have projects in rainforests, but we also protect other types of forests and even marine environments! Stopping deforestation does not just save trees. The results include clean water, oxygen production, carbon sequestration and storage, and the slowing of climate change. Saving tropical forests helps mitigate many of the critical issues we are facing today and in the near future. By becoming a part of Rainforest Trust, you become part of the solution.

Businesses that leverage their corporate resources enable Rainforest Trust to achieve its mission. We are all in this together, working hard to ensure a future for all species, including our own.","Conservation Programs","11-50 employees","Non Profit","Warrenton, Virginia","United States","rainforesttrust.org","https://www.linkedin.com/company/rainforesttrust"
,"Rainforest Trust","For more than 35 years, Rainforest Trust has not wavered from its mission of preventing deforestation, preserving critical habitat and safeguarding endangered species. We have projects in rainforests, but we also protect other types of forests and even marine environments! Stopping deforestation does not just save trees. The results include clean water, oxygen production, carbon sequestration and storage, and the slowing of climate change. Saving tropical forests helps mitigate many of the critical issues we are facing today and in the near future. By becoming a part of Rainforest Trust, you become part of the solution.

Businesses that leverage their corporate resources enable Rainforest Trust to achieve its mission. We are all in this together, working hard to ensure a future for all species, including our own.","Conservation Programs","11-50 employees","Non Profit","Warrenton, Virginia","United States","rainforesttrust.org","https://www.linkedin.com/company/rainforest-trust"
,"GVI","GVI is an award-winning social enterprise that runs high-impact conservation and community development programs in extraordinary locations across the world.
 
Over 35,000 participants have graduated from over 150 different GVI programs over the last 25+ years.

Volunteering | Internships | Research Fellowships | Professional Apprenticeships | Virtual Internships | Online Courses

Make your impact, ethically.

** GVI Foundation Grants are now available to cover up to 80% of conservation and community program fees.","Conservation Programs","51-200 employees","Privately Held","Exeter","United Kingdom","gviworld.com","https://www.linkedin.com/company/gvitravel"
