"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dextra Group","Established since 1983, Dextra is a leading manufacturer and distributor of engineered construction products for the building and civil industries, supported by a team of over 1000 professionals worldwide. Headquartered in Bangkok, Thailand, Dextra is a privately-owned group of companies with affiliates in America, Europe, Middle East, India and Asia.

Dextra supports and serves the construction industry with smart and dependable solutions that help consultants and contractors design and build ever-challenging structures today for tomorrow’s legacy.

Whether in the ground, in concrete or embedded in steel structures, made of steel or innovative composite materials, Dextra products ensure the efficiency, integrity and safety of construction projects worldwide.

Dextra is recognized as a global solution provider in the construction industry with emphasis on customer service, quality and teamwork. For more information about our group and activities, please visit us at www.dextragroup.com","Construction Hardware Manufacturing","1,001-5,000 employees","Privately Held","Bangkok","Thailand","dextragroup.com","https://www.linkedin.com/company/dextra-group"
,"Stallion Infrastructure Services","Stallion is a Business Services company that strives to be the leader in providing safe, socially responsible, reliable, and innovative solutions to a broad spectrum of customers. While our roots are in the energy sector, we have leveraged our proficiency in expert logistics, integrated solutions, and smart technology to just about every industry in the United States. In addition, we continually evolve our people, processes, and equipment with a focus on reducing our carbon footprint and leaving every worksite that we operate on in a better condition than when we found it. 

We help our growing portfolio of customers create sustained value by understanding their business challenges and providing innovative solutions to solve them, like:  
•	Rapidly deployed, comfortable, hygienic, connected, and flexible accommodation or workplaces for workers in remote locations.
•	Voice, video, and data inter/intra-site connectivity anywhere in the US
•	Safety systems that provide data to help make informed decisions
•	Equipment and expertise to manage the separation of solids from liquids
•	Fresh water management and delivery systems 
•	Disposal of waste from humans and business operations
•	Water and sewage treatment
•	Security & alarm systems that protect employees and assets
•	Portable power and lighting solutions

We are extremely proud of the more than 700 highly trained, professional, customer focused and hardworking people that deliver these solutions to our customers. We use 23 operational/maintenance facilities, over 10,000 suppliers and tens of thousands of expertly maintained pieces of equipment strategically located throughout the United States.","Construction Hardware Manufacturing","501-1,000 employees","Privately Held","Houston, Texas","United States","stallionis.com","https://www.linkedin.com/company/stallion-infrastructure-services"
,"ASSA ABLOY Opening Solutions Americas","ASSA ABLOY Opening Solutions Americas provides a complete range of door opening products for access solutions in homes, businesses, and institutions. Our offering includes doors, frames, door and window hardware, mechanical and smart locks, access control, and service. Using the latest technologies and tried-and-tested techniques we are constantly developing innovative solutions that improve our customers' lives through greater security, safety, and convenience.  ASSA ABLOY Openings Solutions serves a wide variety of market customers and provides comprehensive support and services to the architectural community.

ASSA ABLOY is the global leader in access solutions. Every day we help people feel safe, secure and experience a more open world. We operate worldwide with 63,000 employees and sales of SEK 150 billion, with leading positions in areas such as efficient door openings, trusted identities and entrance automation. Our innovations enable safe, secure and convenient access to physical and digital places.","Construction Hardware Manufacturing","10,001+ employees","Public Company","New Haven, Connecticut","United States","assaabloydss.com","https://www.linkedin.com/company/assa-abloy-us"
,"Kich Architectural Products Pvt. Ltd.","Elevating Architectural Excellence Since 1992

KICH is India’s leading manufacturer of Premium Architectural Hardware, Glass Fittings, Furniture Fittings, Bathroom Accessories, Digital Solutions and Railings. Established in 1992 as an export-oriented unit in Rajkot, we are committed to Superior Quality, Durability, and Innovation that meet Global Standards.

With a 3,50,000 sq. ft. Manufacturing facility and a 40,000 sq. ft. Corporate House, we ensure Excellence through our In-House Design Studio, R&D Division, Tool Room, and Product Testing Facility.

KICH at a Glance:
 6,500+ Products |  75+ Product Galleries |  1,800+ Dealers
 1,500+ Corporate Clients |  11,000+ Prestigious Projects
 100+ Sales Representative |  Presence in 43+ Countries

Backed by 13+ National & International Awards, we continue to set industry benchmarks under the leadership of our founder Shri Chimanbhai Hapani and Directors Mr. Bharat Hapani, Mr. Nitin Hapani, Mr. Dinesh Hapani, and Mr. Dhruvik Hapani.","Construction Hardware Manufacturing","501-1,000 employees","Privately Held","Rajkot, Gujarat","India","kichindia.com","https://www.linkedin.com/company/kich-architectural-products-pvt.-ltd."
,"Perfil Líder","Qualidade, segurança e responsabilidade estão em nosso DNA!

Moderna, dinâmica, ágil e comprometida com as exigências do mercado, a Perfil Líder atende todo o país com uma linha completa de produtos, acabamentos e soluções que vão da industrialização até a comercialização de produtos para instalações elétricas, mecânicas, hidráulicas, além de sua completa linha para construção a seco.

Instalados em uma área de 42 mil m², com uma excelente logística interna e um parque fabril completo, com capacidade para processar 4 mil toneladas de aço por mês e com possibilidade de expansão em novos turnos, a Perfil Líder é reconhecida pela qualidade das Eletrocalhas, Perfilados, Leitos para Cabos, Eletrodutos, Perfis de Drywall e Steel Frame.","Construction Hardware Manufacturing","201-500 employees","Privately Held","Guarulhos, São Paulo","Brazil","perfillider.com.br","https://www.linkedin.com/company/perfillider"
,"Bishop Lifting","Bishop Lifting, founded in 1984, is the most trusted name in the lifting world. We have the deep expertise, services, and support to solve both routine and complex lifting challenges. We have the above- and below-the-hook inventory customers need when they need it and a culture of service and support that puts customer satisfaction first.","Construction Hardware Manufacturing","501-1,000 employees","Privately Held","Houston, TX","United States","lifting.com","https://www.linkedin.com/company/bishoplifting"
,"Duyar","We have tried to reach the highest quality, the most reliable and innovative products since 1965! 

We set out as a metal hammering workshop about 50 years ago. While construction and shipbuilding industries were developing, we were also affected positively and expand our business to manufacture top-quality valves and fire products. Today, it appears that we have reached stable and strong export capability with more than 65 countries. In the future, we will continue to grow with our skilled workforce, production power and unlimited ambition. 

Keeping a close eye on the developing casting technologies in the globalizing world market, we diversified our products and increased our product quality regularly. While diversifying our products, we took the needs of our customers into consideration. For us, the quality is a superior to profit just as customer satisfaction is a superior to everything else. 

We are enjoying the pride of being a pioneer in the sector with approximately 300 qualified personnel. Since we know very well those quality and success are closely related to organization structure indeed. We constantly improve our personnel quality through both in-house and outsource training seminars. We are also preferred for our high quality products & services alongside precise delivery times. We provide our customers with the highest level of flow control solutions and logistic support under all circumstances with our elite dealers.","Construction Hardware Manufacturing","201-500 employees","Privately Held","Istanbul","Turkey","duyar.com","https://www.linkedin.com/company/duyarvana"
,"ASSA ABLOY ACCENTRA, formerly Yale Commercial","ASSA ABLOY ACCENTRA makes access and egress simple for commercial, multi-family, and institutional facilities. We offer a comprehensive range of door opening products, locks, exit devices, and digital access solutions that are trusted to protect the facilities of today and tomorrow.

ACCENTRA is backed by a tenured team of consultative experts with a deep understanding of what matters most in your building—from high-performance durability to unmatched security and access management. Working within a security continuum, we equip you with the services and solutions you need to increase the security, life safety, and convenience of your facility.

*
*
*

On June 20, 2023, ASSA ABLOY announced its acquisition of the Hardware and Home Improvement (HHI) business from Spectrum Brands. As part of the settlement agreement with the U.S. Department of Justice, ASSA ABLOY agreed to divest its premium mechanical and smart residential businesses (Yale Real Living and August), and Yale brand in the U.S. and Canada.

ASSA ABLOY will continue to provide the entire Yale portfolio of commercial products, however, due to the divestment, these products must be re-branded under a new name.

The nearly 200-year legacy of Yale Commercial hardware will now become ASSA ABLOY ACCENTRA. While the name has changed, the outstanding quality of the hardware has not. Backed by ASSA ABLOY, the ACCENTRA commercial product line will continue to meet your door hardware life-safety protection needs.

With this change comes opportunities – an opportunity to learn, grow, and evolve into a better and stronger version than before. We will continue to maintain the trust and reliability you have come to expect from Yale Commercial through this upgrade. Now more than ever, ASSA ABLOY ACCENTRA is committed to being your steadfast partner in the commercial door hardware industry.","Construction Hardware Manufacturing","201-500 employees",,"Berlin, CT","United States","accentra-assaabloy.com","https://www.linkedin.com/company/assa-abloy-accentra"
,"Kingspan Insulated Panels CEME (Central Eastern Europe, Nordics, Türkiye, Central Asia, Middle East)","Kingspan Insulated Panels is the world's largest and leading manufacturer of high-performance insulated panel systems. Offering a range of insulation cores from A-class mineral fibre to Kingspan's flagship QuadCore technology, we have a solution that suits all regulatory regimes while delivering a faster speed of construction with less labour when compared with traditional built-up systems. Kingspan's proprietary QuadCore technology provides building owners with excellent build quality and air tightness, underpinned by a guaranteed lifetime thermal performance.

We have a long-term commitment to delivering a sustainable agenda as part of the Kingspan 10-year sustainability programme. Through Planet Passionate, we aim to impact climate change, circularity and protection of our natural world. We believe that through true collaboration we can help make a difference.","Construction Hardware Manufacturing","10,001+ employees","Partnership","Hradec Kralove,  Pouchov","Czechia","kingspan.com","https://www.linkedin.com/company/kingspan-insulated-panels-europe"
,"Weida Architecture Hardware","Jiangmen weida Hardware Manufacturing Limited is a professional manufacturer specialized in stainless steel architecture door hardware for more than 18 years ! Our main products including: stainless steel door lever handle, handle on plate, pull handle, door stopper, door hinge,lock, door bolt, sign plate and numbers！
       Weida Hardware is a trusted name in producing ,With years of solid experience, we are reputed in providing rewarding contract manufacturing services that benefit your construction and design projects.
       Our product material contains SS316, SS304, SS202and SS201,Zinc alloy and copper, product finish varies from Satin, Polish,PVD, AB AC and color coating ！","Construction Hardware Manufacturing","51-200 employees","Partnership","jiangmen, Guangdong","China","weidahardware.com","https://www.linkedin.com/company/jiangmen-weida-architecture-hardware"
