"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Belcorp","We are a multinational beauty corporation with a presence in 14 countries. Since our beginnings, we have supported thousands of women in achieving economic independence through the direct selling business. We have three brands—L’BEL, ésika, and Cyzone—that allow us to offer our consumers the best experiences with high-quality products.

With our purpose, We drive beauty to achieve personal fulfillment, we seek to inspire each person to give their best to achieve the extraordinary.

We are committed to sustainability, and our strategy considers environmental, social, and governance aspects to contribute to sustainable development in the countries where we operate. That is why we work across five key pillars:

Women’s empowerment
We promote women’s empowerment, as we are convinced of its impact on the transformation of women, their families, and their communities, as well as on the construction of a more just, prosperous, and sustainable society.

Extraordinary talent
We have a team of more than 6,000 employees in 14 countries who are transforming the beauty industry and quickly adapting to the ongoing challenges of business and the world.

Caring for the planet
We are committed to protecting the environment throughout our entire value chain, considering both present and future generations.

Integrity and transparency
Through our policies and internal mechanisms, we foster ethical and transparent actions at all levels of the company, considering the impacts on our environment and value chain.

Responsible products
We offer high-quality, safe, innovative, and sustainable products, aligned with the responsible use of natural resources.

Learn more about Belcorp at www.belcorp.biz","Cosmetics","5,001-10,000 employees","Privately Held","Tocancipa, cundinamarca","Colombia","belcorp.biz","https://www.linkedin.com/company/belcorpcorporativo"
,"LVMH Perfumes & Cosmetics","LVMH’s Perfumes & Cosmetics activities benefit from exceptional dynamism that relies on both the longevity and development of key lines, and on the boldness of new creations. The brands cultivate what makes them unique and is guaranteed to make them stand out for their devotees in a highly competitive global market. The success of the Perfumes & Cosmetics division depends on finding the right balance between major historic Houses such as Parfums Christian Dior, Parfums Givenchy and Guerlain, and young brands with strong potential like Benefit Cosmetics, Fresh and Make Up For Ever… All are driven by the same values: a quest for excellence, creativity, innovation and perfect mastery of their image.","Cosmetics","1,001-5,000 employees","Privately Held",,,"lvmh.com","https://www.linkedin.com/company/lvmh-perfumes-&-cosmetics"
,"OUAI","We believe that life is hard and looking good should be easy. We’re giving you realistic goals that you can actually achieve—with quick how-to videos, so you’re always ready for that selfie situation. A brand that looks dope enough to Instagram, but epic enough to actually get the job done? Yes OUAI. 

OUAI restores hair health from the outside and from within, through effective haircare products and proven nutritional supplements developed by an MD. Our shampoos and conditioners are sulfate-free and employ smart keratin to repair and improve hair strength. Even our styling products are designed to nourish hair and bring out its natural beauty.","Cosmetics","51-200 employees","Privately Held","Los Angeles, California","United States","theouai.com","https://www.linkedin.com/company/theouai"
,"Laverne Group | مجموعة لافيرن","Perfume company, leading the industry in creating modern scents that are connected to middle eastern culture.","Cosmetics","501-1,000 employees","Privately Held","Riyadh","Saudi Arabia","laverne.com","https://www.linkedin.com/company/laverne-group"
,"Urban Decay Cosmetics","It's pretty. Maybe a little twisted. But never prissy. Makeup for your eyes, lips, nails, hair, and skin. It's always beautiful but sometimes unusual. It's makeup for individuals, not for those who want to blend in. Have fun, experiment, toy with a look that borders on dangerous. Shimmer, glitter, sparkle, sheen...use it all and change your face to match your mood. Go from a pixie to a vixen, from a rock star to a starlet. Be who you want to be today, just don't be average.

Urban Decay is beauty with an edge. It is feminine, dangerous, and fun...appealing to celebrities, rock stars and anyone who relishes her individuality and dares to express it.

Urban Decay is an Equal Opportunity Employer.","Cosmetics","201-500 employees","Public Company","Newport Beach, CA","United States","urbandecay.com","https://www.linkedin.com/company/urban-decay-cosmetics"
,"Intercos Group","Intercos is the leading global supplier and strategic innovation partner to the color cosmetics and skin, hair, personal care and fragrances industry with research centers, production sites and marketing offices in North America, South America, Europe and Asia.

Intercos has an unprecedented ability to scout, anticipate and influence trends in the beauty industry, which, combined with its best-in-class R&D capabilities, puts the Company at the forefront of innovation. 

As a result, Intercos develops and manufactures cosmetics for the most well-known brands in the industry. The Company was founded in 1972 and is headquartered in Milan, Italy.","Cosmetics","5,001-10,000 employees","Public Company",,"Italy","intercos.com","https://www.linkedin.com/company/intercos"
,"Dot & Key Skincare","Dot & Key is an award-winning skincare company established to transform the idea of 'skincare' into a fun, easy, and acceptable notion.

A fresh take on skincare. One that's founded on the understanding that everyone is unique. Through our range of advanced skincare products, we address lifestyle needs that are often overlooked.

THE BEST OF
NATURE & SCIENCE

The amount of thought and care we put in at every step is reflected in the results. We start by sourcing the best natural ingredients from across the globe. Then, we process them using cutting-edge science to create unique formulations that deliver on their promise. Think of a wide array of effective remedies that are as gentle as nature itself.
FULL OF LOVE
FREE OF TOXINS

Glance at our list of ingredients, and you won't find any toxic chemicals like parabens, sulfates, and phthalates. Everything we make is clinically tested and cruelty-free, so you can use it without worry in the world. This is the Dot & Key promise: superior skincare that's absolutely safe, delightfully gentle, and unquestionably effective.","Cosmetics","51-200 employees","Privately Held","Kolkata, West Bengal","India","dotandkey.com","https://www.linkedin.com/company/dot-key-skincare"
,"amika","loved by stylists. powered by results. all hair is welcome.

amika means friend. we're a fearless, Brooklyn-born, salon-raised haircare brand + a friend to all hair, hairstylists, the planet + you. 

we're rooted in clinical results. each product is infused with our intoxicating scent + powered by our superfruit soul, sea buckthorn. known as one of the earth's most omega-rich plant sources, this potent berry nourishes your skin, scalp + strands. 
 
we're a proud pal to the planet + certified B-Corp. from sustainably sourced ingredients + recyclable packaging to our energy-saving production processes, we pledge to reduce our greenhouse gas emissions, waste + energy to reach Net Zero by 2030. 

having grown up in salons, we know better than anyone how important stylists are—they're our confidantes + community. think of us at your at-home hairapist, here to empower self-expression + bring joy to your haircare experience. all hair is welcome.","Cosmetics","51-200 employees","Privately Held","Brooklyn, NY","United States","loveamika.com","https://www.linkedin.com/company/amika"
,"Moroccanoil","A story of success, an impulse for innovation, and a relentless pursuit of simple, high-performing oil-infused beauty products fashioned an iconic brand: Moroccanoil. As the pioneer of oil-infused haircare, our original Moroccanoil Treatment created the worldwide buzz on argan oil and paved the way for an extensive line of premium oil-infused haircare products to address the needs of all hair types. By popular demand, Moroccanoil has launched Moroccanoil Body: luxurious, head-to-toe collections inspired by the sea, sand, breeze, and scents of the Mediterranean. Infused with argan oil, signature to the brand, these proprietary formulas leave skin nourished, naturally radiant, and irresistibly beautiful. Today, Moroccanoil is available in over 85 countries worldwide.","Cosmetics","501-1,000 employees","Privately Held","New York, New York, NY","United States","moroccanoil.com","https://www.linkedin.com/company/moroccanoil"
,"Baruel","Empresa 100% nacional e presente há mais de 120 anos no mercado, a Baruel atua nos mercados de higiene e cuidados pessoais a partir de um extenso portfólio de produtos voltados para o bem-estar do consumidor.
 
Fundada em 1892, a empresa é líder de mercado em cuidados com os pés com a sua linha Tenys Pé Baruel, além de destaque presença no segmento infantil, com as linhas Turma da Xuxinha e Disney Frozen, e de proteção, com os Repelentes Baruel. Seu último lançamento, a Baruel Protect, traz produtos antissépticos voltados para a proteção e cuidados higiênicos. 
 
Com produtos distribuídos em mais de 170 mil pontos de vendas em todo o País, a Baruel vem crescendo ao longo dos anos e se fortalecendo com valores que promovem a saúde e a proteção do consumidor.
 
A marca ainda exerce uma preocupação efetiva com a sociedade em que está situada, sempre prezando por um auxílio à comunidades carentes. Com doações ao longo dos anos, a Baruel vem promovendo conscientização da população sobre higienização e cuidados pessoais.","Cosmetics","201-500 employees","Privately Held","São Paulo, São Paulo","Brazil","baruel.com.br","https://www.linkedin.com/company/baruel"
