"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Celexp Cosmetics","Celexp Cosmetics is a private label cosmetic manufacturer based in Turkey, offering end-to-end production solutions for brands looking to create high-quality beauty products under their own label.

We support our partners at every stage of the process — from formulation and packaging selection to labeling and production — ensuring compliant, reliable, and market-ready products. Our manufacturing capabilities cover hair care, body & bath, men’s care, sun care, and baby & kids cosmetics.

Working with international brands and distributors, we provide flexible and scalable private label solutions for both emerging and established cosmetic brands. Our focus is on long-term partnerships, transparent communication, and efficient production processes that support sustainable brand growth.","Cosmetology and Barber Schools","201-500 employees","Self Owned","istanbul, istanbul","Turkey","celexp.com","https://www.linkedin.com/company/celexpcosmetics"
,"Meow Moments","Celebrate the adorable antics of our feline friends .
From playful pounces to sleepy cuddles, every moment is pure joy and cuteness overload .Meow Moments captures the fun, love, and charm of cats in everyday life .","Cosmetology and Barber Schools","11-50 employees","Privately Held","Dallas, Texas","United States","shopenzer.com","https://www.linkedin.com/company/meow-moments"
,"My Beauty Bag","When you have found the right beauty product, it's like finding the perfect dress you have always dreamed of. A one-in-million chance? Not anymore, welcome to My Beauty Bag. We distribute exclusive, high-quality products to salons across the UAE. Our mission is to educate, train and inspire industry professionals on innovative beauty techniques demonstrated by our in-house trainers. Every day, we try to walk our clients through the uniqueness of our products and their effectiveness. The biggest investment you will make is yourself, so why not start today.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Dubai","United Arab Emirates",,"https://www.linkedin.com/company/my-beauty-bag-llc"
,"PlayPulse","PlayPulse  — Where fun meets excitement, bringing you the latest in gaming, entertainment, and interactive experiences. ","Cosmetology and Barber Schools","11-50 employees","Privately Held","Dallas, Texas","United States","kicklo.com","https://www.linkedin.com/company/play-pulse"
,"AND Trading Co.","andTrading started with a vision of bringing the highest quality of nails, hair and salon services to Qatar. It all started with Nails salon in Royal Plaza Mall in 2005 with eight staff. From its modest beginnings, we grew to over 200 employees serving our clients across 10 locations in and around Doha.

 

Over the years, we have strived to cater world-class salon services to women and men alike. From the start, we focused on meticulously training our staff with high standards of services and continued updating these techniques with the latest methods seen around the globe.","Cosmetology and Barber Schools","201-500 employees","Privately Held","Doha","Qatar","andtrading.net","https://www.linkedin.com/company/and-trading"
,"Peyrefitte Esthétique","Peyrefitte Esthétique est une école d'esthétique cosmétique basée sur trois campus :  Lyon, Aix les Bains et Aix-en-Provence. 
Du CAP au BTS, en passant par des formations Bachelor, depuis plus de 30 ans, Peyrefitte Esthétique, c'est LA référence en esthétique. 

Besoins de plus d'informations ? Contactez-nous au 04 78 37 35 95 ou par mail à info@peyrefitte.com. 

Site web : peyrefitte-esthetique.com
Facebook : https://www.facebook.com/PeyrefitteEsthetique/
Instagram : https://www.instagram.com/peyrefitte_esthetique/
Twitter : https://twitter.com/PeyrefitteEsthe
Youtube : https://twitter.com/PeyrefitteEsthe","Cosmetology and Barber Schools","51-200 employees","Educational","Lyon, Auvergne Rhône-Alpes","France","peyrefitte-esthetique.com","https://www.linkedin.com/company/peyrefitte-esthétique"
,"Derma Wellness","Derma Wellness Trading LLC is an establishment that strives to fulfill its clients professional beauty requirements. It also holds exclusivity right for all the below mentioned brands:
1) Jurgita Cosmeceuticals: A unique brand with diverse products renowned for instant illustrious results. Jurgita is a leading Italian cosmetic brand that collaborates with aesthetic medical specialists. Jurgita Cosmeceuticals has only delivered perfection and exquisite outcomes.   
2) Jeneve: Meticulously crafted to achieve the greatest degree of precision. Jeneve has built a name for itself among eyebrow and eyelash specialists worldwide. Jeneve specializes in lash & brow lamination. Designed exclusively for professional use, it offers personalized services to achieve the highest level of satisfaction. 
3) JMed: With a success record of at least 90% and a reputation for producing seemingly magical results, JMED STRIA REPAIR technology is the only process in the world that guarantees the removal of stretch marks within 5–6 sessions. In collaboration with world renowned dermatologists and histologists JMed has created novel non-invasive techniques that produce promise-able results after just one session. To assure efficient treatment for all types of stretch marks, regardless of their demography, these treatments have been evaluated among people of all ethnicities.
4) J Academy: J Academy is an international school with 5000 students worldwide that specializes in training in advanced aesthetics and dermo pigmentation. The goal is to create an effective and cutting-edge global academy that combines the best experts and innovative techniques.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Dubai","United Arab Emirates","dermawellness.ae","https://www.linkedin.com/company/derma-wellness"
,"Lina Beauty Company",,"Cosmetology and Barber Schools","51-200 employees","Privately Held",,,,"https://www.linkedin.com/company/lina-beauty-company"
,"Abyss Institute of Cosmetic Science","World Exclusive Cosmetic Science Programs In Association with LIPS Research, Advanced R&D European International University, Paris, France","Cosmetology and Barber Schools","2-10 employees","Educational","Nashik, Maharashtra","India","abyssinstitute.in","https://www.linkedin.com/company/abyss-institute"
,"Lord Oil","LORD OIL is a men's care and grooming brand founded in 2022. We are dedicated to developing and providing high-quality, effective, and natural care products designed for real results.

Our Focus:

Grooming Confidence: Delivering a reliable platform for men's hair confidence.

Innovation: Constantly searching for better solutions to push industry boundaries.

Core Values:

Ambition: Always aiming higher; the sky is not the limit.

Loyalty: Dedicated to the success and trust of our customers and team.

Honesty: Operating with integrity and transparency at the heart of everything we do.","Cosmetology and Barber Schools","2-10 employees","Privately Held","Riyadh, Riyadh","Saudi Arabia","lordoilsa.com","https://www.linkedin.com/company/lordoil-company"
,"Zaki Salon","The luxurious project of a beauty salon was born in a heart of exotic Palm Jumeirah island when the owner founded the brand –a lighthouse for the charming visitors.
Zaki Salon is a workshop for hair, skin and nails, where identity and attraction are being created, where the ingenious ideas are not only conceived but as well turned into reality.
The main feature that defines the originality of Zaki Salon concept is the advanced individual approach each guest is attended and treated. It is not about who you are, it is about who do you want to be when leaving the salon.
The details of the ambience are scrupulously chosen and combined making the old classic luxury obtain a modern eye-catching look.","Cosmetology and Barber Schools","11-50 employees","Self Owned","Dubai, dubai","United Arab Emirates","zakisalon.com","https://www.linkedin.com/company/zaki-salon"
,"Slach Studio","At Slach Studio, we blend science, artistry, and a touch of Korean beauty secrets to help you achieve your skincare and beauty goals. Our highly skilled and certified professionals are dedicated to providing you with top-notch treatments in a serene and welcoming environment.","Cosmetology and Barber Schools","2-10 employees","Public Company","Greater Noida, Uttar Pradesh","India","slachstudio.com","https://www.linkedin.com/company/slachstudio"
,"GLAMOURIQ","We assist great women to look awesome","Cosmetology and Barber Schools","2-10 employees","Privately Held","Colombo","Sri Lanka",,"https://www.linkedin.com/company/christhebest"
,"LO'LAVITA HAIR & BEAUTY / SALON","We are a multi-brand retail store for Hair & Beauty with our salon in Lekki, Nigeria.","Cosmetology and Barber Schools","2-10 employees","Self Owned","LEKKI, LAGOS","Nigeria","lolavitabeauty.com","https://www.linkedin.com/company/lo-lavita-hair-beauty-salon"
,"El-Tawheed for advanced industries (Sparkle Shampoo)","Nefertary Company is a pioneered Egyptian company at the cosmetics industry, established in 1983 as a local manufacturing company and has grown as a one of the leading companies in haircare, skin care & home care.In 2020 Nefertary has been shifted from an Egyptian special partnership company to an Egyptian Joint stock, El Tawheed for advanced industries company.","Cosmetology and Barber Schools","201-500 employees","Public Company","Cairo","Egypt","el-tawheed.com","https://www.linkedin.com/company/el-tawheed-for-advanced-industries-sparkle-shampoo"
,"Time Machine Salon | Academy & Photo studio","Time Machine Unisex Salon, Academy & Photostudio. It is an award winning salon for its Hair, Skin, Makeup and Nail services.
Time Machine is Navi Mumbai’s first all in one Studio which caters to Hair, Makeup, Beauty Academy, Salon & Photography.
Step into Shine's Time Machine. It takes you back in time to let you see a “Younger & Beautiful you”. 

These insane Scientists at work will mesmerise you with their creativity yet splendid styles and looks. Our scientific formulas will transform you into the smarter and trendier you at our styling lab.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Vashi, Navi Mumbai","India","mmtimemachine.com","https://www.linkedin.com/company/time-machine-salon-academy"
,"Instituto Visia","O INSTITUTO VISIA é uma empresa de educação que fornece as competências globais de que as empresas bem como indústrias de cosmética precisam. Ajudamos empreendedores e profissionais a serem os melhores profissionais e terem os melhores resultados.","Cosmetology and Barber Schools","2-10 employees","Educational","Aparecida de Goiânia, Goiás","Brazil","rdstation.com","https://www.linkedin.com/company/institutovisia"
,"Manicurist","Welcome to our page, where we proudly represent the dignity and aesthetic honor of a true manicurist. As passionate nail artists, our main goal is to bring our creativity and attention to detail to every nail appointment. From classic manicures to the latest nail art trends, we are constantly exploring new techniques and designs to bring to our clients, so that they can express their unique style through their nails.

As manicurists, we believe that every nail is a canvas, and we are so committed to using our skills and expertise to create personalized and stunning results that reflect our clients' individuality. Whether you're seeking a subtle and elegant look or a bold and vibrant design, we will work with you to bring your vision to life and create a look that truly speaks to you.

With a deep understanding of manicure products, techniques, and applications, we are equipped to provide high-quality services that leave our clients feeling pampered and beautiful. Whether you're a long-time nail art enthusiast or simply looking to treat yourself to a bit of self-care, we are excited to work with you and help you express your unique style through your nails.","Cosmetology and Barber Schools","11-50 employees","Self Owned","Los Angeles","United States",,"https://www.linkedin.com/company/manicurist"
,"Paul Mitchell the School St. Louis","Paul Mitchell the School St Louis is one of 107 Paul Mitchell Schools nationwide which provide professional cosmetology training covering the art, business, and a Be Nice (or Else!) culture in the health and beauty industry.  

Established 30 years ago, the Paul Mitchell network is nearly 100,000 salons strong and in 81 countries worldwide, and every professional hairdresser knows the Paul Mitchell name. Now, with the arrival of Paul Mitchell beauty schools, we’ve taken the world of cosmetology education by storm.

For over 20 years, the staffs at Paul Mitchell beauty schools have built strong working relationships with salons around the world. Prospective employers recognize our commitment to quality and our reputation for innovation and excellence, and Paul Mitchell–trained hair designers work in virtually every corner of the world.

Paul Mitchell beauty schools were designed to teach you the skills you’ll need, inspire you to explore your passion and creativity, and help you learn the business that will make your career in the beauty industry fun and rewarding. Come join us today and say YES to your future!","Cosmetology and Barber Schools","11-50 employees","Educational","St. Louis, Missouri","United States","paulmitchell.edu","https://www.linkedin.com/company/paul-mitchell-the-school-st.-louis"
,"D.O.N Barber Beer","A D.O.N Barber Beer  é uma barbearia que une o clássico ao moderno. Temos seis lojas no Rio de Janeiro, duas lojas no Recife e 1 em Fortaleza. Todas extremamente aconchegantes, muito bem localizadas e preparadas para atender ao público com serviços e produtos diferenciados.","Cosmetology and Barber Schools","51-200 employees","Privately Held",,,"donbarberbeer.com.br","https://www.linkedin.com/company/d-o-n-barber-beer"
,"ON THE GO BEAUTY CENTER (OTG)",,"Cosmetology and Barber Schools","11-50 employees","Partnership","Dubai, dubai mall fountain views","United Arab Emirates","otgbc.com","https://www.linkedin.com/company/on-the-go-beauty-center-otg"
,"Art of Colors makeup artist school","Art of Colors makeup artist school in Amsterdam trains professional makeup artists and offers tailor-made makeup training for the cosmetics industry.

Our makeup artists help testing make-up products, take care of make-up promotions in store & on socials  and of course are at your service for hair & make-up for 1 person up to fashion shows such as The Hague Fashion Week and FASHIONCLASH.","Cosmetology and Barber Schools","2-10 employees","Educational","Amsterdam, Noord-Holland","Netherlands","artofcolors.nl","https://www.linkedin.com/company/art-of-colors"
,"Katarina Maravich Hair Colourist","Rođena 1985. godine u Beogradu, završila Školu za negu lepote 2003. godine. Po završetku škole odmah počinje sa samostalim radom u salonu. 2010. godine odlučuje da se posveti i usavršava samo iz oblasti kolora i tada počinje da posećuje razne seminare, obuke, predavanja.

Svoj rad je započela sa Revlon preparatima. Nakon nekog vremena i posle edukacija van zemlje, prva je u našoj zemlji koja je otpočela rad sa Olapleksom u saradnji sa generalnim uvoznikom i distributerom VSD Trade.

“Drago mi je što sam uspela da u našoj zemlji realizujem svoju ideju na kojoj sam radila jako dugo, a to je salon koji će biti specijalizovan samo za kolorizacije! Svuda u svetu postoje saloni u kojima rade isključivo KOLORISTI koji ulažu svoje vreme i novac samo u usavršavanje ove oblasti! Smatram da kada se bazirate i usavršavate samo jednu sferu vašeg posla, taj deo ćete raditi perfektno, a kada se bazirate na više stvari, onda sve radite površno!”

“Svakoga dana se susrećem sa novim izazovima. U tome i vidim draž ovog posla. Talenat je prepoznati MAKSIMUM koji se može uraditi na određenom tipu kose, a znanje je ono što nas dovodi do REZULTATA. Svoj posao radim sa puno ljubavi i uživam u svakom danu koji provedem u salonu sa svojim klijentima.”

“Lako je nijansirati i kolorisati zdravu kosu koja ima veliki prag izdržljivosti. Treba se snaći kada vam dođe klijent koja ima hemijsko šišanje i stepen oštećenja 95%. U toj opciji nemate puno izbora OSIM da imate veliko iskustvo i znanje.”","Cosmetology and Barber Schools","2-10 employees","Public Company","Belgrade","Serbia","katarinamaravich.com","https://www.linkedin.com/company/katarina-maravich-hair-colourist"
,"Wallah Habibi Attar & Perfume","**WALLAH HABIBI ATTAR & PERFUME: A Journey Through Fragrance**

Welcome to Wallah Habibi Attar & Perfume, your ultimate destination for exquisite scents that embody tradition and luxury. Our collection features a diverse range of high-quality oud, traditional attars, and premium replicas of top designer fragrances, ensuring a sensory experience that caters to every preference.

**Oud: The Essence of Luxury**

At the heart of our offerings is oud, often referred to as liquid gold. Sourced from the heart of the agarwood tree, our oud products are meticulously crafted to capture the rich, woody aroma that has captivated cultures for centuries. Whether you prefer a deep, dark oud or a lighter, more floral blend, our selections are designed to transport you to distant lands with each application.

**Traditional Attars: A Heritage of Scent**

Our traditional attars pay homage to the age-old art of fragrance crafting. Made from natural ingredients, these alcohol-free oils offer a pure and long-lasting scent experience. From the refreshing notes of jasmine and rose to the earthy hints of sandalwood and musk, each attar tells a story, connecting you to the rich cultural heritage of perfumery. Perfect for layering or wearing alone, our attars are ideal for both everyday use and special occasions.

**Top Brand Replicas: Luxury Within Reach**

For those who adore the allure of high-end designer fragrances but seek affordability, our top brand replicas are the perfect solution. Each scent is carefully formulated to mirror the essence of iconic perfumes, providing an indulgent experience without the hefty price tag. Enjoy the sophistication of your favorite luxury brands with our expertly crafted replicas, ensuring you smell fabulous for any occasion.

**Commitment to Quality**

At Wallah Habibi, we prioritize quality above all. Our fragrances are crafted with precision, using only the finest ingredients to ensure that every scent meets the highest standards.","Cosmetology and Barber Schools","2-10 employees","Self Owned","Delhi, Delhi","India","wallahhabibi.in","https://www.linkedin.com/company/wallah-habibi"
,"AESTHETIC SOLUTIONS BV","Aesthetic Solutions is een uniek medisch totaalconcept waarin we een holistische kijk op schoonheid combineren met wetenschappelijk bewezen producten en geavanceerde appara-tuur. Dit doen we door esthetische artsen, dermatologen, huidtherapeuten en de betere schoonheidsinstituten te adviseren, faciliteren en begeleiden in het waarmaken van deze be-lofte. Zo kunnen we samen echt het verschil maken voor mensen die hun innerlijke schoonheid nog meer willen laten stralen.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Relegem","Belgium","aesthetic-solutions.be","https://www.linkedin.com/company/aesthetic-solutionsbv"
,"Marwa Group","Marwa Group is a rapidly growing cosmetic company dedicated to delivering high-quality beauty and skincare products. With a commitment to innovation, quality, and customer satisfaction, we strive to enhance the beauty and confidence of our customers around the world.","Cosmetology and Barber Schools","51-200 employees","Public Company","Zeytinburnu, Istanbul","Turkey","marwaalkhatib.com","https://www.linkedin.com/company/marwa-grupp"
,"Mustaċċun Limited","In the heart of two magnificent towns, there stands a hidden gem, where the traditional and modern seamlessly blend, there is a place that stands as a testament to timeless elegance and meticulous craftsmanship. The talk of the town is all about an experience that transcends mere grooming and at its epicentre is il-Mustaċċun.

Il-Mustaċċun is no ordinary barbershop; it is a sanctuary where the essence of traditional barbering is honoured and celebrated. Every detail, from the vintage green leather chairs to the glistening straight razors, speaks of a dedication to reviving an art that has stood the test of time. Here, clients do not just come for a haircut or a shave—they come to experience the art of traditional old-school barbering. This is the extraordinary story of il-Mustaċċun.","Cosmetology and Barber Schools","2-10 employees","Privately Held","Lija, Central","Malta","mustaccun.com","https://www.linkedin.com/company/mustaccun-barber"
,"Fiori",,"Cosmetology and Barber Schools","11-50 employees","Partnership",,,"fioriegy.com","https://www.linkedin.com/company/fioriegy"
,"Luxury Cosmetics Pty (Ltd)","We work closely with Brand Principals and Retail Partners to understand our customers’ needs and expectations.This enables us to offer solutions and value recommendations and ultimately deliver above market growth.
We value long-term relationships and customer satisfaction above any short-term gains and thus maintain a high-level of integrity in all our dealings.
COMPANY OBJECTIVES
In support of our objectives and vision, we prioritise the following in our business:
Representing the interest of our Brand Principals
Exceeding customer expectations
Retaining the best possible employees through continued growth and development
Maintaining profitability through continuity
COMPETITIVE ADVANTAGE
A passion for cosmetics, our significant industry knowledge, and understanding of branded cosmetics allow us to provide a dedicated platform to deliver strong and sustained growth.
Our uncompromising customer orientation and belief in the importance of continued staff development make it difficult for competitors to emulate the business.CHANNELS OF DISTRIBUTION
We have enjoyed strong, long-standing relationship with major retailers for over 20 years and continue to appreciate the loyalty of our Retail Partners.
Founded in 1985, the Payot Pty Ltd  (now Luxury Cosmetics) under the ownership of Marcelle Feenstra, launched Decleor and Smashbox in South Africa and grew the brands to their current position. Smashbox was bought internationally ,LC kept it for 2 years after the Estee Lauder Purchase Internationally.Payot  SA was initially a subsidiary of Prestige Cosmetics, created to distribute the Payot brand in South Africa. The company was awarded the distribution rights for Payot, Decleor and Carita in 2000.  In 2007, Marcelle Feenstra became the sole shareholder and the company’s name change was changed to “Luxury Cosmetics”.  
The company subsequently launched the Smashbox make-up brand, Maria Galland and more recently, the Comfort Zone, Skin Regimen, Stila and fragrance brands.","Cosmetology and Barber Schools","11-50 employees","Public Company","Pretoria, Gauteng","South Africa","luxurycosmetics.co.za","https://www.linkedin.com/company/luxury-cosmetics-pty-ltd"
,"Sistem Kozmetik","Established in 2007 by Sinan Kara, System Cosmetics was conceived with the purpose of channeling his extensive expertise in professional haircare and products into the industry in a methodical and ethical manner. The company witnessed substantial progress with the strategic inclusion of Sinan Aydın in 2010 and Hasan Aydın in 2013.

In 2012, System Cosmetics embarked on its trajectory as the Turkey distributor for internationally acclaimed brands, commencing with Paul Mitchell. In 2016, the company initiated efforts to cultivate its own brand, leveraging its accrued equity and experience.

Hush Academy serves as our premier training facility, boasting cutting-edge presentation and hairdressing equipment. Here, our business partners in the field of hairstyling undergo comprehensive training to enhance both their personal skills and business acumen. The Hush Academy is dedicated to the mission of cultivating proficient and skilled personnel for the hairstyling industry.

The Operation Center functions as the hub for the production, filling, and packaging operations of our proprietary brand, Hush. Additionally, it houses the warehouse facility responsible for the meticulous organization of shipments for all our brands.

Our Workshop is the locus for the fabrication of wooden and iron materials, as well as the production of stands for our diverse product range.","Cosmetology and Barber Schools","201-500 employees","Privately Held","İstanbul, Beykoz","Turkey","sistemkozmetik.com","https://www.linkedin.com/company/sistemkozmetik"
,"The American Hair Club","American Hair Club combines cutting-edge technology with contemporary European design to offer you the best hair loss treatments available.","Cosmetology and Barber Schools","11-50 employees","Public Company","Hyderabad, Telangana","India","americanhairclub.com","https://www.linkedin.com/company/the-american-hair-club"
,"POB Community","Empowering Africa’s next generation of leaders and creators—starting with the barbering and cosmetology industry in Nigeria. Founded by world-class barber Damola Adeoti, POB Community is more than a movement; it's a mission to influence business, leadership, and creative industries with excellence, ethics, and empowerment.

We build young entrepreneurs with professional skillsets, strong moral foundations, and the leadership to transform their craft into impactful ventures. Through hands-on training, mentorship, and value-driven events, we’re setting new standards across industries—one city, one talent at a time.

Join the movement. Shape the future.","Cosmetology and Barber Schools","2-10 employees","Non Profit","Lagos, Lagos State","Nigeria",,"https://www.linkedin.com/company/pob-community"
,"Zara Gul Makeup & Hair Studio","Beauty Salon
ZARA & MADIHA GUL
Makeup | Hair | Spa | Academy| Studio
Bridal Bookings:+92 306 8515102
Services:+92 323 8066887","Cosmetology and Barber Schools","11-50 employees","Privately Held","Lahore, Punjab","Pakistan",,"https://www.linkedin.com/company/zara-gul-makeup-hair-studio"
,"Acte Académie","Chez Acte Académie, notre équipe pédagogique, accompagnée de divers intervenants, (maquilleurs internationaux, photographes, marques..) a pour vocation de transmettre les outils professionnels, afin d’accéder au Monde du Maquillage de Mode et d’Entertainment,
tout en respectant la créativité et l'univers de chacun.

En 2022, Atelier du Griffon devient Acte Académie.","Cosmetology and Barber Schools","2-10 employees","Public Company","Lille","France","acte-academie.com","https://www.linkedin.com/company/acte-académie"
,"REA Academy","REA Academy
Accademia professionale Beauty & Make Up

Formazione professionale abilitata dalla Regione Lazio e dalla Regione Campania. 

Sito: www.reaacademy.com

Rilascia Diplomi di abilitazione lavorativa di II livello, validi in tutta Europa, per concorsi pubblici, aperture attività e insegnamento.
Ha la certificazione di qualità aziendale Europea ISO9001

Info e catalogo corsi completo su www.reaacademy.com","Cosmetology and Barber Schools","51-200 employees","Educational","Roma, Lazio","Italy","reaacademy.com","https://www.linkedin.com/company/reaacademymakeup"
,"IQ Nails - Middle East","Our company is proud to provide training for Manicurists and Pedicurists using the highest quality instruments in the world. We provide training, nail drill machines (desktop and portable), and the widest array of cosmetic drill bits in the Middle East. Salon Owners and Manicure/Pedicure professionals turn to us for the highest quality training and instruments in the world.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Riyadh","Saudi Arabia",,"https://www.linkedin.com/company/iq-nails-middle-east"
,"Perfect Looking","A Perfect Looking é uma rede de salões Unisex de referência nacional vocacionada em destacar/realçar a Essência Exclusiva da Beleza dos seus clientes. 

A Perfect Looking oferece os seguintes serviços: Barbearia e Corte, Lavagem & Massagem Capilar, Cuidados Faciais | Make Up, Tranças | Penteados | Proteses, Manicure | Pédicure, Pacotes Especiais para noivas, madrinhas e damas.","Cosmetology and Barber Schools","11-50 employees","Privately Held","Cidade De Maputo, Maputo","Mozambique","perfectlooking.org","https://www.linkedin.com/company/perfectlooking"
,"Mero Barber",,"Cosmetology and Barber Schools","2-10 employees","Privately Held",,,,"https://www.linkedin.com/company/mero-barber"
,"ECO-BELLEZAUG","We provide natural organic slime based body lotions, creams and moisturizing soap to treat Acne and nourishes the skin.

Eco-Belleza is a visionary initiative that envisions a world where beauty is synonymous with sustainability. Our project centers on creating and promoting natural, organic skincare solutions while fostering community empowerment and environmental well-being. At its core, Eco-Belleza seeks to redefine beauty practices, championing the use of unique, natural ingredients like snail slime and indigenous herbs.

Our vision goes beyond skincare; it embraces a holistic approach to beauty that uplifts local communities. We empower farmers through sustainable agriculture practices, provide entrepreneurial opportunities, and offer digital education on skincare and eco-conscious living through our Digital Learning Center.

As we cultivate beauty naturally, we aim to become a global leader in the sustainable beauty industry. Our commitment extends to the self-sustainability of our business, contributing positively to local economies, and inspiring a shift towards eco-friendly practices worldwide.

Eco-Belleza isn't just about skincare; it's a movement towards a more beautiful, sustainable, and interconnected world—one where beauty is not only skin deep but extends to the very heart of empowered communities and a healthier planet.","Cosmetology and Barber Schools","2-10 employees","Self Employed","kampala, mpigi","Uganda",,"https://www.linkedin.com/company/eco-bellezaug"
,"ROBERT COSMETICS BV","Established in Amsterdam in 2007, Robert Cosmetics BV remains the Netherlands owned and family operated company dedicated to the export, import and wholesale of beauty and cosmetics products.

Throughout our history, we have nurtured our relationships from the ground up, building solid supply chains and enabling the company to pioneer the way in which products are been exported.","Cosmetology and Barber Schools","11-50 employees","Public Company","Utrecht","Netherlands",,"https://www.linkedin.com/company/robertcosmetics"
