"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"EasyBank","Welcome to the realm of EasyBank, a trusted banking solution in the fintech world!
Our mission?
To provide our clients with easy access to different banking products and services, all at the best pricing.
Thanks to our innovative approach and cutting-edge technologies, we seamlessly foster connections between banks and individuals within the retail market.
We're taking on the challenge of expanding our expertise across borders. Our startup aspires to reinvent how you access banking services, no matter where you are.
EasyBank knows no bounds. With a unified vision, we're targeting the European, MENA and African markets.
Our goal is crystal clear: redefine your banking experience by offering groundbreaking solutions, accessible wherever you go.
Follow our page to stay informed about industry trends, financial advice, and investment opportunities. Get ready to embark on a fintech journey that reshapes your relationship with money.

#EasyBank #Fintech #FinancialInnovation #Connection #Startup","Credit Intermediation","2-10 employees","Privately Held","Tunisie","Tunisia","easybank.tn","https://www.linkedin.com/company/easybank-official"
,"Deutaloi Innovations","""Deutaloi"" empowers people.
We aim to bring the biggest revolution in Indian Debt Recovery Industry through systematic technology adoption and corporation. We are on a hunt, a hunt of a dream, a dream of the future.","Credit Intermediation","2-10 employees","Privately Held","Guwahati, Assam","India","emvizon.com","https://www.linkedin.com/company/deutaloi"
,"mon-crédit-à-crédit.com","mon-crédit-à-crédit.com, réseau national IOBSP spécialisé en regroupement de crédits, prêt consommation et crédit immobilier ! 

Sans cotisation ni droit d'entrée, vous bénéficiez de tous les outils et d'un analyste dédié à vos dossiers.

Bénéficiez d'un accès à toutes les banques et aux produits : Prêt immobilier, financement SCPI, rachat de crédits sans garantie, rachat de crédits avec garantie, trésorerie hypothécaire, financement de travaux, de soulte ou de succession...

Favorisez votre activité en bénéficiant de tous les avantages du réseau en préservant votre indépendance !","Credit Intermediation","2-10 employees","Privately Held","Cournonsec, Occitanie","France","mon-credit-a-credit.com","https://www.linkedin.com/company/mon-credit-a-credit-com"
,"NF Núcleo Financeiro","A NF Núcleo Financeiro é um ecossistema completo de soluções financeiras com tecnologia no centro da estratégia. Nascemos como NF Securitizadora, mas evoluímos para atender empresas com agilidade, inovação e visão de futuro. Hoje, unimos inteligência financeira com tecnologia robusta para transformar propósito em resultado.

Mais do que uma empresa de crédito, somos um núcleo de possibilidades. Atuamos com estruturação de operações financeiras personalizadas, acesso a crédito, investimentos, antecipação de recebíveis, conta digital com aplicativo, soluções para fomento comercial, consignado, entre outros serviços pensados para impulsionar o crescimento de quem empreende.

Seguimos com propósito, simplicidade e entrega. Acreditamos que tudo é para ontem e que o resultado vem de quem faz com atitude, clareza e verdade.

Nosso mundo agora é verde: fértil, ágil e tecnológico.
E o nosso centro é sempre o mesmo: o seu crescimento.","Credit Intermediation","2-10 employees","Privately Held","São Paulo, São Paulo","Brazil","nfnucleofinanceiro.com.br","https://www.linkedin.com/company/nfnucleofinanceiro"
,"Integra Finance","Grazie all'esperienza e alla solidità professionale dei propri soci e manager, Integra Finance ambisce a diventare il nuovo punto di riferimento nel settore della mediazione creditizia in Italia.

Integra Finance Mediazione Creditizia S.r.l., Società di mediazione creditizia con iscrizione OAM n° M118.

Iscrizione all’elenco tenuto dall'Organismo degli Agenti e dei Mediatori n. M118.","Credit Intermediation","51-200 employees","Privately Held","Villanova d'Albenga, Savona","Italy","integra-finance.com","https://www.linkedin.com/company/integrafinance"
,"MyCar","Intermediação no comércio de Viaturas
Despachos Aduaneiros
Consultorias","Credit Intermediation","2-10 employees","Privately Held","Maputo","Mozambique","mycar.co.mz","https://www.linkedin.com/company/mintizu-yinene-consulting-services-lda"
,"Homefin","A Homefin é uma intermediadora de crédito imobiliário. Seja nosso parceiro.","Credit Intermediation","11-50 employees","Privately Held","São Paulo, São Paulo","Brazil","homefin.com.br","https://www.linkedin.com/company/homefin"
,"Boss Precatórios","A Boss Precatórios é uma empresa intermediadora especialista em precatórios, oferecendo soluções ágeis e eficientes para seus clientes. Contamos com uma equipe de consultores experts, altamente capacitados para assessorar em todo o processo. Trabalhamos em parceria com uma lista de fundos renomados, proporcionando segurança e confiança em cada negociação. 
Nossa missão é garantir o melhor resultado para nossos clientes, tornando o recebimento de precatórios uma experiência descomplicada e bem-sucedida.","Credit Intermediation","11-50 employees","Partnership","São Paulo, SP","Brazil",,"https://www.linkedin.com/company/boss-precatórios"
,"Twój Kawałek Podłogi","Witajcie!
Nazywamy się Angelika Popowicz i Monika Małek i wraz z naszym zespołem każdego dnia spełniamy marzenia.  
 
Od 2013 roku związane jesteśmy z branżą finansową i rynkiem nieruchomości a od 2.03.2018 roku tworzymy firmę TWÓJ KAWAŁEK PODŁOGI.

Zajmujemy się pozyskiwaniem kredytów hipotecznych, które przeznaczyć można na:
 Zakup mieszkania, domu, działki 
 Budowę domu oraz jego wykończenie 
 Remont posiadanej już nieruchomości 
 Dokończenie rozpoczętej budowy domu
W naszej ofercie znajdziecie również pożyczkę hipoteczną, kredyt gotówkowy oraz refinansowanie i konsolidację kredytów.

Do każdego klienta podchodzimy indywidualnie i każdy przypadek traktujemy z pełnym zaangażowaniem. W jasny sposób przedstawiamy wszystkie koszty dotyczące kredytu, przygotowujemy do złożenia wniosku, a następnie wspieramy klientów na każdym etapie procesu kredytowego.

Stawiamy na relacje, na otwartość a także na szacunek do ludzi, ponieważ wierzymy, że skuteczna komunikacja jest kluczem do sukcesu.

DZIAŁAMY NA TERENIE CAŁEJ POLSKI.
Dojeżdżamy wszędzie i o każdej porze i działamy taaak... aby każdy klient po skorzystaniu z naszych usług mógł cieszyć się swoim wymarzonym kawałkiem podłogi.

Jeżeli zatem:
 Zamierzasz kupić, wybudować lub wyremontować nieruchomość, ale nie masz na to pieniędzy...
 Myślisz nad zakupem nieruchomości pod inwestycje, ale nie chcesz przeznaczać na to własnych środków...
 Posiadasz już kredyt hipoteczny, ale nie jesteś zadowolony z jego warunków...
 Masz kilka kredytów, a chciałbyś płacić jedną, bardziej korzystną ratę...
 Planujesz sprzedać nieruchomość, ale spłacasz jeszcze pozyskany na nią kredyt...
Odezwij się do nas! Pomożemy.

Zapraszamy do kontaktu,
Twój Kawałek Podłogi ","Credit Intermediation","2-10 employees","Self Owned","Polska","Poland","twojkawalekpodlogi.com.pl","https://www.linkedin.com/company/twoj-kawalek-podlogi"
,"Euroansa Hub","Quattro uffici, decine di professionisti, importanti convenzioni con istituti di credito e banche: in Euroansa Hub trovi solo consulenti creditizi certificati e altamente specializzati, che ti supportano attivamente in ogni fase della richiesta di un mutuo, individuando per te gli strumenti di finanziamento più adeguati a rispondere alle tue necessità o realizzare i tuoi desideri.","Credit Intermediation","11-50 employees","Partnership","Rome, Latium","Italy","euroansahub.it","https://www.linkedin.com/company/euroansa-hub"
