"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"TONICORP","Tonicorp es una empresa de Arca Continental y The Coca Cola Company conformada por Toni, Topsy, Plásticos Ecuatorianos y Dipor. Comprometida con el desarrollo integral de sus colaboradores y su cadena de valor.","Dairy","1,001-5,000 employees","Privately Held","Guayaquil, Guayas","Ecuador","tonicorp.com","https://www.linkedin.com/company/tonicorp"
,"Alpura","Grupo alpura es una empresa líder en el mercado de lácteos en México, fundada en 1972 por ganaderos con el compromiso de entregar la mejor leche fresca con calidad desde el origen. Actualmente, emplea a más de 17 mil colaboradores. En 2019, el catálogo alpura se conforma por más de 100 productos, entre los que se encuentran leches frescas, leches especializadas, la línea de yoghurt batIdo y bebible, cremas, leche evaporada, quesos, mantequilla, teniendo como objetivo satisfacer las necesidades de los consumidores con productos de alta calidad, que brinden la mejor nutrición y confianza. 
Alpura es la única empresa de lácteos en México certificada por la agencia gubernamental de Estados Unidos The Food and Drug Administration (FDA) gracias a los altos estándares de calidad internacional de sus productos. 
Para más información visite http://alpura.com | Facebook: @alpuraoficial | Twitter: @alpuraoficial | Youtube: Alpura Oficial","Dairy","5,001-10,000 employees","Self Owned","México, Estado de México","Mexico","alpura.com","https://www.linkedin.com/company/alpura"
,"PIL Andina S.A.","Pil Andina S.A. es la empresa del Grupo Gloria líder en alimentos en Bolivia. La central administrativa se encuentra ubicada en Cochabamba y cuenta con tres plantas industriales en la Paz, Cochabamba y Santa Cruz de la Sierra.

Actualmente fabrica y comercializa: leche pasteurizada, leche larga vida UHT, leche entera en polvo, yogurt, quesos, mantequilla, crema de leche, jugos y otros productos, bajo las marcas Pil, Bonlé, Pura Vida, Aruba y otras. Utiliza en la fabricación la mejor calidad de leche de las cuencas aledañas a las plantas.","Dairy","1,001-5,000 employees","Privately Held","Bolivia","Bolivia","pilandina.com.bo","https://www.linkedin.com/company/pil-bolivia"
,"Betânia Lácteos","Nossa história se mistura com a de tantas famílias do Nordeste. 
O dia começa bem cedo, porque sabemos que há muito o que fazer. Na fazenda, a origem: o leite fresco, tirado, armazenado e preparado por mãos experientes de quem tem fé no trabalho. Famílias inteiras que fazem dessa produção seu sustento, sua morada, sua vida.
Do outro lado, o destino: o produto pronto, de qualidade, para quem valoriza sua origem. Famílias inteiras que apreciam leite de qualidade que dá força para suas rotinas e para todo o ecossistema de produção.
Em comum, a coragem de encarar mais um dia, o amor de pessoas que colocam suas famílias em primeiro lugar e a força para começar sempre tudo de novo.
Isso é o que alimenta, diariamente, nossos sonhos – que são do tamanho do horizonte. Cada um do seu jeito, vivemos cada dia para reforçar a confiança que é reconhecida por todas as famílias. Confiança de mãe.
Betânia Lácteos. Coragem que vem do leite.","Dairy","1,001-5,000 employees","Privately Held","Fortaleza, Ceará","Brazil","betanialacteos.com.br","https://www.linkedin.com/company/leitebetania"
,"SanCor","SanCor es una cooperativa de productores lecheros argentinos que industrializa y comercializa productos lácteos que proveen nutrición y salud.
Es históricamente la principal exportadora de productos lácteos de Argentina.
Sus principales líneas de productos son leches infantiles, quesos, dulce de leche, manteca, crema, yogures, flanes, postres, leche en polvo y leches especiales.","Dairy","1,001-5,000 employees","Privately Held","Sunchales, Santa Fe","Argentina","sancor.com","https://www.linkedin.com/company/sancor"
,"Hatsun Agro Product Ltd","Hatsun Agro Product Limited has been committed to enriching the lives of customers by providing a range of high-quality dairy products. HAP manufactures and markets products that cater to both cooking and consumption, like milk, curd, ice creams, dairy whitener, skimmed milk powder, ghee, paneer and lots more. Our brands have become household names in over one million Indian houses. Arun Icecreams, Arokya Milk, Hatsun Curd, Hatsun Paneer, Hatsun Ghee, Hatsun Dairy Whitener, Ibaco and have become popular choices across the country. The Company exports its dairy ingredients to 38 countries in the American, Middle East and South East Asian Markets. The Company offers dairy extension services to farmers for the development and productivity of livestock. Our key focus is on delivering quality, and to that end, we have a technically advanced system that works in accordance with a time-tested business processes across our 16 plants.","Dairy","5,001-10,000 employees","Public Company","Chennai, Tamil Nadu","India","hap.in","https://www.linkedin.com/company/hatsun-agro-product-ltd"
,"IGLOO Pakistan","Pakistan Dairy Products (Pvt.) Ltd “IGLOO” is among the pioneer frozen product manufacturers of Pakistan. The factory is located in the industrial zone of Karachi fully equipped with state of the art machinery. Working for more than 4 decades i.e. since 1974 IGLOO is serving the nation with unmatched range of ice lolly & many other frozen products. 

Having a distribution network that covers the whole of south region which includes Sindh and Balochistan, IGLOO distribute its products to retail outlets, hotels, restaurants, schools, colleges, cafeteria, catering services and other institutions. 

The ingredients selected for manufacturing are the finest from all around the globe. Under the brand name IGLOO, major segments of frozen products catered are: Bulk packs, impulse & Family packs. There are 30 different ice cream brands covering all age and income groups, while “King Cone” being the flag ship brand among them.","Dairy","51-200 employees","Privately Held","Karachi, Sindh","Pakistan","igloofun.com","https://www.linkedin.com/company/igloo-ice-cream---pakistan-dairy-products-pvt-ltd-"
,"Ipanema Queijos","Em 1982, a Queijos Ipanema foi fundada por uma tradicional família de laticinistas, que empregaram todo seu conhecimento e dedicação para criar queijos saborosos e de alta qualidade. Foi baseada nos princípios de respeito, tecnologia e inovação que a empresa se consolidou no mercado e há mais de três décadas oferece os melhores produtos para todos os perfis de consumidores e negócios. 

Por conseguinte, somos reconhecidos por aliar rígidos controles de qualidade, que começam na escolha das melhores matérias-primas, ao relacionamento transparente com clientes e consumidores. Nosso diferencial passa ainda por um sistemático aperfeiçoamento logístico e de processos, através do Centro de Distribuição em São Paulo e unidades produtoras em regiões estratégicas: São Paulo, Goiás e Mato Grosso.

Mas além de tudo isso, nosso maior motivo de orgulho é fazer parte da mesa de milhares de famílias brasileiras e valorizar os profissionais que nos ajudam a cumprir essa missão.","Dairy","201-500 employees","Privately Held","São Paulo, São Paulo","Brazil","ipanemaqueijos.com.br","https://www.linkedin.com/company/ipanemaqueijos"
,"Lactiangol - Lacticínios de Angola, S.A.","Como a primeira empresa láctea em Angola a produzir à escala industrial, a Lactiangol assumiu desde a sua fundação um papel essencial, garantindo aos Angolanos os melhores produtos lácteos Todos os nossos produtos são feitos com amor, em Luanda, e enviados para todo o país.

Somos uma empresa com mais de cento e cinquenta profissionais e colocamos amor no que fazemos. Trabalhamos em conjunto com clientes e distribuidores para concretizar a nossa visão de liderar a indústria de lacticínios no país, enquanto fortalecemos o sector lácteo de Angola no sentido de alcançar a auto-suficiência na produção de leite.

Estamos empenhados em liderar através da inovação, do fornecimento de alimentos nutritivos e essenciais e da promoção de uma vida saudável.

A Lactiangol também abraça todas as oportunidades de retribuir às nossas comunidades e contribuir para o bem-estar dos Angolanos e da nossa nação.","Dairy","51-200 employees","Partnership","Luanda, Luanda","Angola","lactiangol.co.ao","https://www.linkedin.com/company/lactiangol"
,"Yakult S/A Industria e Comercio",,"Dairy",,,,,"yakult.com.br","https://www.linkedin.com/company/yakult-s-a-industria-e-comercio"
