"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Jaheziya","Jaheziya is a leading provider of emergency services, specialised training, and strategic consultancy based in the United Arab Emirates. Serving a wide range of sectors including government, defence, critical infrastructure, aviation, and energy, Jaheziya supports organisations in building operational resilience and emergency preparedness. With a strong reputation for professionalism, compliance, and performance under pressure, Jaheziya plays a vital role in enhancing national and regional readiness for high-risk environments.

Through internationally accredited training programs aligned with NFPA, ISO, NCEMA, and OPITO standards, Jaheziya equips individuals and teams with the practical skills and knowledge needed to manage complex emergencies. Our training portfolio includes fire and rescue operations, HSE, Crisis management, offshore emergency response, and more - delivered by seasoned professionals with real-world experience. Whether onshore or offshore, Jaheziya ensures personnel are not only certified but truly capable. 

Beyond training, Jaheziya provides expert consultancy services that help organisations identify risk, strengthen response strategies, and achieve full regulatory compliance. Their tailored solutions cover emergency planning, business continuity, risk assessments, and SOP/SOG development - built on a deep understanding of both local frameworks and global best practices. Jaheziya is the trusted partner for any organisation looking to protect people, secure operations, and build a culture of preparedness.","Emergency and Relief Services","51-200 employees","Privately Held","Abu Dhabi","United Arab Emirates","jaheziya.ae","https://www.linkedin.com/company/jaheziya"
,"Air Zermatt AG","Die Walliser Air Zermatt wurde 1968 gegründet, um die Flugrettung in der Region sicherzustellen. Sie ist eine Pionierin der alpinen Luftrettung und hat neue, internationale Standards gesetzt. In den USA – dem Entstehungsland der modernen Luftfahrt – wurde die Air Zermatt dreimal mit der höchsten fliegerischen Auszeichnung, dem «Heroism Award», ausgezeichnet. Der erste Helikopter war eine Agusta-Bell 206A Jet-Ranger. Im Jahre 1969 folgte eine SA 316 Alouette III, die – als Novum in der Schweiz - mit einer Rettungswinde ausgerüstet war. Die Air Zermatt hat als Pionierin 
Zeichen gesetzt: 1971 erfolgte die Rettung von 70 Personen aus einer Luftseilbahnkabine, die 240m über Grund stecken geblieben war. Aus dem gleichen Jahr stammt die Direktrettung in der berüchtigten Eigernordwand mit einer SA 315 B Lama sowie die erste Nachtrettung. 1973 wurden in Zermatt erstmals auf einer Rettungsbasis Ärzte fest angestellt.
Der Rettungsdienst der Air Zermatt fliegt pro Jahr rund 2000 Helikopter-Rettungseinsätze und führt ungefähr 900 Ambulanzeinsätze aus. Im kommerziellen Bereich bietet das Unternehmen unterschiedlichste Dienstleistungen an: u.a. Transporte, Film-, Montage- und Personenflüge. Seit der Gründung wurden total über 50'000 Rettungen durchgeführt und ebenfalls auf 50'000 beläuft sich die Zahl der jährlichen Transportflüge mit Unterlasten.
Die Flotte umfasst 11 Helikopter (2 Bell 429, 2 EC 135 (von Air-Glaciers operiert), 1 H 130 T2 und 6 H 125 B3 Écureuils). Seit 2020 sind die Air Zermatt und Air-Glaciers unter dem gleichen Dach. Die Unterwalliser Air-Glaciers ist weiterhin als selbständiges Unternehmen und mit eigenem Brand tätig und betreibt Basen in Sion, Collombey, Saanen und Lauterbrunnen.
Die Air Zermatt ist ein relevanter Arbeitgeber im Kanton Wallis. Das Unternehmen beschäftigt auf den drei Basen in Gampel, Raron und Zermatt sowie auf dem Flugplatz in Sion gesamthaft rund 95 festangestellte Mitarbeitende und eine grosse Anzahl Freelancer.","Emergency and Relief Services","51-200 employees","Public Company","Zermatt, Valais","Switzerland","air-zermatt.ch","https://www.linkedin.com/company/air-zermatt-ag"
,"EV FireSafe","EV FireSafe enhances safety for emergency responders attending electric vehicle fires through an online hub that provides EV sector data, global case studies, best practice information & ongoing knowledge sharing.

Volunteer emergency brigades can download a free information pack, & you can report an EV traction battery fire or ask us a question at evfiresafe.com","Emergency and Relief Services","2-10 employees","Privately Held","Melbourne","Australia","evfiresafe.com","https://www.linkedin.com/company/ev-firesafe"
,"Cruz Roja Salvadoreña","Somos los representantes del Movimiento Internacional de la Cruz Roja en El Salvador, contribuyendo a prevenir y aliviar el sufrimiento humano; en cumplimiento a nuestro rol auxiliar de los poderes públicos en ámbitos humanitarios; a través de nuestros miembros, apegados a los principios fundamentales del Movimiento","Emergency and Relief Services","201-500 employees","Self Employed","San Salvador, San Salvador","El Salvador","cruzrojasal.org.sv","https://www.linkedin.com/company/cruz-roja-salvadoreña"
,"South Western Ambulance Service NHS Foundation Trust","South Western Ambulance Service NHS Foundation Trust (SWASFT) provides emergency and urgent care for the counties of Cornwall and the Isles of Scilly, Devon, Dorset, Somerset, Wiltshire, Gloucestershire and the former Avon area (Bristol, Bath, North and North East Somerset and South Gloucestershire).

The Trust is a high-quality, effective and efficient NHS organisation and the primary provider of 999 ambulance services across its operational area.","Emergency and Relief Services","5,001-10,000 employees","Public Company","Exeter","United Kingdom","swast.nhs.uk","https://www.linkedin.com/company/south-western-ambulance-service-nhs-foundation-trust"
,"JESIP","A page for organisations, professionals and volunteers working in emergency response, and anyone interested in JESIP and better interoperability at multi-agency incidents, where we will share news, updates and information from the JESIP Team and our partners","Emergency and Relief Services","2-10 employees","Government Agency","Welwyn Garden City, Hertfordshire","United Kingdom","jesip.org.uk","https://www.linkedin.com/company/jesipteam"
,"Hampshire and Isle of Wight Air Ambulance","Hampshire and Isle of Wight Air Ambulance are a charity and have been responding to emergencies across the south since 2007. Our Critical Care Teams of doctors, specialist paramedics and pilots can be anywhere in Hampshire in 15 minutes and anywhere on the Isle of Wight in 20 minutes.","Emergency and Relief Services","51-200 employees","Non Profit","Southampton, Hampshire","United States","hiowaa.org","https://www.linkedin.com/company/hiowaa"
,"Marine Spill Response Corporation","The Marine Spill Response Corporation is the largest dedicated oil spill and emergency response organization in the United States.

The Marine Spill Response Corporation (MSRC) is an independent, not-for-profit, U.S. Coast Guard Classified Oil Spill Removal Organization (OSRO). MSRC was formed in 1990 to offer oil spill response services and mitigate damage to the environment.","Emergency and Relief Services","201-500 employees","Non Profit","Herndon, Virginia","United States","msrc.org","https://www.linkedin.com/company/marine-spill-response-corporation"
,"URG Urgencias","Con el respaldo del Grupo OSDE y una trayectoria de más de 50 años en el sector de la salud, en URG Urgencias nos dedicamos, desde 1996, a brindar atención médica inmediata con compromiso, calidez humana y tecnología.
 A lo largo del tiempo, desarrollamos diferentes planes médicos integrales que ofrecen mucho más que un servicio de emergencias y urgencias:
 Atención en consultorios con profesionales de distintas especialidades, sin costo adicional
 Aranceles preferenciales en psicología, fisioterapia, odontología y estudios complementarios
 Cobertura en farmacias y ópticas
  Servicio de emergencias y urgencias  con unidades móviles equipadas
 Nuestro más reciente lanzamiento es URG Conecta, un plan especialmente diseñado para adultos mayores.
 Una propuesta que brinda tranquilidad y protección con botón S.O.S, alerta de caídas y asistencia personalizada, promoviendo su independencia y bienestar.
 En URG, nos impulsa el compromiso con la comunidad. Cuidamos a cada persona como lo haríamos con alguien de nuestra propia familia, brindando respuestas reales en los momentos en que más se necesita acompañamiento, contención y tranquilidad.
 Estar cerca. Responder a tiempo. Hacer la diferencia. Eso es URG Urgencias.","Emergency and Relief Services","501-1,000 employees","Self Owned","Córdoba, Córdoba","Argentina","urg.com.ar","https://www.linkedin.com/company/urgurgencias"
,"Medi Response","At Medi Response, we specialise in providing comprehensive site-based medical services to businesses operating in remote locations or high-risk industries. Our value proposition includes a range of services that are designed to ensure the safety and wellbeing of your workforce, as well as the efficient operation of your business.","Emergency and Relief Services","201-500 employees","Privately Held","Johannesburg, Gauteng","South Africa","mediresponse.co.za","https://www.linkedin.com/company/medi-response"
