"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Climate Change Writers","Climate Change Writers is a sub-entity of the TeraShift Sustainability Initiative.

Climate Change Writers wants to reach the world. We are writers from all over the planet and our goal is to create awareness about the impact climate change is having on our lives; in ways that leave no details out.

We believe that only by doing this can we set things straight and prepare to utilize our planet's resources in ways that are sustainable and efficient.","Environmental Quality Programs","2-10 employees","Non Profit","Abuja","Nigeria","climatechangewriters.com","https://www.linkedin.com/company/climate-change-writers"
,"MCS","With energy costs constantly rising and climate change affecting us all – low-carbon technology has a bigger and bigger role to play in the future of UK energy.

We’re here to ensure it’s a positive one.

Working with industry we define, maintain and improve quality – certifying products and installers so people can have confidence in the low-carbon technology they invest in. From solar and wind, to heat pumps, biomass and battery storage, we want to inspire a new generation of home-grown energy, fit for the needs of every UK home and community.","Environmental Quality Programs","51-200 employees","Public Company","Warrington, Cheshire","United Kingdom","mcscertified.com","https://www.linkedin.com/company/mcs-certified"
,"PIF 2 | Projet d'Investissement Forestier Côte d’Ivoire - phase 2","Le Projet d’Investissement Forestier - phase 2 (PIF 2) est un projet du Gouvernement Ivoirien conduit par le Ministère des Eaux et Forêts et financé par la Banque mondiale. Entré en vigueur en 2022 pour une durée de 7 ans, il a pour objectif de conserver et augmenter le stock forestier, et d'améliorer l'accès aux sources de revenus issus de la gestion durable des forêts dans ses zones d’intervention. 

Pour ce faire, le PIF 2 est structuré en 5 composantes pour apporter un appui à : l’élaboration des Plans d’Aménagement Participatifs (PAPF) des Forêts Classées (FC) (1), la mise en œuvre des Plans d’Aménagement Participatifs des FC C3 (2) ; la gestion durable des Parcs Nationaux et Réserves Naturelles (3) ; la mise en œuvre des Plans d’Aménagement Participatifs des FC C4 de la zone de savane (4). Le projet assure également l’administration, la coordination et les aspects de sauvegardes (5).","Environmental Quality Programs","11-50 employees","Government Agency","Abidjan","Ivory Coast",,"https://www.linkedin.com/company/projet-d-investissement-forestier-ci-phase-2"
,"YTG","Ytg is a social enterprise aiming at fostering sustainable development among local communities, through executing hands-on educational, matchmaking, and empowerment programs. youthinkgreen aims at scaling up Sustainability innovations with support and guidance from private and public key players. We offer an impact-based holistic experience for our partners and beneficiaries adding value to their sustainability footprints, commitments, and performances.   
Vision 
Youthinkgreen Egypt aims at being the pioneering youth-led organization fostering sustainable development in Egypt and the MENA region.
Mission
Educate and Empower local and regional communities to lead sustainable transformation, by promoting a catalyzing collaborative ecosystem.","Environmental Quality Programs","11-50 employees","Educational","Cairo, Cairo","Egypt","ytg.eco","https://www.linkedin.com/company/ytgeco"
,"PROMOGED Sénégal","Le Projet de Promotion de la Gestion intégrée et de l’Économie des Déchets Solides au Sénégal (PROMOGED) s’inscrit dans la phase 2 du Programme National de Gestion de Déchets (PNGD), avec l’appui de la Banque mondiale, Agence Française de Développement, la Banque Européenne d'Investissement et de l’Agence Espagnol pour la Coopération Internationale au Développement (AECID)","Environmental Quality Programs","11-50 employees","Government Agency","Dakar, Dakar","Senegal","promoged.sn","https://www.linkedin.com/company/promoged-senegal"
,"YTG","Youthinkgreen Egypt is a social enterprise aiming at fostering sustainable development among local communities, through executing hands-on educational, matchmaking, and empowerment programs. youthinkgreen aims at scaling up Sustainability innovations with support and guidance from private and public key players. We offer an impact-based holistic experience for our partners and beneficiaries adding value to their sustainability footprints, commitments, and performances.   
Vision 
Youthinkgreen Egypt aims at being the pioneering youth-led organization fostering sustainable development in Egypt and the MENA region.
Mission
Educate and Empower local and regional communities to lead sustainable transformation, by promoting a catalyzing collaborative ecosystem.","Environmental Quality Programs","11-50 employees","Educational","Cairo, Cairo","Egypt","ytg.eco","https://www.linkedin.com/company/ytgeg"
,"ARPA LAZIO","ARPA Lazio svolge attività tecnico-scientifica nell'ambito della protezione ambientale a supporto dell'azione amministrativa di Regione, Province, Comuni.
L'ARPA Lazio opera su tutto il territorio della Regione Lazio ed è presente in ogni provincia con una struttura tecnica ed uno sportello ambientale a servizio dei cittadini.","Environmental Quality Programs","201-500 employees","Government Agency","Rieti","Italy","arpalazio.it","https://www.linkedin.com/company/arpa-lazio"
,"Groupe National de Surveillance des Arbres","Preserve, Inform, Raise awareness, Alert, Act for the preservation of our city trees and forests","Environmental Quality Programs","2-10 employees","Non Profit","L'HAY-LES-ROSES","France","gnsafrance.org","https://www.linkedin.com/company/groupe-national-de-surveillance-des-arbres"
,"International Student Environmental Coalition-Chad","International Student Environmental Coalition - Chad is a chapter of a global movement of young environmental advocates working to advance the skills, strengths and power of students and students to forcefully move the world in a more just, more inclusive direction and more durable.

Our mission is to give young leaders the means, the tools and the key to fight against climate change and environmental challenges as a conscious and acting generation.

Our vision is to build a bridge between the actions our community needs today and a green future free from climate change, desertification, plastic waste and fossil fuels where young people can dream bigger and invest fully in achieving the United Nations SDGs by 2030 and updating the African Union's 2063 agenda.

Young people have the power to solve the challenges we face in our community. They are not only the actors of the future, but also the leaders of today, yet they are ignored. We work to activate their leadership so that they can lead the resolution of these challenges to defend their hopes.

Our Approaches

Education
We make environmental education for all, our workhorse and the early awareness of future generations, our aim to put young people in the capacity to understand the issues of environmental protection from the ground up.

Leadership
We identify junior leaders, we elevate them and amplify their voice, equipping them with the right tools and mindset to awaken their genius for creativity and green influence helping their schools and communities solve the most environmental challenges.

Innovation
We continually strive to seek to develop new solutions, visions and methods to better solve the problems of our community, for this we think creatively and innovatively.

Impact
We aim for meaningful impact on a personal and collective level that can be measurable and tangible that can be seen, felt and touched at all levels of our community and beyond.","Environmental Quality Programs","51-200 employees","Non Profit","Ndjamena, Chari Baguirmi","Chad","isecoalition.org","https://www.linkedin.com/company/international-student-environnemental-coalition-chad"
,"Go Forest","Forests slow down climate change and are the most important reservoir of biodiversity. Unfortunately, deforestation weighs heavily on our planet. That’s why Go Forest offers accessible and transparent solutions to plant trees with impact. Let’s plan(t) a greener future together. Not only for us, but also for our future generations. 

www.goforest.be","Environmental Quality Programs","2-10 employees","Privately Held","Brussel","Belgium","goforest.be","https://www.linkedin.com/company/go-forest"
,"ATMO Grand Est","Association Agréée de Surveillance de la Qualité de l'Air dans la Région Grand Est.
Organisme agréé par le ministère en charge de l'environnement pour la surveillance et l’évaluation de la qualité de l’air.

Missions : Mesurer, Evaluer, Sensibiliser à la qualité de l'air dans la Région Grand Est.","Environmental Quality Programs","51-200 employees","Non Profit","Schiltigheim","France","atmo-grandest.eu","https://www.linkedin.com/company/atmograndest"
,"Green Earth Resilience Foundation","Green Earth Resilience Foundation is a forward-thinking organization committed to a sustainable world. Led by passionate youth leaders, we champion the fight against climate change, environmental degradation, and deforestation while raising public awareness. Our mission extends to actively supporting the United Nations Development Programme's Sustainable Development Goal 13 (SDG-13).

Central to our mission is engaging the younger generation. We recognize that the future of our planet lies in their hands, and we are dedicated to educating, empowering, and inspiring school and college students. Our goal is to nurture responsibility and environmental consciousness among the youth to ensure a brighter and more sustainable tomorrow.

Our initiatives encompass a wide range of activities, from impactful tree-planting campaigns aiding afforestation efforts to educational programs addressing the complex challenges posed by climate change. We firmly believe that knowledge is the catalyst for transformation, and by equipping young people with the tools to understand and combat these challenges, we are building a formidable force for change.

At the core of Green Earth Resilience Foundation's vision is our motto, ""Together for a better tomorrow."" It reflects our belief that by uniting individuals and communities in the battle against environmental crises, we can collectively make a substantial impact. Our dedication, fueled by a sense of urgency and profound love for the planet, inspires hope and instills a sense of responsibility in all those who encounter our work.

In a world where the consequences of climate change are increasingly evident, Green Earth Resilience Foundation stands as a guiding light. Our unwavering commitment to forging a sustainable future, coupled with our unwavering focus on empowering youth, transcends being merely an organization – we are a transformative movement dedicated to ushering in positive change for our beloved planet. Together with the next","Environmental Quality Programs","11-50 employees","Non Profit","Dhaka","Bangladesh",,"https://www.linkedin.com/company/green-earth-resilience-foundation"
,"ECO Platform AISBL","ECO Platform is an International Non-Profit Association established by European EPD Programme Operators as well as supporting members from Manufacturers and Associations in the Construction Sector, Green Building or other Sustainability Initiatives, LCA Practitioners and Tool Providers.

The Mission of ECO Platform is to promote and to contribute to the sustainable development, including a low-carbon economy and resource efficiency in the construction sector, by coordinating the development and provision of credible and scientifically correct data from products.","Environmental Quality Programs","2-10 employees","Non Profit","Brussels, Brussels Region","Belgium","eco-platform.org","https://www.linkedin.com/company/eco-platform-aisbl"
,"Earthfolk","Earthfolk is a community of conscious consumers, united in making better choices for a sustainable future. Live life with less impact.

What to expect...

Good Folks: 
Insights and interviews with brands pushing sustainability boundaries.

Good Guides: 
Tips and tricks for incorporating sustainability into your every day.

Good News: 
The latest stories of positive impact for the environment.

Good Stuff: 
Handpicked items from brands with sustainability at the core of their brand DNA.","Environmental Quality Programs","2-10 employees","Privately Held","London, England","United Kingdom","earthfolk.com","https://www.linkedin.com/company/earthfolk"
