"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Tata Group","Founded by Jamsetji Tata in 1868, the Tata group is a global enterprise headquartered in India. The group operates in more than 100 countries across six continents with a mission 'To improve the quality of life of the communities we serve globally, through long-term stakeholder value creation based on Leadership with Trust'.

Sixty-six per cent of the equity of Tata Sons, the promoter holding company, is held by philanthropic trusts, thereby returning wealth to society. The Tata name has been respected in India for 150 years for its adherence to strong values and business ethics.

The companies of the Tata group employ the best and finest, strengthened by a culture of ethics and integrity. Today we stand strong at 702,454 employees.","Executive Offices","10,001+ employees","Privately Held","Mumbai, Maharashtra","India","tata.com","https://www.linkedin.com/company/tata-group"
,"Larsen & Toubro","Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. 

A strong, customer-focused approach and the constant quest for top-class quality have enabled L&T to attain and sustain leadership in its major lines of business for over eight decades.

Corporate Sustainability:
L&T was the first company in India in the engineering & construction space to publicly disclose its sustainability performance.  

Our Integrated Report, which tracks the sustainability performance of the organisation and its inter-connectedness with the financial performance, showcases how L&T is adding value to its stakeholders.

Our technological capabilities enable us to reach various nodes and build a network spanning products, processes, employees, environment and community. This enables a more holistic consideration of actions, outcomes and impact, which in turn accelerates and amplifies returns across all capitals - Financial, Natural, Human, Manufacturing, Intellectual and Social & Relationship.","Executive Offices","10,001+ employees","Public Company","Mumbai, Maharashtra","India","larsentoubro.com","https://www.linkedin.com/company/larsen-&-toubro-limited"
,"Aditya Birla Group","With a rich legacy spanning over 165 years,  Aditya Birla Group is a story of enriching lives, pioneering change, and leaving an indelible mark globally. 

Our success aligns with our philosophy of being A Force for Good. 

Operating in over 41 countries, we’re a powerhouse of innovation and customer-centricity. Our businesses have flourished into global leaders in key industries such as aluminium rolling, viscose staple fibre, carbon black, cement, financial services, fashion, hospitality, jewellery, entertainment and more.

Today, we are a US$ 65Bn global conglomerate with a market cap of over US$ 100Bn*. 

Some of our recent achievements:

Our journey of expansion continues with significant milestones achieved in 2024. We have ventured into branded retail jewellery with Indriya.
Our recent foray into paints sector, under the brand name, Birla Opus, demonstrates our commitment to exploring new horizons across 300 towns. With our expansion into the premium casual dining segment through our new-age hospitality arm we are celebrating the power of global cuisines in bringing people together. Birla Pivot, our B2B e-commerce platform, a major extension to the building materials sector, serving as a comprehensive hub for all building material needs.

With unwavering dedication, we endeavour to uplift communities socially and economically, enveloping them in the compassionate embrace of our commitment. Our efforts extend to 9,000 villages, impacting 11 million people annually. This includes providing skill based training for 100,000 individuals and immunizing with 100 million polio vaccinations.

Learn more about who we are: www.adityabirla.com

*End of Q3FY25 
 
Follow us on:
Twitter: @AdityaBirlaGrp 
Linkedin : @aditya-birla-group
Instagram: @AdityaBirlaGrp
YouTube: adityabirlagroup","Executive Offices","10,001+ employees","Privately Held","MUMBAI, MAHARASHTRA","India","adityabirla.com","https://www.linkedin.com/company/aditya-birla-group"
,"Mahindra Group","Many Companies. One Mahindra.

Founded in 1945, the Mahindra Group is one of the largest and most admired multinational federations of companies, with 324,000+ employees across 100+ countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world’s largest tractor company by volume. The Group operates in 20+ industries, including renewable energy, agriculture, logistics, hospitality, and real estate, with a turnover of over US $25 billion.

The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to Rise. 

Learn more about Mahindra on www.mahindra.com
X and Facebook: @MahindraRise
WhatsApp Channel: https://whatsapp.com/channel/0029VbB2EYe7tkjBJ14fH518
For updates subscribe to https://www.mahindra.com/news-room","Executive Offices","10,001+ employees","Public Company","Mumbai, Maharashtra","India","mahindra.com","https://www.linkedin.com/company/mahindragroup"
,"Saeed & Mohammed Al Naboodah Group","Founded in 1958 by two brothers, the Saeed & Mohammed Al Naboodah Group is among the most well-respected family company names in the UAE. The management of the Group’s operating divisions is undertaken by Al Naboodah Group Enterprises (ANGE). Employing over 4,000 people, the ANGE core business focus covers civil engineering, building and MEP as well as a diverse portfolio of global brands in the transportation, travel, electrical, logistics and agriculture. The Al Naboodah brand is renowned for the delivery of world-class projects and services within demanding schedules and exceeding the quality demanded by its clients.","Executive Offices","1,001-5,000 employees","Privately Held","Dubai","United Arab Emirates","alnaboodah.com","https://www.linkedin.com/company/saeed-juma-al-naboodah-group"
,"Saeed & Mohammed Al Naboodah Group","Founded in 1958 by two brothers, the Saeed & Mohammed Al Naboodah Group is among the most well-respected family company names in the UAE. The management of the Group’s operating divisions is undertaken by Al Naboodah Group Enterprises (ANGE). Employing over 4,000 people, the ANGE core business focus covers civil engineering, building and MEP as well as a diverse portfolio of global brands in the transportation, travel, electrical, logistics and agriculture. The Al Naboodah brand is renowned for the delivery of world-class projects and services within demanding schedules and exceeding the quality demanded by its clients.","Executive Offices","1,001-5,000 employees","Privately Held","Dubai","United Arab Emirates","alnaboodah.com","https://www.linkedin.com/company/al-naboodah-construction-group-llc"
,"Welspun World","Welspun is one of India’s fastest-growing global conglomerates valued at US$ 5 billion. We have businesses across categories like Line Pipes, Home Textiles, Infrastructure, Warehousing, Oil and Gas, Steel, Advanced Textiles, and Flooring Solutions.  While we are headquartered in Mumbai, we’ve established leadership in the Line Pipes and Home Textiles sectors, across the world. With 30,000+ employees and over 100,000 shareholders, we have a foothold in over 50 countries. Our manufacturing facilities are strategically located in India, the USA, and Saudi Arabia, and our clients include most Fortune 500 companies. We pride ourselves on our customer centricity and prioritize innovation, digital fluency, and engineering excellence across every aspect of our business. We’re serious about our three Es–Environment, Education and Empowerment–-and have numerous initiatives in place that drive sustained and systematic change at the grassroots level. 

At Welspun, we acknowledge that our employees are the backbone and we work towards curating robust learning and education opportunities so that our teams thrive with us. We hire more than 10,000 new members every year and take responsibility for providing every Welspunite a nurturing environment, competitive compensation, merit-based career progression, and opportunities to enhance their personal and professional growth. We’ve built a culture that recognizes and promotes talent, transparency, and inclusion and we work hard to ensure we live by our values.

From the communities, we touch to the entrepreneurs we partner with, we’re determined that as Welspun, we create a positive impact in every interaction.

Join us and be a proud and happy Welspunite.","Executive Offices","10,001+ employees","Public Company","Mumbai, Maharashtra","India","welspun.com","https://www.linkedin.com/company/welspunworld"
,"Piramal Group","- Offices in over 30 countries
- Brand presence in over 100 global markets
- Team of over 10,000 people from 21 diverse nationalities

Piramal Group is a global business conglomerate with diverse interests in Pharma, Financial Services, and Real Estate. The Group has offices in over 30 countries and a global brand presence in more than 100 markets.

Led by Mr Ajay Piramal, the Chairman, Piramal Group is a torchbearer of trusteeship and responsible business ethos. Based on the philosophy of ‘Doing Well and Doing Good’, the Group continues to create long-term value for its stakeholders and the community at large.

In the three decades of its existence, Piramal Group has pursued a twin strategy of both organic and inorganic growth.

Driven by its core values, Piramal Group steadfastly pursues inclusive growth, while adhering to ethical and values-driven practices.

Piramal Foundation, the philanthropic arm of the Piramal Group develops innovative solutions to resolve issues that are critical roadblocks towards unlocking India’s economic potential. Its sustainable development programmes in healthcare & nutrition, education and safe drinking water across 25 Indian states, largely in partnership with the central and state governments have impacted over 100 Million lives till date.

Each social initiative nurtured by the Piramal Foundation addresses one of the three focus areas :
Piramal Swasthya: Primary Healthcare and Nutrition
Piramal School of Leadership: Education Leadership and Women & Youth Empowerment
Piramal Sarvajal: Access to Safe Drinking Water","Executive Offices","10,001+ employees","Public Company","Mumbai","India","piramal.com","https://www.linkedin.com/company/piramalenterprises"
,"BEXIMCO Group","The BEXIMCO Group is the largest private-sector group in Bangladesh. BEXIMCO was founded in the 1970s by two brothers – Ahmed Sohail Fasihur Rahman and Salman Fazlur Rahman. Since the early days, the Group has evolved from being primarily a commodities trading company to a leading, diversified group with a presence in industry sectors that account for nearly 75% of Bangladesh's GDP. BEXIMCO's corporate mission is ""Taking Bangladesh to the world"".

As BEXIMCO has grown over the years, the flagship platform now has operations and investments across a wide range of industries including textiles, pharmaceuticals, PPE, ceramics, real estate development, construction, trading, marine food, information and communication technologies, media, DTH, financial services, and energy. The Group sells its products and services in the domestic Bangladesh market as well as international markets. BEXIMCO is the largest employer in the private sector in Bangladesh and employs over 70,000 people worldwide.

The BEXIMCO name has now become one of the most recognizable brand names in Bangladesh. It is synonymous with innovation, trust, and quality. The Group consists of four publicly traded and seventeen privately held companies. The publicly traded companies are Bangladesh Export Import Company Limited, Beximco Pharmaceuticals Limited, Shinepukur Ceramics Limited, and Beximco Synthetics Limited. The total revenue of the group stands in excess of a Billion US Dollars per year.

In recent times BEXIMCO has launched its newest Vertical, the BEXIMCO PPE Division which is responsible for producing the highest grade of internationally certified PPE products for medical use.

BEXIMCO intends to leverage its market position and global scale, further diversify operations into highly profitable sectors, capitalize on the domestic growth opportunity and selectively pursue international opportunities going forward.","Executive Offices","10,001+ employees","Public Company","Dhaka","Bangladesh","beximco.com","https://www.linkedin.com/company/beximcogroup"
,"Federal Ministry for Economic Affairs and Energy","The major trends of the 21st century, notably globalisation, digitisation, demographic change, recent developments within the EU, and climate change all represent major challenges for German business to tackle. If we are to successfully address these issues, we need to develop our social market economy into a social-ecological market economy.  This is the over-arching task for the Federal Ministry for Economic Affairs and Climate Action.","Executive Offices","1,001-5,000 employees","Government Agency","Berlin","Germany","bundeswirtschaftsministerium.de","https://www.linkedin.com/company/bmwe-bund"
