"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Catenon India","Catenon is a multinational executive search company with a technology-based approach operating under the web² model. 

Our vision, is to operate as a single office worldwide. 

We strive to identify, assess and find the right candidates for our clients from around the world. We do this by leveraging technology and our network of consultants that operate from offices located globally. Our differentiating factor would be the multimedia report used to present the final results to our clients. This report contains the methodology designed by Catenon that individually analyses and compares each candidate, providing our clients with a holistic view of each candidate and allowing them to make an informed decision.

Catenon was founded in order to take advantage of a new emerging market: the global search for professionals. This market arose from the need for the international mobility of talent and an expected trend in the next few years is continuous growth in this hunt for talent. Catenon aims to be at the forefront of this trend.","Executive Search Services","51-200 employees","Public Company","Pune, Maharashtra","India","catenon.in","https://www.linkedin.com/company/catenonindia"
,"JBAndrews","JBAndrews is a global executive search firm specializing in Logistics, Scientific and Industrial markets. We are driven to provide best-in-class, results-driven talent solutions to industry leaders. Our results-based, innovative approach, combined with our commitment to building long-lasting relationships, enables us to deliver exceptional talent services to our clients and candidates- hence our mantra ""𝗣𝗮𝗿𝘁𝗻𝗲𝗿𝘀𝗵𝗶𝗽𝘀. 𝗜𝗻𝗻𝗼𝘃𝗮𝘁𝗶𝗼𝗻. 𝗥𝗲𝘀𝘂𝗹𝘁𝘀.""

𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰𝘀: Freight forwarding, Supply Chain, Contract Logistics, Logistics Tech, Transportation
𝗦𝗰𝗶𝗲𝗻𝘁𝗶𝗳𝗶𝗰: In Vitro Diagnostics, Point of Care, Pharma & API's, Contract Research & Manufacturing
𝗜𝗻𝗱𝘂𝘀𝘁𝗿𝗶𝗮𝗹: Automation, Agtech, Chemicals, Ingredients, Flavours (Flavors) & Fragrances

We believe that our success is built on a foundation of strong values. We are committed to delivering high performance in everything we do, inspiring innovation through our creative and agile approach to executive search, and building purposeful partnerships with our clients and candidates, all while putting people first in our daily interactions.

Our team is comprised of niche industry specialists who have an in-depth understanding of the unique requirements and challenges each sector we work in presents. This, coupled with our ability to utilise technology, allows us to play to our strengths - the human element of executive search, allowing us to provide tailored recruitment solutions that cater to all our client’s individual needs. We have also built a robust network of candidates that spans different industries in every location, allowing us to quickly and effectively match the right candidates with the right roles. 

Follow us across Instagram, Twitter and YouTube for all JBAndrews 
related content!","Executive Search Services","11-50 employees","Privately Held","Leeds, West Yorkshire","United Kingdom","jb-andrews.com","https://www.linkedin.com/company/jbandrews"
,"Mercuri Urval","MU is a science-based global Leadership Acquisition and Advisory firm. Our experts provide unique and precisely tailored, quality assured and ethical Executive Search, Professional Search, Leadership Assessment and Coaching services in partnership with private and public sector clients worldwide.

We exist to make sure organisations outperform through diverse and sustainably successful leadership.

We were founded more than 50 years ago to answer a simple but important question that leaders face: 

How can we make sure we have the most effective leaders in place – to deliver the best possible results?

And every day since, we have developed and refined our methods, so you can be confident in our experts' advice.

MU work with more than 3.000 clients - across all sectors - in over 60 countries every year. As we have grown, our services have expanded to include a range of services, built to meet our clients’ needs to strengthen their people’s performance.

Today it is clear, that securing effective leadership is one of the biggest challenges organisations face. Guided by science, we offer reliable leadership advice.","Executive Search Services","501-1,000 employees","Privately Held","Stockholm, Stockholm County","Sweden","mercuriurval.com","https://www.linkedin.com/company/mercuri-urval"
,"Theron Solutions","At Theron Solutions, we are passionate about connecting exceptional talent with some of the most innovative and industry-leading organizations worldwide.

With deep expertise in hiring for Marketing and Advertising Agencies, Management Consulting Firms, IT Services Companies, Healthcare & Life Sciences, and Semiconductor organizations, we understand the pulse of each industry and deliver customized recruitment strategies that drive business impact.

We take pride in our ability to scale teams across diverse functions and leadership levels. We specialize in permanent hiring, executive search, and project-based hiring.

 Our global hiring footprint spans Japan, China, Taiwan, South Korea, Singapore, Australia, Germany, Italy, India, France, the Netherlands, Ireland, the United States, the United Kingdom, and many more.

Whether you are a high-growth startup or a global enterprise, our agile and client-centric approach ensures you have the right people to power your vision.

 Let’s connect: career@theronsolutions.com

Theron Solutions – Bridging Talent with Opportunity, Worldwide.","Executive Search Services","11-50 employees","Privately Held","New York, New York","United States","theronsolutions.com","https://www.linkedin.com/company/theron-solutions"
,"Uplift People Consulting","Powering the Global Talent Network. Together!

At Uplift, we combine a data-driven approach and the human touch to connect mid-to-senior talent with companies across international markets and time zones.

Since 2021, we’ve placed exceptional talent in 57 countries in EMEA, APAC, LATAM and the US, acting as a recruitment team of our clients’ teams and guiding their growth in fast-moving industries.

Why Uplift?
 Global Reach, Local Expertise
From Dubai to Germany, Japan to the US—and everywhere in between—we tap a trusted network that speaks the language of each market and culture.

 Speed & Precision
High-quality shortlists land in your inbox within less than one week, so you can hire smarter and faster. 

 Data-Driven, Human-Centered
We love data & insights. AI-powered sourcing and highly experienced consultants help to deliver an exacting fit for role and culture. 

Our Core Industries:
 IT & Tech
 FinTech
 AdTech & MarTech
 E-Commerce & Digital Retail
 Pharmaceuticals & Life Sciences
 Oil & Gas & Energy

Our Solutions:
• Executive Search (Manager to C-level)
• Recruitment Process Outsourcing (RPO)
• Outplacement Services
• Leadership Assessment and Development

Whether you’re launching in a new region or scaling a high-growth business line, Uplift powers your progress with the right people quickly, collaboratively and with passion!

Let’s build your dream team together globally!

 Learn more from: 
www.uplift-people.com 
info@uplift-people.com","Executive Search Services","11-50 employees","Privately Held","Dubai","United Arab Emirates","uplift-people.com","https://www.linkedin.com/company/uplift-people-consulting"
,"Mantell Associates","Mantell Associates is a multi-discipline headhunting firm focused on providing both permanent and contract recruitment services globally, to the Biotech, Pharmaceutical, CDMO, CRO, Diagnostics, Animal Health, Consulting, Medical Device and MedTech sectors.
 
With success ranging across C-Suite, Commercial, Technical Operations, Scientific, Clinical, Quality and Regulatory, we pride ourselves on our ability to bring the top talent to our clients, and the best opportunities to the top talent. 
 
Our services span across our Partnership Service, Contingency, Project Management and Contract models, meaning that we can cater to our client’s every requirement.","Executive Search Services","51-200 employees","Privately Held","City of London, England","United Kingdom","mantellassociates.com","https://www.linkedin.com/company/mantell-associates"
,"Quotacom","We are Quotacom, your executive search partner for digital transformation. We’re specialists in building teams from CXO down in AI, Data & Analytics, Cloud, Cyber Security, IoT & Connectivity and Emerging Technologies.

We help businesses who are transforming the lives of billions to meet their rapid pace of development, and digital and data specialists identify their next professional challenge. 

As a service that provides exceptional talent; the people who are the heartbeat of innovation, we identify, attract, engage, measure and secure world-leading specialists in the most competitive talent market-place today. 

Our clients use us because they trust our deep understanding and insight into the technologies that underpin digital transformation. We speak their language and can elevate their brand to the highest calibre professionals. They know we are faster and more efficient than traditional exec search firms. 

Our clients appreciate our ability to collaborate and are aligned with our completely unbiased approach to diversity and inclusion.","Executive Search Services","11-50 employees","Privately Held","Brighton, East Sussex","United Kingdom","quotacom.com","https://www.linkedin.com/company/quotacom"
,"Vida Group International","Vida Group International is a world-class executive search firm trusted by leading companies to find exceptional senior talent across industries and borders. Founded in 1982 by the Vida family, we bring a rare blend of personalized service and global reach—delivering not just candidates, but the right leaders to drive transformation. With over four decades of proven success in manufacturing, technology, and services, our team operates in markets spanning the U.S., Canada, Mexico, Europe, Japan, China, Brazil, India, and emerging regions across Asia, EMEA, and LATAM. Wherever your next leader is, we’ll help you find them","Executive Search Services","51-200 employees","Privately Held","Austin, TX","United States","vidagroupintl.com","https://www.linkedin.com/company/vidagroupinternational"
,"Ateca Consulting","Ateca Consulting is a global talent and solutions partner specialising in executive search, private banking recruitment, IT consulting, and managed services across Financial Services, Technology, and Telecoms.

We support clients with high-impact hiring, cybersecurity, AI-driven platforms, and digital transformation—delivering results through deep market insight, agile delivery, and sector-specialized teams.

Our vetted consultant network and proven delivery model enable us to meet critical talent and project needs for global banks, private banks, fintechs, and government-linked entities across the UK, UAE, Europe, and Asia.","Executive Search Services","51-200 employees","Privately Held","London, United Kingdom","United Kingdom","atecaconsulting.com","https://www.linkedin.com/company/ateca-consulting"
,"KNR Management Consultants","The meaning of conceiving, developing and building KNR as a Global Search Firm, is quite visible today as we have a track record of adding value to the performance of our all clients with the help of our capabilities and competency in:

1. RETAINED SEARCH
2. CONTINGENCY SEARCH
3. GLOBAL RECRUITMENT
4. TALENT MAPPING & MARKET INTELLIGENCE 

A)	Manufacturing
-	Chemicals 
-	Paints & Coatings 
-       Adhesives & Sealants
-       Masterbatches & Polymers
-       Textiles

B)	Technology
-	IT Products 
-	Software & Services  
-       Tech Startups 

C)	Global Shared Services 
  
D)	BFSI
-	NBFC
-	Investment Banking   
-       Asset Management 
-       Fund Raising & VC

KNR has executed Search Projects in the following Countries: 

India, Bangladesh, Sri Lanka, South Africa, Rest of Africa, China, Hong 
Kong, Indonesia, Malaysia, Singapore, United Kingdom, UAE, Saudi Arabia and Europe.","Executive Search Services","11-50 employees","Privately Held","Gurgaon, Haryana","India","knrglobal.com","https://www.linkedin.com/company/knrglobal"
