"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FINCA Microfinance Bank Ltd, Pakistan","Formerly FINCA Microfinance Bank, ABHI Microfinance Bank is committed to financial inclusion through innovative, technology-driven banking solutions. Serving 1.8M+ clients across 120+ cities, we offer small business loans, digital payments, and savings solutions to empower individuals and businesses.

With a focus on digital transformation and economic growth, we strive to make banking more accessible, reliable, and impactful.

Join us in building a financially secure future.","Collection Agencies","Self-employed","Government Agency","Lahore, Punjab","Pakistan","finca.pk","https://www.linkedin.com/company/deactivatedpk2025"
,"Liquitty","Somos Liquitty, empresa especializada en cobranza temprana, prejudicial, judicial y recuperación de activos con más de 24 años de experiencia en Latinoamérica.
Somos parte del Grupo BC","Collection Agencies","501-1,000 employees","Privately Held",,,"liquitty.com","https://www.linkedin.com/company/somosliquitty"
,"AlexaPartners Private Limited","Founded in 2020 by Ex CFOs. When the founders felt that in their respective careers, most corporate/business houses struggle with cash flows due to ineffective, low-focus debt collections, with a track record of overseeing extensive portfolios, Our Debt Collection Services is dedicated to maintaining this leadership by adhering to the “No Collection No Commission Policy”, which states that we will not charge any money from the client unless we collect.
We are committed to building a robust professional network, investing in people and technology, and developing ever-changing debt collection solutions. As a full-service debt collection agency, we serve customers across India and internationally through our vast network of professional partners.
Our Services include Bad Debt Collection, End-to-End Collection, Legal Collection Management, Skip Trace services, Credit Monitoring, Debt Advisory Services, etc.","Collection Agencies","11-50 employees","Privately Held","Bangalore, Karnataka","India","alexapartners.com","https://www.linkedin.com/company/alexapartners"
,"Specialist Motor Finance","SMF is proud to be an official partner of StepChange debt charity. Founded in 1993, StepChange is the UK’s largest debt advice charity, helping hundreds of thousands of people a year experiencing debt problems through telephone and online services, and campaigns for change to reduce the harm and stigma associated with debt.

Our work with StepChange looks to support our customers in financial difficulties, introducing them to StepChange who work directly with them to understand their exact situation and to identify potential solutions that will support them in maintaining their vehicle with us and their wider financial circumstances.","Collection Agencies","51-200 employees","Privately Held","Chester, England","United Kingdom","smfmotor.com","https://www.linkedin.com/company/specialist-motor-finance"
,"Solva","A Solva é uma empresa de serviços compartilhados da DiDi, a maior plataforma de conveniência e transporte por aplicativo do mundo, presente em mais de 10 países. No Brasil, a DiDi é conhecida pela marca 99, que entrega serviços de mobilidade e serviços financeiros.

Na Solva, construímos relacionamentos. Acompanhamos os consumidores da 99Pay, desde a checagem de seus dados até a regularização de possíveis inadimplências. Além de prevenirmos fraudes, também atuamos na investigação e solução de transações suspeitas, garantindo segurança dos consumidores e de seus dados.

Nosso time é treinado para oferecer um serviço personalizado e humanizado, transformando cada interação em uma experiência positiva para todos.

Ainda somos uma empresa jovem, mas estamos crescendo. Sempre com foco em proporcionar uma experiência positiva para os nossos clientes e agindo rápido e com resiliência para acompanhar as mudanças para entregar os melhores resultados.

Se você está em busca de um ambiente dinâmico e colaborativo, onde o respeito, a empatia e o desenvolvimento pessoal são essenciais, e deseja fazer a diferença na vida das pessoas, a Solva é o lugar perfeito para você! 

A diversidade não é uma visão do futuro ou algo que desejamos ter um dia, é um valor inegociável de quem somos. Nossas diferenças são o que nos tornam únicos, por isso respeitamos uns aos outros e acreditamos na igualdade de oportunidades para todos. Confira nosso relatório de transparência e igualdade salarial aqui: https://shorturl.at/KU0Pa. Todas as nossas posições são abertas para todas as pessoas, incluindo gestantes e pessoas com deficiência (PcD).

#VemSerSolva!","Collection Agencies","51-200 employees","Privately Held","São Paulo, SP","Brazil",,"https://www.linkedin.com/company/solvacarreiras"
,"DPH","Empresa líder en Demora y Detención en la República Dominicana. Gestionamos el uso de contenedores y chasis para la Industria Marítima.","Collection Agencies","51-200 employees","Self Owned","Santo Domingo, Bajos de Haina","Dominican Republic","dph.com.do","https://www.linkedin.com/company/dph-dr"
,"Excelência Inteligência Financeira","Criada por profissionais experientes, com mais de 20 anos de mercado, a Excelência Cobranças é uma empresa especializada na recuperação de ativos. Temos como princípios norteadores de nosso trabalho a Ética, a Transparência e a Honestidade, pois acreditamos que esses são fatores fundamentais para gerar uma relação de confiança e parceria com nossos clientes.","Collection Agencies","51-200 employees","Privately Held","Joinville, Santa Catarina","Brazil","excelenciacobrancas.com.br","https://www.linkedin.com/company/excelenciainteligencia-financeira"
,"Grupo Eduardo Albuquerque","O Grupo EA, composto pelo escritório EDUARDO ALBUQUERQUE ADVOCACIA especializado em advocacia empresarial e recuperação de ativos financeiros, pela PONTE COBRANÇAS, empresa com foco em gestão de crédito e cobrança extrajudicial, atua de forma multidisciplinar prestando serviços para instituições de diversos segmentos, também pela SEA SECURITIZADORA , uma empresa dedicada a oferecer soluções ágeis e seguras para empresas com recebíveis em inadimplência, visando otimizar resultados por meio da compra de carteiras de recebíveis não pagos e por fim a ESCOLA DE NEGOCIADORES, que tem como objetivo, capacitar e treinar nas mais diversas matérias relacionadas à recuperação de créditos o nosso time e de parceiros.

Com uma infraestrutura física e tecnologia de ponta, aliada a uma equipe estrategicamente qualificada por nicho de negócio, o GRUPO EA é capaz de atender de forma versátil as necessidades de seus clientes, oferecendo soluções integradas e eficazes em todo país.

O Grupo Eduardo Albuquerque (EA) construiu sua trajetória ao longo de mais de duas décadas pautada em resultados, inovação e sólidos princípios éticos e utilizando a NEUROCOBRANÇA, uma abordagem inovadora que combina técnicas avançadas de negociação com empatia genuína. Isso nos permite lidar com cada caso de forma personalizada e eficaz, garantindo uma recuperação mais rápida e um relacionamento positivo com os devedores.

Acesse http://www.grupoea.net.br/ e nos conheça melhor.","Collection Agencies","51-200 employees","Privately Held","Recife, Pernambuco","Brazil","grupoea.net.br","https://www.linkedin.com/company/grupo-eduardo-albuquerque"
,"Qemma Collection Company","شركة رائدة و متخصصة في تحصيل واسترداد انواع الديون ضمن فريق مؤهل ومدرب بمعايير عالية الجودة ومختص في تسوية وتسهيل سداد المتعثرات وضمان الالتزام بلوائح وانظمة البنك المركزي (SAMA)
نسعى دائماً للمصداقية والجودة مع عملائنا
تخضع لرقابة واشراف البنك المركزي السعودي ترخيص رقم : 88 / ن م / 202407","Collection Agencies","201-500 employees","Privately Held","الرياض","Saudi Arabia","qemma.com.sa","https://www.linkedin.com/company/qemmacollection"
,"Aboushady Collection","At Aboushady, we specialize in ethical debt collection solutions that help businesses reclaim what they’re owed while maintaining a respectful relationship with their customers. With 24 years of field experience, our dedicated team understands the challenges that come with unpaid debts and is committed to providing personalized strategies tailored to your unique needs.","Collection Agencies","501-1,000 employees","Privately Held","Al Mearaj, Cairo","Egypt","aboushady-collection.com","https://www.linkedin.com/company/aboushady"
