"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Mills","A leader in aerial platform rentals and engineering solutions for infrastructure, Mills invests to be the best partner in equipment rental and sales. Now, we also offer comprehensive intralogistics solutions with forklifts, pallet trucks, and tow tractors.
 
We are present throughout all national territory with 59 branches, serving 26 states and the Federal District in over 1,400 cities.
 
Count on us to provide the ideal equipment for your demand!","Commercial and Industrial Equipment Rental","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","mills.com.br","https://www.linkedin.com/company/millsoficial"
,"Armac","Fundada há 30 anos, a Armac é referência na prestação de serviços especializados e complexos, na locação de equipamentos e na venda de seminovos. Com mais de 11,5 mil ativos de Linha Amarela, caminhões e empilhadeiras, apoia setores estratégicos da economia brasileira, em operações de mineração, siderurgia, portos e terminais ferroviários, fertilizantes, florestais, agroindústria, indústria, infraestrutura e construção.

A empresa se destaca pela excelência operacional, eficiência em produtividade e compromisso com a segurança. Conta com uma equipe de mais de 4 mil colaboradores, entre eles mais de mil mecânicos e 2,4 mil operadores e motoristas. Com cerca de 200 operações de longo prazo em todo o Brasil, movimenta anualmente mais de 140 milhões de toneladas de materiais, entre minérios, fertilizantes, biomassa, açúcar, sal, grãos, enxofre, metais, madeira, produtos industrializados, alimentos, bebidas, peças automotivas, entre outros.

Com um complexo de manutenção de 300 mil m², o maior da América Latina, e um estoque de R$ 65 milhões em peças e componentes, é referência em serviços de manutenção, com 30 estruturas próprias em todo País, entre oficinas, filiais e apoio logístico. Além disso, a companhia possui lojas de seminovos em Cotia e Americana (SP), Betim (MG), Rondonópolis (MT), Feira de Santana (BA) e São José dos Pinhais (PR).
Listada no Novo Mercado da B3, a companhia adota as melhores práticas de governança corporativa e continua expandindo suas operações para apoiar as pessoas que constroem o Brasil.

Nosso site para locação: https://rental.armac.com.br/
Nosso site para seminovos: https://seminovos.armac.com.br/
Canal de Ética: https://canaletico.missaocompliance.com.br/canal-etico/armac","Commercial and Industrial Equipment Rental","5,001-10,000 employees","Privately Held","Barueri, São Paulo","Brazil","armac.com.br","https://www.linkedin.com/company/armac-locacao"
,"Tecnogera","A Tecnogera é uma empresa de infraestrutura e prestação de serviços em energia temporária e atua com locação de Grupos Geradores de energia, Bancos de Cargas, Torres de Iluminação, Cabos Elétricos e Transformadores. Possui ampla expertise no atendimento das necessidades dos segmentos da construção civil, indústrias, usinas, instituições financeiras, mineradoras e eventos, com geradores de 20 a 1.500 kVA, podendo atender soluções para plantas multi-megawatts. 

Acomoda uma frota de equipamentos renovada continuamente e garante disponibilidade em todas as potências, possibilitando um serviço da mais alta confiabilidade, com responsabilidade ambiental. Um diferencial no atendimento da Tecnogera está na agilidade: leva energia em qualquer parte do Brasil em tempo recorde, 24 horas por dia, 7 dias por semana.","Commercial and Industrial Equipment Rental","501-1,000 employees","Privately Held","São Bernardo do Campo, São Paulo","Brazil","tecnogera.com.br","https://www.linkedin.com/company/tecnogera-energia-e-equipamentos"
,"Byrne Equipment Rental LLC","For over 30 years, Byrne Group has led the Middle East’s equipment rental industry — proudly ranked in the Top 100 Global Equipment Rental Companies (IRN100) and one of only two firms from the region on the list.

Headquartered in Dubai, Byrne delivers turnkey rental and infrastructure solutions across the UAE, Saudi Arabia, Oman, and Bahrain, supported by a fleet of 14,000+ assets spanning modular buildings, power, climate control, hoist & access, sanitation, mobile lighting, and hybrid solar systems.

Beyond equipment, we’re a solutions partner committed to reliability, innovation, and sustainability — investing in digital transformation, and green power alongside our regional expansion.","Commercial and Industrial Equipment Rental","1,001-5,000 employees","Privately Held","Dubai","United Arab Emirates","byrnerental.com","https://www.linkedin.com/company/byrne-equipment-rental-llc"
,"TNT Crane & Rigging, Inc.","TNT Crane & Rigging is one of the largest maintained and operated crane service providers in North America. TNT’s lifting solutions are a synergy of experience, training, and specialized equipment, producing a safe and invaluable service to our customers 24 hours a day, 7 days a week.

TNT Crane & Rigging serves multiple markets including oil & gas, refining, petrochemical, industrial, power generation, wind energy, infrastructure, construction, and commercial end markets.

TNT Crane & Rigging operates with a modern fleet of more than 700 cranes: Mobile Truck-Mount Cranes, Hydraulic All-Terrain Cranes, Hydraulic Rough-Terrain Cranes, Crawler Cranes, and Tower Cranes. The company’s crane fleet ranges in lifting capacity from 1 ton to 900 tons. TNT Crane & Rigging has an extended fleet of specialized equipment: Hydraulic Gantry Lift Systems, Jack & Slide Systems, Specialized Forklifts, Cantilever Bars, Self-Propelled Modular Transporters, Dual-Lane Heavy Haul Tractor/Trailer Combinations, and Specialized Rigging Equipment.

With headquarters in Houston, TX, TNT Crane & Rigging primarily serves customers in the Southern region of the United States with branches strategically positioned throughout Texas, Oklahoma, and Louisiana. The TNT Family of Companies is comprised of six regional brands which all operate within the TNT company structure. Southway Crane & Rigging services the Southeastern region of the United States while RMS Cranes & JMS Crane & Rigging serve customers throughout the Rocky Mountain and Midwest regions. TNT Crane & Rigging also has full-service branches within Western Canada along with Eagle West Cranes and Stampede Crane & Rigging.","Commercial and Industrial Equipment Rental","1,001-5,000 employees","Privately Held","Houston, Texas","United States","tntcrane.com","https://www.linkedin.com/company/tnt-crane-and-rigging-inc-"
,"Grupo Cordeiro BR","In the market since 1979, Grupo Cordeiro operates with excellence in practical solutions in the transportation, movement and storage of heavy loads, using state-of-the-art equipment and tools, developing and implementing safe and quality solutions, and contributing to the growth of the country.

We work with a focus on the customer focus, a practical methodology implemented to guarantee the best and most appropriate solution for each client, with technology and excellence projects according to their needs.","Commercial and Industrial Equipment Rental","201-500 employees","Privately Held","São Gonçalo do Amarante, Ceará","Brazil","grupocordeiro.com","https://www.linkedin.com/company/grupocordeirobr"
,"Dayim Equipment Rental","Established in 2010, Dayim Equipment Rental Corporation is a premier equipment rental company covering the GCC with operations in Saudi Arabia, Qatar, and Kuwait. 

Dayim Equipment Rental is committed to providing high quality and international standards of service and maintenance of its equipment. Our strategic vendor partnerships ensure all our equipment are in top shape and well maintained, to meet the varied requirement of our vast customer profile. 

Be it an Event-based requirement or multiple year long-term project, Dayim Equipment Rental comes with solutions that are tailor-made to every Customer.  

We are committed to providing quality equipment and service to customers across the region. Safety as our mantra, we ensure complete compliance with the requirement of the project site/process application where the equipment will be utilized. 

Our fleet, being one of the youngest in the region, comprises of the following:
-	Generators
-	Air Compressors
-	Welding Machines
-	Lighting Towers
-	Manlifts 
-	Forklifts
-	Telehandlers
-	Skid Steer Loaders
-	Backhoes

All our equipment comes with supplier fitted telematics – should there be a malfunction or machine stoppage or even a false alarm, we will be by your side, addressing and fixing, almost immediately.  Our team of highly skilled, experienced service engineers are available 24/7 to assist you.","Commercial and Industrial Equipment Rental","201-500 employees","Partnership","Dammam, Eastern","Saudi Arabia","dayimrentals.com","https://www.linkedin.com/company/dayim-equipment-rental"
,"NORTHGATE ESPAÑA","El auténtico renting flexible para empresas, autónomos y particulares. 
Por meses, sin permanencia y con todo incluido. 

Te ayudamos a escoger la mejor opción de movilidad para ti, sin ataduras y con la calidad Northgate. 

Y con Northgate Talleres, repara y mantén tu vehículo en nuestra red de talleres propios.

Northgate es una compañía totalmente orientada al cliente, y su actividad está centrada en dar soluciones de movilidad a las empresas adaptadas a sus necesidades. Por eso, ofrecemos la auténtica flexibilidad en cuanto a duración o tipología de contratación, así como una amplia gama de vehículos que son concebidos por las empresas como herramientas de trabajo para el desarrollo de su actividad, siendo el referente de este segmento en el mercado español.","Commercial and Industrial Equipment Rental","1,001-5,000 employees","Privately Held","Getafe, Madrid","Spain","northgate.es","https://www.linkedin.com/company/northgate-españa"
,"Trimak Engenharia","Há quatro décadas no mercado a TRIMAK Engenharia e Comércio LTDA vem aprimorando elementos indispensáveis para melhor servir a seus clientes: qualidade, confiabilidade, segurança e versatilidade. 
A TRIMAK tem acompanhado as ultimas tendências e tecnologias do mercado para levar até a sua empresa as mais modernas e eficientes soluções.

Na TRIMAK você pode comprar ou alugar as melhores linhas de equipamentos para construção civil e rodoviária, movimentação de cargas, trabalho em altura, iluminação em obras, limpeza industrial, geração de energia, entre outros. 

Oferecemos soluções de engenharia com  tubos de PVC estruturados fabricados in loco. Tais soluções incluem o suporte de nossa equipe técnica, instalada em qualquer região do Brasil, desde o projeto até a execução da obra.

Com uma linha bastante diversificada de equipamentos, a TRIMAK executa serviços de engenharia como: pavimentação, terraplanagem, demolições e britagem de materiais.","Commercial and Industrial Equipment Rental","201-500 employees","Privately Held","Rio de Janeiro, RJ","Brazil","trimak.com.br","https://www.linkedin.com/company/trimak-engenharia-e-com-rcio-ltda"
,"FRAIKIN France","Spécialiste des solutions de mobilité, et numéro 1 en Europe de la location de véhicules industriels et commerciaux, FRAIKIN propose l’offre de produits et services la plus large du marché. Notre mission est d’apporter des solutions clé en main aux professionnels qui veulent pouvoir se concentrer sur leur cœur de métier, tout en améliorant la productivité de leur flotte. 

Notre expertise s’appuie sur 80 ans d’accompagnement de tous types de clients, au sein de multiples secteurs d’activité, à travers des offres de location (longue / moyenne / courte durée, avec ou sans conducteur), de gestion de flotte, mais aussi de nombreux services, notamment digitaux. 

Avec aujourd’hui plus de 60 000 véhicules en circulation dans 10 pays, ce sont plus de 11 200 clients qui nous font confiance! Notre engagement? Les aider à réduire leurs coûts d’exploitation, leur assurer une continuité dans leurs activités, et surtout les accompagner dans la transition énergétique de leurs parcs. 

Notre force? Nos 3 000 collaborateurs, et notre réseau de plus de 110  agences en France avec chacune un véritable atelier intégré. Avec des équipes formées en continu et des collaborateurs qui évoluent dans le groupe tout au long de leur carrière, FRAIKIN est une entreprise unique mettant le service, le relationnel et la proximité au cœur de ses préoccupations.","Commercial and Industrial Equipment Rental","1,001-5,000 employees","Privately Held","Colombes","France","fraikin.fr","https://www.linkedin.com/company/fraikinfrance"
