"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lightera","Lightera was created through the integration of Furukawa Electric Group’s optical fiber business units, including the Fiber Cable Division in Japan, OFS LLC, and Furukawa Electric LATAM S.A. This strategic union brings together a legacy in optical science to deliver comprehensive connectivity solutions worldwide.

With operational headquarters in Norcross, Georgia, U.S.A., Lightera serves customers across telecommunications, enterprise, industrial, generative AI, data centers, 5G/6G, utilities, medical, aerospace, defense, and sensing markets. 

We are committed to building faster, more reliable and sustainable connections, empowering industries and communities for a smarter future.

Learn more at https://lightera.com/","Communications Equipment Manufacturing","5,001-10,000 employees","Privately Held","Norcross, Georgia (US)","United States","lightera.com","https://www.linkedin.com/company/lightera-global"
,"HMS Networks","HMS Networks - Hardware Meets Software

This is HMS Networks:

WHAT WE DO:
We create products that enable industrial equipment to communicate and share information. 

WHAT HMS STANDS FOR:
HMS stands for Hardware Meets Software, the two core components of our solutions.

OUR MISSION: 
We enable valuable data and insights from industrial equipment, allowing our customers to increase productivity and sustainability.

OUR PLAYING FIELD:
HMS operates within Industrial ICT. ICT stands for Information and Communication Technology.

WHO WE ARE:
1100 skilled and passionate professionals in 20+ countries around the world, working with developing, manufacturing and selling products at the forefront of technology.

PRODUCT BRANDS:
Anybus, Ewon, Intesis, Ixxat, N-Tron, Red Lion","Communications Equipment Manufacturing","1,001-5,000 employees","Public Company","Halmstad","Sweden","hms-networks.com","https://www.linkedin.com/company/hmsnetworks"
,"MAXHUB","As an innovation-driven team, MAXHUB focuses on developing collaboration solutions that enable immersive communications. We have enhanced team creativity and productivity worldwide by providing advanced audio-visual technologies and one-stop solutions.

For more information, visit MAXHUB at www.maxhub.com/en","Communications Equipment Manufacturing","1,001-5,000 employees","Partnership","-",,"maxhub.com","https://www.linkedin.com/company/maxhub-official"
,"Tozed Kangwei","Founded in 2019, Tozed Kangwei has grown into a leading provider of broadband terminal solutions, serving customers in more than 80 countries. Built on diverse chipset platforms, we offer a full-range wireless and wired terminal product portfolios. 

Driven by continuous innovation and strong global presence, we deliver premium, future-ready solutions that empower telecom operators and internet service providers worldwide. 

For business inquiries, contact us at:
 global_marketing@gztozed.com

Follow Tozed Kangwei for the latest in broadband technology—
Let's connect to better future!","Communications Equipment Manufacturing","501-1,000 employees","Partnership","Guangzhou City, Guangdong Province","China","gztozed.com","https://www.linkedin.com/company/tozed-kangwei-tech"
,"BlueCrest","BlueCrest provides comprehensive data-through-delivery technology solutions, changing how business is done within the postal and parcel industry, and eCommerce. Building upon its long history of innovation and deep industry knowledge, BlueCrest partners with its worldwide client base delivering efficient results and continuous service excellence. 

Through both internal development and acquisition, including BCC Software, BlueCrest provides best-in-class solutions which include production-level inkjet printers, inserters, sorters, parcel automation, postal optimization, and productivity improvement software. All of this is supported by a global service organization to include professional services.

Headquartered in Danbury, Connecticut the company employs over 1,600 people worldwide and has a rich culture of innovation, collaboration, accountability, resourcefulness, and enthusiasm.

Visit www.bluecrestinc.com to find out more.","Communications Equipment Manufacturing","1,001-5,000 employees","Privately Held","Danbury, Connecticut","United States","bluecrestinc.com","https://www.linkedin.com/company/bluecrest"
,"Beilai Tech. Co., Ltd. -- Make IIoT Easier","Beilai focus on ARMxy SBC, ARM-Based Computers, Edge Computing Gateway, IO Module, IIoT/Modbus/BACnet/IEC104/IEC61850/OPC UA/PLC Gateway OEM ODM Since 2005. 
Our Mission: Make IIoT Easier","Communications Equipment Manufacturing","501-1,000 employees","Privately Held","Shenzhen, Guangdong","China","bliiot.com","https://www.linkedin.com/company/iotsolution"
,"Aiphone","At Aiphone (A-phone), we empower human connection as the foundation of security.  

We pride ourselves in being the world’s largest intercom and access control manufacturer, but our mission extends far beyond that: 

We provide peace of mind to our customers by delivering cutting-edge communication and security solutions that enhance safety, connectivity, and convenience. Human connection and trust are the foundation of security, so we develop technologies that empower you to see, speak, and grant access for the ultimate safeguard. 

Thousands of organizations, from commercial to residential and industrial sectors have improved their security using Aiphone including schools, multi-family dwellings, and retailers.   

With our users in mind, Aiphone solutions are accessible and intuitive for everyone. You will find our systems easy to use and straightforward to integrate into your existing security infrastructure.  

Ready to enhance your security system? Contact us for a customized solution ","Communications Equipment Manufacturing","1,001-5,000 employees","Public Company","Redmond, WA","United States","aiphone.com","https://www.linkedin.com/company/aiphoneofficial"
,"Middle East Fiber Cable Manufacturing Co. (ميفك)","شركة الشرق الأوسط لصناعة كابلات الألياف (ميفك) هي شراكة سعودية يابانية مقرها في الرياض، المملكة العربية السعودية. تأسست شركة ميفك في عام ١٩٩٥، وهي شركة رائدة في تصنيع كابلات الألياف الضوئية عالية الجودة ومزود حلول لقطاعي الاتصالات السلكية واللاسلكية والصناعة في أسواق الشرق الأوسط وشمال أفريقيا. ومن خلال التركيز على دعم العملاء والتحسين المستمر، تهدف مفك إلى تقديم حلول وخدمات مبتكرة تساهم بشكل كبير في الاتصال العالمي. إن القدرة الإنتاجية التي لا مثيل لها لشركة مفك ومجموعة المنتجات المتنوعة والتكنولوجيا المتطورة والخبرة العميقة وتمكين المعرفة وضمان الجودة تميزنا عن المنافسة. باعتبارها المورد الرئيسي لـ ٧٠٪ من البنية التحتية الرئيسية للشبكات في المملكة العربية السعودية، تعد شركة ميفك شركة رائدة موثوقة في هذه الصناعة.

Middle East Fiber Cable Manufacturing Company (MEFC) is a Saudi Japanese partnership based in Riyadh, Saudi Arabia. Established in 1995, MEFC is a leading manufacturer of high-quality fiber optic cables and a solution provider for the telecommunications and industrial sectors in the Middle East and North Africa (MENA) markets. With a focus on customer support and continuous improvement, MEFC aims to provide innovative solutions and services that contribute significantly to global connectivity. MEFC's unmatched production capacity, diverse product range, cutting-edge technology, profound expertise, knowledge empowerment, and quality assurance set us apart from the competition. As the go-to supplier for 70% of the major network infrastructure in the Kingdom of Saudi Arabia, MEFC is a trusted leader in the industry.

Website: http://www.mefc.com
Email: general@mefcf.com
Phone: 966112650777","Communications Equipment Manufacturing","51-200 employees","Partnership","Riyadh","Saudi Arabia","mefc.com","https://www.linkedin.com/company/middle-east-fiber-cable-mefc"
,"EID S.A.","Established in 1983, EID is a Portuguese high tech industry with deep know-how and vast experience in the fields of electronics, communications and command & control.

EID is part of Cohort plc, the UK-based independent technology group. The company shareholders structure comprises Cohort plc (main shareholder), idD –Portugal Defence, and IAPMEI.

The company designs, manufactures and supplies advanced, high performance equipment and systems, mainly for the worldwide defence community.

EID is active in multiple countries worldwide, with customers in Europe, Africa, South America, Middle East and Asia.

The most relevant fields of expertise are:
 - Naval Communications
	- ICCS - Integrated Communications Control Systems
	- ICS - Fully Integrated Communication Systems, includes ICCS and other warship communication subsystems
 - Tactical Communications
	- Intercoms Systems for all type of armoured vehicles and fast patrol boats
	- Military radios
	- C4ISA soldier systems
	- Field telephony and data exchange systems
 - Military Messaging
 - Systems Integration

More information about the company is available at www.eid.pt","Communications Equipment Manufacturing","51-200 employees","Privately Held","Lazarim","Portugal","eid.pt","https://www.linkedin.com/company/eid-sa"
,"Polariton Technologies Ltd.","The world’s fastest and smallest electro-optic modulators, breaking the interconnect bottleneck.

Polariton Technologies builds the fastest and smallest electro-optic modulators. Our plasmonics modulators demonstrated to be more than 10-times faster than state-of-the-art photonic modulators (500 GHz world record in the lab). At the same time, the modulators are 100-times more compact, more energy-efficient, and potentially cheaper in production. These world-records are enabled by Polariton Technologies’ plasmonic modulator technology.
The tight confinement enables our modulators to efficiently modulate light on an ultra-compact footprint. The short interaction length, typically in the range of 10 µm, limits the influence of relatively high propagation losses of MIM waveguiding.

Plasmonic devices use metal for guiding SPPs, which has the advantage that they serve as their own electrical contacts. As devices are small, capacitance are small too, thus boosting the switching speed, due to small RC time constants. Further, in contrast to traditional electro-optic modulators, they are not hindered by the walk-off between electrical and optical waves.

Photonics and plasmonics complement each other: Given the right conditions, optical signals can be converted to plasmonic ones and vice versa. 

Polariton Technologies products and solutions are key components for test & measurement equipment, datacenters, medical imaging, space, automotive, sensing, telecommunication - long haul and 5G/6G and other customized applications, on request, through our consulting service. We cover the full value chain, from the design to the fabrication, testing, packaging, sales and support – including the Intellectual Property filing. Polariton is also working with the major Silicon Photonics and Optoelectronics partners worldwide and is open for new collaborations and projects.","Communications Equipment Manufacturing","11-50 employees","Privately Held","Adliswil, Zurich","Switzerland","polariton.ch","https://www.linkedin.com/company/polariton-technologies"
