"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dell Technologies","Technology drives human progress. This tenet is the core of our business and vision. Our customers and team members are integral to our continuing success as we provide the essential infrastructure for organizations to transform their digital futures.","Computer Hardware Manufacturing","10,001+ employees","Privately Held","Round Rock, Texas","United States","dell.com","https://www.linkedin.com/company/delltechnologies"
,"NVIDIA","Since its founding in 1993, NVIDIA (NASDAQ: NVDA) has been a pioneer in accelerated computing. The company’s invention of the GPU in 1999 sparked the growth of the PC gaming market, redefined computer graphics, ignited the era of modern AI and is fueling the creation of the metaverse. NVIDIA is now a full-stack computing company with data-center-scale offerings that are reshaping industry.","Computer Hardware Manufacturing","10,001+ employees","Public Company","Santa Clara, CA","United States","nvidia.com","https://www.linkedin.com/company/nvidia"
,"ASUS","ASUS is a global technology leader delivering incredible experiences that enhance the lives of people everywhere. World renowned for continuously reimagining today’s technologies for tomorrow, ASUS puts users first In Search of Incredible to provide the world’s most innovative and intuitive devices, components, and solutions. Today’s ASUS is more ambitious than ever, unleashing remarkable gaming, content-creation, AIoT, and cloud solutions that solve user needs and infuse delight.

ASUS is home to industry-leading experts who are encouraged to pursue their passion for innovation and entrepreneurial spirit to deliver the future of technology to the world. With a team of 5,000 in-house R&D colleagues, ASUS received more than 11 awards every day in 2020 and is ranked as one of Fortune’s World’s Most Admired Companies.

Working together as One Team, ASUS team members strive to transform and evolve, trust in radical truth and transparency, and embrace idea meritocracy and foster collective wisdom in the limitless pursuit of the incredible. And because tomorrow's experiences start with today’s actions, the people of ASUS are setting new industry standards and delivering on a strong commitment to environmental and community stewardship every day. 
At ASUS, every individual can find the opportunity to push the limits of what is yet to be imagined, and to make it real. 
To learn more about our aspirations and what we offer, visit asus.com/about-asus/","Computer Hardware Manufacturing","10,001+ employees","Public Company","Taipei City, Taipei","Taiwan","asus.com","https://www.linkedin.com/company/asus"
,"WD","For more than 55 years, WD has built the storage infrastructure that powers the world’s data. Now, as WD, we’re driving certainty for the AI-driven data economy—delivering the scale, reliability, and economics required to turn data into intelligence.","Computer Hardware Manufacturing","10,001+ employees","Public Company","San Jose, CA","United States","wd.com","https://www.linkedin.com/company/western-digital"
,"Acer","Founded in 1976, Acer is one of the world's top ICT companies with a presence in more than 160 countries. As Acer evolves with the industry and changing lifestyles, it is focused on enabling a world where hardware, software and services will fuse with one another, creating ecosystems and opening up new possibilities for consumers and businesses alike. Acer's 7,500 employees are dedicated to the research, design, marketing, sale, and support of products and solutions that break barriers between people and technology. 

At Acer, we've created an atmosphere that stimulates creativity and encourages individuality, freedom, and autonomy. Our established yet flexible organization invites you to work ""out of the box"" to surprise us with new ideas and challenge us with original thinking. Get a fresh perspective on your career. Take a look at where you could go with Acer. We're ready to offer new directions—and a fresh perspective—to talented people looking for career opportunities.","Computer Hardware Manufacturing","5,001-10,000 employees","Public Company","XiZhi District, New Taipei City","Taiwan","acer.com","https://www.linkedin.com/company/acer"
,"Seagate Technology","Seagate is a leader in mass-capacity data storage. We’ve delivered more than four and a half billion terabytes of capacity over the past four decades. We make storage that scales, bringing trust and integrity to innovations that depend on data. In an era of unprecedented creation, Seagate stores infinite potential. Unlock the full value of your data today.","Computer Hardware Manufacturing","10,001+ employees","Public Company","Fremont, CA","United States","seagate.com","https://www.linkedin.com/company/seagate-technology"
,"Supermicro","Supermicro (NASDAQ:SMCI), with 30+ years of leadership in Enterprise, cloud, AI, and 5G Telco/Edge Infrastructure solutions, pioneers the industry with Building Block Solutions and Green Computing servers. Its customizable, efficient, and sustainable IT offerings such as liquid-cooling technology redefine performance standards and environmental responsibility.","Computer Hardware Manufacturing","5,001-10,000 employees","Public Company","San Jose, CA","United States","supermicro.com","https://www.linkedin.com/company/supermicro"
,"Epson Indonesia","Epson is a global technology leader dedicated to connecting people, things and information with its original efficient, compact and precision technologies. With a lineup that ranges from inkjet printers and digital printing systems to 3LCD projectors, smart glasses, sensing systems and industrial robots, the company is focused on driving innovations and exceeding customer expectations in inkjet, visual communications, wearables and robotics.

Led by the Japan-based Seiko Epson Corporation, the Epson Group comprises more than 67,000 employees in 90 companies around the world, and is proud of its contributions to the communities in which it operates and its ongoing efforts to reduce environmental impacts.

PT Epson Indonesia is a sales and markeing office and a subsidiary of Seiko Epson Corporation in Indonesia and well established since October 1st, 2000. 


PRODUCTS
Our product ranges from:
    * SIDM
    * Ink Jet Printers
    * Laser Printers
    * Large Format Printers
    * Scanners
    * 3LCD Projectors
    * Industrial Robots
    * Smart Glasses
    * Sensing Systems
    * High quality consumables for all range of Epson product.


SERVICES
We have a nation-wide service in all the big cities in Indonesia:
    * Epson Sales & Service in Jakarta (Jakarta Utara, Jakarta Pusat, & Jakarta Selatan), Tangerang, Surabaya, and Semarang)
    * Epson Service Center in 15 big cities
    * More than 100 Epson Authorized Service Centres","Computer Hardware Manufacturing","51-200 employees","Privately Held","Jakarta Selatan, DKI Jakarta","Indonesia","epson.co.id","https://www.linkedin.com/company/epson-indonesia"
,"Raspberry Pi","Whatever your application and whatever your scale, Raspberry Pi offers cost‑effective, high‑performance computing for businesses and the home.

Designed and manufactured in the UK.","Computer Hardware Manufacturing","51-200 employees","Public Company","Cambridge, Cambridge","United Kingdom","raspberrypi.com","https://www.linkedin.com/company/raspberrypi"
,"QpiAI","Progress of Human Kind depends on the discovery and deployment of optimal AI systems at the speed of light. These are systems that convert data into intelligence and generates more intelligent information than ever before. At QpiAI we are leading efforts in discovering the most optimal AI systems in Life sciences, Healthcare, Finance , Industrial , space technologies and deploying them at the speed of light. Today only a fraction of enterprise data is transformed into intelligence. With QpiAI we enable not only the highest data to insight efficiency but also generate new usable data. This is possible because of QpiAI's innovation in simplifying AI and Quantum.","Computer Hardware Manufacturing","11-50 employees","Partnership","Bangalore, Karnataka","India","qpiai.tech","https://www.linkedin.com/company/qpiai"
