"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"NABA Nuova Accademia di Belle Arti","Founded in 1980, NABA, Nuova Accademia di Belle Arti, with campus in Milan and in Rome, is the largest art academy in Italy. Since 1981 NABA is legally recognised by the Higher Education in Art and Music system (AFAM, Alta Formazione Artistica e Musicale), regulated by the Ministry of University and Research (MUR). As a recognised Academy, NABA offers in its two campus in Milan and Rome academic diplomas equivalent to first and second level university degrees in the fields of design, fashion design, graphics and communication, multimedia arts, new technologies, set design, visual arts. The Academy was founded by Ausonio Zappa in Milan in 1980 with the involvement of Guido Ballo and Tito Varisco during a first phase, later attracting to its faculty artists such as Gianni Colombo and many others, the idea being to abandon rigorous academic traditions and instead introduce new visions and languages based on contemporary artistic and professional practice. For the 2023 edition and for the third year in a row, QS World University Rankings by Subject named NABA as the first and only Italian Academy of Fine Arts among the 100 best universities in the Art & Design field. This achievement confirms the excellence of the Academy's distinctive didactic methodology, revolving around a strong vocation for research and for the constant relationship with the artistic and professional context.
Currently the courses are attended by more than 5,000 students from all over Italy and from over 80 international countries in Milan and Rome Capus. The continued success of NABA is based on the multidisciplinary approach of all its programs and relies upon a well-balanced combination of theory taught by distinguished professionals and practical work with leading companies and studios.","Fine Arts Schools","51-200 employees","Educational","Milan, MI","United States","naba.it","https://www.linkedin.com/company/naba-nuova-accademia-di-belle-arti"
,"Art Marketing Academy","The Art School","Fine Arts Schools","Self-employed","Privately Held","London","United Kingdom",,"https://www.linkedin.com/company/art-marketing-academy"
,"Villa Arson","La Villa Arson est établissement d'enseignement supérieur artistique du ministère de la Culture et composante à personnalité morale de l'Université Côte d'Azur. Unique en son genre, elle réunit dans un même site une école d’art, un centre d’art, une résidence d’artistes et une bibliothèque spécialisée.
Implantée sur la colline Saint-Barthélémy, la Villa Arson occupe un vaste domaine de plus de deux hectares qui offre un splendide panorama sur la ville de Nice et la Baie des Anges. Labyrinthe de béton, de pierres et de plantes entremêlées, où s’imbriquent harmonieusement autour de l’ancienne demeure de la famille Arson, rues intérieures avec patios, amphithéâtres en plein air, terrasses et jardins suspendus.
Conçu dans les années 1960 par l’architecte Michel Marot, cet ensemble architectural singulier, érigé au milieu d’un jardin méditerranéen, est à découvrir par la promenade.
Architecture non dominante et sans façade, elle se déploie sur 17000 m2 en épousant la topographie de la colline.
Des œuvres d’artistes contemporains dialoguant avec l’architecture et les jardins ponctuent la visite.","Fine Arts Schools","51-200 employees","Educational","Nice, Provence-Alpes-Côte d’Azur","France","villa-arson.fr","https://www.linkedin.com/company/villa-arson-nice"
,"School of Calligraphy & Ornamentation","The School of Calligraphy and Ornamentation is a new specialised art school in Fujairah, UAE under the patronage of His Highness Sheikh Mohammed Bin Hamad Alsharqi.","Fine Arts Schools","2-10 employees","Educational","Fujairah","United Arab Emirates","socofujairah.ae","https://www.linkedin.com/company/socofujairah"
,"Academy of Arts, Architecture and Design in Prague","Vysoká škola uměleckoprůmyslová v Praze byla založena v roce 1885. Po celou dobu své existence se řadí mezi nejkvalitnější vzdělávací instituce. Důkazem je množství úspěšných absolventů, kteří patří mezi respektované odborníky s prestiží přesahující hranice České republiky. Škola je rozdělena na šest kateder – architektury, designu, volného umění, užitého umění, grafiky a teorie a dějin umění.
Jednotlivé katedry se dále člení na ateliéry dle své odborné specializace, vedené respektovaným osobnostmi.","Fine Arts Schools","201-500 employees","Educational","Praha 1, Praha","Czechia","umprum.cz","https://www.linkedin.com/company/vysoká-škola-uměleckoprůmyslová-v-praze"
,"Accademia di Belle Arti di Roma","The Accademia (Academy) originates from the ""Accademia di San Luca"", born at the end of the sixteenth century and became the papal seat for artistic studies. At that time it was a prestigious meeting place for artists and at the same time an educational model to be imitated for similar developing institutions.
With the Unity of Italy and with Rome as the capital, there was a need to initiate a reform of art education that would respond to the needs of the young Italian state. A slow process followed which gave birth to didactic typologies oriented towards cultural research and professionalism linked to industrial and artisanal development.

The Academy first took the name of ""Regia Accademia di Belle Arti denominata di San Luca"" (Royal Academy of Fine Arts of San Luca), then ""Istituto di Belle Arti"" (Institute of Fine Arts) and finally defined itself according to the current version ""Accademia di Belle Arti di Roma"" (Academy of Fine Arts of Rome).
The historic complex that houses its premises in Via di Ripetta, traditionally called ""The horseshoe"", was built in the 1840s as a residential building and was adapted to the headquarters of the Academy with the addition of rooms designed specifically for the ""Scuola Libera del Nudo"" (Free School of Nude).","Fine Arts Schools","201-500 employees","Educational","Rome, Latium","Italy","abaroma.it","https://www.linkedin.com/company/accademia-di-belle-arti-di-roma"
,"REA Academy","RomEur Academy è un Accademia di alta formazione professionale nelle arti visive.

Romeur Academy forma futuri professionisti delle arti visive accompagnandoli in un percorso ottimizzato all'inserimento nel mondo del lavoro, con diplomi di II livello europeo e stage presso aziende alla fine dell' anno accademico","Fine Arts Schools","51-200 employees","Educational","Roma, Lazio","Italy","damacademy.it","https://www.linkedin.com/company/damacademy"
,"ANdÉA Association nationale des écoles supérieures d'art","Créée en 1995, l’ANdÉA fédère les écoles supérieures d'art et design sous tutelle du ministère de la Culture. Ces établissements d’enseignement supérieur et de recherche délivrant des diplômes nationaux de niveau Bac +3, Bac +5 et Bac +8, des 3es cycles et post-masters professionnels, sont représentés au sein de l’ANdÉA par plus de 200 membres issus de toutes les catégories d’acteurs : enseignant·e·s, étudiant·e·s, directeurs·ices, administrateurs·ices, chef·fe·s de services. 
Mettant en réseau des écoles territoriales et nationales de toutes envergures et de tous les territoires, l’ANdÉA est une plate-forme de réflexion, une instance de proposition et une force d’affirmation de la spécificité de l’enseignement supérieur artistique par la création. Elle défend un modèle de formation et de recherche singulier qui se caractérise par le primat de la référence au champ artistique contemporain, aux figures de l’artiste et de l’auteur et par une pédagogie fondée sur l’expérimentation, le jugement critique et le projet personnel de l’étudiant·e.","Fine Arts Schools","2-10 employees","Non Profit","PARIS","France","andea.fr","https://www.linkedin.com/company/andea-ecolesart"
,"Miami Arts Charter School","We strive to be the school where students dare to dream. We promise to make sure no doors for students are ever closed. We value the privilege of our role in shaping the future leaders of tomorrow. Together, we will create an inspiring environment that sparks curiosity in all students while developing intellectually and creatively. Free thought will always be protected so that students may pursue their purpose in the world. We will ensure that students always have a path to success in all that they do because they deserve a life full of choice. Since learning is for life and life is about learning, our wish is for our name always to be synonymous with excellence.","Fine Arts Schools","51-200 employees","Educational","Miami, Florida","United States","miamiartscharter.net","https://www.linkedin.com/company/miami-arts-charter-school"
,"Ministry of Art","Ministry of Art is an online platform where professional artists teach live, one-on-one art sessions to children aged 4 to 18.

We create meaningful work opportunities for artists, offering steady income and flexible hours without pulling them away from their creative paths. Our sessions follow a structured curriculum, but every teacher brings their own perspective and approach to the lessons.

We focus on quality, fairness, and care in how we work with both artists and families. If you’re an artist or educator who believes in thoughtful, skill-based art instruction, we’d love for you to get to know us.","Fine Arts Schools","51-200 employees","Privately Held","Dubai","United Arab Emirates","ministryofart.co","https://www.linkedin.com/company/ministryofart"
,"Programa Jovem Monitor Cultural (PJMC)","Política pública de formação em gestão e produção cultural para as juventudes da cidade de São Paulo.","Fine Arts Schools","501-1,000 employees","Educational","São Paulo, SP","Brazil","prefeitura.sp.gov.br","https://www.linkedin.com/company/programa-jovem-monitor-cultural-pjmc"
