"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"SIBCA","From humble beginnings in 1977, SIBCA has grown to become a leading Solution Integrator Provider in UAE for Fire Protection and Life Safety Systems, Security Systems, HVAC, Building Management Systems, ELV Systems, Audio Visual Systems, Information & Communications Technology (ICT).

With more than 2000 dedicated staff working across UAE, Bahrain, Qatar, Jordan, Saudi Arabia and India we have built a reputation of trust and excellence over the last 46 years with our end users and contractors.","Fire Protection","1,001-5,000 employees","Privately Held","Abu Dhabi, Abu Dhabi","United Arab Emirates","sibca.com","https://www.linkedin.com/company/sibcaofficial"
,"The Institution of Fire Engineers","The IFE is the international professional body for those in the fire sector that seek to increase their knowledge, professional recognition and understanding of fire through a global discourse. With over 100 years of history, the IFE is instrumental in shaping a future world that is safer from fire.

Through its ceaseless betterment and sharing of knowledge, the IFE has led the way in enabling fire professionals to become rigorously assessed through a well-established and dynamic system of internationally recognised membership grades and fire-related qualifications. Licensed by the Engineering Council, the IFE upholds professional standards within both public and private fire sectors.

Managed for fire professionals by fire professionals, the IFE aims to promote, encourage and improve the science, practice and professionalism of fire engineering, acting as a beacon of established expertise, guiding the way to a fire safe future.","Fire Protection","11-50 employees","Non Profit","Stratford-upon-Avon, Warwickshire","United Kingdom","ife.org.uk","https://www.linkedin.com/company/the-institution-of-fire-engineers"
,"Lichfield Fire and Safety Equipment (LIFECO)","Lichfield Fire & Safety Equipment Co. Ltd. (LIFECO), has been a global leader in supplying products covering the full range for fire detection, prevention, extinguishing and suppression system. LIFECO, with its world headquarters is located in United Kingdom and is well poised to serve a variety of International markets in addition to fulfilling the local market demand.

LIFECO serves Civil Defence, Industrial, Commercial and Consumer markets with its wide range of quality and innovative products. LIFECO is represented globally with its well knit National and International infrastructure dealer network. The Company's strengths are underpinned by a highly skilled workforce, and a diverse range of quality products and services that aims to provide a 'one stop shop' to satisfy all of our Customers Fire and Life Safety requirements.

LIFECO has remained at the forefront of the Fire Fighting Equipment market by constantly striving to provide innovative solutions and services that surpass Customers' expectations and by tirelessly seeking to improve quality standards. To this end, the company maintains a quality management system ISO 9001:2008, accredited by BSI (British Standards).  In addition LIFECO products, where applicable, hold accreditations issued by major inspection organisations such as Loss Prevention Certification Board (LPCB), Kitemark, FM Approvals and Underwriters Laboratories (UL). It has been a global leader in supplying products covering the full range for fire detection, prevention, extinguishing and suppression system. Our diverse range of products continues to be refined and evolved to meet its customer needs.  LIFECO is centrally located within the United Kingdom, but due to the exceptionally high demand for its products and services in the MENA region, LIFECO expanded and establish its sales and distribution office in Dubai for providing its customers with the increased sales support, and a faster delivery schedule.","Fire Protection","51-200 employees","Privately Held","Birmingham","United Kingdom","lifeco-uk.com","https://www.linkedin.com/company/lifeco-uk"
,"SFFECO","SFFECO (Saudi Factory for Fire Equipment Co.), an ISO 9001 certified manufacturing company by BRE Global, is a market leader and specialize in manufacturing of fire-fighting equipment in the world. Headquartered in Riyadh-KSA, SFFECO has a long standing established reputation for pioneering innovation ever since its foundation in 1983. It has its state-of-the-art manufacturing plant producing end-end range of products for the fire fighting industry matching international standards in quality in KSA and UAE. It is represented in globally in over 100 countries worldwide with its highly knit distributor and dealer network. 

•	EN3 Fire Extinguishers (largest range in the world) with CE and Kitemark
•	UL Listed HFC227ea clean agent fire suppression system – SFFECO-227
•	UL Listed Fire Pumps
•	UL / ULC Fire Doors
•	UL / FM Dry Barrel Fire Hydrants and Standard Wet Barrel Fire Hydrants
•	KitchenHood Systems
•	EN671 Standards approved Fire Hose Reels
•	EN694 approved Semi Rigid Hose
•	UL Listed Fire Hose Reel Cabinets
•	UL Foam Liquid Concentrates and Foam Equipment Systems
•	UL Listed Fire Alarm System and Equipment
•	UL Listed Sprinklers & Water Spray System
•	BSI Kitemark Landing Valves and Riser Equipments
•	Water/Foam Deluge System
•	Custom-made specialized units like BacPac portable water mist system, hose reel stations, trailers etc.","Fire Protection","1,001-5,000 employees","Privately Held","Riyadh, KSA","Saudi Arabia","sffeco.com","https://www.linkedin.com/company/sffeco"
,"GnP Consulting & Engineering Pvt. Ltd.","G&P established themselves as a engineering Solutions company catering to industries i.e. FMCG, Pharma, Manufacturing, Consumer Durables, Utilities / Power and Oil & Gas. The company offer end to end solutions for MEP design & layout, Fire protection, HVAC / Climate Control, and Bulk storage and many more

Solutions for Wide Spectrum in Industries -  
From complex Fire protection system design, Bulk storage solutions, HVAC / Climate control solutions, and  MEP consulting. Successfully delivered projects to global MNCs / key clients i.e. Amcor Flexibles, Renewsys, Pidilite, Panasonic, PI Industries and many more","Fire Protection","11-50 employees","Privately Held","Vadodara, Gujarat","India","gnpengg.com","https://www.linkedin.com/company/gnp-consulting-engineering-pvt-ltd"
,"BHLM Engineers Pvt. Ltd.","BHLM, an ISO 9001 certified company, has established themselves as a engineering Solutions company catering to industries i.e.
*Oil & Gas,
*Chemical,
*Petrochemical,
*Pharmaceutical,
*FMCG,
*Aviation,
*Power &
*Warehouse.
The company offer end to end solutions for Fire protection & Alarm System, HVAC System, Bulk Storage Tanks, Solar System and Asset Management","Fire Protection","11-50 employees","Privately Held","Vadodara, Gujarat","India","bhlm.in","https://www.linkedin.com/company/bhlm-engineers-pvt-ltd"
,"Bristol Fire Engineering","Bristol Fire Engineering stands out as a trusted fire fighting company in the UAE. Specializing in cutting-edge fire safety solutions, we offer top-quality fire protection systems and firefighting equipment. Renowned as one of the leading manufacturers and fire safety companies in UAE and globally, we prioritize the utmost safety and protection for our clients. With our expertise and innovative solutions, trust us to safeguard lives and properties effectively. Bristol Fire Engineering a name synonymous with reliable and comprehensive fire safety solutions.","Fire Protection","501-1,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","bristol-fire.com","https://www.linkedin.com/company/bristol-fire-engineering"
,"Magirus GmbH","Magirus – more than 160 years of innovation and tradition in firefighting technology

The best firefighting vehicles are built by firefighters. This fact was known to Conrad Dietrich Magirus, firefighter by passion, visionary and founder of our company more than 160 years ago. In keeping with this tradition, today we at Magirus build the most modern and reliable firefighting vehicles and equipment. And today many employees at Magirus are trained comrade firefighters who know exactly what's needed on the job.

The work of our comrades in firefighting services around the world is an inspiration as well as motivation, since their mission is what drives us. This is also the reason why the equipment, vehicles and solutions we develop for our comrades are among the best in the world. 

For more than 160 years now they have been making firefighters' lives easier and their work safer. Today at Magirus fire brigades find a comprehensive range of first-class, reliable firefighting vehicles ranging from turntable ladders, to pumpers and rescue vehicles, robots, fire pumps and equipment.

Magirus employs more than 1,400 people at its four sites: Ulm/Germany, Graz/Austria, Brescia/Italy and Chambéry/France.","Fire Protection","1,001-5,000 employees","Privately Held","Ulm","Germany","magirusgroup.com","https://www.linkedin.com/company/magirus-gmbh"
,"FIRE GATE SAFETY & SECURITY SYSTEMS","FIRE GATE SAFETY & SECURITY SYSTEMS:

Over 2 Decades of Excellence in Fire industry in United Arab Emirates (UAE), Kingdom of Saudi Arabia (KSA).

Company Profile: 
We Design, Build / Integrate, Maintain (AMCs), Provide Turnkey Solutions, Fire Detection Alarm systems, Central Battery System (CBS) & Monitoring Emergency Exit light system, Fire Protection, Fire Fighting, Clean Agent Inert Gas Suppression systems. 
Our Products are UL, FM, SIRA, Vds, TUV, DNV, BV, SIL2, exida, NFPA, CFPS, Certified.
Dubai & Abu Dhabi Civil Defense “A” category approved
ISO 9001, 14001 and 45001, ICV, CMW Certified
Inhouse Manpower Capacity 500+
ADNOC registered for Onshore & Offshore Oil & Gas Fields and Facilities services
Registered & Approved with all leading Consultants & Clients in the UAE
 
Sectors We Serve:
Onshore and Offshore Oil & Gas, Fuel Storage Tanks, Power Plants, Airports, Tunnels, Hangars, Foam Generators, Commercial, Malls, High Rise Buildings, Residential, Industrial Plants, Retail, Warehouses, In-racking Sprinkler System, Cold Storage, Data Center, Restaurant / Hotel, Electrical Rooms, Hydrant & HDPE Network.
 
Systems We Offer:
Extra Low Voltage (ELV) System, Addressable Fire Detection Alarm System, Public Address Voice Evacuation (PAVE) System, Central Battery System (CBS) & Monitoring Emergency Exit Light (EEL) System, Linear Heat Detection (LHD) System, Aspirated Smoke Detection (ASD) System, Building Automation, Smoke Control System, Security Systems, Flame Fire & Gas Detection.

Fire Protection Mechanical Systems: 
Aerosol System, Foam Systems, Standpipe System, Deluge System, Clean Agent FM-200, NOVEC-1230 System, Inert Gas Suppression System, HP/LP CO2 System, Commercial Wet Chemical Kitchen Hood Suppression System, Sprinkler System, Fire Pump System, Water Mist System, Pre Action-System, Hydrant System & HDPE Network.

Our Partners:
Siemens, Rotarex Firetec, Pumpsense, Profit, FGD, Salgrom-X, VoiEvac, Viva, Finder, Frontier UK, Pemall USA, Distech Controls.","Fire Protection","201-500 employees","Privately Held","Dubai","United Arab Emirates","firegate.ae","https://www.linkedin.com/company/fire-gate"
,"Pano AI","Pano AI (Pano) is the leader in early wildfire detection and intelligence, providing government, utilities, insurers, and private landowners with advanced tools and realtime situational awareness to quickly mitigate wildfire threats while protecting lives, property, and the environment.

Pano combines advanced hardware, artificial intelligence, and software in a single integrated enterprise solution. Leveraging data and satellite feeds, as well as propriety imagery from a network of ultra-high-definition, 360-degree cameras atop high vantage points, Pano’s artificial intelligence model produces a real-time picture of threats in a geographic region and delivers immediate, actionable intelligence.

Pano is based in San Francisco with a team of experienced technology professionals–from companies including Cisco, Tesla, Apple, Salesforce, and Nest–who are on a mission to give firefighters advanced tools to safeguard lives, communities, and the environment. Recently, Pano has been featured on Fox Business News, the San Francisco Chronicle, Morning Brew, and T&D World Magazine. Learn more at https://www.pano.ai/.","Fire Protection","51-200 employees","Privately Held","San Francisco, CA","United States","pano.ai","https://www.linkedin.com/company/pano-ai"
