"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Copeinca","Somos la empresa pesquera líder en el Perú, dedicados a la extracción, procesamiento y producción de harina y aceite de pescado.

Estamos comprometidos con el desarrollo sostenible asegurando la pesca responsable del recurso y realizando proyectos de responsabilidad social y ambiental, contribuyendo con el crecimiento del país y generando valor a todos nuestros grupos de interés. 

Nuestros productos gozan de la mejor calidad utilizando como materia prima a la anchoveta (Engraulis ringens), fuente rica en proteína y ácidos grasos poliinsaturados omega 3 como EPA y DHA.","Fisheries","1,001-5,000 employees","Privately Held","Santiago de Surco, Lima","Peru","copeinca.com.pe","https://www.linkedin.com/company/copeinca"
,"Industrial Pesquera Santa Priscila","Desde 1976 Industrial Pesquera Santa Priscila S.A. produce y exporta camaron ecuatoriano (Litopenaeus Vannamei)  Hemos sido pioneros y formamos parte del continuo desarrollo de la acuaultura ecuatoriana. Somos mas de 6000 personas que formamos parte de la familia IPSP y tenemos como objetivo lograr las mejores condiciones sociales, ambientales y economicas dentro de la industria. Durante 38 años, nuestro trabajo nos ha permitio una integracion total, desde programas geneticos, laboratorios, piscinas, alimento balanceado, plantas empacadoras y exportacion.","Fisheries","501-1,000 employees","Privately Held",,,"santa-priscila.com","https://www.linkedin.com/company/santapriscilaec"
,"GRUPO CORPORATIVO FAJARDO","En Grupo Corporativo Fajardo transformamos el cultivo de camarón mediante procesos innovadores y sostenibles con excelencia operacional, desarrollando talento y marcando la diferencia en cada etapa de nuestra industria.","Fisheries","1,001-5,000 employees","Privately Held","Durán, Guayas","Ecuador",,"https://www.linkedin.com/company/grupocorporativofajardo"
,"Cofimar S.A.","Our group owns more than 2,500 hectares of shrimp farms that have been certified by the National Fisheries Institute (Instituto Nacional de Pesca). We also have laboratories from which we source larvae for planting, which are managed under organic standards. This guarantees the quality and reliability of our shrimp from the very beginning, right up until it reaches the final consumer. At COFIMAR, we are committed to an international expansion program for our production.","Fisheries","1,001-5,000 employees","Privately Held","Guayaquil, Guayas","Ecuador","cofimar.ec","https://www.linkedin.com/company/cofimarec"
,"Camanchaca SA","Camanchaca inició operaciones en Chile el año 1965, con una actividad centrada en la pesca y procesamiento de camarones y langostinos. En 1980, un cambio de dirección en la empresa trajo como resultado una estrategia de diversificación hacia otros productos del mar, incluyendo la acuicultura, lo que impulsó un crecimiento uniforme y constante. En la actualidad, Camanchaca participa en los negocios de pesca extractiva en el norte y sur de Chile, en la acuicultura del Salmón Atlántico y en el cultivo de Mejillones y Abalones. Sus operaciones se desarrollan desde el norte de Chile, en Iquique hasta el sur del país, a lo largo de 6,640 kilómetros de costa. Este crecimiento la ha llevado a un lugar de privilegio en los mercados internacionales, exportando a más de 50 países.

En el área de pesca, Camanchaca ha ido orientando su producción cada vez más hacia el consumo humano, incluyendo el jurel congelado y en conservas, langostinos y aceites ricos en Omega 3, además de la producción de harina de pescado.

En el área de salmones, la Compañía se convirtió en la primera empresa productora de salmón en todo el mundo en obtener cuatro estrellas para la certificación Best Aquaculture Practices (BAP), provisto por la Global Aquaculture Alliance (GAA). Esta norma es muy valorada por consumidores, retailers y operadores de Food Service en todo el mundo, y garantiza que la producción de salmón se realiza de forma ambiental y socialmente responsable, y que es un producto seguro para el consumo humano.

Además, destaca que Camanchaca es miembro fundador del Global Salmon Initiative (GSI), alianza que representa aproximadamente el 50% de la producción de salmón de cultivo en el mundo y que reconoce el rol de la salmonicultura para satisfacer en forma sustentable la creciente demanda por proteínas sanas del mundo en las siguientes décadas, haciendo progresos significativos a nivel de la industria.

Con el fin de establecer una presencia cercana en los mercados estratégicos en los que se comercializan sus productos, la Compañía ha establecido oficinas o representaciones comerciales en Estados Unidos, Japón, Europa y más recientemente en Centroamérica/Caribe y en China/Sudeste Asiático; en este último mercado desarrollando la marca New World Currents junto a otros productores chilenos; además de sus oficinas corporativas en Santiago de Chile.
Todos en Camanchaca están comprometidos con su misión de “alimentar el mundo desde el mar”, entregando pescados y mariscos de primera calidad.","Fisheries","1,001-5,000 employees","Privately Held","Santiago, Las Condes","Chile","camanchaca.cl","https://www.linkedin.com/company/camanchaca-sa"
,"Grupo Diosmar","Grupo Diosmar is an Ecuadorian company with more than 20 years of experience in the aquaculture industry, dedicated to the production and export of premium shrimp.

With over 3,300 hectares of sustainable farming, we ensure full traceability, quality, and excellence across every stage of our process.

Exporting from Ecuador to the world, we proudly deliver shrimp recognized for its superior flavor, freshness, and responsibility toward the environment.

Quality, trust, and sustainability — that’s the Diosmar seal.","Fisheries","1,001-5,000 employees","Privately Held","Guayas","Ecuador","grupodiosmar.com","https://www.linkedin.com/company/grupo-diosmar"
,"Pesquera Exalmar SAA","Pesquera Exalmar S.A.A. es una empresa líder en el sector pesquero. Con 33 años de trayectoria, participa en la captura, procesamiento y comercialización de productos marinos de calidad y alto valor proteico. Actualmente, cuenta con un 18% de participación en la industria, lo que la posiciona como la tercera empresa en procesamiento de harina y aceite de pescado, en un país que se ha consolidado como el primer productor y exportador de dichos productos a nivel mundial. Su estrategia de sostenibilidad se basa en una pesca y procesamiento responsable y sostenible, para la creación de valor económico, social y ambiental a lo largo de la cadena de valor y comunidades de su entorno.","Fisheries","1,001-5,000 employees","Privately Held","Lima, Lima","Peru","exalmar.com.pe","https://www.linkedin.com/company/pesqueraexalmar"
,"PT. Central Proteina Prima, Tbk","We are the dominant integrated aquaculture industry and foods producer company and we continuously set the global standards for superior market-driven products with our innovation and management.

PT Central Proteina Prima Tbk (CP Prima) is a leading aquaculture company in Indonesia which was incorporated in April 1980. CP Prima produces and sells feed, fry, pet food, probiotics, and shrimp products  and processed food products for domestic and export markets. Not only in Indonesia, we have also expanded our wings in supplying innovative feeds to India market, and shrimp products to international markets like Vietnam, China, Japan, USA, Canada, United Kingdom, Belgium, France, Netherland, Germany and New Zealand, tuning each needs based on each country’s regulations and standards respectively. Our shrimps feed has recently landed in India in 2014, gaining pleasant responses from the market within a short period of time.

Become a fan on Facebook.com/CPPrima 
Follow us on Twitter.com/CPPrima","Fisheries","1,001-5,000 employees","Public Company","South Jakarta, Jakarta Capital Region","Indonesia","cpp.co.id","https://www.linkedin.com/company/pt-central-proteina-prima-tbk"
,"Fisheries Development Oman","الحساب الرسمي للشركة تنمية أسماك عمان   The Official Account of Fisheries Development Oman (FDO)","Fisheries","51-200 employees","Government Agency","Muscat, AlQurm, Other","Oman",,"https://www.linkedin.com/company/foodcapital"
,"AquaBioTech Group","AquaBioTech Group is a global consulting and engineering company with over 25 years of experience in aquaculture, fisheries and other aquatic sciences. 

Detailed information about each entity within the group can be obtained by clicking directly on the name of the entity concerned. The main contact points are also listed below.

AquaBioTech Group is an independent aquaculture, fisheries and marine environmental consulting, testing, research and development company operating on a global scale with clients and projects in over fifty-five countries.  Each division of the company is focused on a specialised field of work related to the aquatic environment.  
 

Primarily involved in Consulting, Advisory and Training (CAT) for aquaculture, fisheries and other marine / oceanographic projects; Testing, Research, Inspection and Certification (TRIC) work in our aquatic research facilities; and the development of land-based fish and shrimp farms and aquatic research facilities using our proprietary RAS technology in our Design Engineering Technology Services (DETS) Division, we seek to offer a complete and holistic service to our clients.  

Staff working at AquaBioTech Group are all considered specialists in their relevant area of work and the company has sought to create a multi-national team of more than 115 in-house experts from more than thirty-five countries that have a variety of backgrounds and experiences bringing a wealth of knowledge and experience to any assignment undertaken.  

AquaBioTech Group is an export focused business that has consistently derived more than 98% of its business from outside of Malta and continues to seek to internationalise its business in all three core sectors of the business.","Fisheries","51-200 employees","Privately Held","Mosta","Malta","aquabt.com","https://www.linkedin.com/company/aquabiotech-group"
