"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Kopi Kenangan","Kopi Kenangan is a coffee chain with more than 1000 stores globally. We are in Indonesia, Malaysia, Singapore, Philippines, India and Australia.  We became the 1st F&B Unicorn in SE Asia in December 2021.  We are Halal Certified and was named Brand of The Year winner in the Café Chain Category Indonesia by The World Branding Awards 2025 – 2026. 

Our mission is to serve high quality coffee, made with the freshest Indonesia sourced ingredients to customers in Indonesia and the rest of the world. 

Other brands under our umbrella are Kenangan Coffee (@kenangancoffee.my; @kenangancoffee.sg and @kenangancoffee.in), Chigo (@chigo.id) and Kenangan Hanyauntukmu (@kenangan.hanyauntukmu).

We have a culture that rewards results and impact.  We work as a team and move fast to respond to market and consumer needs.  Our people are agile, result driven, and passionate in delivering quality products and services to our customers.

For a full listing of career opportunities with us, visit http://www.kopikenangan.com/careers or follow us @insidekopikenangan","Food and Beverage Retail","5,001-10,000 employees","Privately Held","Daerah Khusus Ibukota Jakarta, Jakarta","Indonesia","kopikenangan.com","https://www.linkedin.com/company/kopi-kenangan"
,"Jollibee Group","Jollibee Foods Corporation (PSE: JFC) (the ""Company"") is one of the world’s fastest-growing restaurant companies, driven by its purpose of spreading joy through superior taste. It manages and operates a portfolio which includes 19 brands (the ""Jollibee Group"") with over 10,000 stores and cafés across 33 countries.

Learn more about the Jollibee Group at www.jollibeegroup.com.","Food and Beverage Retail","10,001+ employees","Public Company","pasig","Philippines","jollibeegroup.com","https://www.linkedin.com/company/jollibee-group"
,"Arcos Dorados","ESPAÑOL:

Arcos Dorados es el mayor franquiciado independiente de McDonald’s del mundo en términos de ventas en todo el sistema y en número de locales. La compañía es la cadena de restaurantes de servicio rápido (""QSR"") más grande en América Latina y el Caribe. Tiene el derecho exclusivo a poseer, operar y otorgar franquicias de locales McDonald’s en 21 países y territorios de América Latina y el Caribe, incluyendo Argentina, Aruba, Brasil, Chile, Colombia, Costa Rica, Curaçao, Ecuador, Guyana Francesa, Guadalupe, Martinica, México, Panamá, Perú, Puerto Rico, St. Croix, St. Martin, St. Thomas, Trinidad y Tobago, Uruguay y Venezuela. La compañía opera o franquicia 2500 restaurantes McDonald’s con más de 100.000 empleados y es conocida una de las mejores empresas para trabajar en América Latina. Arcos Dorados cotiza en la Bolsa de Valores de Nueva York (NYSE: ARCO). 


PORTUGUÊS: 

A Arcos Dorados é a maior franquia independente do McDonald’s do mundo, tanto em vendas totais do sistema como em número de restaurantes. A Companhia é a maior rede de serviço rápido de alimentação da América Latina e Caribe, com direitos exclusivos de possuir, operar e conceder franquias de restaurantes McDonald’s em 21 países e territórios, incluindo Argentina, Aruba, Brasil, Chile, Colômbia, Costa Rica, Curaçao, Equador, Guiana Francesa, Guadalupe, Martinica, México, Panamá, Peru, Porto Rico, St. Croix, St. Martin, St. Thomas, Trinidad & Tobago, Uruguai e Venezuela. A Companhia opera ou franqueia mais de 2.400 restaurantes McDonald’s com mais de 100.000 funcionários e é reconhecida como uma das melhores empresas para se trabalhar no América Latina. A Arcos Dorados está listada na Bolsa de Valores de Nova York (NYSE: ARCO).","Food and Beverage Retail","10,001+ employees","Public Company","Montevideo, Montevideo","Uruguay","arcosdorados.com","https://www.linkedin.com/company/arcosdorados"
,"CELSIUS","Celsius Holdings, Inc. is a global beverage company and maker of premium, lifestyle energy drink CELSIUS – the better-for-you, zero-sugar alternative to traditional energy drinks. CELSIUS inspires global communities of fitness enthusiasts and promotes active lifestyles by disrupting the rapidly growing performance energy space.

CELSIUS inspires people to LIVE FIT by empowering them to achieve their daily goals and maintain an active lifestyle. Living fit is about more than just fitness, it’s a mindset and a lifestyle embodied by those who push their limits and hustle every day. Every drop is Essential, and every fruit-forward flavor is refreshing, functional and balanced. With an expansive portfolio of flavors and formats, from CELSIUS to Fizz-Free to On The Go powders, CELSIUS is the perfect pick-me-up to help individuals LIVE FIT every day.","Food and Beverage Retail","501-1,000 employees","Public Company","Boca Raton, Florida","United States","celsiusholdingsinc.com","https://www.linkedin.com/company/celsius-inc-"
,"Liquid Death","As one of the fastest growing non-alcoholic beverage brands, Liquid Death uses comedy and entertainment to make health and sustainability 50 times more fun. We take low-calorie beverages and package them into infinitely recyclable cans that compete with the fun marketing of unhealthy brands across energy drinks, beer, and junk food. Our product lines include mountain water, soda-flavored sparkling water, iced tea, better-for-you energy, and more. A portion of Liquid Death’s proceeds goes to nonprofits who are helping fight plastic pollution and further our death to plastic bottles sustainability mission.","Food and Beverage Retail","201-500 employees","Privately Held","Los Angeles, California","United States","liquiddeath.com","https://www.linkedin.com/company/liquid-death"
,"Super Food Holding","Somos Super Food Holding , el equipo administrativo que impulsa el crecimiento y expansión de todos nuestros formatos: plazaVea, Vivanda, tiendas Mass, Makro, Oslo Logistics y Merkao. Síguenos en nuestro IG Oficial @ViveSuperFoodHolding y conoce mucho más de nosotr@s. 

Somos parte del grupo Intercorp y estamos comprometidos con nuestro propósito: que nuestros clientes sean prioridad en todo lo que hacemos.

POLITICA DE CALIDAD
El equipo de calidad de Super Food Holding se compromete a normar, estandarizar y controlar el sistema de gestión de calidad de las diferentes empresas a las cuales brinda servicio, de acuerdo con sus requisitos establecidos y normas legales aplicables a la calidad, higiene e inocuidad alimentaria; con un enfoque sistémico, disciplinado, sostenible, basado en riesgos y de mejora continua, buscando superar las expectativas de sus clientes y demás partes interesadas.","Food and Beverage Retail","501-1,000 employees","Self Owned",,,,"https://www.linkedin.com/company/super-food-holding"
,"ORGANIC INDIA","At the heart of ORGANIC INDIA is our commitment to be a living embodiment of love and consciousness in action. We work with thousands of small family farmers in India to cultivate tens of thousands of acres of sustainable organic farmland.

All ORGANIC INDIA products support health and True Wellness and are made with loving care. Each product is one link in a chain of connectedness between Mother Nature, our farmers and you. By choosing ORGANIC INDIA you are completing this chain, actively participating in our mission to create a sustainable environment of True Wellness, providing training and a life of dignity to our farmers, and bringing health, happiness and True Wellness to you.

All of our farmers and tribal wildcrafters are educated in organic and biodynamic agricultural practices. We pay all the fees associated with acquiring the necessary organic certifications for them, and then we purchase the harvested crops and herbs at a premium market price. The farmers also rotate between growing crops on their land for ORGANIC INDIA with food crops for themselves. This means farming families are supported by a sustainable income, while at the same time improving and preserving their own health and natural environment.

ORGANIC INDIA is committed to being a trustworthy and innovative global leader by providing genuine True Wellness products. Our advanced processing methods and dehydration technologies ensure that our herbs retain their maximum level of potency for the highest quality, most effective, pure and natural True Wellness products available in the market today. Our success serves as living proof that shared abundance can be created with an uncompromising commitment to environmental and social responsibility. In living this vision, we are inspired to introduce a new standard for new paradigm companies:

ORGANIC INDIA is proud to announce its partnership with FabIndia, India's largest private retail platform for craft-based products.","Food and Beverage Retail","501-1,000 employees","Privately Held","New Delhi, Delhi","India","organicindia.com","https://www.linkedin.com/company/organicindia"
,"Javvy Coffee","Forward thinking coffee with a focus on flavor. Reimagine your daily grind ","Food and Beverage Retail","51-200 employees","Privately Held","New York","United States","javvycoffee.com","https://www.linkedin.com/company/javvy-coffee"
,"Gerber","Gerber Products Company was founded in 1928 in Fremont, Michigan. Gerber joined the Nestlé family on September 1, 2007. Gerber is a leader in early childhood nutrition. At Gerber, research informs everything we do – from the products we make, the nutrition education we deliver and the services we offer. Gerber provides resources from the Feeding Infants and Toddlers Study (FITS) for health care professionals at Medical.Gerber.com/FITS and for parents at Gerber.com.","Food and Beverage Retail","1,001-5,000 employees","Public Company","Arlington, VA","United States","nestlejobs.com","https://www.linkedin.com/company/nestlegerber"
,"APAS - Associação Paulista de Supermercados","A Associação Paulista de Supermercados (APAS) é a maior entidade de classe do setor supermercadista brasileiro. Com uma Sede e 3 Distritais na cidade de São Paulo, a APAS possui 13 Sedes Regionais estrategicamente distribuídas por todo o Estado de São Paulo.

Agente promotor da modernização institucional do País, a APAS atua de forma construtiva, ao lado do poder público, na consolidação de um ambiente de negócios favorável ao crescimento do setor supermercadista, da geração de empregos e do desenvolvimento sustentável do estado de São Paulo e do Brasil. 

Em nossa premissa, conferimos a todos os nossos associados, às autoridades nacionais e internacionais, bem como aos diferentes stakeholders das várias cadeias produtivas que compõem o mix de produtos comercializados no varejo de alimentos e bebidas, um tratamento homogêneo.","Food and Beverage Retail","51-200 employees","Privately Held","São Paulo, SP","Brazil","apas.com.br","https://www.linkedin.com/company/apas-sp"
