"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Vulcabras","We have a dream: to build a better country through sport.
Vulcabras was born in 1952, but it was in 1973 that sport entered our DNA. Today, our sports brands Mizuno, Olympikus and Under Armor bring technology and innovation to all athlete profiles.

With Olympikus, we are partners in the democratic ""run"" of everyday life, offering sports technology with the best cost-benefit ratio.

With Under Armour, the third largest multisport brand in the world, we offer an ecosystem of sports products for the entire athlete's journey.

And with Mizuno, beginners or running professionals will have the product they need to perform even more.

We are more than 17,000 employees working to provide the practice of sport for all Brazilians and contribute to the development of the country.

We invest millions to have the most innovative technologies for the development and production of sporting goods in the world.

We support Brazilian sport and today we sponsor major events and national athletes. The company is present inside and outside Brazil, with more than 19 thousand points of sale in the country and in more than 20 countries.

We are Vulcabras and we live for the sports.","Footwear Manufacturing","10,001+ employees","Public Company","Jundiaí, São Paulo","Brazil","vulcabras.com","https://www.linkedin.com/company/vulcabras"
,"Schoenen.ma Pro","une variété des gammes de cuir pour une élégance professionnelle pour les particuliers. Nous désignons aussi une variété de gamme de chaussures confortables aux besoins de vos salariés à savoir conducteurs, chauffeurs VIP, Agent de gardiennage ...etc.","Footwear Manufacturing","Self-employed","Self Owned","Casablanca, Maroc","Morocco",,"https://www.linkedin.com/company/chaussuresmaroc"
,"Bracol","Há mais de 30 anos, consolidamos nossa presença como líderes no mercado, dedicados ao propósito singular de proporcionar proteção com estilo àqueles que impulsionam o mundo. Anualmente, produzimos mais de 20 milhões de pares de calçados, unindo a expertise de profissionais especializados, as mais refinadas matérias-primas, tecnologias de vanguarda e um compromisso inabalável com a sustentabilidade.

Destacamo-nos como a maior empresa da América Latina na fabricação de calçados de segurança e botas impermeáveis, sustentando nossa excelência por meio de quatro plantas industriais estrategicamente localizadas. Compreendemos integralmente que cada setor possui necessidades específicas, razão pela qual adotamos uma abordagem personalizada, proporcionando soluções exclusivas nos segmentos de proteção para os pés, cabeça e prevenção contra quedas.

Agradecemos sinceramente por explorar nosso perfil e estamos prontos para colaborar de maneira proativa, contribuindo para o sucesso e segurança de sua operação. Seja bem-vindo à BRACOL - Elevando a Proteção a um Novo Patamar.","Footwear Manufacturing","1,001-5,000 employees","Privately Held","Lins, São Paulo","Brazil","bracol.pro","https://www.linkedin.com/company/bracolpro"
,"Pou Chen Group Indonesia","Pou Chen Group, the largest branded athletic and casual footwear manufacturer in the world, is an OEM/ODM for major international brand name companies such as Nike, Adidas, Asics, New Balance, Timberland, and Salomon. As a global leader in the manufacture of branded athletic and casual/outdoor footwear, the Group produced 238.3 million pairs of shoes last year.

Founded in Taiwan, Pou Chen Group currently has its manufacturing factories and retailing sites throughout Taiwan, China, Indonesia, Vietnam, and other areas in Asia.

Our vision is to benefit healthy lives by providing the most valuable solutions in the sports industry and beyond. We commit ourselves to provide the best services and products supported by technology-based solutions to be the most valuable platform steered by smart manufacturing and innovative services.","Footwear Manufacturing","10,001+ employees","Public Company","Serang, Banten","Indonesia","pouchen.com","https://www.linkedin.com/company/pouchengroupindonesia"
,"PT Tah Sung Hung (TSH)","Tah Sung Hung plant are new plant in Brebes, Central Java Province that was recently relocated from Tangerang, Banten Province. The staffs here have extensive adidas production experience through innovative processes and sustainability approach, we strive to integrate sustainability into our business from product creation through manufacturing. With high quality process and standard procedure, we make sure our best way to produce our product right at the first time. 

This plant has in building centralised operation and digital management system that built on high efficiency and flexible production mechanism. To maximised and to improved our production capacity and quality, we are constantly looking for a better way to create our product, preserve the resources by implementing energy-saving machinery, and through the innovative processes we could increase efficiencies, and greater use of environmentally preferred materials has become one of the way. 

To minimising carbon footprint in the production processes has been prior strategy in TSH. Tah Sung Hung we have a deep-rooted commitment towards our employees, factory workers as well as people living in community where we operate and we will continue to drive change for the people that make our products. The task ahead of us is a marathon not a sprint, and we will continue to be committed to this journey.","Footwear Manufacturing","5,001-10,000 employees","Public Company","Brebes, Jawa Tengah","Indonesia",,"https://www.linkedin.com/company/pt-tah-sung-hung-shyang-shin-bao-group-manufacturer-of-adidas"
,"Shafi Private Limited","Welcome to our official Shafi (Pvt.) Limited LinkedIn page.
Shafi (Pvt.) Limited has state-of-the-art equipment and technology from Germany and Italy, which enables it to produce round-about 4,000 pairs per day, a major part of which is exported to such sophisticated markets like European and Far Eastern countries.
•	Year of Establishment: 1989
•	Products:Leather Footwear
•	No. of Export Countries:25
•	Annual Production Capacity:1 Million Pairs
•	Number of Employees:500

Shafi (Pvt.) Limited has a vision and mission of attainting leadership position internationally by establishing its own brand name urbansole. As a team, we are dedicated to do things right the first time, conforming to all known requirements, and providing on-time defect-free products to our customers. We provide superior quality research and development that meet the highest standards of professional performance and satisfy client requirements.","Footwear Manufacturing","501-1,000 employees","Privately Held","Lahore , Punjab","Pakistan","shafishoes.com","https://www.linkedin.com/company/shafi-private-limited"
,"Service Global Footwear Ltd.","SGFL is the largest footwear exporter of Pakistan and part of the Service Group. (est. 1941). 
We are working extensively in the global footwear industry for decades now.
SGFL – a dynamic leader in crafting high-quality, stylish, and durable footwear for diverse markets. With a strong focus on innovation, comfort, sustainability, and customer-centric solutions. 
We have established ourselves as a key partner for some of the biggest names in Global Footwear Market.
Why Service Global Footwear Ltd.?
- Fully Integrated Footwear Manufacturers.
- One of Asia’s first solar-powered footwear manufacturers
- Annual capacity of 5.0M pairs
- In-house capability for mold shops and outsoles (TPR, PU, EVA, Rubber & PVC)
- Sourcing & Supply Chain Office in China.
- Zero import duty on footwear and uppers from Pakistan to the EU/UK.","Footwear Manufacturing","1,001-5,000 employees","Public Company","Lahore, Punjab","Pakistan","sgfl.co","https://www.linkedin.com/company/sgfl"
,"Base Protection","Comfort is what has inspired Base Protection from its first day of activity. The company produces safety footwear, combining technology and functional requirements,  to respond to professional and more demanding clients. The Research and Development activity has brought to different patents that make the shoe desirable to wear even after work. The company’s ideas come from a team of young and creative designers.  
Base Protection is currently one of the most efficient company in its field, thanks to the acknowledged work of its customer service, its speed, delivery punctuality, after-sale assistance (stock and reassortment, retailers’ training, sales terms, etc).
The added value of the company is the attention to the environment, resource that is important to preserve. Eco-sustainability, comfort, technology and efficiency are the company’s cornerstone, so that working is a pleasure in total safety.","Footwear Manufacturing","51-200 employees","Privately Held","Barletta, Italy","Italy","baseprotection.com","https://www.linkedin.com/company/base-protection-srl"
,"Goldstar Stride Ltd","The footwear industries lunched in the mid-1970s was the first and core business of Universal group. Operate under the name of Modern Slipper Industries Pvt. Ltd & Kiran shoes manufacturers. Since its inception, the group has established itself as the biggest footwear producing group in Nepal. In 1990, we launched a mid-priced, value for money brand called GOLDSTAR to service more price conscious markets. GOLDSTAR is a robust brand made with genuine materials and modern technology. GOLDSTAR is now sold in all over Nepal & India and gradually it is gaining popularity western countries too. Next off the production line was Hawaii Slippers called HATHI, introduced in early eighties and now widely available throughout the country. This pioneer brand is admired over three decades. Various ranges of EVA sandals and Hawaii slippers made under this brand. ""Hathi Balio Ki Hathi Chap Chappal"" -is a very famous slogan among the users of this brand. Hathi slippers and sandals are recognized throughout the country for its style and durability.
We have always prioritized the R&D of new cutting edge products, technology and customer service to expand the business into a new market. We have formed strong relationships around India and throughout the country with our distributors and their customers who we greatly appreciate and thank them all for their support and loyalty. We have also been fortunate to have received national recognition as a progressive and extremely well managed business through best exporter award and best tax payer in export category. Our success at these awards is an endorsement of the high caliber and quality of Footwear Industries' management and staff and their dedication to cutting edge technologies in R&D which enhance the overall well-being, safety and comfort of the company's clients.
Currently more than 3000 people are employing directly in five different operating units in Kathmandu, producing more than 75000 pairs every day.","Footwear Manufacturing","10,001+ employees","Public Company","Kathmandu, Province 3","Nepal","goldstarshoes.com","https://www.linkedin.com/company/kiran-shoes-manufacturers"
,"AMF SAFETY SHOES","AMF SAFETY SHOES is an european company specialised in the development, manufacturing and marketing of high quality technical footwear, developed for foot protection.

VISION
Protecting the feet of workers worldwide with design, comfort and quality.

MISSION
Deliver protection, comfort and profitable solutions for foot safety at the workplace.
AMF has a long term perspective based on the development, manufactuiring and marketing of distinctive products for foot protection.

Follow AMF main brand: TOWORKFOR on Facebook: https://www.facebook.com/toworkfor.pt","Footwear Manufacturing","51-200 employees","Privately Held","Guimarães","Portugal","amfshoes.com","https://www.linkedin.com/company/amf-safety-shoes"
,"Mochiko Group","At Mochiko, we are more than just a leading sports footwear manufacturer in India; we are a community driven by the passion to ""Step Up Together."" We have been at the forefront of the industry, producing over 12 million pairs of sports and athleisure footwear annually across our state-of-the-art facilities in Dehradun, Rishikesh, and Noida.

Our mission is to innovate across all facets of our business, ensuring that we deliver nothing short of the best in quality and service. 

Founded in 2008, our growth has been fuelled by our unwavering commitment to fairness, partnership, and agility. We continuously invest in our capacities and capabilities, from building completely vertically integrated manufacturing facilities producing compounds, soles, uppers and assembling premium products. Our dedication to sustainability includes initiatives such as renewable energy, water recycling, and community engagement projects that uplift the quality of life and environment around us.

We are Mochiko. The ones who always step up. And when doing so, we do it together.","Footwear Manufacturing","5,001-10,000 employees","Privately Held","Gurugram, Haryana","India","mochiko.in","https://www.linkedin.com/company/mochikogroup"
,"WAPS","Somos una empresa líder en producción y venta e-commerce de calzado femenino.
Nuestro calzado es una elección ideal para quienes buscan comodidad, versatilidad y elegancia en su calzado diario. No importa la ocasión, Waps será tu compañera perfecta, ofreciendo estilo y confort en cada paso.
Creemos que podemos acompañar y empoderar a cada mujer que nos elije, y trabajamos para que nuestra comunidad Waps viva experiencias únicas, inigualables y exclusivas","Footwear Manufacturing","51-200 employees","Privately Held","Córdoba, Cordoba","Argentina","waps.com.ar","https://www.linkedin.com/company/wapsargentina"
