"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Plantar","Fundado em 1967, o Grupo Plantar mostrou-se capaz de expandir e inovar no setor florestal e de siderurgia a carvão vegetal.

O nosso crescimento é baseado em investimentos voltados para a modernização de nossas atividades, com o desenvolvimento de novas tecnologias e constante aprimoramento profissional e pessoal de nossos colaboradores, tendo sempre como foco principal, a satisfação de nossos clientes. 

Nos orgulhamos de nossos investimentos que contribuem diretamente para o fomento e avanço das economias regionais das quais fazemos parte, com a geração de empregos, desenvolvimento de tecnologia, conhecimento, educação e bem estar social.","Forestry and Logging","5,001-10,000 employees","Privately Held","Belo Horizonte, MG","Brazil","grupoplantar.com.br","https://www.linkedin.com/company/plantar"
,"Komaza","Combining high-scale operations with digital intelligence, Komaza is revolutionizing African forestry - unlocking the potential for small-scale farmers to serve booming wood markets.
 
We’re currently planting commercial-grade forests at a rate of over 1 million trees per year, expanding our farmer-base by 5,000+ – and we’re growing fast. To date, we’ve planted over 7 million total trees with 22,000 farmers, making us Kenya’s largest industrial tree planter. We hold the only sustainable blueprint for meeting Africa’s $30B wood supply crisis. Smallholder farms offer nearly limitless land, and can establish a hectare of trees for far less than big plantations.
 
We have been recognized with numerous awards and investments, including The Climate Policy Initiative, The Nature Conservancy, Forbes, and Novastar Ventures.","Forestry and Logging","501-1,000 employees","Privately Held","Nairobi","Kenya","komaza.com","https://www.linkedin.com/company/komaza"
,"Rayonier","Rayonier is a leading land resources company deeply invested in sustainable forestry, thoughtfully-planned real estate, and land-based solutions that support the transition to a low-carbon economy.

We responsibly manage approximately 2 million acres of timberlands, supporting clean air, clean water, vital wildlife habitats, and the dependable jobs that strengthen rural communities across the Southeast and Pacific Northwest.

At Rayonier, we empower our people, prioritize safety above all else, and value teamwork to ensure the long-term health of our forests and the prosperity of our communities.","Forestry and Logging","201-500 employees","Public Company","Wildlight, Florida","United States","rayonier.com","https://www.linkedin.com/company/rayonier"
,"Reflorestar Soluções Florestais","A Reflorestar é uma das empresas do Grupo Emília Cordeiro. A vocação  para trabalhar a terra nos levou a direcionar nossa atuação aos setores de cerâmica, madeira e serviços florestais.

Como matéria-prima e motivação, temos a terra e as pessoas que nela vivem e trabalham; como motor, temos o apoio da tecnologia; e como princípio, temos o compromisso de manter o meio ambiente rico, produtivo e sustentável, hoje e para as futuras gerações.

Desde nossa fundação, em 2004, somos guiados pela visão inovadora, pela aplicação de tecnologia de ponta e pelo investimento contínuo na capacitação técnica e comportamental dos nossos colaboradores.

O conhecimento de nossa equipe sobre a terra e seus processos é responsável pela alta produtividade dos nossos serviços.

O compromisso com nossos clientes é a garantia de que somos a escolha mais racional para soluções confiáveis e seguras em colheita florestal e logística de madeira.","Forestry and Logging","201-500 employees","Privately Held","Turmalina, MG","Brazil","reflorestar.ind.br","https://www.linkedin.com/company/reflorestar-solucoes-florestais"
,"EMFLORS EMPREENDIMENTOS FLORESTAIS LTDA","Prestar serviços especializados em silvicultura e manejo florestal, identificar e atender as expectativas dos clientes com comprometimento e sustentabilidade na busca de ferramentas tecnológicas, e recursos humanos para prestar serviços de excelência e rentáveis.","Forestry and Logging","1,001-5,000 employees","Privately Held","ALAGOINHAS, BAHIA","Brazil","emflors.com","https://www.linkedin.com/company/emflors-empreendimentos-florestais-ltda"
,"Holmen Skog","Holmen är en av Sveriges största skogsägare. Vi brukar skogen aktivt och hållbart för att den ska växa optimalt och ge oss den bästa råvaran. Långsiktigt tar vi ansvar för skogens kretslopp från frö till återplantering och värnar den biologiska mångfalden. Våra medarbetare sköter våra skogar, köper virke och hjälper privata skogsägare över hela landet med skörd och skogsvård.","Forestry and Logging","501-1,000 employees","Privately Held",,"Sweden","holmen.com","https://www.linkedin.com/company/holmen-skog-ab"
,"The Westervelt Company","Whether it's a walk in the woods, wood product manufacturing, mitigation banking, or a unique sporting experience in New Zealand, we stand for quality. We focus on providing the highest quality products & services without compromising our stewardship to the land.","Forestry and Logging","501-1,000 employees","Privately Held","Tuscaloosa, AL","United States","westervelt.com","https://www.linkedin.com/company/the-westervelt-company"
,"Forest Machine Magazine","Our magazine is at the cutting edge of the forest industry.  We are the only forestry publication that can honestly state it is written edited and owned by a second generation forest professional. 
We give our readers good honest, unbiased reports on equipment, events and technology that improve efficiency and safety. We trial equipment, workwear and accessories and give impartial constructive feedback in real working conditions with our pool of skilled professionals.","Forestry and Logging","2-10 employees","Privately Held","Motherwell, Scotland","United Kingdom","forestmachinemagazine.com","https://www.linkedin.com/company/forest-machine-magazine"
,"Tūrama","Tūrama enables the monetization of remote forests through its global export program.
Utilizing their proprietary export management systems, buyer market place and decades of experience in forestry logistics to deliver outcomes for their clients

www.turama.io","Forestry and Logging","11-50 employees","Privately Held","Auckland","New Zealand",,"https://www.linkedin.com/company/turamaglobal"
,"TRC - Teak Resources Co.","De Floresteca a Teak Resources Company.

Por mais de 20 anos, a gestão da Teak Resources Company – “TRC” – ganhou uma reputação internacional através da produção de teca no Brasil, gerenciando de forma sustentável os recursos do grupo de empresas Floresteca. Em 2016, expandimos nossa expertise em silvicultura para as áreas de gestão e comercialização da cadeia de suprimentos, cobrindo as fronteiras do mercado internacional.

Da união dessas competências, foi criada a TRC, Teak Resources Company. Uma marca que já nasce forte, sendo considerada uma das empresas líderes mundiais na indústria.

Consolidamos a credibilidade e transparência desta jornada, mantendo um compromisso firme com a sustentabilidade de nossas operações. Este é mais um passo na consolidação da missão de produzir e comercializar madeira de teca de forma sustentável, maximizando o retorno econômico.

-

Nossos diferenciais.

Biotecnologia: Nossa madeira é originária de excelentes árvores genéticas de maior produtividade e qualidade comprovada.

Madeira de origem responsável: Nós apenas fornecemos, gerenciamos e comercializamos madeira produzida em floresta certificada, garantindo que a madeira oferecida atende aos mais altos padrões de manejo florestal responsável.

Padronização da qualidade: Nossa gestão adequada e permanente das florestas contribui para a produção de madeira uniforme.

Localização privilegiada: A madeira que estamos gerenciando e comercializando é cultivada sob as melhores condições de solo e clima, adequado para o desenvolvimento em larga escala.

Tecnologia: Know-how desde a produção de sementes e mudas, áreas de prospecção, plantio, manejo florestal e colheita até processamento, comercialização e entrega dos produtos.

Logística: Fornecimento contínuo e estável de madeira ao longo do ano, com entregas programadas para favorecer o fluxo de caixa dos clientes e otimizar a cadeia de suprimentos.","Forestry and Logging","501-1,000 employees","Privately Held","Indaiatuba/SP, São Paulo","Brazil","teakrc.com","https://www.linkedin.com/company/teakrc"
