"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FedEx","FedEx connects people and possibilities through our worldwide portfolio of shipping, transportation, e-commerce and digital supply chain services. For decades, we’ve been innovating to deliver more for you. Strengthening supply chains with our global network. Simplifying logistics. Enhancing tracking and visibility. And using data from every journey to make your experience better. 

Our people are the foundation of our success, and FedEx has consistently ranked among the world’s most admired and trusted employers. We inspire our global workforce of more than 575,000 team members to remain absolutely, positively focused on safety, the highest ethical and professional standards, and the needs of their customers and communities.

Day one: 186 deliveries. Today: About 14.5 million.","Freight and Package Transportation","10,001+ employees","Public Company","Memphis, TN","United States","fedex.com","https://www.linkedin.com/company/fedex"
,"Loggi","Through technology (mobile, AI, automation, IOT), we have created, in an unprecedented way, a next generation logistics network in Brazil that is a fast, cost-effective and reliable solution.

By the end of 2020, we want to be present in all Brazilian cities and reach the milestone of 5 million deliveries per day for the next 5 years.

With SoftBank, Microsoft, GGV Capital and others, the new investment round has brought Loggi’s valuation up to US$1 billion!","Freight and Package Transportation","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","loggi.com","https://www.linkedin.com/company/loggi"
,"Federal Express Corporation","We began our company by creating the world's next big thing from the ground up - and we've never slowed down, never stopped innovating, never stopped inventing. And today we’re still leading the charge, pushing the envelope, connecting our customers and team members to unprecedented opportunities and changing what’s possible along the way.","Freight and Package Transportation","10,001+ employees","Public Company",,,"fedex.com","https://www.linkedin.com/company/federal-express-corporation"
,"Jamef Transportes","A história da Jamef é fruto do compromisso permanente com a satisfação de seus clientes e com a inovação para que  toda  operação seja cada vez mais ágil e segura. Para isso, se baseia na tradição de quem conhece o mercado há mais de quatro décadas.
.   
A trajetória de sucesso da empresa começou em 1963, quando José Alves Martins e seus filhos fundaram a Transportadora Divinópolis, com um único caminhão, no qual transportavam café entre Belo Horizonte e Divinópolis. 

Com o novo nome de Jamef, a união das iniciais de José Alves Martins e Filhos, a transportadora inicia sua expansão e em 1975 abre sua primeira filial em São Paulo e, logo em seguida, no Rio de Janeiro. 

A empresa decide se especializar em encomendas urgentes e inova ao implementar um setor exclusivo para o atendimento personalizado ao cliente. Em 1988  inicia-se a padronização de toda a frota que já conta com mais de cem caminhões. Cinco anos depois ela passa a trabalhar também com transporte aéreo.

Pensando novamente na imagem corporativa, a Jamef passa por um processo de revitalização que inclui novidades em sua logomarca, a troca da cor amarela pela branca e passa a investir em segurança,  com  toda sua carga monitorada via satélite, 24 horas por dia, sete dias por semana.

A estrutura da empresa cresce ainda mais e, em 2007, a matriz ganhou  uma nova sede própria em Contagem, Minas Gerais.  

Hoje, com gestão profissionalizada e 46 anos de sucesso, a Jamef possui uma frota que ultrapassa a marca de 700 veículos, doze filiais, um centro de distribuição, mais de 2.500 colaboradores e planos contínuos para a expansão dos negócios.","Freight and Package Transportation","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","jamef.com.br","https://www.linkedin.com/company/jamef-transportes"
,"Canada Post / Postes Canada","As the country's postal service and leading ecommerce delivery company, we’re committed to serving Canadians and Canadian businesses, working for the greener good, and delivering a stronger Canada.

We are the only delivery organization with the network and commitment to serve all of the more than 17 million addresses across Canada. We operate the largest retail network in Canada, with almost 5,900 post offices in every corner of the country. Our nearly 68,000 employees connect us with Canadians and are proud to serve the communities where they live and work.

Canadians are at the heart of everything we do. We are dedicated to meeting their rapidly evolving needs and expectations. Our purpose, A Stronger Canada – Delivered, is anchored in our commitment to provide a service all Canadians can count on; demonstrate environmental and social leadership; and create a safe and welcoming workplace for all employees.

En tant que service postal et chef de file de la livraison des colis du cybercommerce au pays, nous sommes déterminés à servir la population et les entreprises d’ici, et à être porteurs d’un Canada plus fort et plus vert.

Grâce à notre réseau de livraison inégalé, nous avons la responsabilité de servir plus de 17 millions d’adresses d’un océan à l’autre. Avec près de 5 900 bureaux de poste, nous exploitons le plus vaste réseau de vente au détail au pays. Nos gens – quelque 68 000 employées et employés – servent fièrement les collectivités où ils vivent et travaillent, et nous relient à la population.

Les Canadiennes et les Canadiens sont au cœur de tout ce que nous faisons, et nous mettons tout en œuvre pour répondre à leurs besoins et à leurs attentes qui évoluent rapidement. Notre raison d’être, Porteurs d’un Canada plus fort, repose sur notre volonté d’offrir un service sur lequel tout le monde peut compter, de faire preuve de leadership en matière d’environnement et de responsabilité sociale, et de créer un milieu de travail sécuritaire et accueillant.","Freight and Package Transportation","10,001+ employees","Government Agency","Ottawa, Ontario","Canada","canadapost-postescanada.ca","https://www.linkedin.com/company/canada-post"
,"TNT","TNT Express was acquired by FedEx in 2016. 

FedEx connects people and possibilities through a worldwide portfolio of shipping, transportation, e-commerce and business services. FedEx offers integrated business applications through collaboratively managed operating companies — collectively delivering extraordinary service to customers — using the expertise and reliability represented by the FedEx brand. Our people are the foundation of our success, and FedEx has consistently ranked among the world’s most admired and trusted employers. FedEx inspires the global workforce of more than 400,000 team members to remain absolutely, positively focused on safety, the highest ethical and professional standards, and the needs of customers and communities. 
FedEx owes its success as an industry leader to the more than 400,000 global team members who deliver exceptional customer service experiences day-in and day-out. Want to be part of this dynamic team? Check out open positions located on the Careers Site on Fedex.com: http://careers.van.fedex.com/

Follow FedEx for updates, service information, operating company news and regular content: https://www.linkedin.com/company/fedex/","Freight and Package Transportation","10,001+ employees","Privately Held","Hoofddorp, North-Holland","Netherlands","fedex.com","https://www.linkedin.com/company/tnt"
,"Africa Global Logistics"," Acteur majeur du transport et de la logistique à l’international.
 Au cœur des transformation de l'Afrique 
 Transport, logistique, supply chain... 
 Pour plus d'informations sur AGL","Freight and Package Transportation","10,001+ employees","Privately Held","Puteaux, France","France","aglgroup.com","https://www.linkedin.com/company/africagloballogistics"
,"BNSF Railway","BNSF Railway operates one of the largest railroad networks in North America, with about 32,500 route miles in 28 states and three Canadian provinces. The railway is among the world's top transporters of intermodal traffic, serves more grain-producing regions than any other railroad, and transports the components of many of the products we depend on daily. BNSF Railway is an Equal Opportunity Employer Minorities/Women/Veterans/Disabled.

On Feb. 12, 2010, Burlington Northern Santa Fe Corporation was acquired by Berkshire Hathaway Inc. (NYSE: BRK)","Freight and Package Transportation","10,001+ employees","Privately Held","Fort Worth, Texas","United States","bnsf.com","https://www.linkedin.com/company/bnsf-railway"
,"Royal Mail","At Royal Mail we connect companies, customers and communities across the UK, delivering a ‘one-price-goes-anywhere’ universal postal service to over 29 million addresses. As one of the UK's leading companies, we are focused on being recognised as the best delivery company in the UK and across Europe.","Freight and Package Transportation","10,001+ employees","Public Company","London","United Kingdom",,"https://www.linkedin.com/company/royal-mail"
,"RAM Hand to Hand Couriers","Established in 1988, we have grown into a slick network of over 40 hubs across South Africa, a fleet over 1 800 fully-serviced vehicles, and a passionate team of over 3 200 personnel. 

Offering industry-specific, ultramodern technology solutions and logistics infrastructure, we service every type of business with our fully-integrated solutions. Paperless, secure and timeous, we handle every delivery as if it were our own. 

We pride ourselves on being an end-to-end provider committed to delivering for our customers. From A to B, seamlessly.","Freight and Package Transportation","1,001-5,000 employees","Privately Held","Johannesburg, Gauteng","South Africa","ram.co.za","https://www.linkedin.com/company/ram-hand-to-hand-couriers"
