"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Deluxe for investments","Deluxe a young Egyptian company specialized in processing a high quality of Egyptian agricultures products Such as IQF Frozen Vegetables and fruits and in brine products.
Our Main asset is our staff, with many and many years of experience in agricultural products, and great passion for being a leader in this business.
Our relationship with raw material suppliers and our experience in the field make us one of the best price and quality providers in Egypt.","Fruit and Vegetable Preserves Manufacturing","11-50 employees","Privately Held","Alexandria","Egypt","deluxe-product.com","https://www.linkedin.com/company/deluxeproducteg"
,"THEMAR LAND FOOD INDUSTRIES","Helping global food importers, wholesalers, and the HORECA sector secure premium quality frozen (IQF) produce with 100% reliability.
At THEMAR LAND, we bridge the gap between high-quality harvests and international market demands. We specialize in Individual Quick Frozen (IQF) fruits and vegetables, ensuring that every product retains its natural taste, texture, and nutritional value from the farm to the final consumer.
Why partners choose us:
• Premium Quality: Strictly compliant with EU and international food safety standards (ISO 22000, HACCP).
• Advanced Technology: Utilizing state-of-the-art IQF tunnels for superior product integrity.
• Strategic Logistics: Fast shipping from EGYPT to major ports in Greece, Turkey, and worldwide.
• Custom Solutions: Flexible packaging options (Bulk, Foodservice, or Private Label).
Core Products:
 Fruits: Strawberries, Apricots, Peaches
 Vegetables: Broccoli, Okra, Mixed Vegetables, Peas]
We are committed to building long-term partnerships based on transparency and consistent supply.","Fruit and Vegetable Preserves Manufacturing","11-50 employees","Partnership","Ismailia","Egypt","themarlands.com","https://www.linkedin.com/company/themar-land-for-import-export"
,"Urban Harvest","Automating kitchens with prepped fruits, veggies, ready-to-eat products, and flavorful chutneys. Fresh, convenient, and time-saving solutions for restaurants, food businesses, and home kitchens. Serve better, faster, and smarter with Urban Harvest.","Fruit and Vegetable Preserves Manufacturing","51-200 employees","Privately Held","new delhi, delhi","India","uharvest.in","https://www.linkedin.com/company/urban-harvest-official"
,"NutriLeafz","NutriLeafz is an Agri-Tech start-up based in Delhi/NCR (India) to produce Farm fresh and healthy Hydroponic Vegetables and Fruits. We are supplying our products to Noida, Delhi, and Ghaziabad Region (India). Our Customised Products and solutions (designed by Nutrient Experts) such as Juices for Blood Pressure and Diabetes control, and salad for Immunity will work as natural preventive medicines which have been designed to match our modern lifestyle challenges.

We are positioning ourselves as  provider of farm fresh 100% pesticide-free and Nutrients++ products to families across India.  Our company is revolutionising the concept of urban gardens in India. with support modern supply chain solution such as Machine Learning. With advanced technology of rooftop hydroponic farming, we grow seasonal and off-season fruits and vegetables at our farm.","Fruit and Vegetable Preserves Manufacturing","11-50 employees","Self Owned","Noida, UP","India","nutrileafz.com","https://www.linkedin.com/company/nutrileafz"
,"Fertile Land Exports","Fertile Land has a wide portfolio of over 20 produce items of Egyptian products.
We serve a dynamic market worldwide, especially the Asian, Arabian, and European markets.
We produce and supply our products which come from Egypt worldwide.
We have the highest certification of quality (FSSC 222000, Iso 9001, MOTC).","Fruit and Vegetable Preserves Manufacturing","2-10 employees","Public Company","Cairo","Egypt","fertilelandexports.com","https://www.linkedin.com/company/fertilelandexports"
,"FruitMonk","FruitMonk","Fruit and Vegetable Preserves Manufacturing","2-10 employees","Privately Held","New Delhi, Delhi","India","fruitmonk.com","https://www.linkedin.com/company/fruit-monk"
,"le légumier plus","bienvenue sur la page officielle du légumier plus,ouvrier camerounais specialisé dans la distribution des fruits et légumes au Cameroun .
Nos services : vente de fruits et légumes, prestations de services.
service clients à vos petits soins, le désir de vous satisfaire.
un service,un renseignement, une commande.merci","Fruit and Vegetable Preserves Manufacturing","2-10 employees","Self Employed","Douala deido marché Camp maïs , littoral","Cameroon","simdif.com","https://www.linkedin.com/company/le-legumier-plus"
,"Coelsanus Industria Conserve s.p.a.","INTRODUCTION TO COELSANUS
Coelsanus, founded in 1955, is an italian leading company producing preserved
vegetables in wine vinegar and oil.
Indoors area : 22.000 square metres
Total area of Coelsanus premises : 71.000 square metres
Coelsanus Company profile
Coelsanus ( the name comes from Latin, taken from the coat of arms of the village of
Sossano near Vicenza and means ‘clear and peaceful sky’) was founded in 1955
and specializes in the production of preserved vegetables.
Coelsanus contracts with local producers for preferential supplies of fresh
vegetables, locally produced, using traditional methods. Growers are urged to
maintain strict standards of production with a view to obtaining a high and consistent
quality.
Once the vegetables reach the factory they are subjected to further quality checks to
ensure they meet the required standard and to guarantee product safety and
hygiene. 
All our products are subject to strict and constant hygene and quality controls
throughout the whole process ( method HACCP ) . 
The quality system complies with ISO 9001 – ed. 2000 and has been certified by the
SGS group (certificate nr. Q.02.230). Production methods applied by Coelsanus
comply also with the requirements of IFS (International Food Standard) certification,
higher level, version 4 and BRC - Global Standard Food , issue 4, Grade A","Fruit and Vegetable Preserves Manufacturing","51-200 employees","Public Company","Sossano, Vicenza","Italy","coelsanus.com","https://www.linkedin.com/company/coelsanus-industria-conserve-s-p-a-"
,"MARKY FRUITS & VEGETABLES LTD","From Cultivation to International Market, we are experts in herbs. Our hands-on Approach ensures the finest qualities and flavors. Visit our website to get an overview of our Kenya produce.","Fruit and Vegetable Preserves Manufacturing","11-50 employees","Privately Held","Nyahururu, Kenya","Kenya","markyfruitsandvegetables.africa","https://www.linkedin.com/company/marky-fruits-vegetables-ltd"
,"Ana Fruit","Leading cherry exporter in Turkey with more than five well-known quality certificates, exporting mainly cherry along with apple, pomegranate, quince, figs and grapes to 4 continents. Our certificates are ISO 9001, ISO 22000, GLOBALG.A.P., GLOBALG.A.P.GRASP, BRC FOOD CERTIFICATE and HACCP Certification.","Fruit and Vegetable Preserves Manufacturing","201-500 employees","Privately Held","Kızılçubuk, Isparta","Turkey","anafruit.com.tr","https://www.linkedin.com/company/anafruit"
,"FRESH EGYPT PRODUCTS",,"Fruit and Vegetable Preserves Manufacturing","501-1,000 employees","Partnership",,,"freshegyptproducts.com","https://www.linkedin.com/company/freshegyptproducts"
,"SOSIS","Secteur d'activité du Centre de Séchage des fruits et légumes par l'énergie solaire: agro-alimentaire, production agricole, valorisation poste récolte, séchage , Broyage et emballage les fruits et les légumes.","Fruit and Vegetable Preserves Manufacturing","11-50 employees","Partnership","JELMA","Tunisia",,"https://www.linkedin.com/company/sosis4dryingg"
