"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FFG Austrian Research Promotion Agency","The Austrian Research Promotion Agency (FFG) is the national funding institution for applied research and development in Austria.

We offer a comprehensive range of services for Austrian enterprises, research institutions and researchers – from the management of public funding programmes to consulting services in all phases of technology development and innovation, from support for integration into European research programmes and networks to the promotion of Austria""s interests at the European and the international level.","Funds and Trusts","201-500 employees","Government Agency","Wien","Austria","ffg.at","https://www.linkedin.com/company/ffg"
,"NHAI InvIT (National Highways Infra Trust)","National Highways Infra Trust (""Trust"") was settled on October 19, 2020, in New Delhi pursuant to the Trust Deed as a contributory irrevocable trust in accordance with the Indian Trusts Act, 1882. The Trust was registered with SEBI on October 28, 2020, under Regulation 3(1) of the InvIT Regulations and has obtained a certificate of registration from SEBI bearing number IN/InvIT/20-21/0014.  The Trust is an infrastructure investment trust established for making investments in special purpose vehicles as defined under Regulation 2(1)(zy) of the InvIT Regulations, or infrastructure projects or securities of Indian companies engaged in the infrastructure sector, as may be permitted in terms of Regulation 18(5) of the InvIT Regulations.

IDBI Trusteeship Services Limited is the Trustee to the Trust.

National Highways Infra Investment Managers Private Limited was incorporated as a private limited company on July 25, 2020, under the Companies Act, 2013. NHIIMPL is a wholly-owned subsidiary of NHAI.  NHIIMPL has been appointed as the Investment Manager to the NHAI InvIT by IDBI Trusteeship Services Ltd; the trustee to NHAI InvIT and is responsible for managing the operations of InvIT in accordance with InvIT regulations.

National Highways InvIT Project Managers Private Limited (NHIPMPL) has been incorporated on 9th of March, 2021 under the Companies Act, 2013.  NHIPMPL is proposed to be appointed as Project Manager of NHAI InvIT in terms of the InvIT regulations.  The Project Manager undertake operations and management of the NHAI InvIT, including making arrangements for the maintenance of assets held under the NHAI InvIT.  The Project Manager has entered into the Project Implementation and Management Agreement, in terms of the InvIT Regulations.","Funds and Trusts","51-200 employees","Government Agency","New Delhi","India","nhit.co.in","https://www.linkedin.com/company/nhai-invit"
,"ISPT","ISPT is a wholly owned subsidiary of IFM Investors.

ISPT’s LinkedIn page is moderated in accordance with LinkedIn’s professional community policies. Any content that is deemed not to align with these policies will be removed and/or reported. More info: https://www.linkedin.com/legal/professional-community-policies","Funds and Trusts","51-200 employees","Privately Held","Melbourne, Victoria","Australia","ispt.com.au","https://www.linkedin.com/company/ispt"
,"Kulturstiftung des Bundes (German Federal Cultural Foundation)","The German Federal Cultural Foundation promotes art and culture within the scope of federal competence. One of its main priorities is to support innovative programmes and projects on an international level. It is a civil-law foundation and has its headquarters in Halle an der Saale, Germany. The German Federal Cultural Foundation is financed by the Federal Government Commissioner for Culture and the Media.","Funds and Trusts","51-200 employees","Non Profit","Halle (Saale), Sachsen-Anhalt","Germany","kulturstiftung-des-bundes.de","https://www.linkedin.com/company/kulturstiftungdesbundes"
,"EEP Africa","The Energy and Environment Partnership Trust Fund (EEP Africa) is a multi-donor fund providing early-stage financing to innovative clean energy projects, technologies and business models in Southern and Eastern Africa.

EEP Africa is hosted and managed by the Nordic Development Fund (NDF) with funding from Austria, Denmark, Finland, Iceland, NDF, Norway and Switzerland.","Funds and Trusts","11-50 employees","Government Agency","Helsinki, Southern Finland","Finland","eepafrica.org","https://www.linkedin.com/company/eepafrica"
,"VolkswagenStiftung","Die gemeinnützige VolkswagenStiftung mit Sitz in Hannover ist mit 3,4 Milliarden Euro Stiftungskapital und einem Fördervolumen von insgesamt etwa 150 Millionen Euro pro Jahr die größte private Wissenschaftsförderin in Deutschland und eine der größten Stiftungen in Europa. Sie wurde 1961 von der Bundesrepublik Deutschland und dem Land Niedersachsen gegründet. Trotz ihres Namens handelt es sich nicht um eine Unternehmensstiftung, die Stiftungsgremien sind autonom und unabhängig in ihren Entscheidungen.

Impulse für die Wissenschaft

Mit rund 100 Mitarbeiterinnen und Mitarbeitern fördern wir Wissenschaft und Technik in Forschung und Lehre. Wir ermöglichen Forschungsvorhaben in zukunftsträchtigen Gebieten und greifen unsere Förderschwerpunkte auch in unserem Veranstaltungsangebot thematisch auf. 
Besondere Aufmerksamkeit widmen wir dem wissenschaftlichen Nachwuchs sowie der Zusammenarbeit von Forscherinnen und Forschern auch über wissenschaftliche, kulturelle und nationale Grenzen hinaus. Und wir unterstützen wissenschaftliche Institutionen in Deutschland dabei, die strukturellen Voraussetzungen für ihre Arbeit zu verbessern. Seit 1962 haben wir etwa 33.000 Projekte mit 5,5 Milliarden Euro unterstützt.

Stiften Sie Wissen - mit uns

Bei Stellenausschreibungen sucht die VolkswagenStiftung Mitarbeiterinnen und Mitarbeiter mit hoher fachlicher Kompetenz, einem ausgeprägten Teamgeist und starker Gemeinwohlorientierung. Ob in den Abteilungen Förderung, Vermögensanlage, Finanzen und Verwaltung oder in den Stabsreferaten des Generalsekretärs - bringen Sie Ihre Ideen bei uns ein und lassen Sie uns gemeinsam Wissenschaft voranbringen – in Deutschland und in der Welt.

Impressum: https://www.volkswagenstiftung.de/impressum","Funds and Trusts","51-200 employees","Non Profit","Hannover, Lower Saxony","Germany","volkswagenstiftung.de","https://www.linkedin.com/company/volkswagenstiftung"
,"Dieter Schwarz Foundation","The Dieter Schwarz Foundation ranks among the large German foundations; it becomes active where government bodies are not, or not sufficiently, able to meet the needs of the economy and society.

'Promote education, share knowledge, venture future' is the guiding principle of the Dieter Schwarz Foundation, named after Heilbronn entrepreneur Dieter Schwarz. The foundation is based in Heilbronn, where it has been active in the region and far beyond since 1999. Through its commitments, the Foundation today strives to promote that which makes society well-prepared for the future: a wide range of educational opportunities for people in different phases of life. Science is of decisive importance for the development and future sustainability of the state. Against this backdrop, one of the main objectives of the foundation is to recognize potential, to develop visions from it and to implement them sustainably.

Current focal points include the Bildungscampus in Heilbronn and the Science Center experimenta, which is also located in Heilbronn, and at which visitors can experience the world of science with all of their senses as well as get to grips interactively with the natural sciences and technology.","Funds and Trusts","2-10 employees","Public Company","Heilbronn, Baden-Württemberg","Germany","dieter-schwarz-stiftung.de","https://www.linkedin.com/company/dieter-schwarz-stiftung"
,"Anglo American Foundation","Championing youth for a green and fair future.","Funds and Trusts","2-10 employees","Public Company",,,"angloamericangroupfoundation.org","https://www.linkedin.com/company/anglo-american-foundation"
,"Migros Pioneer Fund","Those trying to change the world will meet resistance. But progress is achieved when people challenge deeply ingrained structures with courageous ideas and drive. The Migros Pioneer Fund promotes this courage – to ensure that bold ideas turn into tangible solutions, with a view to promoting a better society.","Funds and Trusts","11-50 employees","Non Profit","Zürich","Switzerland","migros-pionierfonds.ch","https://www.linkedin.com/company/migros-pionierfonds"
,"Fonds 21","Fonds 21 is een ondernemend en maatschappelijk betrokken fonds dat ideële doelen steunt op gebied van Kunst & Cultuur, Jongeren & Maatschappij en Kunst & Educatie. Hiermee wil het fonds een positieve bijdrage leveren aan de samenleving van nu. Het donatiebudget van €11,5 miljoen per jaar wordt beschikbaar gesteld door Stichting Beheer SNS REAAL. Organisaties kunnen bij ons een aanvraag indienen voor een financiële ondersteuning vanaf € 10.000. 
 
Fonds 21 ondersteunt professionele, kwalitatief sterke projecten die een breed, nieuw publiek weten te bereiken. Naast financier, zijn wij daarbij ook een betrokken partner en adviseur, met scherp zicht op de kansen en uitdagingen van nu. Met wisselende programmaregelingen springen wij in op actuele thema’s die een nieuwe en waardevolle impuls geven aan de verschillende sectoren. 
 
Nieuwsgierig naar welke projecten wij steunen en waarom? Ga naar www.fonds21.nl 
Een aanvraag indienen? Lees eerst de algemene voorwaarden goed door.","Funds and Trusts","11-50 employees","Non Profit","Utrecht","Netherlands","fonds21.nl","https://www.linkedin.com/company/fonds21"
