"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"GE Vernova","GE Vernova is a purpose-built energy technology company on a mission to electrify to thrive and decarbonize the world.

It is made up of three businesses -- Power, Wind, and Electrification -- with focus on accelerating the path to more reliable, affordable, and sustainable energy, while helping our customers power economies and deliver the electricity that is vital to health, safety, security, and improved quality of life.

The world needs more energy, smarter energy. With energy demand expected to grow by more than 50% in the next 20 years, we are continuously innovating to meet the moment…like we have for the past 130 years. The Energy of Change and relentless optimism are what drive us – it’s about never giving up and seeing what’s possible so that we deliver the energy technologies the world needs right now and for generations to come.

GE Vernova’s attitude and edge is embedded in its name. We retain our treasured legacy, “GE,” as an enduring and hard-earned badge of quality and ingenuity. “Ver” / “verde” signal Earth’s verdant and lush ecosystems. “Nova,” from the Latin “novus,” nods to a new, innovative era of lower carbon energy that GE Vernova will help deliver.

Together, we have the energy to change the world.","Electric Power Generation","10,001+ employees","Public Company","Boston, Massachusetts","United States","linktree.com","https://www.linkedin.com/company/gevernova"
,"EDF","Our raison d'être is to build a net zero energy future with electricity and innovative solutions and services, to help save the planet and drive wellbeing and economic development.","Electric Power Generation","10,001+ employees","Public Company","Paris, France","France","edf.fr","https://www.linkedin.com/company/edf"
,"Iberdrola","With more than 180 years of history, Iberdrola is today a global energy leader, the leading wind power producer and one of the largest electricity companies in the world in terms of stock market capitalisation.

We have been committed to clean energy for more than 20 years with the objective of exceeding 52,000 MW of renewable capacity by 2025. 

The group supplies energy to nearly 100 million people in dozens of countries, has more than 600,000 shareholders, a workforce of more than 42,300 employees.

We are leading the energy transition to a sustainable model through our investments in renewables, smart grids, large-scale energy storage and digital transformation to deliver the most advanced products and services to our customers.

Find out more in 'Life at Iberdrola'","Electric Power Generation","10,001+ employees","Privately Held","Bilbao, Biscay","Spain","iberdrola.com","https://www.linkedin.com/company/iberdrola"
,"Statkraft","Statkraft is a leading company in hydropower internationally and Europe’s largest generator of renewable energy. The Group produces hydropower, wind power, solar power, gas-fired power and supplies district heating. Statkraft is a global company in energy market operations. 
Statkraft has 7000 employees in more than 20 countries.","Electric Power Generation","5,001-10,000 employees","Government Agency","Oslo, Oslo","Norway","statkraft.com","https://www.linkedin.com/company/statkraft"
,"Alstom Power","This channel is no longer active.
Alstom Power was acquired by GE Vernova's Power businesses in November 2015.","Electric Power Generation","10,001+ employees","Privately Held","schenectady","France","gevernova.com","https://www.linkedin.com/company/alstom-power"
,"ENGIE Chile","ENGIE develops its businesses (power, natural gas, energy services) around a model based on responsible growth to take on the major challenges of energy’s transition to a low-carbon economy: access to sustainable energy, climate-change mitigation and adaptation and the rational use of resources.

The Group provides individuals, cities and businesses with highly efficient and innovative solutions largely based on its expertise in four key sectors: renewable energy, energy efficiency, liquefied natural gas and digital technology.

ENGIE employs 154,950 people worldwide and achieved revenues of €69.9 billion in 2015. The Group is listed on the Paris and Brussels stock exchanges (ENGI) and is represented in the main international indices: CAC 40, BEL 20, DJ Euro Stoxx 50, Euronext 100, FTSE Eurotop 100, MSCI Europe, DJSI World, DJSI Europe and Euronext Vigeo (Eurozone 120, Europe 120 and France 20).

In Chile, ENGIE employs 2,800 people and its present in the following actitivies: centralized and decentralized power generation, energy services, LNG regasification and gas distribution and transport.","Electric Power Generation","1,001-5,000 employees","Privately Held","Santiago, Santiago","Dominican Republic","engie.cl","https://www.linkedin.com/company/engie-chile"
,"EDP Brasil","Com mais de 20 anos de atuação no Brasil, a EDP é uma das maiores empresas privadas do setor elétrico a operar em toda a cadeia de valor. A Companhia, que tem mais de 10 mil colaboradores diretos e terceirizados, atua em Transmissão, Comercialização e Soluções em Energia, e possui 15 unidades de geração hidrelétrica e uma termelétrica. Em Distribuição, atende cerca de 3,4 milhões de clientes em São Paulo e no Espírito Santo. Recentemente, adquiriu participação na CELESC, em Santa Catarina. 

No Brasil, é referência em áreas como Inovação, Governança e Sustentabilidade, estando há 12 anos consecutivos no Índice de Sustentabilidade Empresarial (ISE) da B3. Em nível global, a EDP está presente em 16 países de quatro continentes e é uma líder mundial no mercado de energias renováveis.","Electric Power Generation","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","edp.com","https://www.linkedin.com/company/edpbrasil"
,"Naturgy","Naturgy es un grupo multinacional del sector energético con más de 180 años de historia. Nuestra visión de futuro establece las bases para continuar creando valor a través de la transición energética, apostando por las energías renovables, desarrollando el gas renovable gracias a la posición de liderazgo en el mercado del gas natural convencional, e impulsando la eficiencia energética y la economía circular.","Electric Power Generation","10,001+ employees","Privately Held","Madrid, Comunidad de Madrid","Spain","naturgy.com","https://www.linkedin.com/company/naturgy"
,"Jubaili Bros","Jubaili Bros is a global leader in providing data-enabled conventional and renewable off-grid power solutions. With a workforce of over 1500 highly trained employees, we have been serving our worldwide customer base for more than 46 years, catering to various markets and applications across residential, commercial, industrial, telecommunication, healthcare, data centers, and utility sectors.

Operating in 11 countries out of 30 service support offices and 3 manufacturing plants across Africa and the Middle East, Jubaili Bros has established a strong presence and brand recognition in the off-grid power industry. Over the years, we have successfully delivered more than 20 GW in power solutions worldwide, with an annual delivery capacity of over 1.5 GW per year. With more than 10,000 end clients and partners globally, our team’s commitment is to always deliver on our promise to our respected customer base.","Electric Power Generation","1,001-5,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","jubailibros.com","https://www.linkedin.com/company/jubaili-bros"
,"The Hub Power Company Limited (HUBCO)","The Hub Power Company Limited (HUBCO)","Electric Power Generation","501-1,000 employees","Public Company","Karachi","Pakistan","hubpower.com","https://www.linkedin.com/company/hubco-pakistan"
