"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Geothermal Development Company","The Geothermal Development Company Limited (GDC) is a 100% government-owned State Corporation operating under the Ministry of Energy and Petroleum. It was created as a special purpose company to accelerate the development of geothermal resources in Kenya. Our core activities include exploration, drilling, assessing and development of geothermal resources for power generation and other alternative uses.","Geothermal Electric Power Generation","1,001-5,000 employees","Government Agency","Nairobi, Kenya","Kenya",,"https://www.linkedin.com/company/geothermal-development-company"
,"Supreme Energy","Supreme Energy Group of Companies (SEML/SERD/SERB), a growing Multinational Energy Companies with its core business on renewable energy Geothermal Power Plant.","Geothermal Electric Power Generation","201-500 employees","Partnership","Jakarta Selatan, DKI Jakarta","Indonesia","supreme-energy.com","https://www.linkedin.com/company/supreme-energy-muara-laboh"
,"Eavor Technologies Inc.","Eavor is an Alberta-based tech company that has invented a new geothermal power generation technology that overcomes all the traditional roadblocks of geothermal. We call this new highly effective green power generation system Eavor-Loop. Our system is made with existing commercial componentry configured in a completely novel way. We use the most recent advances in drilling techniques and merge them with the latest heat to power generation technology to create the world’s first scalable, steady, and reliable source of green power.

This is 'Energy for Eavor'.","Geothermal Electric Power Generation","51-200 employees","Privately Held","Calgary, Alberta","Canada","eavor.com","https://www.linkedin.com/company/eavor"
,"Quaise Energy","Quaise develops superhot geothermal power plants for a terawatt-scale world. Our unique millimeter wave drilling system can build geothermal wells at unprecedented temperatures and depths, unlocking energy security and independence for every nation.

By targeting temperatures of 300-500 degrees Celsius at depths of 3-20 kilometers, we can build power generation and heat distribution plants within a short distance of every major population and industrial center on the planet.

We can even achieve the terawatt-level annual deployments required to meet accelerating global energy demand by scaling through the fossil fuel industry's established supply chain and workforce. There is no other energy solution capable of the same scale and speed.","Geothermal Electric Power Generation","51-200 employees","Privately Held","Houston, Texas","United States","quaise.energy","https://www.linkedin.com/company/quaise-energy"
,"International Geothermal Association","We connect the Global Geothermal Community, serving as a platform for networking opportunities aimed at promoting and supporting global geothermal development. We run the flagship event called the World Geothermal Congress every three years and many regional events on a yearly basis putting the spotlight on policies, the regulatory framework, financial mechanisms and tech development. We are building the geothermal eco-system to serve Sustainable Development Goal #7: clean and affordable energy for all.","Geothermal Electric Power Generation","11-50 employees","Non Profit","The Hague","Netherlands","lovegeothermal.org","https://www.linkedin.com/company/worldgeothermal"
,"Sage Geosystems","Sage Geosystems is pioneering Pressure Geothermal—a new category of geothermal energy that delivers grid-scale power and long-duration energy storage virtually anywhere.

Our patented technologies harness both heat and pressure from the Earth, enabling breakthrough performance in power generation and energy storage at a cost and speed unmatched by conventional geothermal or battery systems. From powering data centers to replacing coal plants, our systems are compact, modular, and commercially viable today.

Sage has already commissioned a 3MW energy storage facility, secured major contracts with Meta, the Department of Defense, and top utilities, and is backed by leading energy operators and venture funds.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Houston, Texas","United States","sagegeosystems.com","https://www.linkedin.com/company/sage-geosystems"
,"International Geothermal Association","We connect the Global Geothermal Community, serving as a platform for networking opportunities aimed at promoting and supporting global geothermal development. We run the flagship event called the World Geothermal Congress every three years and many regional events on a yearly basis putting the spotlight on policies, the regulatory framework, financial mechanisms and tech development. We are building the geothermal eco-system to serve Sustainable Development Goal #7: clean and affordable energy for all.","Geothermal Electric Power Generation","11-50 employees","Non Profit","The Hague","Netherlands","lovegeothermal.org","https://www.linkedin.com/company/lovegeothermal"
,"KS Orka Renewables Pte. Ltd.","KS Orka Renewables is one of the most ambitious geothermal developers in the world. The projects are led by geothermal and power project developer experts with over 30 years of experience in some of the world's most significant geothermal development projects. 
 
We aim to deliver geothermal power in a clean, safe and responsible way for the benefit of the all individuals by applying KS Orka's inovative incremental business model and technology to develop and accelerate geothermal power projects, with a target of producing up to 1,000MW by 2026. 

Visit our website www.ksorka.com to learn more about KS Orka.","Geothermal Electric Power Generation","201-500 employees","Privately Held","South Jakarta, DKI Jakarta","Indonesia","ksorka.com","https://www.linkedin.com/company/ks-orka-renewables"
,"Geothermal Development Company - CeraPhi Energy","CeraPhi Energy is a leading project development company delivering global geothermal energy solutions at scale.

Our patented CeraPhiWell system unlocks deep geothermal energy through both repurposed oil and gas wells and newly drilled wells, supported by our in-house drilling experts. This approach reduces project risk, shortens delivery times, and ensures cost-effective access to reliable, sustainable heat.

We provide practical, future-ready solutions for the decarbonisation of heat across a wide range of sectors—including NHS facilities, universities, leisure centres, industrial estates, large housing developments and agriculture.

CeraPhi enables long-term, base-load heat delivery that supports district heating, low-carbon infrastructure planning, and sustainable estate management—helping organisations meet climate targets while maintaining operational resilience and fluctuating energy costs.

CeraPhi Energy delivers reliable, available, baseload thermal energy anywhere, everywhere.

Contact us to explore how our proven system can support your net-zero journey.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Great Yarmouth, Norfolk","United Kingdom","ceraphi.com","https://www.linkedin.com/company/ceraphi-energy"
,"GreenFire Energy Inc","About GreenFire Energy
GreenFire Energy delivers advanced geothermal solutions designed to maximize the productivity of underutilized geothermal fields, expand operational capacity, and unlock the potential of new geothermal sites. Focused on providing continuous, resilient, and scalable baseload power, GreenFire’s innovative systems address today’s urgent need for energy assurance in a sustainable manner. By revitalizing existing geothermal assets and partnering with industry leaders like Baker Hughes, H&P, Vallourec, and top geothermal producers, GreenFire is committed to pioneering the geothermal sector’s role in the global energy transition. With 22 international patents and a mission to make geothermal energy accessible and impactful, GreenFire Energy is redefining renewable power for the industries that need it most.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Walnut Creek, CA","United States","greenfireenergy.com","https://www.linkedin.com/company/greenfire-energy"
,"Philippine Geothermal Production Company, Inc. (PGPC)","The Philippine Geothermal Production Company, Inc. (PGPC) is a 100% Filipino corporation operating the Tiwi and Mak-Ban geothermal steam fields and is committed to operating in a manner that puts premium on the safety, security and well-being of its employees, the environment, and its host communities. PGPC is also committed to harness our country’s geothermal resources in a sustainable and efficient manner to provide clean, reliable, and renewable geothermal energy.","Geothermal Electric Power Generation","201-500 employees","Privately Held","Makati","Philippines","pgpc.com.ph","https://www.linkedin.com/company/philippine-geothermal-production-company-inc-pgpc"
,"XGS Energy","XGS Energy is a geothermal energy company founded and headquartered in Palo Alto, CA.  Our proprietary heat harvesting technology and closed-loop well architecture enable global deployment of terawatt-scale geothermal heat and power.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Palo Alto, California","United States","xgsenergy.com","https://www.linkedin.com/company/xgs-energy"
,"GMK Energy","GMK Energy is a world leader consulting, engineering and project development company which gives engineering, project design, consultancy, owner's engineering and integrated reservoir&well services in global geothermal energy market for power plant, district heating, greenhouse etc.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Bayraklı, İzmir","Turkey","gmkenerji.com.tr","https://www.linkedin.com/company/gmkenergy"
,"Eavor Deutschland","Eavor-Loop ist ein geothermisches System zur erneuerbaren Energieerzeugung und kann fast überall in Deutschland zuverlässig Energie für Fernwärmenetze und Strom liefern. Eavor-Loop ist seismisch sicher und skalierbar. Eavor-Loop hat das Potenzial, zum Gamechanger der Energie- und Wärmewende in Deutschland zu werden.","Geothermal Electric Power Generation","11-50 employees","Privately Held","Düsseldorf","Germany","eavor.de","https://www.linkedin.com/company/eavor-deutschland"
,"DEEP Earth Energy Production","DEEP Earth Energy Production is developing geothermal resources to meet increasing energy needs with sustainable, clean and renewable energy","Geothermal Electric Power Generation","11-50 employees","Privately Held","Saskatoon, Saskatchewan","Canada","deepcorp.ca","https://www.linkedin.com/company/deep-earth-energy-production-corp"
,"Criterion Energy Partners","Criterion Energy Partners (CEP) is an independent exploration and production company focused on developing decentralized direct geothermal energy projects to help commercial and industrial consumers reduce their emissions and improve their operating efficiency by providing clean, reliable, always on energy using heat from the Earth.","Geothermal Electric Power Generation","2-10 employees","Privately Held","Houston, TX","United States","criterionep.com","https://www.linkedin.com/company/criterionenergypartners"
,"Gradient Geothermal","Gradient Geothermal is revolutionizing the energy landscape by harnessing geothermal heat from existing oil and gas wells to generate emissions-free power. We specialize in innovative geothermal solutions that align with a sustainable, low-carbon future. By integrating advanced technology and industry expertise, we empower clients to maximize the value of their thermal resources while reducing their environmental footprint.","Geothermal Electric Power Generation","2-10 employees","Privately Held","Denver, CO","United States","gradientgeothermal.com","https://www.linkedin.com/company/gradient-geothermal"
,"TLS Geothermics","TLS Geothermics is a geoscience tech company, exploring and developing geothermal projects for power, heat, cold and byproducts. We conduct exploration projects globally, with 10 years of R&D activities to significantly reduce upstream drilling risks (geology, geophysics). We implement geothermal power systems independently and in partnership. We operate field campaigns for geological and geophysical data acquisition, with support from renowned laboratories and experts. Offering a complete acquisition / processing / interpretation value chain and expertise in geoscience studies, basin analysis, economics and technical feasibility in geothermal energy.

TLS Geothermics est une société technologique des géosciences, explorateur et développeur de projets en géothermie profonde, pour la production de chaleur et d'électricité.
L'entreprise mène des projets d'exploration en France et des activités R&D visant à réduire significativement les risques en amont des forages (géologie, géophysique) et met en œuvre des projets de centrales géothermiques par une approche globale seul ou en partenariat.
Nous mettons en oeuvre nous-même sur le terrain des campagnes d'acquisitions de données géologiques et géophysiques (MT, gravimétrie, sismique passive) et cela toujours avec un appui de laboratoires et experts parmi les plus reconnus dans les techniques utilisées.
TLS Geothermics dispose d'une chaîne complète d'acquisition/traitement/interprétation, et propose à ses clients et partenaires son expertise : études géosciences, expertise bassins, études économiques et financières, faisabilité technique en géothermie, préparation des projets d'exploration en géothermie.","Geothermal Electric Power Generation","11-50 employees","Privately Held","TOULOUSE, OCCITANIE","France","tls-geothermics.com","https://www.linkedin.com/company/tls-geothermics"
