"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lyft","Whether it’s an everyday commute or a journey that changes everything, Lyft is driven by our purpose: to serve and connect. In 2012, Lyft was founded as one of the first ridesharing communities in the United States. Now, millions of drivers have chosen to earn on billions of rides. Lyft offers rideshare, bikes, and scooters all in one app — for a more connected world, with transportation for everyone.","Ground Passenger Transportation","5,001-10,000 employees","Public Company","San Francisco, CA","United States","lyft.com","https://www.linkedin.com/company/lyft"
,"Emirates Transport","Your Gateway To Efficient Transport Solutions. Emirates Transport is a leading name in the transportation sector, with a legacy that spans over four decades. Since its inception, it has evolved into a multifaceted organization offering a diverse range of services. The company's extensive fleet includes a significant number of school buses, reflecting its dedication to safe and reliable student transportation. With a skilled workforce and a wide network of facilities across the UAE, we are committed to delivering exceptional service. Joining the Emirates Investment Authority has further strengthened its impact on the nation's economy.","Ground Passenger Transportation","10,001+ employees","Public Company","Dubai","United Arab Emirates","et.ae","https://www.linkedin.com/company/emirates-transport"
,"Elife Transfer","All-in-one global ground transportation marketplace, seamlessly connecting every journey.
Rail | Ride-hailing | Shared Shuttles | Private Transfers | Charter Buses
Global Network – 182+ countries | 1,500+ airports | 20,000+ cities | 70,000+ fleet partners | 20M+ happy travelers | 5M+ flawless rides

The Elife Advantage

24/7 Support: Our multilingual call center is always available via phone, email, and WhatsApp.
Expert Drivers: Our wide network of experienced, local-savvy drivers ensures a professional experience.
Total Transparency: We offer all-inclusive fares with no hidden charges.
Smart Technology: Route and flight tracking ensure on-time pickups, every time.

Vision: Reliable ground transportation services globally with all types of vehicles.
Mission: Empower high quality local fleets

Coorporate Culture: team first
* Partner-centric
* Team collaboration,
* Never ""not my job"", end-to-end ownership,
* Continuous learning and improvement,
* Hard-working and pragmatic,
* Don’t be a middleman,
* Result-driven","Ground Passenger Transportation","201-500 employees","Self Owned","Burlingame, California","United States","elifelimo.com","https://www.linkedin.com/company/globalelife"
,"Keolis Group","Keolis is a global leader in the shared mobility market and a committed partner to public transport authorities. Together, we co-construct safe, smart and sustainable public transport solutions that help to create more attractive places to live and work.

The world's leading operator of automatic metro systems and tramways, Keolis draws on a vigorous and open innovation policy with its partners and specialist subsidiaries - Cykleo, EFFIA, Hove, Keolis Santé and Kisio. The aim of this collaboration is to strengthen its core business and develop new, innovative and bespoke shared mobility solutions: trains, buses and coaches, trolleybuses, on demand transport, PRM-specific services, river and sea shuttles, bike share and rental, car sharing, all-electric autonomous shuttles, etc.

In keeping with our public service commitment, our objective is clear: offer appealing alternatives to private cars. With this goal in mind, we are focused on responding to the challenges of the mobility sector: the ecological transition, the digital transformation of lifestyles, the new expectations of citizens who want more flexibility and simplicity when they travel, operational excellence, security and public health.

Because each of us plays a part, no matter our role or background. 

“That’s the way we move”

More information on our website www.keolis.com and on our social-media.","Ground Passenger Transportation","10,001+ employees","Privately Held","Courbevoie, Île-de-France","France","keolis.com","https://www.linkedin.com/company/keolis"
,"Alsa","Con más de cien años de experiencia y una vocación de innovación permanente, Alsa es la organización líder en el sector español de transporte de viajeros por carretera.

La concepción del transporte desde una visión integral y la satisfacción permanente del cliente, son las premisas sobre las que Alsa desarrolla su actividad.

Como operador integral es capaz de atender las diferentes necesidades de movilidad de los ciudadanos mediante un amplio abanico de servicios de transporte en autobús, de ámbito tanto regional como nacional, internacional, urbano y discrecional (alquiler de autocares).","Ground Passenger Transportation","10,001+ employees","Privately Held","Madrid, Madrid","Spain","alsa.es","https://www.linkedin.com/company/alsa"
,"Metrô Rio","O Metrô do Rio de Janeiro opera desde março de 1979. Em 1997, com a concessão, a administração e a operação das linhas e estações ficaram a encargo do Consórcio Opportrans (Metrô Rio), concessionário pelo período de 20 anos.

No final de dezembro de 2007, a concessão foi renovada até 2038 e o Metrô Rio assumiu a responsabilidade pela construção da Linha 1A, que ligará a linha 2 à Linha 1, acabando com a necessidade de transferência em Estácio, pela compra de 114 carros e construção das Estações Uruguai e Cidade Nova.

É a segunda rede mais extensa do país, com 42 km distribuídos em duas linhas e 38 estações, perdendo apenas para o Metrô de São Paulo. Transporta diariamente cerca de 550 mil passageiros.","Ground Passenger Transportation","1,001-5,000 employees","Privately Held","Rio de Janeiro, RJ","Brazil","metrorio.com.br","https://www.linkedin.com/company/metr-rio"
,"Grupo EPR","A EPR é uma plataforma de investimentos em concessões de rodovias e mobilidade. Nosso propósito é o desenvolvimento sustentável a partir da prestação de serviços de excelência aos usuários e a realização de investimentos consistentes. 

A empresa é a consolidação da parceria da Equipav,  com mais de 60 anos de experiência em infraestrutura, com a @Perfin, gestora de fundos de investimentos em infraestrutura. 

Administramos seis concessões de rodovias, sendo: EPR Via Mineira, EPR Sul de Minas, EPR Triângulo e EPR Vias do Café, no estado de Minas Gerais e a EPR Litoral Pioneiro e EPR Iguaçu, no Paraná.","Ground Passenger Transportation","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","grupoepr.com.br","https://www.linkedin.com/company/grupoepr"
,"Daewoo Pakistan Express Bus Service LTD","Daewoo Express is the first and the biggest foreign investment Company with an advanced and organized network with various international trade links. Being a transport service provider the company owns a large fleet of buses, Technically Advanced Workshops to maintain the fleet for the safety of the passengers, State of the Art Terminals, Training Institutes for Drivers and Mechanical Staff. 

Daewoo Express has been rendering transport facilities since its inception in 1997 to the people of Pakistan. It is appreciated by the masses as well as by the Governments of Pakistan as well as Korea for its consistent success. Media of both the countries often express appreciation for the revolutionary accomplishment of the Company in the transport sector, through various channels.","Ground Passenger Transportation","5,001-10,000 employees","Public Company","Lahore, Punjab","Pakistan","daewoo.com.pk","https://www.linkedin.com/company/daewoo-pakistan-express-bus-service"
,"Arriva Group","Arriva is the leading passenger transport operator in Europe, employing around 36,200 people and delivering 1.5 billion passenger journeys each year, with businesses across 11 European countries.

Our services include local buses (scheduled and demand-responsive); inter-urban commuter coaches; local, regional and national train services; waterbuses, bicycles and school transport. 

We operate passenger transport services in Czech Republic; Croatia; Hungary; Italy; Netherlands; Poland; Slovakia; Slovenia, Spain and the UK. We also have a rolling stock leasing company in Romania.","Ground Passenger Transportation","10,001+ employees","Privately Held","Sunderland, North East","United Kingdom","arrivagroup.com","https://www.linkedin.com/company/arrivagroup"
,"HyperloopTT","Hyperloop Transportation Technologies (HyperloopTT) is an innovative transportation and technology company focused on realizing the hyperloop, a system that moves people and goods safely, efficiently, and sustainably by bringing airplane speeds to the ground. Through the use of unique, patented technology and an advanced collaborative business model, HyperloopTT is creating the first new form of transportation in over a century. 

Founded in 2013, HyperloopTT is a global team of more than 800 engineers, creatives, and technologists in 52 multidisciplinary teams, with 50 corporate and university partners. Headquartered in Los Angeles, CA, HyperloopTT has offices in North and South America, the Middle East, and Europe. 

HyperoopTT is a proud signatory of the United Nations Global Compact, reflecting the company’s commitment to the UN Sustainable Development Goals..","Ground Passenger Transportation","501-1,000 employees","Privately Held","Los Angeles, California","United States","hyperlooptt.com","https://www.linkedin.com/company/hyperlooptt"
,"FirstGroup plc","FirstGroup plc is a leading private sector provider of public transport.

Our services are a vital part of society – transporting customers for business, education, health, social or leisure purposes. We create solutions that reduce complexity, making travel smoother and life easier.

FirstGroup is one of the UK's largest bus operators, serving two-thirds of the UK’s 15 largest conurbations, including major urban areas such as Glasgow, Bristol and Leeds, with a fifth of the market outside London. We are also one of the most experienced rail operators in the UK and the only one to run every sort of railway - long distance, regional, commuter and sleeper operations. We carried more 772,000 passengers a day in 2022/23 across our five rail operations. 

We operate three passenger franchises – Avanti West Coast, Great Western Railway, South Western Railway – and two open access operations, Lumo and Hull Trains. 

We provide easy and convenient mobility, improving quality of life by connecting people and communities.

For information on careers with FirstGroup in the UK click here:
Home (firstgroup.co.uk)","Ground Passenger Transportation","10,001+ employees","Public Company","Aberdeen, Scotland","United Kingdom","firstgroupplc.com","https://www.linkedin.com/company/first-group"
,"DAKAR MOBILITE","Dakar Mobilité est le concessionnaire du BRT de Dakar, c’est une société sénégalaise détenue à 70% par Meridiam et à 30% par le FONSIS.
Elle est en charge de l’acquisition d’une flotte de bus électriques, l’exploitation et la maintenance du système BRT de Dakar.
A travers le projet BRT, Dakar Mobilité, apportera une solution durable :
 - Au transport de personnes
-  A la congestion routière
- A la pollution","Ground Passenger Transportation","11-50 employees","Privately Held","Dakar, Senegal","Senegal",,"https://www.linkedin.com/company/dakarmobilite"
,"OK Mobility","OK Mobility is the global mobility platform with the highest growth and projection in the world. Through rental, subscription, renting and purchasing, OK Mobility offers effective, personalised, sustainable and real time solutions. 

To this end, and in order to respond to all the mobility demands of users, the company has over 70 OK Stores in 20 countries: Spain, Portugal, Italy, Germany, Greece, Malta, Croatia, Montenegro, Serbia, United States, Morocco, Albania, Romania, France, Turkey, Bosnia, Macedonia, Tunisia, Senegal and Gambia.","Ground Passenger Transportation","501-1,000 employees","Self Owned","Palma de Mallorca, Islas Baleares","Spain","okmobility.com","https://www.linkedin.com/company/ok-mobility-services"
,"VicRoads","VicRoads is passionate about making it easy for Victorians to get on the road.  

We operate registration and licensing services on behalf of the Victorian State Government, registering more than 6.5 million vehicles and licensing 5.1 million drivers of cars, motorcycles, heavy vehicles and boats. 

More than 40 essential registration and licensing services sit under our umbrella. Each year we securely process millions of online transactions and provide personalised support at our 44 licensing, testing and Customer Service Centres throughout Victoria. 

We're pleased to have launched a range of innovative digital services to make it easier for Victorians to manage their registration and licensing needs. These include ourmyVicRoadsapp, which provides secure access to a range of registration and licensing services on your phone. Drivers can now access theirDigital Driver Licencethrough the myVicRoads app. We also launched ourVicRoads Vehicle Report, which allows purchasers to get insights into a vehicle's history and make a more confident purchase. 

As we continue to evolve, we will remain focused on enhancing the customer experience and delivering practical benefits for Victorians, as well as continuing to provide seamless and efficient services. 

We operate as a joint venture partnership with the Victorian State Government, Aware Super, Australian Retirement Trust and Macquarie Asset Management.","Ground Passenger Transportation","1,001-5,000 employees","Partnership","Melbourne, Victoria","Australia","vicroads.vic.gov.au","https://www.linkedin.com/company/vicroads"
,"SunuBRT Officiel","Bienvenue à bord de SunuBRT, où la mobilité urbaine devient rapide, fluide et respectueuse de l'environnement grâce à nos bus 100% électriques. Rejoignez-nous pour créer ensemble l'avenir du transport !","Ground Passenger Transportation","51-200 employees","Privately Held","Dakar","Senegal",,"https://www.linkedin.com/company/sunu-brt-officiel"
,"OK Mobility","OK Mobility is the global mobility platform with the highest growth and projection in the world. Through rental, subscription, renting and purchasing, OK Mobility offers effective, personalised, sustainable and real time solutions. 

To this end, and in order to respond to all the mobility demands of users, the company has over 70 OK Stores in 20 countries: Spain, Portugal, Italy, Germany, Greece, Malta, Croatia, Montenegro, Serbia, United States, Morocco, Albania, Romania, France, Turkey, Bosnia, Macedonia, Tunisia, Senegal and Gambia.","Ground Passenger Transportation","501-1,000 employees","Self Owned","Palma de Mallorca, Islas Baleares","Spain","okmobility.com","https://www.linkedin.com/company/ok-mobility-mobility-services"
