"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Conor Australia","We're on a mission to bring the luxury of bidets to every home. Our goal? To transform your life through our bidets, all while busting the water wastage myth. Discover the comfort and cleanliness bidets offer – eco-friendly and effective. Join us in revolutionizing hygiene, one bidet at a time. Say yes to a fresher lifestyle today!","Wholesale Hardware, Plumbing, Heating Equipment","2-10 employees","Privately Held","Armadale, Victoria","Australia","conors.com.au","https://www.linkedin.com/company/conor-australia-pty-ltd"
,"SOGETHERM","L’entreprise SOGETHERM a été fondée en 2007, dynamique, née d’une véritable passion pour la commercialisation et la vente du Matériel de chauffage central, énergie solaire, climatisation, ventilation, plomberie, pompage, sanitaire, robinetterie, etc... Notre savoir-faire et nos compétences reposent sur notre département commercial, nos compétences terrain et un personnel expérimenté, motivé et hautement qualifié. Quelque soit votre projet, l’entreprise SOGETHERM vous accompagne, identifie l’ensemble de vos besoins et vous propose une orientation répondant à votre attente.","Wholesale Hardware, Plumbing, Heating Equipment","51-200 employees","Privately Held","Assoukhour Assawda, Casablanca-Settat","Morocco","sogetherm.com","https://www.linkedin.com/company/sogetherm1"
,"Sonepar Climate","As a specialist within the Sonepar group, the HVAC Specialist Network is committed to offering innovative, sustainable, and tailored solutions to today’s climate engineering challenges, while actively contributing to a responsible energy future.

As a key and essential partner for professionals, Sonepar's  HVAC Specialist Network brings together leading players in climate engineering, including the CD SUD + 3C CLIM brands, the first historical partners of leading market brands like Mitsubishi Electric, Daikin, Heiwa, Toshiba, and Panasonic.

With nearly 60 agencies across France, the  HVAC Specialist Network ensures optimal proximity to its artisan and professional clients. Belonging to the Sonepar group allows us to leverage cutting-edge innovations and technologies, while maintaining a personalized and responsive offer to meet the demands of the French market.

Our commitment? As a member of the Sonepar group, our priority is to contribute to our clients' success by providing effective, reliable, and environmentally friendly climate engineering solutions, while promoting a more sustainable future for the entire sector.

Let’s build the future of climate engineering together: Let’s energize progress for future generations.

Energy is in our nature.","Wholesale Hardware, Plumbing, Heating Equipment","201-500 employees","Privately Held","Marseille Cedex 16, Provence-Alpes-Côte d’Azur","France","sonepar.fr","https://www.linkedin.com/company/soneparclimate"
,"[CD SUD x 3C CLIM] Réseau Spécialiste Génie Climatique","As a specialist within the Sonepar group, the HVAC Specialist Network is committed to offering innovative, sustainable, and tailored solutions to today’s climate engineering challenges, while actively contributing to a responsible energy future.

As a key and essential partner for professionals, Sonepar's  HVAC Specialist Network brings together leading players in climate engineering, including the CD SUD + 3C CLIM brands, the first historical partners of leading market brands like Mitsubishi Electric, Daikin, Heiwa, Toshiba, and Panasonic.

With nearly 60 agencies across France, the  HVAC Specialist Network ensures optimal proximity to its artisan and professional clients. Belonging to the Sonepar group allows us to leverage cutting-edge innovations and technologies, while maintaining a personalized and responsive offer to meet the demands of the French market.

Our commitment? As a member of the Sonepar group, our priority is to contribute to our clients' success by providing effective, reliable, and environmentally friendly climate engineering solutions, while promoting a more sustainable future for the entire sector.

Let’s build the future of climate engineering together: Let’s energize progress for future generations.

Energy is in our nature.","Wholesale Hardware, Plumbing, Heating Equipment","201-500 employees","Privately Held","Marseille Cedex 16, Provence-Alpes-Côte d’Azur","France","cd-sud.com","https://www.linkedin.com/company/cdsud-3cclim"
,"CHIALI TRADING","Fondée en 2017, CHIALI TRADING filiale du GROUPE CHIALI, active dans la commercialisation des produits du Groupe et d’autres importés d’Italie, de France et d’Allemagne dans le domaine de la Plomberie et Système d’Irrigation.
Elle conçoit et fournit aussi des solutions pour la Menuiserie PVC avec sa marque NAWAFID.

La société CHIALI TRADING compte, aujourd’hui, plus de 100 collaborateurs directs et plus de 1000 clients répartis sur le territoire national.

La Spa CHIALI TRADING s’engage dans le renforcement du réseau de distribution avec un objectif principal : la couverture du marché Algérien.

Fort de la qualité de ses différents produits, CHIALI TRADING offre des solutions Complètes et de Qualité dans le domaine de :

Chauffage - Sanitaire - Évacuation
•	Tube PEHD
•	Tube PVC-U Fileté
•	Tube PVC-U Écoulement
•	Tube multicouche & Accessoires
•	Chaudières, Radiateurs et Sèches serviettes
•	Cumulus
•	Pièces de Rechange Chaudières

Systèmes d’Irrigation :
•	Accessoires PP
•	Système d’Irrigation Goutte à Goutte avec PEBD et/ou Gaine plate
•	Système d’Irrigation par Aspersion en PEHD
•	Conduites d’amenées
•	Accessoires PP
•	Géomembrane en PEHD

Menuiserie PVC NAWAFID
•	Fenêtre
•	Porte & Porte-fenêtre
•	Volet roulant
•	Moustiquaire
•	Vitrage

CHIALI TRADING opère notamment dans les études techniques et l’accompagnement de ses clients sur le terrain à travers des équipes qualifiées et présentes à tout moment, et dispose de grandes plateformes de stockage et des moyens logistiques afin de faciliter l’approvisionnement de ses distributeurs et revendeurs.

Où que vous soyez, CHIALI TRADING vous suit.","Wholesale Hardware, Plumbing, Heating Equipment","51-200 employees","Privately Held","Sidi Bel Abbès , Sidi Bel Abbès","Algeria","groupe-chiali.com","https://www.linkedin.com/company/chiali-trading"
,"SECLOCK","For almost 45 years, SECLOCK has been the trusted source for electrical and mechanical door hardware, providing security professionals with the products and expertise they need to get the job done right. As THE leading wholesale distributor, SECLOCK stocks complete lines from the industry’s most trusted brands, including all finishes, functions, designs, lengths, voltages, and options. What sets SECLOCK apart is our deep technical knowledge and commitment to accuracy. Our experienced sales and support teams help customers navigate complex hardware specifications, ensuring every order fits the project’s exact requirements. With a robust online catalog, competitive pricing, and fast nationwide shipping, SECLOCK makes it easy to source the right hardware on time and within budget.Whether outfitting a single door or managing a large-scale security installation, the industry relies on SECLOCK for inventory availability, expert guidance, and dedicated support.","Wholesale Hardware, Plumbing, Heating Equipment","51-200 employees","Privately Held","Westwood, MA","United States","seclock.com","https://www.linkedin.com/company/seclock"
,"A.Capaldo S.p.A.","L'Azienda, fu fondata nel 1935 ad Atripalda dove ha conservato la sede legale fino al luglio del 2013, quando la sede legale è stata unificata con la sede operativa di Manocalzati.Nel 1984 la sola sede operativa fu trasferita nel limitrofo territorio del Comune di Manocalzati, in un complesso di nuova costruzione costituito da due grandi capannoni con palazzina uffici ed ampi parcheggi. Successivi ampliamenti realizzati negli anni 1992-1994 e 2000-2001 hanno consentito di raggiungere le dimensioni attuali del complesso che sorge su di un'area di proprietà di circa 80.000 mq. entro la quale insistono costruzioni per oltre 40.000 mq. coperti. La necessità di razionalizzare e potenziare la logistica aziendale suggerì di realizzare un impianto automatizzato: e così negli anni 2006-2009 fu costruito, nel Nucleo Industriale di Avellino - località Santorelli - su di un'area di proprietà di circa 70.000 mq., un insieme di magazzini capaci di ospitare merci per un volume complessivo di mc. 400.000. Il magazzino automatizzato dedicato ai pallet ne ospita ben 40.000 ed è alto 33 mt. Allo stesso modo, negli anni, si è arricchita la gamma merceologica. Alla iniziale e classica ""Ferramenta e Colori "" ben presto si aggiunsero i "" vetri in lastre"" ( da tempo dismessi ) e poi altre categorie merceologiche.

Oggi l'Azienda distribuisce :
Ferramenta - utensileria manuale ed elettrica - utensili e prodotti per l'edilizia - idraulica ed accessori da bagno - riscaldamento e ventilazione - materiale elettrico e per illuminazione - prodotti vernicianti ed ausiliari - casalinghi ed accessori per la casa - scaffalature metalliche e mobili da ufficio - giardinaggio e agricoltura - arredi per giardino,balconi e terrazzi -piscine fuori terra","Wholesale Hardware, Plumbing, Heating Equipment","201-500 employees","Privately Held","Avellino","Italy","capaldo.it","https://www.linkedin.com/company/a-capaldo-spa"
,"Ashworth","Specialist distributors of commercial heating, plumbing & drainage solutions

Ashworth is recognised as one of the leading distributors to the Mechanical Services and Process Industries markets, providing market-leading products from a network of strategically located branches serving all the major conurbations and surrounding territories.

Ashworth continually adapts to changing market conditions and prides itself on developing innovative, problem solving products and services to meet our customers needs, as well as continuing to supply many proven products in our traditional Pipeline, Valves and Fittings portfolio. That's one of the reasons why we have been in the business for 100 years.

We service the UK from our network of strategically placed branches, all of which employ knowledgeable staff equipped to answer our customers' enquires

They are trained to deal with enquiries, whether that be sourcing a new range of products or simply providing service on our stacked product ranges.

We strive to be at the forefront of innovations and will introduce new product ranges and services on a regular basis, thus providing our customers with the opportunity to differentiate their own service to their clients.","Wholesale Hardware, Plumbing, Heating Equipment","51-200 employees","Privately Held","Bolton, England","United Kingdom","uk.com","https://www.linkedin.com/company/ashworth"
,"UK Plumbing Supplies","UK Plumbing Supplies (UKPS) is the UK’s largest independent plumbing, heating and bathroom merchant, built on a network of over 320 sites and 16 well-known brands.

We operate differently: no central scripts, no one-size-fits-all. Each site runs with real autonomy, led by people who know their customers, their stock, and their local market. That independence makes us faster, closer to our customers, and proud of what we do.

Behind the scenes, our service centres keep the wheels turning - supporting growth across every part of the business.

We’re growing fast. And we’re always on the lookout for people who want to take ownership, make things happen, and be part of a business that still runs on trust, teamwork, and straight talking.","Wholesale Hardware, Plumbing, Heating Equipment","1,001-5,000 employees","Privately Held","Warrington, England","United Kingdom","ukps.com","https://www.linkedin.com/company/uk-plumbing-supplies"
,"Shirazee Traders","Shirazee, It all Started Back in The Year 1993. Today, We Have Transformed Ourselves From a Humble Trader to Reputed Trader, Exporter, Importer, Wholesaler and Supplier of Fasteners, Power Tools, Hand Tools, Fastening Systems, Chemical Fastener, Chemical Anchor, Rebarring Chemical, Mechanical Fasteners, Self Drilling Screws, Anchor Bolt, Rawl Plugs, Blind Rivets, Self Tapping Screws, Helicoil Inserts, Nut Inserts, Parallel Key, Machine Key and Many More in Pune. The Journey Has Undoubtedly Been Long and Challenging. Yet By Addressing The Needs of Thriving Modern Area and Catering to Its Each...","Wholesale Hardware, Plumbing, Heating Equipment","11-50 employees","Self Owned","pune, maharashtra","India","shirazee.co.in","https://www.linkedin.com/company/shirazee-traders"
,"TG Lynes Ltd","TG Lynes is one of the foremost suppliers to the mechanical services, heating, plumbing and air movement industries. The company prides itself on success brought about due to its wide range of stock, quality of service and the experience of its staff - both on the Trade Counters as well as in the Sales Office and incorporating the Plant Hire operation.

The company’s head office, main distribution operation and plant hire facilities are located in a modern purpose-built warehouse facility in Enfield.

Key customer benefits include:-
2,000 sq ft Trade Counter with customer demonstration area and product displays
Ease of parking with ample loading and collection area
Excellent road access from London, M25, M11, M1, A1(M), A10 and North Circular
A wide range of products all located in a modern warehouse facility
TG Lynes vehicles delivering daily to London, The South East, East Anglia and the Midlands","Wholesale Hardware, Plumbing, Heating Equipment","51-200 employees","Public Company","Enfield","United States","tglynes.co.uk","https://www.linkedin.com/company/t-g-lynes-ltd"
,"Williams Trade Supplies Ltd","Independently owned & proud to be different

Founded by Mick Williams in 1972, the company was a traditional local independent merchants for many years. In more recent years, the combination of great prices on the best products backed up by exceptional service has catapulted the company forwards to become a major regional independent and one of the fastest growing merchants in the UK.

Whilst other merchants may offer a confusing mess of price lists and discounts, we simply publish our best trade price, and charge the same price to every trade customer. If we get a deal from a manufacturer, then it is available to all our customers. All we ask is that, if we don’t know you, you are patient whilst we verify your trade status, as we do not deal with retail customers.

In both 2014, 2015 and 2016 the company was recognised by the London Stock Exchange as one of the UK’s 1000 most inspiring businesses, and was listed in Real Business Magazine’s “HOT 100″ fastest growing businesses.

In 2015, the company was acquired from the Williams family by a consortium of management and staff, and most staff are now also shareholders.

We are proud of our commitment to paying a living wage, and to sharing the profits of the business with those who work hard in it.","Wholesale Hardware, Plumbing, Heating Equipment","201-500 employees","Privately Held","Fareham, England","United Kingdom","tradeonlyplumbing.co.uk","https://www.linkedin.com/company/williams-trade-supplies-ltd"
,"AZA ELECTROMECHANICAL LLC","AZA Electromechanical has the representation from internationally reputed manufacturers and has a wide range of activities and interests.

AZA Electromechanical caters to the requirements of Industries like Smart Farms, Industries, Commercial, Engineering Industries, Construction etc. We bring quality products that exceed your expectations, and we have strategic tie-ups with the industry leaders round the globe to fulfil our customer requirements for quality products and customer services that add value to their businesses.","Wholesale Hardware, Plumbing, Heating Equipment","11-50 employees","Partnership","Dubai, Dubai","United Arab Emirates","azamep.com","https://www.linkedin.com/company/aza-electromechanical-llc"
,"REISSER AG","Die REISSER Gruppe fungiert seit 150 Jahren als Familienunternehmen und gilt in Deutschland als einer der führenden Großhändler im Bereich Sanitär-, Installation- Heizung- und Lüftungstechnik. Mit rund 1900 Mitarbeitern an über 50 Standorten gelten wir als zuverlässiger Partner für das Handwerk. 

Unser Kernkompetenz ist die Logistik, wir sorgen dafür, dass ihre Bad Träume schnellstmöglich Wirklichkeit werden. Unsere hochmotivierten Mitarbeiter stehen Ihnen dabei mit kompetenter Beratung zur Seite.","Wholesale Hardware, Plumbing, Heating Equipment","1,001-5,000 employees","Public Company","Böblingen, Baden-Württemberg","Germany","reisser.de","https://www.linkedin.com/company/reisser-ag"
,"Conor","We’re a team of bidet enthusiasts, with the believe that every home should have a bidet. Our mission is to sell our bidet you, in the hope to change your life. But don’t let the misconception about water wastage fool you.","Wholesale Hardware, Plumbing, Heating Equipment","2-10 employees","Privately Held","Melbourne, Victoria","Australia","conors.com.au","https://www.linkedin.com/company/conors"
