"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Grupo Brisa","Brisa Group is the leading company in the management of road infrastructures and mobility services and seeks to transform the quality of life of communities by connecting people through simple, safe and sustainable mobility.","Highway, Street, and Bridge Construction","1,001-5,000 employees","Privately Held","Lisboa","Portugal","grupobrisa.pt","https://www.linkedin.com/company/grupobrisa"
,"SHIVALAYA CONSTRUCTION LIMITED","SHIVALAYA CONSTRUCTION LIMITED is a construction company based out of Delhi, India. Established in 1997 by its visionary directors. Shivalaya is considered among the elite construction and engineering companies in the country. 

Our vision is to be a leading construction & engineering company by setting the highest standards in client satisfaction & quality of construction. To deliver high-quality, cost-effective projects on schedule by employing and supporting passionate, flexible, and focused project teams. We value the importance of our relations and will continue to provide & efficient solution to our client.

We have implemented projects for several government departments like PWD of Haryana, Maharashtra, Jharkhand, Himachal Pradesh, Rajasthan, Delhi, Madhya Pradesh, Chhattisgarh & whole of North East - Manipur, Nagaland, Arunachal Pradesh & Mizoram as well as for NHAI, NHIDCL, NBCC, HSCC.

Currently, the company is involved in multi-billion Indian Rupee infrastructure development projects like National, State Highways and Bridges, Government buildings, etc. across India. We are known to successfully complete infrastructure projects well within deadlines. As a testament to this fact, we have been rewarded with bonus for early completion of multiple projects.

As a result of the dedication and passion of the directors and associates of the company, combined with the purpose of helping build a better nation, Shivalaya Construction Co. Pvt. Ltd. has graduated from being a small civil contractor to one of the major players in various states. The revenue of the company has increased manifold in past few years.

We credit this success to our experienced and well qualified team of civil engineers and administration personnel who assist our directors in impeccable execution of the tasks undertaken by the company. We trust our team to help our company stay aligned and qualified to our purpose, which is to help build a better India.","Highway, Street, and Bridge Construction","201-500 employees","Public Company","West Delhi, New Delhi","India","sccgroup.co.in","https://www.linkedin.com/company/shivalaya-construction-limited"
,"SHIVALAYA CONSTRUCTION COMPANY PRIVATE LIMITED","SHIVALAYA CONSTRUCTION COMPANY PRIVATE LIMITED is a construction company based out of Delhi, India. Established in 1997 by its visionary directors. Shivalaya is considered among the elite construction and engineering companies in the country. 

Our vision is to be a leading construction & engineering company by setting the highest standards in client satisfaction & quality of construction. To deliver high-quality, cost-effective projects on schedule by employing and supporting passionate, flexible, and focused project teams. We value the importance of our relations and will continue to provide & efficient solution to our client.

We have implemented projects for several government departments like PWD of Haryana, Maharashtra, Jharkhand, Himachal Pradesh, Rajasthan, Delhi, Madhya Pradesh, Chhattisgarh & whole of North East - Manipur, Nagaland, Arunachal Pradesh & Mizoram as well as for NHAI, NHIDCL, NBCC, HSCC.

Currently, the company is involved in multi-billion Indian Rupee infrastructure development projects like National, State Highways and Bridges, Government buildings, etc. across India. We are known to successfully complete infrastructure projects well within deadlines. As a testament to this fact, we have been rewarded with bonus for early completion of multiple projects.

As a result of the dedication and passion of the directors and associates of the company, combined with the purpose of helping build a better nation, Shivalaya Construction Co. Pvt. Ltd. has graduated from being a small civil contractor to one of the major players in various states. The revenue of the company has increased manifold in past few years.

We credit this success to our experienced and well qualified team of civil engineers and administration personnel who assist our directors in impeccable execution of the tasks undertaken by the company. We trust our team to help our company stay aligned and qualified to our purpose, which is to help build a better India.","Highway, Street, and Bridge Construction","201-500 employees","Privately Held","West Delhi, New Delhi","India","sccgroup.co.in","https://www.linkedin.com/company/shivalaya-construction-company-private-limited"
,"Concesionaria Vía Sumapaz","En VÍA SUMAPAZ ponemos la Movilidad Positiva en acción.

Somos la Concesión a cargo de la modernización, operación y el mantenimiento de la vía Bogotá-Girardot, y parte de la red global de soluciones de movilidad VINCI Highways, filial de VINCI Concessions, líder en concesiones viales y servicios de movilidad en 14 países.

Nos respalda la experiencia de VINCI Highways para ofrecer los más altos estándares de rendimiento y seguridad. 

Nuestro objetivo es brindar a los conductores una experiencia positiva en la carretera, al mismo tiempo que contribuimos a conectar a más de 17 millones de colombianos.

Trabajamos en sinergia en pro del planeta, las personas, su seguridad, la prosperidad y la innovación a lo largo de los 145 kilómetros de nuestra vía. 

Nuestra labor abarca los departamentos de Cundinamarca y Tolima, así como los 13 municipios que conforman nuestra área de influencia.

Para obtener más información, visita nuestro sitio web en www.viasumapaz.com.","Highway, Street, and Bridge Construction","201-500 employees","Privately Held","Bogotá, *","Colombia","viasumpaz.com","https://www.linkedin.com/company/viasumapaz"
,"SIRAT SA","La Société des Infrastructures Routières et de l’Aménagement du Territoire (SIRAT SA), est une entreprise au service de l’intérêt public. Elle intervient en tant que Maitre d’ouvrage délégué des organismes publics pour tous types de projets relatifs à l’aménagement du territoire (routes, bâtiments et infrastructures diverses). Elle est ainsi un centre d’expertises pour l’initiation, la conception, le suivi et la gestion des grands projets de développement du Benin.
La SIRAT est également chargée de la gestion des postes de péages et pesages, ainsi que de la mise en œuvre de l’entretien du réseau routier.","Highway, Street, and Bridge Construction","501-1,000 employees","Government Agency","Cotonou","Benin","sirat.bj","https://www.linkedin.com/company/societe-des-infrastructures-routieres-et-de-l-amenagement-du-territoire-sirat-benin"
,"Chartered Institution of Highways & Transportation (CIHT)","The Chartered Institution of Highways and Transportation (CIHT) is a charity, learned society, and membership body with 12 UK regions and several international groups. CIHT serves highway and transportation professionals as a professional membership and registration body in the UK and internationally, offering benefits to members that include e-learning, a bimonthly magazine, a professional network, policy and technical updates, in-person and online events, registration, and qualification opportunities.

CIHT represents and qualifies professionals who plan, design, build, manage and operate transport and infrastructure.

We offer routes to qualifications including Chartered Engineer, Incorporated Engineer and Engineering Technician, the SoRSA Certificate of Competency and Transport Planning Professional.

CIHT is the leading voice of the highways and transportation infrastructure profession. We are the prime source of advice for national and local government and other national and local government and other strategic stakeholders when they are seeking technical expertise and knowledge to guide future policy and investment.

The Institution is the natural home for all people working in transport infrastructure who are seeking education, professional qualifications, technical guidance and networking in a welcoming environment.","Highway, Street, and Bridge Construction","11-50 employees","Non Profit","London, N1 7JE","United Kingdom","ciht.org.uk","https://www.linkedin.com/company/chartered-institution-of-highways-&-transportation"
,"ICA Yavuz Sultan Selim Köprüsü ve Kuzey Çevre Otoyolu İşletmesi","ICA Yatırım ve İşletme A.Ş.; Yavuz Sultan Selim Köprüsü ve Kuzey Çevre Otoyolu’nun bakım ve işletmesini yapmakta olup Kuzey Çevre Otoyolu üzerindeki tüm ticari faaliyetleri yönetmektedir. Sektörünün öncü şirketi olarak özel otoyol işletmeciliği kültürünün ülkemizde oluşmasını ve iyi uygulamalar ile dünya çapında saygın bir yer edinmesini sağlamak başlıca hedefleridir.

ICA Investment and Management Inc., is responsible from all maintenance and operational works of Yavuz Sultan Selim Bridge and Northern Ring Motorway, and manages all commercial activities on the Northern Motorway.
As the leading company of this sector, the main goal of ICA is to establish private motorway culture in Turkey and ensuring that, with best practices, Turkish Private Motorway Management Sector, gain a respectable place in the world.","Highway, Street, and Bridge Construction","501-1,000 employees","Privately Held","Garipçe, Istanbul","Turkey","ysskoprusuveotoyolu.com.tr","https://www.linkedin.com/company/ica-yatirim-ve-isletme-as"
,"Ascendi","
       
","Highway, Street, and Bridge Construction","501-1,000 employees","Privately Held","Porto","Portugal","ascendi.pt","https://www.linkedin.com/company/aenor-ascendi"
,"Esnad Contracting","تأسـست شـركة إسـناد الطرق سـنة 1999م  بهـدف تدعيـــم قطـــاع هندســـة الطـــرق والجسور برؤيـــة مختلفـــة تطمـــح إلى الاستحواذ على نســـبة كبيـــرة مـــن ســـوق الإنشـــاءات المتعلقـــة بهندســـة الطـــرق والجسور والأعمـــال ذات الصلـــة. 
وفي خلال 3 سنوات احتلـــت شـــركة إســـناد الطرق مـــكاناً متميـــزاً وســـط 
كبـري الشـركات العاملـة فـي نفـس المجـال مــن خلال اســتقطاب الكفــاءات المتخصصــة 
وتوفيـــر القـــدرات الفنيـــة والتقنيـــة وأفضـــل المـــواد الخـــام وأحـــدث المعـــدات التـــي 
تسـاهم فـي تحقيـق رؤيـة الشـركة وتواكب رؤيـــة المملكـــة العربيـــة الســـعوية 2030.","Highway, Street, and Bridge Construction","1,001-5,000 employees","Privately Held","Riyadh, Riyadh","Saudi Arabia","esnadcontracting.com","https://www.linkedin.com/company/esnadcontracting"
,"Lima Expresa","Lima Expresa, a subsidiary of VINCI Highways, is the operator of 16 kilometers of the Vía de Evitamiento, from the Javier Prado clover to the Habich oval, and 9 kilometers of Vía Expresa Línea Amarilla, located between the Huáscar Bridge and the border with the province of Callao on Avenida Morales Duárez. 

Lima Expresa is time saving: Using the Vía de Evitamiento and the Yellow Line express route it is possible to save around 20 minutes from the Javier Prado clover to the airport, compared to other existing routes. (Source: Google Maps | 2023 | Average time – Peak hour tomorrow).

Lima Expresa is security. From 2016 to 2023 we have reduced the serious accident rate by 72%.

Lima Expresa offers roads in excellent condition: We guarantee first-class maintenance on 25 km of roads and we collect around 20 tons of solid waste, clearing and brush daily.

Lima Expresa is attention to our clients: 24/7 surveillance with more than 120 cameras and Argos, our Monitoring Operations Control Center, our clients have an immediate response to road emergencies.

Committed to achieving the high standards of VINCI Highways in Peru, Lima Expresa became the first highway concession in the country to implement a fleet of electric vehicles, solar panels and protect Amazon forests. Lima Expresa has already reduced its direct CO2 emissions (scope 1 and 2) by 44% since 2018.","Highway, Street, and Bridge Construction","501-1,000 employees","Privately Held","Surco, Lima","Peru","limaexpresa.pe","https://www.linkedin.com/company/lima-expresa"
