"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Koç Holding","Koç Holding is Turkey’s leading investment holding company and Koç Group is Turkey's largest industrial and services group in terms of revenues, exports, number of employees, taxes paid and market capitalization on Borsa Istanbul. Being the only Turkish company to be ranked in Fortune Global 500 List and in Forbes World’s Best Employers List, Koç Holding has leading positions with strong competitive advantages in energy, automotive, consumer durables and finance sectors.","Holding Companies","10,001+ employees","Public Company","Istanbul, Uskudar","Turkey","koc.com.tr","https://www.linkedin.com/company/koc-holding"
,"RÖNESANS HOLDİNG","Merkezi, Ankara’da bulunan Rönesans Holding, dünyanın en büyük müteahhitlik şirketlerinin sıralandığı ENR listesinde dünyada 50. sırada yer alırken, Avrupa'nın ve Türkiye’nin en büyük uluslararası müteahhitlik şirketlerinden biridir. Türkiye ve Avrupa başta olmak üzere, Orta Asya ve Afrika'da 40'dan fazla ülkeye uzanan geniş bir coğrafyada 1993 yılından beri; inşaat, enerji, sağlık, gayrimenkul ve endüstriyel yatırımlar alanlarında ana müteahhit ve yatırımcı olarak faaliyet gösteren Rönesans Holding’in iştirakleri arasında Hollanda merkezli Ballast Nedam ve Almanya merkezli Heitkamp Industrial Solutions GmbH da bulunmaktadır.

Uluslararası deneyimini, ileri mühendislik bilgisi ve finansal gücü bir araya getiren Rönesans Holding; ortakları GIC, Meridiam Infrastructure, Sojitz, Samsung C&T, TotalEnergies, ve Dünya Bankası kuruluşu IFC (grubun azınlık hissedarlarından) ile birlikte Türkiye ve yurt dışındaki öncü projelere 8 milyar Euro’nun üzerinde yatırım yapmıştır.

Rönesans Holding, the conglomerate's leading investment entity headquartered in Ankara, is the 50th largest international contracting company globally and one of the largest in Europe. With operations spanning 40 countries across Europe, Central Asia, and Africa, including subsidiaries such as Ballast Nedam in the Netherlands and Heitkamp Industrial Solutions GmbH in Germany, Rönesans has been operating as the main contractor and investor successfully for more than 30 years in construction, real estate, concession, renewable energy and industrials. 

Under the leadership of its Honorary President, Erman Ilıcak, Rönesans, along with its partners GIC, Meridiam Infrastructure, Sojitz, Samsung C&T, TotalEnergies, and IFC of the World Bank Group (minority shareholder in the group), has invested more than EUR 8 billion into pioneering projects globally.","Holding Companies","10,001+ employees","Privately Held","Ankara","Turkey","ronesans.com","https://www.linkedin.com/company/ronesans-holding"
,"Al Khayyat Investments (AKI)","Al Khayyat Investments (AKI) is a diversified, family-owned Emirati group established in the United Arab Emirates in 1965 by Dr. Saad Al Khayyat. What began with the founding of BinSina Pharmacy, now one of the region’s most established healthcare retail brands, has evolved over six decades into a pioneering group operating across nine industries in the Middle East. Today, AKI’s businesses span pharmaceuticals, medical equipment, retail, food and non-food consumer goods, fitness, automotive, environmental services, logistics, manufacturing and contracting.

AKI employs over 11,000 people and has a footprint across nine countries in the Middle East. Through decades of hands-on operating experience, the group has built a unique, integrated ecosystem that enables the sustainable growth of businesses, brands and services. This infrastructure allows AKI to build, scale and operate resilient businesses with long-term impact.

Positioned at the intersection of opportunity and growth for East and West, AKI acts as a catalyst for sustainable business expansion, turning global capability into regional execution and long-term value. The group enables meaningful partnerships and accelerates the growth of businesses and brands across its ecosystem.

Recognized for its leadership and contribution to the region’s economy, AKI was ranked among the Top 100 Arab Family Businesses of 2025 by Forbes. Born in the UAE, AKI continues to grow locally, regionally and internationally, anchored in its people, values and commitment to sustainable progress and impact.","Holding Companies","10,001+ employees","Privately Held","Dubai Industrial City","United Arab Emirates","akigroup.com","https://www.linkedin.com/company/alkhayyatinvestments"
,"Al Ghurair","Al Ghurair is one of the largest diversified family business groups in the Middle East, with operations in five distinct strategic sectors: Foods, Development, Mobility, Infrastructure and Property Management. Established in 1960 as a trading business, Al Ghurair was one of the first pillars of industry and commerce in the emerging United Arab Emirates. From modest beginnings, and with a proud history of innovation and entrepreneurship, the Al Ghurair family name has become synonymous with the heritage, evolution, and vision of the prestigious country itself.

Headquartered in Dubai, the business’ diversified operations span more than 50 countries across the globe, employing approximately 28,000 people. Today, Al Ghurair continues to build on its enduring 60+ year legacy, guided by its purpose: ‘In pursuit of better’, as it strives to facilitate meaningful and sustainable change across the communities within which it operates. 

For more information, please visit: www.al-ghurair.com.","Holding Companies","10,001+ employees","Privately Held","Dubai","United Arab Emirates","al-ghurair.com","https://www.linkedin.com/company/alghurair"
,"Votorantim","We focus on transforming opportunities into businesses that generate value.

Votorantim is a permanently capitalized investment holding company with a long-term investment approach that seeks to deliver superior financial returns allied to positive social and environmental impacts.

With a 106-year history, we are present in 22 countries through a portfolio of relevant companies that operate in various industries: building materials, banking, renewable energy, base metals, orange juice, infrastructure, long steel, real estate, investments, pharma, and environmental services.

Our capital allocation decisions are tested against adverse scenarios and based on our ability to face challenges. This approach and our courage to invest in new projects have placed us among the few Brazilian companies with an investment grade rating by the three leading international rating agencies: S&P Global Ratings, Moody’s, and Fitch Ratings. 

We take a responsible approach to the way we operate and invest. Our identity reflects how we do business, in pursuit of the best opportunities inside and outside our portfolio. Always at the right time, the right way, and with the right people.

Votorantim – The future is our territory.","Holding Companies","51-200 employees","Privately Held","São Paulo, SP","Brazil","votorantim.com.br","https://www.linkedin.com/company/votorantim"
,"Randoncorp","We are people working for people. With more than 5 years of history, our commitment is to generate solutions that make people's lives easier through mobility. We have achieved global presence and leadership in all of our operating segments. Our headquarters are in Caxias do Sul (RS), a city in the south of Brazil, and we have 31 industrial units present in more than 120 countries, always prioritizing proximity and trust with our audiences, valuing people and profit with sustainability .

Our purpose is to connect people and wealth, generating prosperity and we do this through the companies Randon, Fras-le Mobility, Castertech, Suspensys, Master, JOST Brasil, CTR – Centro Tecnológico Randon, NIONE, Auttom, Randon Ventures, Conexo, Randon Consórcios , Randon Corretora de Seguros, Banco Randon, Addiante and DB.

We are part of Level 1 of Corporate Governance at B3, ranking among the largest private Brazilian companies.","Holding Companies","10,001+ employees","Privately Held","Caxias do Sul, RS","Brazil","randoncorp.com","https://www.linkedin.com/company/randoncorp"
,"Godrej Industries Group","Godrej was founded in 1897 by Ardeshir Godrej to help build India’s economic independence. A significant portion of our profits from our innovations was donated to India’s freedom movement. During the Spanish Flu pandemic of 1918, we made the first soap from vegetable oil with no animal fat. In 1951, we crafted the ballot boxes for India's first general election, giving both women and men the equal right to vote.
 
At the Godrej Industries Group (GIG), we are committed to growing this legacy. The revenue of the Group is USD 6.1Bn with a market capitalization of USD 27.5 Bn (as of 31 March 2024). By serving over 1.1 Bn consumers globally through are businesses with market leadership positions in consumer products, real estate, agriculture, financial services, and chemicals. 
 
Godrej Consumer Products is an FMCG leader in Home and Personal Care in Asia, Africa, and Latin America. Godrej Properties is India’s leading real estate developer by sales. Godrej Agrovet, including its production of compound feed and crude palm oil, addresses key challenges in Indian agriculture, improving productivity for farmers. Godrej Chemicals, our oldest business, services diverse industrial applications through one of India’s largest oleo-chemicals, derivatives, and specialty chemical portfolios. Godrej Fund Management is the real estate private equity arm, and Godrej Capital, the newest company, has a fast-growing financial services business.
 
We believe we are only as good as what we do next. We strive to continuously improve our business and impact on the world, shaping a more sustainable and responsible future by placing our planet and people alongside profit. Through Godrej Good & Green, we aim to create a more inclusive and greener planet, aligned with the United Nations Sustainable Development Goals and the needs of local communities. At the Godrej DEI Lab, we empower inclusion within the group, build DEI ecosystems and bring DEI-related ideas and innovation to the mainstream.","Holding Companies","10,001+ employees","Public Company","Mumbai, Maharashtra","India","godrejindustries.com","https://www.linkedin.com/company/godrej-industries-group"
,"Borusan Holding","Founded in 1944, Borusan Group has been one of the leading industrial conglomorates in Turkey. The group operates in the fields of steel, distributorships, logistics and energy. The group’s growth is propelled by innovation, R&D, digitalization and corporate enterpreneurship. Reshaping and revamping itself in line with the necessities of the industry 4.0, Borusan Group is embracing the future and maintaining its success in its sectors as well as expanding the range of services and products it has been offering.
 
The group is also at the forefront of arts and culture;  highly devoted to empowering women and giving back to the society as a staunch supporter of volunteerism.
 
Specialties: Energy, steel, distributorship, automative, logistics, industrial manufacturing, engineering, arts and culture","Holding Companies","5,001-10,000 employees","Privately Held","Istanbul, -","Turkey","borusan.com","https://www.linkedin.com/company/borusan-holding"
,"Elite Group Holding","Headquartered in Dubai, United Arab Emirates, Elite Group Holding is a UAE-based business conglomerate with a diverse portfolio spanning multiple industries. Our journey is rooted in a deep commitment to enhancing the quality of life within the communities we serve. We continuously seek avenues for fostering growth and strive to make a positive impact on both our community and the world. 
 
Founded on the principles of quality and dedication, we have grown into a dynamic conglomerate that touches various sectors, from Automotive, e-Commerce, Real Estate & Contracting to Investments. Our extensive experience and expertise enable us to provide cutting-edge solutions and services tailored to meet the unique needs of our partners and clients. 

We believe that excellence is the foundation of our success. Our team of highly skilled professionals brings a wealth of knowledge and passion to our every endeavor, ensuring that we consistently exceed expectations and set new industry standards. Moreover, our unwavering commitment to sustainability drives us to implement environmentally responsible practices across all our operations, reinforcing our dedication to both innovation and the well-being of our planet.","Holding Companies","1,001-5,000 employees","Partnership","Al Quoz Industrial Area 3","United Arab Emirates","elitegroupholding.com","https://www.linkedin.com/company/elite-groupholding"
,"John Keells Holdings PLC","John Keells Holdings PLC (JKH) is the largest conglomerate listed on the Colombo Stock Exchange. With a heritage of over 150 years, through innovation and strategic partnerships, the John Keells Group of companies have become leaders in many key industry verticals, and the Group is a driver and an integral part of the Sri Lankan economy.","Holding Companies","10,001+ employees","Public Company","Colombo, Western","Sri Lanka","keells.com","https://www.linkedin.com/company/john-keells-holdings"
