"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Sun Gro Horticulture","About Us
Sun Gro Horticulture is one of the most prominent North American horticultural companies, employing over 800 staff and serving customers worldwide. Since its humble beginnings in 1929, it has become the leading supplier of soilless growing mixes to North America’s top 100 greenhouse and nursery growers, shipping over 70,000 truckloads of product annually. Sun Gro products are made to exacting standards and conform to high product quality and performance criteria.

Who We Are
Sun Gro Horticulture’s mission is to be an industry leading Growing Media Company in soilless growing mixes, serving horticultural professionals, retailers, and gardeners with superior quality, branded growing mixes that yield exceptional results.

Services
Industry leading technical and sales support sets Sun Gro Horticulture apart. Our dedicated sales team serves national and international customers and a dedicated Customer Care Center that operates in every major North American time zone. As an added benefit, Sun Gro’s exemplary Research & Development and Technical Support teams are on call to help professional growers troubleshoot and make the most of Sun Gro products.

Employees & Jobs
Over 300 employees serve Sun Gro Horticulture industries and communities across North America. Our many scientists, technicians, managers, facilities workers, and sales professionals are the heart of our company. We operate a network of 20 production/distribution facilities across Canada and the United States and take pride in the high-quality jobs that we offer everyday people in small towns and rural areas. In turn, we are exceedingly proud of our team of employees who make it a priority every day to carry out Sun Gro’s stewardship of peatlands, ensuring that this abundant resource will be available for future generations. We are the industry leader in bog restoration/reclamation.","Horticulture","501-1,000 employees","Privately Held","Agawam, MASSACHUSETTS","United States","sungro.com","https://www.linkedin.com/company/sun-gro-horticulture"
,"Grodan","Grodan is part of the ROCKWOOL Group, the world’s leading supplier of innovative products and systems based on stone wool, improving the environment and the quality of life for millions of people.

Grodan supplies innovative and sustainable stone wool substrate solutions for the professional horticultural sector, based on Precision Growing principles. These solutions are, among others, applied for the cultivation of vegetables and flowers, such as tomatoes, cucumbers, sweet peppers, eggplants, roses and gerberas. Stone wool substrates are offered together with tailor-made advice and tools to support Precision Growing and therefore facilitate the sustainable production of healthy, safe and tasty fresh produce for consumers. Sustainability plays a prominent role within the Group, from the manufacture of stone wool substrates to end-of-life solutions. 

Grodan is founded in 1969 and is active in more than sixty countries worldwide. The head office is located in Roermond, the Netherlands.","Horticulture","51-200 employees","Public Company","Roermond, Limburg","Netherlands","grodan.com","https://www.linkedin.com/company/grodan"
,"Beekenkamp Plants B.V.","Beekenkamp Plants BV is part of the Beekenkamp Group and has 2 divisions. Vegetables; producing quality vegetable youngplants for professional in- and outdoor growers throughout Europe. Ornamentals is worldwide known as breeder and propagator of bedding, pot and house annual plants.  Supplying the commercial growers with the starting material.","Horticulture","201-500 employees","Privately Held",,"Netherlands","beekenkamp.nl","https://www.linkedin.com/company/beekenkamp-plants-b-v-"
,"Fluence","Fluence creates powerful and energy-efficient LED lighting solutions for commercial cannabis production and research applications. Fluence is the lead LED lighting supplier in the global cannabis market and is committed to enabling more efficient production with the world’s top vertical farms and greenhouse produce growers. Fluence global headquarters are in Austin, Texas, with its EMEA headquarters located in Eindhoven.

For more information about Fluence, visit www.fluence-led.com

Fluence operates as a business unit within Signify’s Digital Solutions division.","Horticulture","201-500 employees","Privately Held","Austin, TX","United States","fluence-led.com","https://www.linkedin.com/company/fluence-led"
,"Ball Seed Company","The dedicated team behind Ball Seed combines our extensive experience and innovative thinking to make sure greenhouse growers always have the best products, the most efficient tools, and the dynamic solutions to build winning businesses. We source world-class breeding and product development that drive new sales, delight the consumer, and generate demand.

The Ball Seed Sales Team, Ball ColorLink, field experts, and customer service teams are the best in the business. From helping you choose the right varieties and cultural expertise, to trouble-shooting complex situations and managing your business through WebTrack, Ball Seed strives to be the easiest company to do business with. Visit us online and log into WebTrack at www.ballseed.com.","Horticulture","201-500 employees","Privately Held","West Chicago, IL","United States","ballseed.com","https://www.linkedin.com/company/ballseedcompany"
,"Royal Brinkman","Royal Brinkman is a supplier, consultant and installer for the professional horticulture. Our webshop royalbrinkman.com offers more than 30,000 products, but also the advice of our specialists. 

From our head office in's-Gravenzande, we supply products, systems and services in the fields of crop rotation, crop care, crop protection & disinfection, packaging & design, mechanization, technical projects and other service products. We supply these products all over the world, as Royal Brinkman is located in the most important horticultural areas of the world. 

Royal Brinkman has a team of experienced and enthusiastic employees with specialized knowledge. Within Royal Brinkman, this knowledge is subdivided into 7 themes with corresponding product specialists, who can answer your specific questions in the field of cultivation, packaging and technical issues. By combining the knowledge from our different themes, we can always give a complete advice. In this way, we are happy to help you to carry out your day-to-day business as well as possible! 

Follow us also through our other social media channels:
- Youtube: https://www.youtube.com/user/RoyalBrinkman
- Instagram: https://www.instagram.com/royalbrinkmanglobal/","Horticulture","201-500 employees","Privately Held","'s-Gravenzande, Zuid-Holland","Netherlands","royalbrinkman.nl","https://www.linkedin.com/company/brinkman-agro-b-v-"
,"Ridder","Ridder has been a pioneer of innovation in greenhouse and farming technologies since 1953. Today, we offer a wide range of essential systems and solutions.

From climate control to robotics, our innovative products are designed to optimize every aspect of greenhouse and farming operations. Explore our complete lineup of advanced technologies and find the perfect solutions to grow your business.","Horticulture","201-500 employees","Privately Held","Harderwijk, Gelderland","Netherlands","ridder.com","https://www.linkedin.com/company/riddergroup"
,"Proven Winners","Proven Winners is the leading plant brand in North America and a leading supplier of plants and gardening products to garden centers across the U.S. and Canada.","Horticulture","11-50 employees","Partnership","Campbell, California","United States","provenwinners.com","https://www.linkedin.com/company/proven-winners"
,"Koppert Cress","Koppert Cress is located in the Westland in the Netherlands and is always on the lookout for natural, innovative ingredients which chefs can use to intensify the flavour, aroma, or presentation of their dishes; products that meet the increasingly stringent requirements of restaurants worldwide. The assortment consist of freshly-sprouted seedlings (cresses) and other edible leaves and flowers (specialties) from 100% natural aromatic plants. 

The success of Koppert Cress is completely dependent on the recognition and acceptance by the professional user. Taste is a precondition for this. But there is more than taste. Rob Baan realized early on that healthy food will play an increasingly important role and that we will be increasingly involved. The company has chosen as its mission ""Let's change the way we look at food"".

The Koppert Cress Group is an overall organization in which three different companies are represented: Koppert Cress, Sango Seeds and Division Q.

What is Sango Seeds?
Sango Seeds produces seeds and sells them to growers around the world. The market for Cress is still expanding and it is beneficial for the entire chain to have high-quality, food-safe seeds. It is always a challenge to have year-round access to the right quantity and best quality seeds. To secure this supply, seed company Sango Seeds was established. 

What is Division Q?
Sustainability has always been a high priority at Koppert Cress. This is why the company has also set a number of ambitious sustainability goals. For example, it wants to be climate positive by 2026, no longer use fossil fuels and only discharge clean water. Completely emission-free cultivation, in other words. So Division Q was set up to carry out all the sustainability projects at Koppert Cress. Only it doesn't stop there. We will be actively involved in sharing techniques and experiences with the rest of the sector.","Horticulture","201-500 employees","Privately Held","Monster","Netherlands","koppertcress.com","https://www.linkedin.com/company/koppert-cress"
,"Expo2023Doha","The International Horticultural Expo 2023 will be hosted by the State of Qatar. Located on the west of Doha city, 2,5km from West Bay, 3,5km from Doha Port and about 12km away from Hamad International Airport. The EXPO site will blossom into an experience of innovation, sustainability, sharing, culture and entertainment, welcoming the world to an event ready to make history.","Horticulture","11-50 employees","Government Agency","Doha","Qatar",,"https://www.linkedin.com/company/expo2023doha"
