"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"The World’s 50 Best Hotels","Unlocking luxury travel

#50BestHotels #Worlds50BestHotels","Hotels and Motels","11-50 employees","Public Company",,,"theworlds50best.com","https://www.linkedin.com/company/50besthotels"
,"RivetStays","Founded in January 2023, RivetStays quickly rose to prominence as a premium short-term rental provider in Toronto, ON. With a foundation built on managing over 30,000 bookings since 2016, our founders bring deep expertise in hospitality, ensuring exceptional guest satisfaction and reliable, seamless stays.

Our mission is simple yet profound—to provide exceptional guest satisfaction, reliable and seamless stays, and consistently professional service. We believe that every guest deserves to feel at home, even when they’re away from home.

At RivetStays, we blend the dependability of a hotel with the comforts of home. Every unit is equipped with fully stocked kitchens, extra linens, high-speed Wi-Fi, and thoughtful amenities like toiletries. Whether you’re here for a short visit or an extended stay, each detail is curated to make you feel truly at home.

To our property owners, we promise maximum revenue and minimum stress by expertly managing their properties with care and efficiency.","Hotels and Motels","11-50 employees","Privately Held","Toronto, Ontario","Canada","rivetstays.com","https://www.linkedin.com/company/rivetstays"
,"Senator Hotels & Resorts","Senator Hotels & Resorts es una empresa hotelera familiar con más de 57 años de trayectoria y sede en Roquetas de Mar, Almería. En nuestro portafolio de marcas encontrará: Playa Hoteles, con establecimientos vacacionales para familias en primera línea de costa; la línea de ocio urbano y cosmopolita Senator Hotels; y los establecimientos Affiliated by Senator, hoteles afiliados que poseen su carácter propio y también el sello de calidad de Senator Hotels & Resorts. En 2025 además contamos con una nueva línea de gestión hotelera con Brand Partners que nos permite gestionar establecimientos con un gran estándar de calidad bajo marcas reconocidas mundialmente.

¿Te gustaría formar parte de esta gran familia? Consulta nuestras vacantes de empleo en https://empleo.senatorhr.com/
- 
Senator Hotels & Resorts is a family-owned hotel company with more than 57 years of experience and headquartered in Roquetas de Mar, Almeria. In our portfolio of brands you will find: Playa Hoteles, with family vacation establishments on the seafront; the urban and cosmopolitan leisure line Senator Hotels; and the Affiliated by Senator establishments, affiliated hotels that have their own character and also the Senator Hotels & Resorts seal of quality. In 2025 we also have a new line of hotel management with Brand Partners that allows us to manage establishments with a high standard of quality under globally recognized brands.

Would you like to become part of this great family? Check out our job vacancies at https://empleo.senatorhr.com/","Hotels and Motels","1,001-5,000 employees","Self Owned","Roquetas de Mar, Almería","Spain","senatorhr.com","https://www.linkedin.com/company/senatorhr"
,"The Oberoi, Gurgaon","Located in the prime business and shopping district of Gurgaon - The Oberoi, Gurgaon is the ultimate destination for contemporary style and luxury. Spread over nine acres of lush landscaping and soothing water features, the unique architecture of the hotel enhances the inimitable indulgence of the experience. Space, serenity, and Oberoi Hotels’ legendary service delivered by caring staff make this hotel the only choice for discerning business and leisure travellers in Gurgaon.

The Oberoi, Gurgaon is 100% solar powered for all electricity needs 

Ranked No.1 Hotel in India - Travellers’ Choice Awards 2022 by TripAdvisor","Hotels and Motels","501-1,000 employees","Privately Held","Gurgaon, Haryana","India","oberoihotels.com","https://www.linkedin.com/company/the-oberoi-gurgaon"
,"Grand Hyatt Abu Dhabi Hotel & Residences Emirates Pearl","Grand Hyatt Abu Dhabi is a 5 star luxury hotel and events venue offering awe-inspiring design and extraordinary architecture. Located in the West Corniche district of Abu Dhabi, the iconic hotel offers 428 rooms, suites and residences, each with stunning views over the Gulf. The hotel features a range of elegant restaurants, a temperature-controlled infinity pool overlooking the marina and extensive wellness facilities.","Hotels and Motels","51-200 employees","Privately Held","Abu Dhabi, Abu Dhabi","United Arab Emirates","hyatt.com","https://www.linkedin.com/company/grand-hyatt-abu-dhabi-hotel-&-residences-emirates-pearl"
,"JW Marriott Hotel & Residences Nairobi","When looking for top hotels in Nairobi, Kenya, ensuring you find somewhere with everything you need and a reputation for delivering exceptional experiences should be a high priority. 

At JW Marriott Nairobi, world-class amenities and a convenient location on Chiromo Lane deliver this and more. We allow you to pursue your passions in style. 

The iconic hotel tower with magical views of the city offers proximity to top local attractions, as well as a variety of experiences on-site. Our hotel features 315 luxurious guest rooms, 51 serviced apartments, and outstanding event and business facilities. We also offer carefully curated restaurants and bars, and a haven of health and relaxation at the luxurious Spa by JW. The beauty of the African Savannah coupled with elegant design and incredible experiences on your doorstep makes JW Marriott Hotel Nairobi a perfect destination. 

As a luxury hotel in Nairobi, we make sure your stay here is everything you want it to be, whether you're visiting for business or leisure.","Hotels and Motels","501-1,000 employees","Privately Held","Nairobi","Kenya","marriott.com","https://www.linkedin.com/company/jw-marriott-nairobi"
,"The Fives Hotels & Residences","Discover the allure of the Mexican Caribbean and be amazed by the beautiful beaches, impressive coral reefs, delicious cuisine, and exciting experiences that The Fives has for you.","Hotels and Motels","1,001-5,000 employees","Privately Held","Playa del Carmen, Quintana Roo","Mexico","thefiveshotels.com","https://www.linkedin.com/company/the-fives-hotels-residences"
,"Zenit Hoteles","La solución a tus necesidades de alojamiento empresarial en 21 destinos de España y Europa. 
Zenit Hoteles, en el centro de todo. 
Tu elección segura.
Conoce las ventajas de Club Corporate: https://zenithoteles.com/es/club-zenit-corporate/","Hotels and Motels","501-1,000 employees","Privately Held","Zaragoza, Zaragoza","Mexico","zenithoteles.com","https://www.linkedin.com/company/zenit-hoteles"
,"Meriton Suites","We operate 23 apartment-style hotels across Sydney, Brisbane, the Gold Coast, Canberra, and Melbourne. With 6,210 suites and a total of 8,368 bedrooms, Meriton Suites is proud to be the largest owner-operator of apartment-style hotel accommodation in Australia.

Choosing a suite delivers you more space and more facilities, so make our home your home, when you next stay away.","Hotels and Motels","501-1,000 employees","Privately Held","Sydney, NSW","Australia","meritonsuites.com.au","https://www.linkedin.com/company/meritonsuites"
,"Abadia Retuerta","Situado a menos de 2 horas en coche de Madrid y en pleno corazón del valle del Duero, en las inmediaciones de Sardón de Duero (Valladolid), se encuentra Abadía Retuerta. Un hotel 5* y una bodega ubicados en un monasterio del siglo XII fundado por la Orden Premonstratense en España. Cuenta con una finca de 700 hectáreas (200ha de viñedo) y más de 8.000m2 para 30 exclusivas habitaciones con servicio completo de mayordomía; 27 habitaciones dobles y 3 suites, ocho de ellas ubicadas en el edificio de las antiguas caballerizas. Sus experiencias únicas ligadas al vino, la gastronomía; con el restaurante Refectorio con una Estrella Michelin, estrella Verde y dos Soles Repsol, la naturaleza, el arte y el bienestar lo convierten en un referente experiencial único y de los más sostenibles del mundo como avala su certificación Green Globe. Abadía Retuerta es un destino para disfrutar en clave wellness o como un concepto de ‘Business and leisure’. Por su parte, la bodega, una de las más innovadoras de Europa, cuenta con grandes reconocimientos internacionales que la sitúan dentro de “Los 100 Mejores Vinos del Mundo” según la revista Wine Spectator.","Hotels and Motels","51-200 employees","Privately Held","Sardón de Duero, Valladolid","Spain","abadia-retuerta.com","https://www.linkedin.com/company/abadia-retuerta"
