"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Greenfix Property Care","GreenFix Property Care specializes in offering comprehensive property maintenance services with a focus on both indoor and outdoor gardens.","Household Services","2-10 employees","Privately Held","Zabeel, Dubai","United Arab Emirates","greenfixpropertycare.co","https://www.linkedin.com/company/greenfix-property-care"
,"BAYYT Ecommerce and Service Broker LLC","BAYYT is an International Home Maintenance Phone Application which provides Home Management Services through Registered Corporates in Abu Dhabi via its Digital Platform (Website and Phone Application) to the Residential Communities in Abu Dhabi.","Household Services","2-10 employees","Self Owned","Abu Dhabi , Abu Dhabi","United Arab Emirates","bayyt.ae","https://www.linkedin.com/company/bayyt-e-commerce"
,"Vicekeeper","Vicekeeper was founded to meet the growing demand for trusted, high-quality domestic assistance. Our premium positioning and high standards have made us a preferred partner for families seeking expert care, professionalism, and discretion.


We specialize in recruiting skilled professionals from the Philippines and equipping them through our KHDA-approved in-house training program. This intensive training covers childcare, housekeeping, elderly care, hygiene, laundry, food handling, and structured routines, ensuring each candidate is fully prepared for life in a modern household.


Our workforce includes expertly trained nannies, dedicated housekeepers, and certified caregivers — each prepared to meet the unique demands of family life. Nannies support daily routines, educational play, and emotional development. Housekeepers maintain clean, well-run homes with care and attention to detail. Certified caregivers provide safe, professional support for newborns, postnatal needs, elderly care, and individuals requiring special attention.


Vicekeeper is trusted by high-profile clients across the UAE for our consistency, discretion, and results. As we grow, we continue to invest in training centers and staff development, so our team is always ready to deliver care you can count on.","Household Services","11-50 employees","Self Owned","Dubai, Barsha Heights","United Arab Emirates","vicekeeper.com","https://www.linkedin.com/company/vicekeeper"
,"BuddyCompany Group","We are BuddyCompany Group – building the backbone of Europe’s service economy. Our mission is to remove everyday friction by combining smart technology with trusted services. Through our brands TaskRunner, Mooova, TechBuddy, Expertiger, and CleaningBuddy, we deliver a complete ecosystem that empowers households and businesses alike.

From on-demand home services and tech support to moving, cleaning, and workforce solutions, we make life simpler and companies stronger. BuddyCompany Group connects people, technology, and services in one seamless experience – enabling efficiency, growth, and peace of mind.

We are not just a platform – we are an ecosystem where customers, workers, and businesses thrive together.","Household Services","11-50 employees","Privately Held","Östermalm, Stockholm County","Sweden","buddycompany.com","https://www.linkedin.com/company/buddycompanygroup"
,"A Governanta Brasil Estruturação e Treinamentos","Excelência em Governança Residencial de Luxo e Estruturação de Propriedades Exclusivas

Pioneira no Brasil em soluções especializadas para propriedades de alto padrão, a aGovernanta Brasil atua com excelência na implantação, estruturação e curadoria completa de serviços em residências particulares de famílias de alto patrimônio, bem como em propriedades exclusivas que operam com padrões elevados de hospitalidade — como hotéis boutique, casas de veraneio, vilas de hóspedes, propriedades náuticas, aéreas e de hospedagem executiva.

Nossa atuação combina consultoria estratégica, treinamento presencial de equipes, implementação de rotinas operacionais personalizadas e recrutamento qualificado, com foco absoluto em performance e discrição.

Serviços Combinados e Metodologia de Implantação In Loco
Por meio da estruturação operacional inteligente, entregamos soluções completas para gestão de serviços domésticos, hospitalidade e mordomia de alto padrão. Todos os processos são realizados diretamente no local da propriedade — com treinamento prático da equipe, adequação dos fluxos operacionais e orientação personalizada da governança interna.

ESPECIALIDADES ATENDIDAS:

- Residências particulares de luxo
- Propriedades de hospedagem boutique
- Casas de hóspedes e vilas privadas
- Residências de temporada e casas de veraneio
- Barcos, iates, hangares e propriedades com recepção executiva

Com atuação em todo o Brasil, nosso trabalho está diretamente ligado à personalização de soluções para famílias e proprietários que valorizam a sofisticação silenciosa dos bastidores e a excelência no cuidado com cada detalhe.","Household Services","11-50 employees","Privately Held","São Paulo, SP","Brazil","agovernanta.com.br","https://www.linkedin.com/company/agovernantabrasil"
,"Clean Pottery","Book Home Cleaning Services and Buy Great Pottery Delivered to Your Door!","Household Services","11-50 employees","Privately Held",,,"cleanpottery.co.za","https://www.linkedin.com/company/clean-pottery"
,"Handycleans","about us

Why Choose Handy Cleans?
At Handy Cleans, we understand that life can get busy, and keeping a clean home can be a challenge. That’s why we’re here to lend a hand. Our services are perfect for everyone, from pet owners who need a little extra help with fur and dander, to those dealing with health issues or busy professionals who just need more time. We’re committed to providing a cleaning service that is reliable, thorough, and tailored to your needs, without overpromising. With Handy Cleans, you’ll get a clean that fits your life.

Book Now !!","Household Services","2-10 employees","Privately Held","Venice, Florida","United States","handycleans.com","https://www.linkedin.com/company/handycleans"
,"Parafuzo","A Parafuzo é o maior marketplace de serviços domésticos do Brasil, conectando profissionais qualificados a milhares de clientes em mais de 200 cidades do país.

Nosso propósito é transformar a forma como as pessoas cuidam de suas casas — com mais praticidade, segurança e qualidade. Por meio do nosso app ou site, oferecemos uma jornada 100% digital, com contratação ágil, pagamento seguro e atendimento humanizado.

Desde 2014, já facilitamos mais de 2 milhões de serviços com uma base crescente de profissionais autônomos que contam com suporte, tecnologia e recorrência de demandas para crescerem junto com a gente.

Para os nossos clientes, entregamos uma experiência completa: seja na contratação pontual ou em um plano de assinatura com benefícios exclusivos.","Household Services","51-200 employees","Privately Held","São Paulo","Brazil","parafuzo.com","https://www.linkedin.com/company/parafuzo-com"
,"Snagging Masters","Vision:
Snagging Masters was established to help tenants and buyers make better-informed decisions related to their potential real estate properties.

Mission:
Snagging Masters conducts technical scans of real estate properties to identify potential issues, ensuring that all real estate transactions are conducted in a transparent manner.

Our Goals:
Our goal is to help our clients and achieve higher quality snagging reports that cover every little issue.","Household Services","11-50 employees","Partnership","Dubai, Dubai","United Arab Emirates","snaggingmasters.ae","https://www.linkedin.com/company/snaggingmasters"
,"ResiBrands","ResiBrands offers entrepreneurs unmatched value in franchising. We are known for our culture, values, and world-class support systems. The success of our franchisees is our measure of success. We choose franchising as a business model to help others achieve their entrepreneurial dream.","Household Services","51-200 employees","Privately Held","Austin, Texas","United States","resibrands.com","https://www.linkedin.com/company/resibrands"
