"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Stance Healthcare","Founded in 2006, Stance Healthcare manufactures furniture for healing environments, with a particular focus on hospitals and behavioral health facilities. Stance Healthcare has a reputation for providing high-quality products that meet the ever-evolving demands in the areas of design, comfort, safety, durability, renewability, infection control and environmental sustainability.  With a strong understanding of patient-centered design, Stance Healthcare is committed to providing innovative furniture solutions that support the healing process.","Household and Institutional Furniture Manufacturing","51-200 employees","Privately Held","Kitchener, Ontario","Canada","stancehealthcare.com","https://www.linkedin.com/company/stance-healthcare"
,"Astrea Group","At AstreaGroup, we do business differently.

We are a premium B2B solutions provider operating across the GCC, China, and the United States, delivering exceptional services in trading, contracting, furniture, interior design, joinery, uniforms, and promotional products. 
Our business model is built on efficiency, transparency, and specialization, offering our clients a single point of contact for diverse needs without sacrificing quality or control.

Our unique structure allows each division to operate with expert focus while remaining fully integrated under one unified brand. This means clients benefit from specialist-level service in every area, be it interior design, hospitality supplies, office & IT equipment, uniforms, or complex procurement, without the inefficiencies of managing multiple vendors.

We take pride in delivering projects on time and on budget, whether it’s custom furniture manufacturing, large-scale fit-out, contracting, or sourcing mission-critical supplies. With in-house production facilities in Dubai and Qatar, our ability to design, manufacture, and deliver faster and more cost-effectively than competitors is a core advantage.

Our clients include government agencies, schools, oil & gas companies, hotels, property managers, and military entities. From concept to completion, we deliver value with integrity, backed by a team of highly skilled professionals with deep market knowledge and a no-excuses approach to execution.

When others say “No,” we say “Yes, we can.”

Let us handle your operational complexity—so you can focus on growing your business.","Household and Institutional Furniture Manufacturing","201-500 employees","Partnership","Dubai, Dubai","United Arab Emirates","astreagroup.com","https://www.linkedin.com/company/astreagroup"
,"DECO MEUBLE ATELIER","Déco Meubles est une entreprise de fabrication de meubles en panneaux agglomérés, mélaminés, stratifiés, contre-plaqués et bois massif. Nous réalisons des petites et moyennes séries.  
Nous sommes situés en Roumanie et nous recherchons actuellement un complément de charge pour notre atelier. Notre activité est principalement orientée vers le marché français ainsi nous sommes rompus à l’export et ces contraintes.  
Nous travaillons sur plans ou sur croquis, n’hésitez pas à nous consulter nous serions ravis de vous remettre une offre, à un prix COMPETITIF dans les MEILLEURS délais.  
Restant à votre disposition.
Bien cordialement.
Contact France : +33680610541
Contact Roumanie : (0040)248234191 
Mail : deco_micesti@yahoo.com ou office@decomeuble.ro
Web : http://www.decomeuble.ro/fr/  

#fabricantmeubles #meublesensérie #meublesrésidentiels
#meublescuisines #meublesmédecins #meublespharmaciens #meublesensérie #meublescrèches #meubles #meublesurmesure #meublessalledebain #meublesboulangeries #meublesbureaux #meublesréceptions #meubles #france #meublesdenfants #soustraitance #soutraitancemeubles #prixcompétitifs #amenagement #ameublement #fabricant #agencement #agencementinterieur #meuble #mobilier #magasin #hôtel #cuisine #cuisinedesign #bureaudetude #bureaux #réception #meubleRoumanie #meublesRoumanie #entreprise #bonheur #france #fabricantmeubles #meublesensérie #meublesrésidentiels #meublescuisines  #soustraitance #soutraitancemeubles #prixcompétitifs #amenagement #ameublement #fabricant #agencement #agencementinterieur #meublesdhôtel #hôtellerie #têtedelit #cuisine #cuisineprofessionnelle #cuisiniste #cuisinedesign
#fabricantmeubles #meublesensérie #meublesrésidentiels
#meublescuisines #meublesmédecins #meublespharmaciens #meublesensérie #meublescrèches #meubles #meublesurmesure #meublessalledebain #meublesboulangeries #meublesbureaux #meublesréceptions #meubles #france #meublesdenfants #soustraitance #soutraitancemeubles #prixcompétitifs #amenagement #ameublement","Household and Institutional Furniture Manufacturing","2-10 employees","Privately Held","Brive la Gaillarde","France","decomeuble.ro","https://www.linkedin.com/company/deco-meuble-atelier"
,"Flexxform Designs Inc.","Flexxform is a lounge furniture manufacturer primarily focusing on high traffic areas such as Education, Airports, Libraries, Museums, and Retail. 

Working with world-class furniture designers from around the globe, Flexxform brings classic and design-driven soft seating to high-traffic areas. 

With the addition of child’s size furniture, Flexxform can furnish not just adult environments, but also environments where children and adults are together. 

Flexxform’s seating elevates any public space to provide comfort and class. We have a large network of dealers across North America and our promises to our dealers are:
1.	Quick Quote Turnaround
2.	6 Week Lead-Time Guarantee
3.	Free Freight
4.	Customizations. (Product modifications? Logo Embroidery? All new Custom Products?)

Reach out to us today, to receive a quote on your soft-seating, both child’s and adult’s sizing– info@flexxform.co","Household and Institutional Furniture Manufacturing","11-50 employees","Privately Held","Winnipeg, Manitoba","Canada","flexxform.co","https://www.linkedin.com/company/flexxformdesigns"
,"Simetri Proje","Simetri Company has 12 years of experience as a furniture manufacturer. The company supplies furniture to the domestic and foreign markets. The Simetri Company carries out all of its furniture production in its 6000 square meter central facility in Istanbul. Furniture upholstery process and the metal bases needed for furniture are done in our facility.
We choose the design and creation of furniture products that will be an ad of the value to everyday life. We want our works to remain contemporary and even to be one-step ahead of todays. We bring new perspectives by tracing on the world at any moment, changing design trends and implementing the variety of different patterns. With this orientation by adding details to interior design comprehension, we are targeting to integrate with living space and its users.","Household and Institutional Furniture Manufacturing","51-200 employees","Privately Held","Istanbul, Esenyurt","Turkey","simetriproje.com","https://www.linkedin.com/company/simetri-proje"
,"Flexxform Designs Inc.","Flexxform is a lounge furniture manufacturer primarily focusing on high traffic areas such as Education, Airports, Libraries, Museums, and Retail. 

Working with world-class furniture designers from around the globe, Flexxform brings classic and design-driven soft seating to high-traffic areas. 

With the addition of child’s size furniture, Flexxform can furnish not just adult environments, but also environments where children and adults are together. 

Flexxform’s seating elevates any public space to provide comfort and class. We have a large network of dealers across North America and our promises to our dealers are:
1.	Quick Quote Turnaround
2.	6 Week Lead-Time Guarantee
3.	Free Freight
4.	Customizations. (Product modifications? Logo Embroidery? All new Custom Products?)

Reach out to us today, to receive a quote on your soft-seating, both child’s and adult’s sizing– info@flexxform.co","Household and Institutional Furniture Manufacturing","11-50 employees","Privately Held","Winnipeg, Manitoba","Canada","flexxform.co","https://www.linkedin.com/company/flexxform-designs-inc"
,"Groupe Finadorm","Créer et innover pour se différencier sur des produits durables et utiles ! Telle est une des caractéristiques communes à chaque activité du Groupe. Loin de parier sur l’éphémère, nous répondons à des besoins sur le long terme, dans les différents secteurs d’activité que nous couvrons : fabrication et distribution de literie, aménagement d'espace pour les professionnels de la petite enfance, habitations légères de loisir ou encore charpentes et constructions bois sont toutes faites pour durer au-delà des modes passagères. Et pourtant, nous avons su conserver un temps d’avance sur nos concurrents et proposer des produits toujours plus modernes, toujours plus ingénieux.

Nous cultivons cette énergie et cet esprit de bâtisseurs d’entreprises depuis 40 ans au sein de Finadorm. Chaque entreprise du Groupe provient à l’origine d’une activité artisanale émanant du travail du bois. Fortes de leur esprit d’indépendance et de leur créativité, nous avons consolidé leurs bases artisanales en leur fournissant les moyens nécessaires à leur croissance. Ainsi, nous les avons alliées à notre puissance industrielle et grâce à cela, nous avons pu déployer leurs savoir-faire pour proposer une offre toujours plus exigeante, réactive et adaptée à nos clients.","Household and Institutional Furniture Manufacturing","1,001-5,000 employees","Privately Held","Luc-la-Primaube, Occitanie","France","finadorm.com","https://www.linkedin.com/company/groupefinadorm"
,"Impacto S.A.","En 1982 nace IMPACTO S.A, la marca que revolucionaría el concepto del confort y el diseño, ofreciendo desde ese entonces, productos de calidad para un Paraguay que crece cada día con mayores exigencias. 

Al visitar la fábrica, el cliente no sólo encuentra muebles para todos los ambientes, sino que además del trato personal, recibe un asesoramiento especializado a fin de satisfacer todas sus necesidades. 

El grupo IMPACTO S.A está formado por 5 divisiones: 
• Impacto Home 
• Impacto Corporativo 
• Impacto Colchones 
• Impacto Industrial 
• Impacto Obras Civiles 

IMPACTO S.A es hoy en día también una de las empresas de mayor crecimiento en la elaboración de Espumas de Poliuretano, para diferentes usos, como son los colchones, camas sommier, almohadas, cortes para tapicería, entre otros. 

En la planta fabril y salón de exposición, trabajan directamente alrededor de 300 personas, que día a día dan lo mejor de ellas para producir lo más variados productos, brindando así un óptimo resultado. 

Desde hace 43 años, IMPACTO S.A se estableció dentro del mercado  paraguayo, rápidamente fue posicionándose como el referente de entre las empresas del rubro mobiliario, situación que además de enorgullecer, compromete a toda la organización a seguir trabajando día a día en satisfacer a los numerosos clientes que buscan a través IMPACTO S.A , mejorar su ESTILO DE VIDA.","Household and Institutional Furniture Manufacturing","201-500 employees","Partnership","San Lorenzo , Central","Puerto Rico","impacto.com.py","https://www.linkedin.com/company/impacto-s-a"
,"TONON S.p.A.","Design since 1926
 
Tonon is one of the best known international brands in the world of chairs and tables, reliable and synonymous for design and quality “made in Italy”. Characterizing features that come from the past: their origins date back to the Twenties, many years of careful and creative craftsmanship. After that came the industrialisation of the Fifties with a remarkable production increase. The pleasure of”thinking and making” however never failed. Tonon today bases itself on research and experience, on cultural and marketing factors, on new materials and new technologies. All with a craftsmansheart and an industrial mind, a combination ensuring a better life while seated, whether relaxing, working, or at the table.
 
Design technology
 
Tonon products have as a common denominator the ability to enhance interior decoration. Even if romantic or classical rather than innovative or trendy, they are always original proposals, never ordinary, characterized by a contemporary idea and by a developed technology. Products conceived and destined for international markets and cultures, for ways of life and daily living very different from each other. Products made equal by good taste, sensitivity, elegance and regularly presented at the international top Furniture Fairs: Milan, Köln,
 London, Rotterdam, Stockholm, Moskow, Kiev, Miami, Las Vegas, Dubai, Bahrein. In several inexhaustible combinations of shape, finish and fabric.","Household and Institutional Furniture Manufacturing","51-200 employees","Privately Held","Manzano, Friuli-Venezia Giulia","Italy","tononitalia.com","https://www.linkedin.com/company/tonon-&-c--s-p-a-"
,"Eirems","Eirems is for home furnishings and multi-cultural collections by world class designers. 

Eirems partner with world class designers to offer a wide range of furnishing styles from various cultures and traditions around the globe. We collaborate with furniture manufacturers around the globe to produce our collections. Our diverse exclusive collections provides you with a multicultural experience all in one place. 

We're here to simplify the process, inspire your creativity, and bring your dreams to life. Welcome to a world where innovative minds and technology meets comfort, style, and a celebration of diverse cultural aesthetics - all at your fingertips.

Join us on a journey of creativity, exploration, and personalized expression as we redefine the way you shop for home.","Household and Institutional Furniture Manufacturing","2-10 employees","Privately Held","Cairo, Egypt","Egypt","eirems.com","https://www.linkedin.com/company/eirems"
,"Wickks","Wickks is for home furnishings and multi-cultural collections by world class designers. 

Wickks partner with world class designers to offer a wide range of furnishing styles from various cultures and traditions around the globe. We collaborate with furniture manufacturers around the globe to produce our collections. Our diverse exclusive collections provides you with a multicultural experience all in one place. 

We're here to simplify the process, inspire your creativity, and bring your dreams to life. Welcome to a world where innovative minds and technology meets comfort, style, and a celebration of diverse cultural aesthetics - all at your fingertips.

Join us on a journey of creativity, exploration, and personalized expression as we redefine the way you shop for home. 


Tax No. 756-220-769","Household and Institutional Furniture Manufacturing","2-10 employees","Privately Held","Cairo, Egypt","Egypt","wickks.com","https://www.linkedin.com/company/wickks"
,"Furnt Kitchens and Furniture Manufacturing","One stop shop for affordable and functional home and office furniture and decor.","Household and Institutional Furniture Manufacturing","11-50 employees","Privately Held",,,,"https://www.linkedin.com/company/furnt"
,"Shahid Engineering Ltd.","Shahid Engineering Ltd is a leading industrial furniture manufacturer renowned for its commitment to quality craftsmanship and innovative design. With years of expertise in the field, the company has established a strong reputation for delivering exceptional furniture solutions to various industries. From ergonomic workstations to storage systems, Shahid Engineering Ltd excels in creating functional and aesthetically pleasing furniture tailored to meet the unique needs of its clients. 
Shahid Engineering Ltd has established itself as a leading industrial furniture manufacturer through its unwavering commitment to quality, innovation, and customer satisfaction. With its legacy of craftsmanship, emphasis on customization and ergonomics, focus on innovation, and dedication to sustainability, the company continues to set new benchmarks in the industry. Whether it's designing furniture for large-scale industrial facilities or small workshops, Shahid Engineering Ltd is the go-to choice for businesses seeking reliable, functional, and aesthetically appealing furniture solutions.","Household and Institutional Furniture Manufacturing","201-500 employees","Privately Held","Dhaka, Mirpur","Bangladesh","shahidengltd.com","https://www.linkedin.com/company/shahid-engineering-ltd"
,"Arredoquattro Industrie S.p.A.","From the way we choose to present things comes our desire to possess them, we wish and want what we see.

This is our job, our occupation, creating locations and stands for high fashion and designer boutiques all over the world.

Since 1981 Arredoquattro creates unique solutions for unique customers.","Household and Institutional Furniture Manufacturing","51-200 employees","Privately Held","Budrio, Emilia-Romagna","Italy","arredoquattroindustrie.com","https://www.linkedin.com/company/arredoquattro-industrie-s-p-a-"
,"Dickson Furniture Manufacturers","For over 40 years, Dickson Furniture Manufacturers has quietly been making some of the best furniture in the hospitality and student housing industries. Moreover, we’ve been making it right here in the USA. Unlike our competitors, we don’t sell furniture made overseas; we design, engineer and build it ourselves at our facilities in Houston, Texas.","Household and Institutional Furniture Manufacturing","201-500 employees","Privately Held","Houston, Texas","United States","dicksonfurniture.com","https://www.linkedin.com/company/dickson-furniture-industries"
,"Aman Furniture & Interior","""Develop Interior And Exterior Design Experiences That Are Distinctive,
Compelling And of Superb Quality And Individuality"".
""To ensure our clients to
return to us for their new projects and while aspiring for this situation,
offer them new benchmarks in our sphere of consultancy and thereby
make them spread our name for Technology, Methodology,
par-excellence-in-quality, and trustworthy"".","Household and Institutional Furniture Manufacturing","2-10 employees","Self Owned","Navi Mumbai, Maharashtra","India",,"https://www.linkedin.com/company/aman-furniture-interior"
