"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Espacil","Renouvellement urbain et mixité de population, revitalisation de centre-bourgs, attractivité économique et développement durable, sur l’ensemble de son territoire d’intervention Espacil, filiale du groupe Action Logement, accompagne les collectivités, répond à la diversité et l’évolution des besoins en logements en apportant des solutions adaptées. Espacil Habitat gère 26 000 logements locatifs en Bretagne, Loire-Atlantique et Île-de-France. Acteur majeur de l’accession sociale à la propriété en Bretagne et Loire-Atlantique, Espacil Accession met en oeuvre toutes les solutions permettant au plus grand nombre de devenir propriétaire.","Housing Programs","201-500 employees","Privately Held","Rennes","France","espacil.com","https://www.linkedin.com/company/espacil"
,"National Retrofit Hub","The National Retrofit Hub (the Hub) is a nonprofit organisation that brings together all those involved in the retrofit sector to share their expertise and work together to enable a National Retrofit Strategy to be delivered.

The purpose of the Hub is to enable the delivery of housing retrofit at scale in the UK. Retrofitting homes is vital for the UK to achieve its energy security, fuel poverty, and climate change goals.

The National Retrofit Hub has been established to: 
Collaborate: To engage with all retrofit stakeholdersto gather information and identify overlaps and gaps in activity. 
Empower: To provide access to, and share, knowledge to boost industry efforts and enable application of best practices through the sharing of knowledge. 
Facilitate: To enable collective leadership, good governance, and policy engagement. 

This will be delivered through:
Thematic working groups - We have established six working groups focused on identifying the priority actions needed to enable faster delivery of retrofit at scale.
Advisory Panel - Our partners and sponsors are invited to join an independent panel to advise on the delivery of the Hub's activities, ensuring it meets the needs of the sector.
Knowledge Hub/Exchange - Developing a repository of relevant best practice guidance information and knowledge for a wide range of users to help them in the delivery of local retrofit.

Please visit our website for further information and to find out out to get involved.","Housing Programs","2-10 employees","Non Profit","London","United Kingdom","nationalretrofithub.org.uk","https://www.linkedin.com/company/national-retrofit-hub"
,"Domus Social","Domus Social is a company of the Porto City Council whose mission is to promote the City´s housing strategy, manage the public housing stock, grant the maintenance and conservation of all the City Concil´s real estate, equipment and infrastructure, as well as the elaboration, development and implementation of social projects in this area of action.","Housing Programs","51-200 employees","Privately Held","Porto","Portugal","domussocial.pt","https://www.linkedin.com/company/domus-social"
,"INOLYA","Inolya est le 1er bailleur social du département. Rattaché au Conseil départemental du Calvados, il accomplit au quotidien sa mission d’intérêt général pour le logement social, au service des territoires et des habitants. L'Office Public de l’Habitat du Calvados gère plus de 26 430 logements sur tout le territoire et loge près de 50 000 personnes, soit environ 7% de la population du Calvados. Notre organisation s'appuie sur des valeurs fortes de proximité, d'innovation et de responsabilité.","Housing Programs","201-500 employees","Non Profit","Caen, Normandie","France","inolya.fr","https://www.linkedin.com/company/inolya"
,"Empresa Municipal de la Vivienda y Suelo (Madrid)","EMVS Madrid es una sociedad anónima con capital 100% municipal que desarrolla la política de vivienda del Ayuntamiento de Madrid desde hace más de 40 años.","Housing Programs","201-500 employees","Public Company","Madrid, Madrid","Spain","emvs.es","https://www.linkedin.com/company/emvsmadrid"
,"MHP (Massachusetts Housing Partnership)","The Massachusetts Housing Partnership (MHP) is a public, non-profit organization that expands access to affordable housing and promotes housing equity in communities across the Commonwealth. Founded in 1985, MHP is now a 70+ employee organization that has delivered $6.5 billion in below-market bank financing for affordable housing and currently has $1.2 billion in assets under management.

Since its founding, MHP has provided financing or technical assistance in nearly every city and town across the Commonwealth. This includes financing for the creation of more than 33,500 affordable rental homes and assistance to over 25,700 low- and moderate-income first-time homebuyers through the groundbreaking ONE Mortgage program.

MHP's Center for Housing Data built award-winning online tools that are helping cities and towns plan for housing growth, envision more inclusive communities, and comply with the MBTA Communities zoning law. MHP is a highly valued thought partner for housing policy and advocacy work at the local, state, and national level.

Every action MHP takes — whether it's a loan, grant, professional assistance, or development of a state or local policy — has the underlying goal of expanding housing opportunities for Massachusetts residents.","Housing Programs","51-200 employees","Government Agency","Boston, Massachusetts","United States","mhp.net","https://www.linkedin.com/company/massachusetts-housing-partnership"
,"Houston Housing Authority","Our mission is to improve lives by providing quality, affordable housing options and promoting education and economic self-sufficiency.

The Houston Housing Authority provides affordable homes and services to more than 60,000 low-income Houstonians, including over 17,000 families housed through the Housing Choice Voucher Program, 4,200 living in 19 public housing and tax credit developments, and an additional 716 in project-based voucher developments around the city. HHA also administers one of the nation's largest voucher programs exclusively serving homeless veterans. 

The Agency does more than provide safe, affordable homes. We also offer a host of programs to help public housing residents and voucher holders increase their education, live healthier lives, and reach their economic goals. Whether through an HHA-funded activity like the Family Self-Sufficiency Program (FSS) or our affiliate nonprofit Houston Housing Resources Inc., the Agency strives to provide the low-income Houstonians we serve with a full menu of opportunities to help them achieve their goals.","Housing Programs","51-200 employees","Government Agency","Houston, Texas","United States","housingforhouston.com","https://www.linkedin.com/company/houston-housing-authority"
,"NATIONAL HOUSING CORPORATION","The National Housing Corporation (NHC) is a statutory body established by an Act of Parliament Cap. 117. 
The primary mandate of NHC is to play a principal role in the implementation of the Government’s Housing Policies and Programmes.","Housing Programs","51-200 employees","Government Agency","NAIROBI, KENYA","Kenya","nhckenya.go.ke","https://www.linkedin.com/company/national-housing-corporation"
,"Healthy Homes Hub","Focused on the social and affordable housing market we are a membership body driving collaboration for healthier living environments, are a knowledge resource helping housing providers deliver healthy homes as well as being a voice and platform to articulate the benefit and value of good health in the home.

We help make things happen through linking the future of health and housing by participating in national research programmes and projects with academic and industry partners.

We help people to do things better by placing health at the centre of the design and operation of every home through our Housing AI smart digital assistant tool, alongside deep research and consultancy services to health and housing providers.

We help articulate the value of good health in the home to share ideas, innovation and learnings across the health and housing sectors.

Through our membership which covers over 65% of the UK’s social housing providers (including the largest housing associations) we want to position health as the most compelling and reliable driver for large scale change in social and affordable housing because we believe you help improve the health of the nation by improving the health of our homes.","Housing Programs","2-10 employees","Partnership",,,"healthyhomeshub.uk","https://www.linkedin.com/company/healthy-homes-hub"
,"Fondation ARALIS","Reconnue d'utilité publique, la Fondation ARALIS propose, depuis 70 ans, aux personnes en difficulté des solutions de logement temporaire et d’accompagnement social, pour se (re)construire et trouver leur place dans la société.","Housing Programs","51-200 employees","Non Profit","LYON, France","France","fondation-aralis.org","https://www.linkedin.com/company/aralis"
