"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Berkeley Group Plc","The Berkeley Group builds homes and neighbourhoods in London, Birmingham and the South of England. 
Our passion and purpose is to build quality homes, strengthen local communities and make a positive difference to people’s lives. 
We have an ambitious long-term business strategy in place, called Our Vision 2030. It sets out a balanced and holistic approach to leading our business over the next decade. It will help us to be a world-class business, trusted to transform the most challenging sites into exceptional places and to maximise our positive impact on society, the economy and the natural world.","Housing and Community Development","1,001-5,000 employees","Public Company","Cobham , Surrey","United Kingdom","berkeleygroup.co.uk","https://www.linkedin.com/company/berkeley-group-holdings-plc"
,"Zenith Group","Zenith Group, overseeing operations across 12 subsidiary companies engaged in over 30 activities in the property sector. These subsidiaries cover a broad spectrum, including property development, real estate, comprehensive in-house construction activities, design, and property management.

Our strength lies in our comprehensive In-house capabilities, spanning from visionary design to robust construction, culminating in meticulous property management. We are a self-sustaining ecosystem, excelling in every facet of the industry, ensuring excellence and innovation are built into the very core of every project we touch.

By consolidating all aspects of property development and management under one entity, Zenith effectively manages projects, ensuring timely delivery with top-notch finishes and risk mitigation through close collaboration among participating members.
This full-chain approach enhances our capability, transparency, cost-effectiveness, and successful project delivery, and fosters better coordination among involved parties in property development.

The Advantages of Our Investment and Partnership Plans

1. Strategic Alliances
Zenith Group thrives on collaboration. We seek out synergies with visionary partners who share our passion for growth. Our robust network ensures access to exclusive opportunities, from groundbreaking developments to joint ventures that redefine industry norms.

2. Risk Mitigation
When all team members work under one umbrella, coordination and buildability significantly increase. This unified approach minimizes conflicts of interest and reduces the chances of cheating among participants in the development process.

3. Legacy Building
Beyond profits, we aspire to leave a legacy. By investing with Zenith, you become part of a narrative that transcends generations. Together, we shape skylines, empower communities, and redefine what's possible.","Housing and Community Development","501-1,000 employees","Privately Held","dubai, dubai","United Arab Emirates","zenithdeveloper.com","https://www.linkedin.com/company/zenith.group"
,"Southern Housing","At Southern Housing, we believe a safe, secure home can change everything. 

We provide homes and services to over 167,000 people across London, the South East, the Isle of Wight and the Midlands - offering support, stability and the chance to thrive. 

As one of the UK’s largest housing providers, we’re here to create places people feel proud to live. We invest in wellbeing, build lasting relationships, and work side by side with residents to shape services that matter. 

Our social purpose drives us.  We reinvest into improving homes and lives, and we’re serious about inclusion, sustainability and co-creation. 

Whether it’s helping someone build digital confidence, supporting a young person into work, or designing safer neighbourhoods - our work has real impact.  

We’re looking for people who care deeply about communities, bring fresh ideas and want to grow in a place that values them.  

Join us and help shape the future of housing.","Housing and Community Development","1,001-5,000 employees","Non Profit","London, London","United Kingdom","southernhousing.org.uk","https://www.linkedin.com/company/southern-housing"
,"Orbit Group","One of the UK’s leading not-for-profit housing groups, Orbit was established in 1967 by two people on a park bench contemplating how to tackle homelessness. 

Our purpose today is every bit as important as it was when Orbit was founded. We now manage around 47,000 affordable homes in the Midlands, East and South East, and build around 1,000 new affordable homes every year. 

Our aim is to ensure the homes we provide and the places we create are good quality, affordable and safe, and we reinvest our surplus to improve the quality of our homes, services and our communities, and provide more much needed affordable housing.

Follow us for the latest updates on our homes, communities, and career opportunities.","Housing and Community Development","1,001-5,000 employees","Non Profit","Coventry, West Midlands","United Kingdom","orbitgroup.org.uk","https://www.linkedin.com/company/orbit-group"
,"Thomas & Piron","Active depuis plus de 47 ans dans la construction, le groupe Thomas & Piron aujourd’hui leader de son secteur avec + de 1800 logements construits ou rénovés chaque année en Belgique et au Grand-Duché de Luxembourg.  

En 2014, Thomas & Piron Holding a été mis en place pour chapeauter un groupe d’entités opérationnelles avec des spécificités propres. Nous couvrons également les domaines de la construction de maisons, d’immeubles à appartements, de bâtiments industriels et de bureaux, les marchés publics, rénovation, … 

Formé en 1976, le Groupe Thomas & Piron n’a eu de cesse d’évoluer, dans un marché toujours plus exigeant, avec cette volonté permanente d’offrir une qualité irréprochable.  

Thomas & Piron crée le futur et entretient ses atouts depuis plus de quatre décennies ! L’entreprise est un modèle d’intégration verticale composé de 3100 collaborateurs ouvriers (Chauffagistes, Maçons, Couvreurs, ...) et employés (développeurs, ingénieurs, commerciaux, deviseurs, dessinateurs, personnel administratif et de support, ...). 

Que ce soit pour répondre aux besoins des particuliers, du secteur public ou encore des investisseurs désireux de se constituer un patrimoine immobilier ou de diversifier leurs placements, le savoir-faire de Thomas & Piron permet de concrétiser tous types de projets, du plus conventionnel au plus audacieux.  

Cette exigence requiert une recherche constante de profils qualifiés pour pouvoir assurer le suivi de nos projets et la croissance de l’entreprise. L’étendue de nos métiers est telle qu’elle permet une grande perspective d’évolution en adéquation avec un secteur qui évolue de manière constante et avec des techniques de travail innovantes. 

Reconnue «Best Managed Company» 4 années consécutive pour sa stratégie explicite, sa solide expertise, sa motivation et ses excellentes performances financières, Thomas & Piron est aujourd’hui devenu un groupe international incontournable.","Housing and Community Development","1,001-5,000 employees","Privately Held","Our (Paliseul)","France","thomas-piron.eu","https://www.linkedin.com/company/thomas-&-piron"
,"Urban Development Institute of Australia (WA)","ABOUT UDIA

The Urban Development Institute of Australia (UDIA) is the peak body representing the development industry across the nation.  The WA division has a strong membership across a broad range of developers, consultants, state and local government departments and agencies and is a recognisable and highly respected brand in this state.

UDIA Member activities include master planned communities, medium/high density development, urban renewal, land sub-division, multi-level developments, attached & detached housing, commercial, retail & industrial developments, retirement living and hotels & resorts.

Our target audience is made up of over 4,500 industry contacts from the urban development sector and our luncheons attract up to 650 attendees.","Housing and Community Development","11-50 employees","Non Profit","Subiaco, Western Australia","Australia","udiawa.com.au","https://www.linkedin.com/company/urban-development-institute-of-australia"
,"Banks Group","The Banks Group is a family business based in County Durham, employing people across the north of England. It was established in 1976 and develops land for a variety of uses including residential and commercial property and mineral extraction.

We adopt an approach to our business that we call development with care, which ensures that our developments have a positive long term effect on the environment, the economy and the local communities that host our developments.

The Banks Community Fund was established in 1997 to provide support to community groups, voluntary organisations and environmental projects that are located within close proximity of a current or proposed Banks Group development and provide benefit to the local community.","Housing and Community Development","201-500 employees","Privately Held","Durham, County Durham","United Kingdom","banksgroup.co.uk","https://www.linkedin.com/company/banks-group-county-durham"
,"New Story","We empower families to transform their lives through land and home ownership.","Housing and Community Development","11-50 employees","Non Profit","ATLANTA, GA","United States","newstoryhomes.org","https://www.linkedin.com/company/new-story-homes"
,"Aveo","As Australia’s leading and most innovative retirement living provider, our diverse national portfolio offers something for everyone. For over 40 years, we’ve been dedicated to helping retired Australians be their best selves across every stage of their later life journey.

We’re committed to delivering the best retirement living options, continually listening and learning about what people want. It’s how we make changes for the better. Taking the time to understand their unique needs, we help retirees find the perfect place to call home. And with a 94% resident satisfaction rate, we’re confident that 10,000+ residents agree.","Housing and Community Development","1,001-5,000 employees","Public Company","Sydney, New South Wales","Australia","aveo.com.au","https://www.linkedin.com/company/aveogroup"
,"Land, Planning and Development Federation","The Land, Planning & Development Federation (LPDF) represents the UK’s leading land promotion, housebuilding and development businesses.

LPDF members specialise in the promotion and development of predominantly greenfield strategic land across the UK.

LPDF members support the housebuilding and commercial development sectors by providing “oven ready” land with a planning permission and can facilitate the delivery of serviced parcels. 

The LPDF seeks to represent its members’ views and to influence Government planning, housing and commercial development policy.","Housing and Community Development","2-10 employees","Non Profit","Birmingham, England","United Kingdom","lpdf.co.uk","https://www.linkedin.com/company/land-promoters-and-developers-federation"
