"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"NACHTIGAL HYDRO POWER COMPANY","Nachtigal Hydro Power Company (NHPC), est une SA de droit camerounais créée le 7 juillet 2016 par l'Etat du Cameroun, #Africa 50 #EDF,  #IFC et Stoa. 
Elle a pour mission la conception, le financement, la construction de l'aménagement hydroélectrique de Nachtigal et de la ligne de transport d'évacuation d'énergie. Elle s'est également vue confiée par l'état, l'exploitation de l'aménagement hydroélectrique pendant 35 ans.
Le projet Nachtigal est un atout majeur pour résorber 30% du déficit énergétique au Cameroun.
Le siège social de Nachtigal est situé à la Nouvelle Route Bastos à Yaoundé.","Hydroelectric Power Generation","51-200 employees","Privately Held","Yaoundé, Centre","Cameroon","nhpc.cm","https://www.linkedin.com/company/nachtigal-hydro-power-company"
,"Norte Energia","Norte Energia, empresa empreendedora da Usina Belo Monte, a maior hidrelétrica 100% brasileira.

Em operação desde abril de 2016, Belo Monte conta com 24 Unidades Geradoras (UGs), totalizando 11.233,1 MW de capacidade instalada. São 18 UGs de 611,11 MW na Casa de Força Principal (11.000 MW) e outras seis de 38,85 MW na Casa de Força Complementar (233,1 MW).","Hydroelectric Power Generation","201-500 employees","Privately Held","Vitória do Xingu, Pará","Brazil","norteenergiasa.com.br","https://www.linkedin.com/company/norteenergia"
,"Santo Antônio Energia","A Santo Antônio Energia é a empresa responsável pela implantação e operação da Hidrelétrica Santo Antônio, localizada no rio Madeira, a sete quilômetros de Porto Velho, Rondônia. A hidrelétrica começou a gerar energia em 30 de março de 2012, nove meses antes do cronograma original.  

Atualmente, a Hidrelétrica Santo Antônio encontra-se na geração plena, com todas as 50 turbinas em operação comercial e potência instalada de 3.568 Megawatts, energia suficiente para o consumo de mais de 45 milhões de brasileiros. 

Parte da energia produzida pela Hidrelétrica Santo Antônio percorre cerca de 2.400 km por meio do “Linhão do Madeira” – uma das maiores linhas de transmissão de corrente contínua do mundo, saindo de Porto Velho até a cidade de Araraquara, no interior de São Paulo. De lá, a energia é distribuída para diversos estados brasileiros por meio do SIN – Sistema Interligado Nacional.

Das 50 turbinas da hidrelétrica, seis produzem energia com exclusividade para o sistema regional Rondônia – Acre, abastecendo até 40% do consumo dos dois estados por meio de uma linha específica de transmissão em 230 Kv.","Hydroelectric Power Generation","201-500 employees","Public Company","Porto Velho","Brazil","santoantonioenergia.com.br","https://www.linkedin.com/company/santo-antônio-energia"
,"ELECTROPERU S.A.","ELECTROPERU S.A. es una empresa Estatal de derecho privado que tiene como objetivo dedicarse a las actividades propias de la generación de energía eléctrica, con el fin de asegurar el abastecimiento oportuno, suficiente, garantizado y económico de la demanda de energía, de acuerdo a lo dispuesto en la legislación vigente.","Hydroelectric Power Generation","201-500 employees","Public Company","Lima, Lima","Peru","electroperu.com.pe","https://www.linkedin.com/company/electroperu"
,"JIRAU ENERGIA","A Jirau Energia é a maior usina hidrelétrica do mundo em quantidade de turbinas e a 4ª maior geradora de energia elétrica do país.

Há 12 anos gerando energia renovável de forma sustentável na Amazônia.

O compromisso da Jirau Energia é fornecer energia limpa e renovável, minimizando o impacto ambiental e promovendo a preservação do meio ambiente. A empresa consolidou sua posição ao alcançar o melhor índice de disponibilidade entre as hidrelétricas de grande porte do país, otimizando o aproveitamento das águas do Rio Madeira. 

Com uma capacidade impressionante de 3.750 MW, suficiente para atender mais de 40 milhões de pessoas, a UHE Jirau é um dos maiores empreendimentos de infraestrutura na Amazônia e no mundo. Equipada com 50 turbinas tipo bulbo, é a maior do mundo em quantidade de turbinas, apresentando as mais potentes em geração unitária, com 75 MW.

Guiada por valores como ética, trabalho em equipe, integridade, comprometimento e austeridade, a Jirau Energia opera dentro dos princípios de desenvolvimento sustentável, valorização dos recursos humanos e conservação dos recursos naturais e histórico-culturais.

Em 2023, a empresa celebrou uma década de operação comercial, atingindo a marca significativa de mais de 130 milhões de MWh de energia gerada. Essa conquista, registrada no Mecanismo de Desenvolvimento Limpo da ONU, contribuiu para a redução anual de seis milhões de toneladas de carbono, fortalecendo o desenvolvimento sustentável na região Amazônica.

A Jirau Energia é uma Sociedade de Propósito Específico (SPE), contando com acionistas de peso, como ENGIE (40%), Eletrobras Eletrosul (20%), Eletrobras Chesf (20%) e Mizha Participações S.A. (20%), subsidiária da Mitsui & CO., LTD.

A trajetória da empresa começou em 2008, quando venceu o Leilão 005/2008 promovido pelo Governo Federal, obtendo a outorga para a implantação e operação da Usina Hidrelétrica Jirau no Rio Madeira (Porto Velho, RO) e a exploração do seu potencial energético pelo prazo de 35 anos.","Hydroelectric Power Generation","201-500 employees","Privately Held","Porto Velho, Rondônia","Brazil","jirauenergia.com.br","https://www.linkedin.com/company/jirauenergia"
,"Brasil PCH S.A.",".","Hydroelectric Power Generation","51-200 employees","Privately Held","Belo Horizonte, Minas Gerais","Brazil","brasilpch.com.br","https://www.linkedin.com/company/brasil-pch-s.a."
,"Entidad Binacional Yacyretá","La Entidad Binacional Yacyretá fue creada por el Tratado firmado en 1973 entre Paraguay y Argentina con el propósito esencial de desarrollar un aprovechamiento hidroeléctrico y mejorar las condiciones de navegabilidad del río Paraná a la altura de la isla Yacyretá.
Nuestro complejo hidroeléctrico es hoy el principal generador de energía eléctrica de la Argentina y uno de las más grandes de América Latina.
En 2021 se alcanzaron cifras récord en la generación de energía habiendo acumulado una generación de 13.363 GWh en el año
En la actualidad Yacyretá lleva a cabo la construcción de una nueva central en el brazo Aña Cuá. Esta permitirá incrementar la producción en aproximadamente un 9% a la vez que genera nuevas fuentes laborales , y oportunidades para las empresas de ambas márgenes del río Paraná
Durante su construcción Yacyretá ha ejecutado y supervisado más de 2.000 obras para la recuperación de áreas de valor económico, social y cultural.
Se realizó la construcción viviendas para la población afectada por el llenado del embalse a cota 83 msnm. Se han construido caminos y rutas se ha realizado el tratamiento costero a lo largo del embalse También la EBY proveyó la reposición funcional de infraestructura edilicia y se han ejecutado obras de infraestructura eléctrica y construcción de cloacas y plantas de tratamiento.
Desde su área social la empresa interactúa con la población afectada por el embalse. Se desarrollan políticas de acompañamiento que contribuyen al mejor desarrollo de las familias que fueron relocalizadas.
Mediante la implementación de programas de capacitación se ha permitido a la población afectada ampliar sus horizontes tanto a nivel educativo como laboral.
En materia de medio ambiente contamos con 120.000 hectáreas de reservas y áreas protegidas en las que trabajamos en forma continua y permanente en el cuidado y protección de la biodiversidad de la región.","Hydroelectric Power Generation","501-1,000 employees","Public Company","Ituzaingó, Corrientes","Argentina","eby.org.ar","https://www.linkedin.com/company/yacyretaar"
,"Sinop Energia","A Sinop Energia é responsável pela construção e operação da Usina Hidrelétrica (UHE) Sinop. Uma sociedade de propósito específico que tem como acionistas as empresas EDF Brasil e Eletrobrás. A empresa foi criada com o objetivo exclusivo de construir, implantar, operar, manter e comercializar a energia gerada pela Usina Hidrelétrica (UHE) Sinop por 35 anos.","Hydroelectric Power Generation","11-50 employees","Partnership","Sinop, Mato Grosso","Brazil","sinopenergia.com.br","https://www.linkedin.com/company/sinopenergia"
,"KIKOT-MBEBE HYDRO POWER COMPANY (KHPC)","Our Company is a joint-venture between the State of Cameroon and the
Electricité de France Group (EDF). KHPC aims to design, build and operate the Kikot-Mbebe hydroelectric facility on the Sanaga River, with an installed capacity of 500 MW, the major one in the cenral Africa sub-region.","Hydroelectric Power Generation","201-500 employees","Privately Held","Yaoundé","Cameroon",,"https://www.linkedin.com/company/kikot-mbebe-hydro-power-company-khpc"
,"SHEM Société Hydro-Electrique du Midi","Hydroelectricity","Hydroelectric Power Generation","201-500 employees","Privately Held","BALMA","France","shem.fr","https://www.linkedin.com/company/shem-enr-hydroelectricite-energie"
