"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"SIPLEC - E.LECLERC","SIPLEC has over 40 years of experience working for E.LECLERC, France's leading retailer. Our mission? To defend our brand's values by making a responsible, high-quality offer available to as many people as possible, at E.LECLERC prices, across all purchasing channels (supermarkets, hypermarkets, e-commerce). Our areas of focus: energy (fuel, electricity, natural or conditioned gas, energy efficiency programs, recharging stations, photovoltaics, etc.) and manufactured products (for our private labels: Sélection d'Experts, Tissaia, Mots d'Enfants and Eco+). What makes SIPLEC special? SIPLEC is a cooperative entity of the E.LECLERC Movement, where employees benefit from feedback from ""members"", the owners of E.LECLERC stores. 

Our Mission
SIPLEC develops, purchases and markets products and services worldwide. Those are in line with the company’s values and commitments, mainly in the Energy and Manufacturing industries.
While SIPLEC is essentially focused on serving the E.LECLERC stores and national entities, we also work alongside businesses and E.LECLERC customers.

SIPLEC-E.LECLERC certified Great Place to Work
SIPLEC is a great place to work... And our employees confirm it!
In the GPTW survey (86% participation rate), they voted in favor of:
* fairness
* solidarity
* welcoming new employees
* work/life balance
Management was recognized for setting the course while allowing everyone to get involved in key projects to build the company of tomorrow.","Import and Export","501-1,000 employees","Privately Held","Ivry-sur-Seine, Ile-de-France","France","siplec.leclerc","https://www.linkedin.com/company/siplec"
,"Terra Exports","Terra Exports is committed to distributing the freshest fruits and vegetables while providing strategic market intelligence to its valuable customers at any time of the day. We have a fast-paced, entrepreneurial, young and innovative company culture that is reinventing international fruit trade. 

The key to our success in this business is the close and personal multi-cultural approach we maintain with our customers and our constant search for new frontiers. Our company has a global presence, from shipping our products to over 27 countries and across all 7 continents. 

We are consistently expanding and introducing new items into different markets. We pride ourselves in being the first company in the world to bring Kenya avocados into Hong Kong, Canadian cherries into Mauritius, and Pakistani mandarins into Vietnam. These are only a few of our many ground-breaking accomplishments!","Import and Export","11-50 employees","Privately Held","Las Vegas, Nevada","United States","terraexports.com","https://www.linkedin.com/company/terra-exports"
,"Cirúrgica Fernandes","MISSÃO
Buscar a satisfação de nossos clientes fornecendo produtos e serviços com excelência e alta qualidade.

VISÃO
Ser referência em qualidade e inovação na importação e distribuição de material médico-hospitalar.

VALORES
Tradição, Pioneirismo, Compromisso, Agilidade e Inovação.","Import and Export","201-500 employees","Privately Held","santana de parnaíba, São Paulo","Brazil","cfernandes.com.br","https://www.linkedin.com/company/cfernandes"
,"Touton SA","Touton is a leading agro-industrial actor. Our know-how builds on over 150 years’ experience of providing our customers with high quality commodities and services.

In addition to delivering responsibly sourced cocoa, coffee, vanilla, and natural ingredients, we are now increasing our engagement in commodity-producing countries through processing operations in cocoa.  With subsidiaries in originating regions, and agents in key locations, Touton’s strength lies in the skills of its workers, the cultural diversity of its teams, and a deep understanding of the countries in which the company operates.

Dedicated to upholding its shareholders' commitment to sustainability, Touton builds on its strong footing in the countries that produce the commodities it trades and processes, to pioneer inclusive programmes that address the needs of stakeholders all along the supply-chain.

Touton partners with actors from the public, private and civil society sectors to develop innovative projects that support the business-case for sustainable commodity production. By doing so, Touton contributes to the preservation of resources for future generations and to reinforcing individual and institutional capacities of the stakeholders it engages with.","Import and Export","1,001-5,000 employees","Privately Held","Bordeaux, Bordeaux","France","touton.fr","https://www.linkedin.com/company/touton-sa"
,"Trust Group","Soluções de ponta a ponta de Comércio Exterior com segurança, qualidade e comodidade. Fale com um especialista: https://wa.link/1nzo5w

Tornamos empresas maiores e melhores através da otimização da cadeia de suprimentos.

Mais comodidade para você vencer os desafios de Supply Chain Internacional com as nossas soluções: 
• Desenvolvimento de negócios;
• Aduaneiro e Tributário; 
• Regulatório e Jurídico; 
• Soluções Financeiras; 
• Gestão Logística; 
• Tecnologia de Rastreio e Gestão na Cadeia de Abastecimento.

Entre em contato e conheça oportunidades de redução de custos na Importação de forma totalmente segura.","Import and Export","201-500 employees","Privately Held","Itajaí, Santa Catarina","Brazil","trust.group","https://www.linkedin.com/company/trustgroup"
,"LLUM | BRONZEARTE","Há 60 anos iluminando, inspirando e conectando vidas.

Desde 1962, fabricamos luminárias decorativas de estilo clássico e moderno com design exclusivo. Também importamos soluções em iluminação técnica e decorativa para manter um portfólio sempre completo, a fim de entregarmos o melhor para todos os tipos de projetos de iluminação: residenciais, comerciais, fabris e públicos.
 
Numa área de 100.000 m², nossa sede em Embu das Artes, São Paulo, recebe a fábrica, o centro de distribuição e o escritório administrativo que ocupam apenas 12.000 m². Os outros 88.000 m² são dedicados à preservação de Mata Atlântica virgem, em sintonia com a consciência ambiental da empresa, focada na eficiência energética e na preservação do meio ambiente.
 
Além de certificadas pelo Inmetro, as lâmpadas LLUMM, bem como os demais produtos do portfólio, passam por um severo controle de qualidade em nosso laboratório próprio de testes que conta com equipamentos como goniofotômetro e esfera integradora, além de serem submetidos ao teste de vida para garantir a durabilidade do LED. 

Acompanhe nossas outras redes sociais e fique por dentro de todas as novidades:
Youtube - https://www.youtube.com/watch?v=Vz9f9lv0dBk
Instagram - https://www.instagram.com/bronzeartellum/
Facebook - https://www.facebook.com/llumbronzearte/","Import and Export","201-500 employees","Privately Held","Embu das Artes, São Paulo","Brazil","llumm.com.br","https://www.linkedin.com/company/llumm"
,"National Institute ofDesign (NID) Ahmedabad","Design Institute of International repute.  One of the best on the World standard.","Import and Export","201-500 employees","Educational","ahmadabad","India","nid.edu","https://www.linkedin.com/company/national-institute-of-design-cp"
,"Fortuna Trading FZCO","Fortuna Trading DMCC, based in Dubai, is one of the world’s leading agri-commodities trading houses. Our Group was established in 1992 and, with over 25 years of experience in the trading world, has been consistently bringing value to the industry, emerging as a trusted and credible partner to both customers and suppliers alike. Since inception, Fortuna has been capitalizing on the Group’s history in trading food commodities and animal feed across the Middle East, Africa, Europe as well as various parts of the world, while paving its own path to further grow and cement our influence globally.

Over the years, our team has been striving to grow its presence globally through JVs as well as own set ups, based on strong relationship management and passion towards excellence in terms of service and customer satisfaction. As a part of its mission and vision, the company consistently endeavor to emerge as “one stop solution” for its counter parties involved in this trade, providing comprehensive trading, sourcing and marketing of various agricultural commodities.

We are driven by our ambitious corporate purpose to re-imagine the essence of global agriculture and food systems within our ethos of growing responsibly.","Import and Export","201-500 employees","Privately Held","Dubai, Dubai","United Arab Emirates","fortunadmcc.com","https://www.linkedin.com/company/fortunatradingfzco"
,"Fortuna Trading DMCC","Fortuna Trading DMCC, based in Dubai, is one of the world’s leading agri-commodities trading houses. Our Group was established in 1992 and, with over 25 years of experience in the trading world, has been consistently bringing value to the industry, emerging as a trusted and credible partner to both customers and suppliers alike. Since inception, Fortuna has been capitalizing on the Group’s history in trading food commodities and animal feed across the Middle East, Africa, Europe as well as various parts of the world, while paving its own path to further grow and cement our influence globally.

Over the years, our team has been striving to grow its presence globally through JVs as well as own set ups, based on strong relationship management and passion towards excellence in terms of service and customer satisfaction. As a part of its mission and vision, the company consistently endeavor to emerge as “one stop solution” for its counter parties involved in this trade, providing comprehensive trading, sourcing and marketing of various agricultural commodities.

We are driven by our ambitious corporate purpose to re-imagine the essence of global agriculture and food systems within our ethos of growing responsibly.","Import and Export","201-500 employees","Privately Held","Dubai, Dubai","United Arab Emirates","fortunadmcc.com","https://www.linkedin.com/company/fortunatradingdmcc"
,"Agência Marítima Orion Ltda","ORION is a fully independent agency and port operator, established in Brazil since 1973.
We have been participating along these years in different agency markets, with strong focus on bulk cargoes – namely iron ore, coal, fertilizers, grains, etc -, forming a solid knowledge and an experienced basis in such.

With such traditional presence in main Brazilian ports - 14 own offices -, we have managed to build a solid know-how on port activities and strong relationships with all parties involved in port´s dynamics.

All together, Orion Group nowadays attends an average of 2.000 port calls per year in Brazil.

The volume of calls we have entitles us to achieve a strong commitment from our suppliers in all service chain, enabling us to get the most competitive prices in towage services, holds/hull cleanings and in all ship´s related services which are demanded by our clients.

Always aiming to fulfill with our corporative values – Credibility, Expertise, Promptness, Innovation, Flexibility, Friendliness and Rentability -, all our structure, operational and administrative, is fully supported by innovative in-house produced web-based software, which made it possible to store and promptly recover all relevant data involving all operations in our ports as well as all our procedures.

Our systems are capable also, as from our daily berthing lineup reports, work the analytically saved data in monthly/annual statistics, employing customized/customizable different filters to attend our different clients´ needs. We are always seeking for more flexible and prompt responses.

Our business procedures are ruled by ISO 9001 standards and all Quality System Management procedures are aided by an web-based software, where procedures, general documents, nonconformities, preventive/corrective plans are accessible to all collaborators in real time.","Import and Export","51-200 employees","Privately Held","Rio Grande, RS","Brazil","amorion.com.br","https://www.linkedin.com/company/ag-ncia-mar-tima-orion-ltda"
