"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Alliant Insurance Services","Alliant Insurance Services is among the top 5 largest and fastest-growing insurance brokerage and consulting firms in the United States. Fueled by entrepreneurialism and driven by results, Alliant operates on the belief that more is possible and expectations are meant to be exceeded. Our clients and partners have profound confidence in us to deliver in all market climates through the design and delivery of innovative solutions and services across a broad range of industry verticals. 

Our people stand as the backbone of our organization. We proudly employ a team of diverse, driven, and exceptional people and invest heavily in their success, giving our brokerage and consulting teams the freedom and resources they need to help their clients grow their businesses to remarkable heights. The result is a dynamic team of professionals who consistently perform at the highest level, while caring and giving back to causes that impact their communities and the world at large.

Alliant is built on teamwork and collaboration, a philosophy that has guided our growth and evolution for 100 years. We rise together to meet challenges, think together to drive innovation, and thrive together in our business and in the diverse communities where we operate.","Insurance Agencies and Brokerages","10,001+ employees","Privately Held","Irvine, CA","United States","alliant.com","https://www.linkedin.com/company/alliant-insurance-services"
,"Elevate Teams","Elevate Teams specializes in helping you scale your insurance agency by matching you with top-tier talent from Latin America who are:

Insurance-Trained: Our VAs are prepared and ready to handle agency workflows from day one.

In-Sync: They work within your time zone, ensuring real-time collaboration and maximum productivity.

Culturally Fluent: They share your language and culture, fostering strong team cohesion.

We recruit only the top 0.6% of talent across Latin America. Focus on growth & we'll handle the perfect match.","Insurance Agencies and Brokerages","51-200 employees","Partnership","Delaware","United States","elevateteams.io","https://www.linkedin.com/company/elevate-teams"
,"GoHealth","At GoHealth, advancing health equity starts with the intentional, data-driven application of proprietary technology, beneficiary and Medicare-expert insight, and an unwavering commitment to delivering peace of mind. With our determined drive to help consumers find a healthcare plan that fits their budget and needs, we believe in hiring risk-takers, innovators, and collaborators within our industry to create individualized, simplified healthcare solutions.

As an industry leader in the Medicare marketplace, we are compelled to not only embrace change but to actively be the change to adapt to our consumers’ complex needs. Our #TeamGoHealth employees are at the core of our collective success; that's why we are committed to discovering the best in-class talent and ensuring that each team member receives the development tools and support they need to flourish in their professional endeavors.

Having a distinctive range of viewpoints, experiences, and background are a large part of what drives success at GoHealth, and we always strive to do more. Our diverse team structures positively affect our relationships with beneficiaries, carriers, and the communities we passionately serve. As our company grows, we will continue to impact change and make a difference to the lives of our customers through the unique perspectives of our people.

GoHealth is a leading health insurance marketplace and Medicare-focused digital health company. Through the efficient, multi-tiered guidance of our highly specialized licensed insurance agents, GoHealth meets Medicare consumers where they are in their enrollment journeys and empowers them to choose the plan and carrier best suited for their healthcare needs. As these needs evolve, GoHealth’s extensive industry expertise, including the use of data science and machine learning with key investments in proprietary technology, serves as a guiding light for Medicare consumers everywhere. 
https://www.gohealth.com/community-guidelines","Insurance Agencies and Brokerages","1,001-5,000 employees","Public Company","Chicago, Illinois","United States","gohealth.com","https://www.linkedin.com/company/gohealth"
,"Pipo Saúde","Pipo Saúde was born to revolutionize how people experience healthcare. We aim to do that by being the most human-centric healthcare company in the world. Pipo Saúde is a platform where HR, CFOs and CEO can make the best decisions for their company based on technology, data and education.","Insurance Agencies and Brokerages","201-500 employees","Privately Held","São Paulo, SP","Brazil","piposaude.com.br","https://www.linkedin.com/company/piposaude"
,"Vitta","Somos a evolução das corretoras! 

Somos uma corretora de saúde pertencente ao Grupo Stone Co., voltada para o cuidado preventivo da saúde dos colaboradores brasileiros, através de um produto desenvolvido com foco no cuidado: O Primeiro Hospital 100% Digital.

Unindo inovação e tecnologia através de um aplicativo, seus colaboradores terão acesso a uma rede completa e integrada de saúde, com mais de 250 profissionais de saúde em 18 especialidades médicas e terapêuticas. 

Temos como propósito ser referência em cuidado preventivo, contribuindo para a diminuição da sinistralidade da sua empresa.


Como cuidamos na prática? Visite nosso site: https://www.vitta.com.br/

Quer contratar os nossos serviços para a sua empresa? Fale com um de nossos especialistas: https://www2.vitta.com.br/conversaosite/ 

Quer fazer parte do nosso time? 
Confira as nossas vagas: https://boards.greenhouse.io/vitta","Insurance Agencies and Brokerages","201-500 employees","Privately Held","São Paulo, São Paulo","Brazil","vitta.com.br","https://www.linkedin.com/company/vitta"
,"Ondrick Agency","I Help Ambitious Sales People Create Permanent Passive Income by Working Hand In Hand with Professionals so they can Double Their Annual Revenue","Insurance Agencies and Brokerages","201-500 employees","Self Employed",,,"ondrickagency.com","https://www.linkedin.com/company/ondrickagency"
,"Barnes Life Solutions","At Barnes Life Solutions, our mission is to help families create a legacy.  We do this through a proven leads system that gets us in the homes (virtually) of families looking for help.  Since starting out agency in 2018 we have endured the covid pandemic!  We did this by changing, we did this by adapting, we did this through new technology, and we have grown!  

Are you tired of the 9-5, being told what you are worth, being held down by your boss, and want a change?  

We can help you with all of that and more.  We have a family like atmosphere where we build each other up to be the best versions of ourselves.  We work together virtually to help families that want our help.  We build our business's to higher levels together.  In turn we get to make great money, from the comfort of our homes, while setting our own schedules.

This system is set up to have no cap to the money you make....yes no cap.  

Imagine only meeting with clients 2 to 3 times per week VIRTUALLY with the ability to make $75K per year if your average, $150K per year if you’re good and $300K per year of you’re a superstar.

☛ WHAT WE DON’T DO
➤ 60 + hour weeks
➤ Cold Calling
➤ Networking
➤ Prospecting
➤ Work on Weekends (unless YOU want to or YOUR schedule requires it)

If you are tired of where you are at, tired of not getting where you want to go, tired of sitting in traffic, tired of missing your kids events, then we want to talk with you.  If you are willing to bet on yourself then we want to help you on your journey to financial freedom.

Rich people have money, Wealthy people have time.  Lets help you get wealthy!","Insurance Agencies and Brokerages","51-200 employees","Partnership","Dallas, Texas","United States","barneslifesolutions.com","https://www.linkedin.com/company/barneslifesolutions"
,"Pamcary","A Pamcary tem orgulho de ser muito mais que uma corretora de seguros especializada no transporte de cargas. A empresa revolucionou o conceito de proteção à carga ao criar uma série de produtos e serviços feitos sob medida para atender às demandas de um setor em constante expansão. Reconhecida atualmente como uma provedora de soluções logísticas que agregam valor ao transporte, reduzem custos e oferecem mais credibilidade e segurança à atividade. Na condição de líder, conhece profundamente as necessidades do mercado e é capaz de desenvolver soluções inovadoras para transportadores, embarcadores, motoristas e demais prestadores de serviços da indústria de carga.

Graças à sua capacidade de inovar, o mercado reconhece a excelência da Pamcary pela conquista de diversos prêmios no setor. Alguns exemplos são: Prêmio NTC - 19 vezes eleita a Melhor Corretora de Seguros de Carga, 2 vezes a Melhor Gerenciadora de Riscos e 3 vezes o Melhor Fornecedor do Ano; Prêmio Cobertura Performance - 4 vezes eleita a Melhor Reguladora de Sinistros de Veículos/Cargas, entre outras conquistas.

Saiba mais: https://lnkd.in/d8_Mm_vz 


Venha trabalhar conosco! Curta Vagas Pamcary no facebook.","Insurance Agencies and Brokerages","1,001-5,000 employees","Privately Held","Sao Paulo","Brazil","gps-pamcary.com.br","https://www.linkedin.com/company/pamcary_2"
,"senCard Direkt Satış","senCard Direkt Satış","Insurance Agencies and Brokerages","501-1,000 employees","Privately Held","İstanbul, Maltepe","Turkey","sencarddirektsatis.com.tr","https://www.linkedin.com/company/sencard-direkt-satış"
,"Capfinances","QUI SOMMES-NOUS ?
 
Le Groupe Capfinances est le 1er courtier indépendant en France, spécialisé dans la gestion de patrimoine, l’assurance-vie, l’épargne, la retraite, l’immobilier, la prévoyance et l’assurance emprunteur au service des particuliers et des professionnels.
Créée en 2004, Capfinances est un acteur majeur de la gestion de patrimoine en France:
 
 LABEL EXCELLENCE décerné au produit « Perfutura Premium » en 2024 (Les Dossiers de l’Épargne)
 Top 10 des 100 meilleurs courtiers français en 2023 (La Tribune de l’Assurance)
 1er du Top 10 Vie-Épargne en 2020 et 2025 (La Tribune de l’Assurance)
 6e du Top 10 des courtiers spécialistes en 2020 (L’Argus de l’Assurance)
 
La société affiche depuis plus de 20 ans des résultats très positifs :
• + de 63 000 clients dans toute la France ;
• Une croissance du Chiffre d’affaires de +28 % en 2024.
 L'ASSURANCE D'UN AVENIR 
 
Que vous soyez particulier, salarié, indépendant ou retraité, le Groupe Capfinances répond à l’ensemble de vos besoins patrimoniaux :
 
 Transmission de patrimoine
 Préparation à la retraite
 Protection de la famille
 Enrichissement personnel
 Défiscalisation
 Immobilier
 Crédit immobilier
 Assurance de prêts
 Prévoyance
 
NOS CENTRES D'AFFAIRES
 
Présent à l’échelle nationale, Capfinances dispose de 19 centres d’affaires :
 
 Amiens
 Angers
 Besançon
 Biarritz
 Bordeaux
 Brest
 Caen
 Dijon
 Lille
 La Rochelle
 Lorient
 Montpellier
 Nantes
 Nice
 Niort
 Rennes
 Rouen
 Tours
 Toulouse
 
Plus de 890 Mandataires d'Intermédiaire en Assurance indépendants accompagnent nos clients au quotidien dans toute la France.
Chez Capfinances, l’humain et l’expertise sont au cœur de notre démarche, pour bâtir ensemble un avenir financier solide.","Insurance Agencies and Brokerages","51-200 employees","Privately Held","Bois-Guillaume, Normandie","France","capfinances.fr","https://www.linkedin.com/company/capfinancesfrance"
