"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Jefferson Health Plans","Health Partners Plans through HPP and Jefferson Health Plans provide trusted health insurance plans that prioritize your well-being. We offer a range of affordable plans in Medicaid, CHIP, Medicare Advantage, and Individual and Family plans, all tailored to meet the diverse needs of the communities we serve. 
With a commitment to personalized healthcare, accessible health services, and a strong healthcare provider network, we empower individuals and families to take charge of their health. Our mission is to improve the lives of our communities by delivering quality plans with exceptional member service.
What We Offer:  Comprehensive health coverage for all stages of life  Easy access to quality healthcare and top providers  Health and wellness programs to support your journey.","Insurance Carriers","501-1,000 employees","Non Profit","philadelphia",,"jeffersonhealthplans.com","https://www.linkedin.com/company/jefferson-health-plans"
,"Sancor Seguros Brasil","A Sancor Seguros Brasil é uma seguradora do Grupo Sancor Seguros, fundada em 1945 na Argentina, líder em seguros no país de origem. Com presença consolidada também no Uruguai e no Paraguai, a Sancor Seguros está no Brasil desde 2013, com sede em Maringá, no Paraná.

A companhia tem uma filosofia cooperativista como norteadora de suas estratégias e práticas. Está no país com o propósito de proteger conquistas e sonhos, promovendo progresso e bem estar aos seus clientes e parceiros.","Insurance Carriers","51-200 employees","Privately Held","Brasil","Brazil",,"https://www.linkedin.com/company/sancorsegurosbr"
,"NSIA VIE ASSURANCES SN","Nous vous proposons des solutions d’épargne pour la retraite complémentaire, le financement des études supérieures de vos enfants et la prévoyance pour assurer la sécurité financière de vos familles en cas de décès ou d’invalidité absolue.","Insurance Carriers","51-200 employees","Privately Held","Dakar, Senegal","Senegal","nsiavieassurances.sn","https://www.linkedin.com/company/nsia-assurances-vie-senegal"
,"Darwin Seguros","Muito prazer, somos a Darwin Seguros! 

Viemos para inspirar o novo e para evoluir tudo aquilo que você já viu por aí no mercado. 
 
Sim, evoluir. 
Já nascemos com o propósito de trazer mais empatia ao trânsito e colocar você no controle do seu seguro auto. Mudar o mindset, sabe? 
 
Como? 
Temos tecnologia para precificar o seu seguro pela forma que você dirige. É simples: dirige bem, paga menos; dirige pouco, paga menos também. E você só precisa do seu celular. 
 
Legal, né? 
Sem falar no atendimento humanizado 24/7, renovação mensal em que você pode diminuir seu preço todo mês, rede de guinchos por todo Brasil, e por aí vai. 
 
Só vem, porque a Darwin TÁ ON!  
#DarwinTimesAreComing","Insurance Carriers","51-200 employees","Privately Held","São Paulo, São Paulo","Brazil","darwinseguros.com","https://www.linkedin.com/company/darwinseguros"
,"AXA Luxembourg & AXA Wealth Europe","Notre raison d’être est d’agir pour le progrès humain en protégeant ce qui compte.","Insurance Carriers","201-500 employees","Public Company","Luxembourg","Luxembourg","axa.lu","https://www.linkedin.com/company/axa-au-luxembourg"
,"IZA Seguradora S.A.","A IZA é uma seguradora digital inovadora no segmento de seguros de VIda, com soluções para empresas e profissionais autônomos que buscam proteções personalizadas e sem burocracia.

Eleita a Principal Empresa de Inovação, neste segmento do Mercado de Seguros, é feita para empresas e prestadores de serviço de TODO o país - independente da região e área de atuação -, e suas soluções atendem novos mercados e modelos de consumo que buscam proteções diferenciadas. 

Referência em atendimento nossos produtos e serviços facilitam a vida de quem não pode parar.","Insurance Carriers","11-50 employees","Privately Held","São Paulo, SP","Brazil","iza.com.vc","https://www.linkedin.com/company/izaseguradora"
,"Banner Life family of companies | life insurance","The Banner Life family of companies, established through its predecessor companies in 1949, consists of two insurance companies, Banner Life Insurance Company, which insures policyholders and annuitants in 49 states and DC, and Banner Life’s wholly-owned subsidiary, William Penn Life Insurance Company of New York, which insures policyholders and annuitants in New York. William Penn products are available exclusively in New York; Banner Life is not authorized as an insurer and does not do business in New York.

Banner Life is dedicated to continually enhancing its term life insurance and retirement products and experience for everyone. And with 99% of term life insurance claims paid to nearly 4,000 families, and retirement secured for over 35,000 annuitants in 2024, the Banner Life family of companies is here when people need us most. 

Banner Life family of companies is here for you, here for good and here for better.","Insurance Carriers","501-1,000 employees","Privately Held","Frederick, Maryland","United States","bannerlife.com","https://www.linkedin.com/company/banner-life-family-of-companies-life-insurance"
,"Summit","Summit provides independent insurance agents and their clients with market-leading workers’ comp insurance and elite customer service. We’re growing, currently serving more than 7,000 independent agents and 31,000 policyholders across 15 states in the South, Midwest, and Mid-Atlantic. 

Our strength comes from a single-minded focus on workers’ comp and a commitment to long-term customer relationships. Summit is who you turn to when you need a specialist who not only knows workers’ comp but also gets to know your business and your priorities. 

Our field team members are located in every state in which we operate. We’re not a faceless corporation with distant headquarters. We’re part of the fabric of local communities.

As the world becomes increasingly impersonal, Summit offers a customer experience based on relationships and personal service. You’ll always be able to speak to a real human being. You’ll always receive timely answers you can trust. 

Insurance agents, policyholders, and injured employees can count on three things from Summit: 

1) More Access. Our team members are not only masters in the field but they’re easy to reach and highly responsive when you need answers.

2) More Know-how. You’ll get better answers from real experts and industry veterans who know workers’ comp, your business, your customers, and your region.

3) More Commitment. You’ll have collaborators who go the extra mile to serve you and who are willing to solve problems that others usually can’t.

Summit manages affiliates, Bridgefield Casualty Insurance Company, Bridgefield Employers Insurance Company, and Bridgefield Indemnity Insurance Company, and nonaffiliates, BusinessFirst Insurance Company, RetailFirst Insurance Company, and Retailers Casualty Insurance Company. 

Summit is a member of Great American Insurance Group and a subsidiary of American Financial Group, Inc (AFG). AFG’s common stock is listed and traded on the New York Stock Exchange under the symbol AFG.","Insurance Carriers","501-1,000 employees","Public Company","Lakeland, Florida","United States","summitholdings.com","https://www.linkedin.com/company/summitworkerscomp"
,"A Mundial Seguros, SA","A Mundial Seguros é uma empresa com 18 anos de actuação no mercado, destaca-se como uma referência no sector, especialmente no ramo vida, registrando o melhor desempenho anual em todo o País. 

Este resultado positivo representa um elemento crucial para impulsionar o negócio, aprimorar a qualidade dos serviços desde a concepção até a entrega final do produto, e capacitar o 
quadro de pessoal para tornar-se cada vez mais uma seguradora de excelência.

Com um compromisso voltado ao consumidor final, inovamos continuamente os nossos produtos, considerando o actual contexto do país e das organizações.","Insurance Carriers","51-200 employees","Partnership","Luanda","Angola","mundial.co.ao","https://www.linkedin.com/company/a-mundial-seguros-sa"
,"SUNU Assurances RDC","SUNU Assurances IARD RDC est la filiale en République Démocratique du Congo du Groupe Panafricain d’assurances et de services financiers, le Groupe SUNU. Le Groupe a été créé en 1998 par M. Pathé DIONE avec d’anciens collaborateurs.
Le Groupe SUNU est présent dans 17 pays d’Afrique Subsaharienne avec près d’une trentaine de sociétés.","Insurance Carriers","11-50 employees","Privately Held","Kinshasa, Kinshasa","Democratic Republic of the Congo","sunu-group.com","https://www.linkedin.com/company/sunu-assurances-rdc"
