"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Mewa","Mewa was founded in 1908 and is one of the leading companies in the segment of textile management. In 2022, Mewa was voted again one of Germany’s brands of the century. The company currently serves about 200,000 companies from more than 47 locations Europe-wide and dresses their employees with suitable and protective workwear, supplies wipers, oil-trapping and dust-control mats or clean operations, helps to maintain hygienic washrooms and offers high-quality products for occupational safety as well as technical equipment. For more information please visit https://www.mewa-service.com/ or https://www.mewa.co.uk/.","Laundry and Drycleaning Services","5,001-10,000 employees","Privately Held","Wiesbaden","Germany","mewa.de","https://www.linkedin.com/company/mewa-textil-management"
,"Call Your Dhobi","Call your Dhobi is a new startup focused on meeting your day to day laundry needs. We understand that in this fast moving world, you have to manage life in all its spheres. Everyperson is muddling between work, family and household chores. And to be up to the mark everyday, clothing is one thing which also has to be trendy, maintained and impressive. Maintaining clothing to that level demands lot of care and time. We have gone through it and understand it completely.","Laundry and Drycleaning Services","11-50 employees","Privately Held","Delhi","India","callyourdhobi.com","https://www.linkedin.com/company/call-your-dhobi"
,"Quick Clean Laundry Solutions","Since 2010, Quick Clean has partnered with India’s leading hospitals and hotel groups to take full ownership of on-premise laundry operations at scale.

Today, we operate 110+ on-premise laundry sites across 38+ cities PAN India, processing over 80,000 kg of linen every single day through a fully owned and operated BOO-OPL model. Backed by a workforce of 1,500+ trained professionals, Quick Clean is India’s largest on-premise laundry operator and the country’s first ESCO-certified commercial laundry company.

We do not supply equipment. We run mission-critical laundry operations.

From infrastructure design and system commissioning to daily processing, infection-control compliance, manpower, maintenance, utilities, and SLA-linked performance management, we manage the entire laundry lifecycle.

Trusted by some of India’s most demanding brands, including Marriott, Taj, Hyatt, Radisson, ITC, IHG, Club Mahindra, and premier healthcare institutions such as AIIMS, Lilavati Hospital, PMCH Patna, and leading medical colleges across multiple states, Quick Clean operates in environments where failure is not an option.

Our technology-enabled operations provide real-time visibility through linen tracking, MIS dashboards, loss monitoring, and daily service reports. This ensures consistent hygiene, audit readiness, and operational uptime across every location.

Our high-efficiency processes deliver up to:

• 50% reduction in water usage
• 70% reduction in carbon emissions
• 30% reduction in chemical consumption

We are here to make your work life easier, more profitable, and truly sustainable.","Laundry and Drycleaning Services","501-1,000 employees","Privately Held","Gurugram, Haryana","India","quickclean.co.in","https://www.linkedin.com/company/quick-clean-laundry-solutions"
,"Oxwash | B Corp","Oxwash are a Certified B Corporation  
We exist to permanently eliminate the impact of washing on our planet and us 

Oxwash is revolutionising the washing industry. By uniquely combining next-generation cleaning and logistics platforms, Oxwash is closing the loop in inefficient processes in the growing on-demand hospitality and catering industries.","Laundry and Drycleaning Services","51-200 employees","Privately Held","Oxford, England","United Kingdom","oxwash.com","https://www.linkedin.com/company/oxwash"
,"Elis Danmark","Elis Danmark (Tidligere Berendsen Textile Service) tilbyder bæredygtige tekstil- og hygiejneløsninger og svanemærket vaskeriservice, hvor forbruget af vand, energi og vaskemidler ligger under Svanemærkets krav. Elis var én af de 10 første virksomheder i Danmark, der blev CSR-certificeret, og i 2019 blev Elis verdensmålcertificeret af Bureau Veritas som den første virksomhed i verden. Elis er en del af en international multiservice-leverandør, der tilbyder løsninger indenfor tekstil-, hygiejne- og facility services.

Elis er til stede i Europa og Latinamerika og er førende i de fleste af de 28 lande, hvor virksomheden har aktiviteter. Koncernen har 45.000 medarbejdere i 440 produktions- og servicecentre og arbejder for den offentlige sektor og private virksomheder i alle størrelser og på tværs af alle brancher. Koncernen tilbyder skræddersyede løsninger indenfor fladt linned, arbejdstøj, toiletmiljøer, måtter, drikkevarer, renrum, skadedyrsbekæmpelse og medicinsk affaldshåndtering. Læs mere på: www.corporate-elis.com/en 

Bemærk: Vores LinkedIn-side er ikke en kundeservice-side. Hvis du er kunde hos os nu og har brug for hjælp i hverdagen, så kontakt din lokale serviceafdeling, som du finder på https://dk.elis.com/da/kontakt.","Laundry and Drycleaning Services","1,001-5,000 employees","Public Company","Søborg, Capital Region","Denmark","elis.com","https://www.linkedin.com/company/elis-denmark"
,"ETSA - European Textile Services Association","ETSA is the European Textile Services Association. We represent and promote the textile rental services sector in Europe.

Our aims include regulatory affairs; promote best industry practices; research demonstrating the benefits of textile services; platform for exchanges between industry professionals from members firms and national associations. 

Let's work together to make more people aware of how textile services contribute to a more circular economy!","Laundry and Drycleaning Services","2-10 employees","Non Profit","Brussels, Brussels Region","Belgium","textile-services.eu","https://www.linkedin.com/company/european-textile-services-association"
,"Textilia Danmark","Som markedsledende servicevirksomhed inden for tekstil totalløsninger, støtter vi jer med specialiseret rådgivning, innovative løsninger og pålidelig service. Med os som leverandør har I mulighed for at samle en lang række serviceydelser ét sted. I får en samarbejdspartner med stor specialviden om de behov, den sikkerhed og de krav, forskellige brancher stiller. Vi skræddersyr en løsning nøjagtig til jeres behov, hvor I får det præcist, som I ønsker. 

Som total tekstilleverandør tilbyder vi følgende serviceydelser:

•	Beklædning og sko
•	Linned
•	Dækketøj
•	Måtter
•	Hygiejne
•	Værnemidler
•	Beklædningsskabe 
•	TexMatic
•	Viima Rengøringssystem

MILJØHENSYN MED HOLDNING
118 millioner stykker vasketøj cirkulerer årligt gennem vores vaskerier, og vi har en million leverancer i Danmark pr. år. Vask og logistik er i sagens natur miljøbelastende, og derfor bærer vi hos Texilia et særligt ansvar. Der er både holdning og handling bag miljøhensyn, og vores forretningsgrundlag bygger på genbrug af tekstiler. Vi tager ansvaret meget seriøst, og undersøger hele tiden nye veje for forbedringer. For hvert år falder vores energiforbrug på trods af øget produktion, fordi vi optimerer på vand- og energiforbrug samt logistik. Alle vores afdelinger er miljøcertificerede efter ISO 14001.","Laundry and Drycleaning Services","1,001-5,000 employees","Privately Held","Smørum, Hovedstaden","Denmark","textilia.dk","https://www.linkedin.com/company/textilia-danmark"
,"SALESIANER Gruppe","Die SALESIANER Gruppe ist ein österreichisches Familienunternehmen und bietet seit über 100 Jahren höchste Qualität bei Wäschedienstleistungen und Miettextilien. Dank unserer Innovationskraft sowie unserem klaren Bekenntnis zu Nachhaltigkeit, Hygiene und Gesundheit sind wir Marktführer in der Region Österreich, Zentral-, Süd- und Osteuropa.

Unser Kerngeschäft ist die textile Vollversorgung für das Gesundheitswesen, Hotellerie und Gastronomie, Industrie und Gewerbe mit Mietwäsche. Reinraumtextilien, Waschraum- hygiene sowie Werbe- und Schmutzfangmatten ergänzen unser Angebot. 

The SALESIANER Group is an Austrian family-owned company which has been offering top quality textile service and textile rental services for over 100 years. The strength of our innovative approach together with our clear commitment to sustainability, hygiene and health have enabled us to become the market leader in the regions of Austria, Central, Southern and Eastern Europe.

The core business of our company is to meet all the textile needs of the healthcare sector, hotels and restaurants, industry and commerce. We also offer cleanroom textiles, washroom hygiene products, dust control and graphic maps.","Laundry and Drycleaning Services","1,001-5,000 employees","Privately Held","Vienna, Wien","Austria","salesianer.at","https://www.linkedin.com/company/salesianermiettexgmbh"
,"Spin N Press","Spin N Press - Your Trusted Dry Clean Experts | Garment Care at its Finest

 Welcome to Spin N Press - Your One-Stop Destination for Premier Dry Cleaning Services! 

At Spin N Press, we take immense pride in being your go-to dry cleaning experts, delivering exceptional garment care that goes beyond the ordinary. With a passion for perfection and a commitment to customer satisfaction, we've become synonymous with top-notch service and meticulous attention to detail.

 Why Choose Spin N Press? 

 Unrivaled Quality: Your clothes are precious, and we treat them as such. Our experienced team uses advanced techniques and eco-friendly practices to ensure your garments receive the care they deserve, leaving them fresh, crisp, and immaculate.

 Convenience Redefined: We know your time is valuable, so we've made our services as convenient as possible. Simply chat with us and you can schedule pickups and deliveries hassle-free, without ever leaving your doorstep.

 Specialty Garments, No Problem: Delicate fabrics or cherished specialty items? Fear not! Our expertise extends to cleaning wedding gowns, leather and suede garments, curtains, and rugs, so you can trust us with your most treasured pieces.

 Stain Removal Experts: Stubborn stain? Leave it to our stain removal specialists. They wield their expertise to tackle even the toughest stains, ensuring your garments look flawless once again.

 Our Commitment to the Environment 

At Spin N Press, we believe in sustainability and eco-conscious practices. We've embraced environmentally friendly packaging and transport solutions, ensuring our impact on the planet remains as gentle as possible.","Laundry and Drycleaning Services","11-50 employees","Privately Held","Mumbai, Maharashtra","India","spinnpress.in","https://www.linkedin.com/company/spinnpress"
,"Elis Sverige (Sweden)","Elis, en internationell multi-serviceleverantör, erbjuder lösningar inom textilier, hygienartiklar och facility services. Vi finns i Europa och Latinamerika och är marknadsledande i majoriteten av länderna där vi har verksamhet. 45 000 personer är anställda på 440 produktions- och servicecenter i 29 länder. Vi arbetar för offentliga och privata organisationer av alla storlekar och inom alla sektorer. 

I Sverige erbjuder vi skräddarsydda lösningar inom arbetskläder, bädd- och badlinne, hälso- och sjukvård, renrum, mattor och hygienartiklar.  

Hos oss på Elis är miljöarbetet en viktig del av vårt dagliga arbete. Vår absoluta ambition är att producera energisnålt, förbättra vår miljöprestanda, använda etiska affärsmetoder och ställa miljökrav på våra leverantörer. Många av våra anläggningar är dessutom Svanenmärkta. 

Vill du växa med oss? Vi satsar ständigt framåt och söker alltid efter ambitiösa och drivna medarbetare som tex, säljare och kundservicemedarbetare. Hos oss finns intressanta utmaningar och stora möjligheter till personlig utveckling. Vi är också mycket stolta över vårt unika, individanpassade och utvecklade Mangement Traineeprogram. Programmet vänder sig till drivna nyexaminerade civilingenjörer eller -ekonomer med en ambition att kickstarta sin ledarskapskarriär. Programmet, som pågår under två år, omfattar fyra projekt, varav ett genomförs utomlands.


Elis är listat på Euronext Paris. För mer information, besök http://www.berendsen.se","Laundry and Drycleaning Services","1,001-5,000 employees","Public Company","Malmö, Skåne","Sweden","elis.com","https://www.linkedin.com/company/elis-sverige"
