"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lancel","Fondée en 1876 par un jeune couple d’entrepreneurs visionnaires, la maison Lancel perpétue le style, l’audace et le savoir-faire depuis sa création.

A l’origine de designs iconiques comme le sac seau, le bagage souple, la radio portable ou encore le briquet automatique, la maison Lancel s’est imposée comme une référence de l’excellence à la française.","Leather Product Manufacturing","201-500 employees","Privately Held","PARIS, FRANCE","France","lancel.com","https://www.linkedin.com/company/lancel"
,"ATEPELI - Ateliers du Portugal","Nos Ateliers du Portugal, a tradição cruza-se com a paixão. Integrada num dos maiores grupos internacionais de luxo, a Atepeli aplica o seu savoir-faire na produção de componentes de marroquinaria e calçado. Com três ateliers sediados no Norte de Portugal, preservamos um legado de qualidade e excelência. Na Atepeli, valorizamos todos os talentos, independentemente da sua área de especialização: industrialização, logística, métodos/melhoria contínua, qualidade... pois reconhecemos que são essenciais para impulsionar a inovação e garantir a excelência dos nossos produtos. Ao juntar-se a nós, terá a oportunidade de evidenciar o seu talento na resolução de desafios complexos e na criação dos produtos de luxo do futuro. Venha conhecer-nos e terá a possibilidade de colaborar com uma equipa de apaixonados e desenvolver todo o seu potencial. Um Atelier para Todos os Talentos: Inspirados pela Tradição, Impulsionados pela Inovação.

At Ateliers du Portugal, tradition meets passion. Part of one of the largest international luxury groups, Atepeli applies its savoir-faire to the production of leather goods and footwear components. With three ateliers based in Northern Portugal, we preserve a legacy of quality and excellence.

At Atepeli, we value all talents, regardless of their area of expertise: industrialization, logistics, methods/continuous improvement, quality... as we recognize they are essential to driving innovation and ensuring the excellence of our products. By joining us, you will have the opportunity to showcase your talent in solving complex challenges and creating the luxury products of the future.Come and meet us and you will have the possibility to collaborate with a passionate team and develop your full potential. An Atelier for All Talents: Inspired by Tradition, Driven by Innovation.","Leather Product Manufacturing","1,001-5,000 employees","Privately Held","Ponte de Lima","Portugal","atepeli.com","https://www.linkedin.com/company/atepeli"
,"Gruppo Mastrotto","Founded in 1958, Gruppo Mastrotto is one of the world leading group in the manufacturing of bovine leather for upholstery, footwear, leather goods, garment, automotive, nautical and aviation industries.
The Group has stood out over time in these sectors thanks to constant technological innovation and the capability to anticipate the new trends of style, applying its know-how to the specific requests of any single field of application.
Quality, research, innovation, technological development, attention to the safety of the employees and the environment are the goals that Gruppo Mastrotto has been pursuing every day for sixty years.
The Gruppo Mastrotto formula is simple: experience and professionalism and the most modern technology in the leather industry. This is the winning combination that drives the production of millions of square meters of leathers every year for distribution throughout the world.
The Group consists of 15 plants worldwide. In Italy, 10 plants in the leather district of Arzignano (Vicenza) and 1 in Santa Croce sull’Arno (Pisa); in the rest of the world, the Group is present with 1 plant in Brazil, 1 in Indonesia, 1 in Tunisia, and 1 in Mexico.
The Group’s production process consists of a complex series of treatments where the skills of our experienced workers come to the fore, thanks to increasingly advanced systems developed through a long-term, ongoing research effort.
Cutting edge production technologies and innovative manufacturing techniques are matched with the research activity of the Style Department, so that the leather produced is always the right combination of technical and stylistic content.
The perfect combination of technology, innovation and service results in Gruppo Mastrotto Express: bovine leather for upholstery, footwear, leather goods, garment, automotive, nautical and aviation industries; available in more than 1.400 colors always in stock, ready to be shipped within 48 hours worldwide, even for small quantities.","Leather Product Manufacturing","1,001-5,000 employees","Privately Held","Arzignano, Vicenza","Italy","mastrotto.com","https://www.linkedin.com/company/gruppo-mastrotto-spa"
,"Conceria Pasubio SPA","Nowadays Pasubio Spa is one of the key leather processing players for the automotive international scene.
Its success comes from the sacrifice and entrepreneurship of the Pretto family.
Its members have tirelessly worked to create a company which has set the benchmark in terms of quality, innovation and reliability in the tannery sector.
Today Pasubio is a shareholding of PAI Partners, https://www.paipartners.com/language/en/.","Leather Product Manufacturing","1,001-5,000 employees","Privately Held","ARZIGNANO, Vicenza","Italy","pasubio.com","https://www.linkedin.com/company/conceria-pasubio-spa"
,"ITALIAN SHOE FACTORY","With three generations of family artistry, design knowledge and experience, Italian Shoe Factory is the foremost manufacturer of custom made footwear & leather goods worldwide. The owner Amin Virani has been supervising the entire manufacturing process for over 25 years now, delivering exceptional quality & workmanship in handmade footwear and leather goods. Ask us about Private Label prototyping & manufacturing services.
 
Private Label Services
Looking to start a shoes or leather goods line? Our team will guide you through the steps of building a successful brand. With over 25 years of experience in private label manufacturing for footwear and leather goods, we give you access to decades of technical know-how and craftsmanship. We also offer shoe prototyping & sampling services, along with on-demand small batch production.

Bespoke Services
Behind every unique leather-working technique is a tale of tradition, beauty and quality. Each custom shoe carries the inestimable wealth of know-how and mastery accrued over decades of practice and dedication. A bespoke pair requires an average of 50 hours work by highly qualified artisans.

You will be amazed to see how we can transform your ideas into a beautiful one-of-a-kind pair of shoes.  You may  want an exclusive pair of shoes with the heel designed with your initial, or embellished with studs or crystals. Sole colored to match your attitude or want more comfort for your feet without sacrificing style. Select from the highest quality of Italian leather or your choice of dress fabrics and customize with us.

Contact us
To get in touch, you can book an appointment on our website or call us at +97150 55 66 024 for a consultation to visit the Italian Shoes Factory in Dubai. You can also email us sketches, pictures and requirements to info@italianshoefactory.com

Shoe repairs are also available on request. Worldwide shipping available.","Leather Product Manufacturing","11-50 employees","Self Owned","Dubai, Dubai","United Arab Emirates","italianshoefactory.com","https://www.linkedin.com/company/italian-shoe-factory"
,"DANI S.p.A.","A passion for quality, innovation and an intense respect for people, animals and the environment. Since 1950, the DANI group has recognized and distinguished itself for its way of being, thinking and working.

Every week it processes from 25,000 to 27,000 fresh and salted hides to shape the most creative and daring ideas of stylists and designers, embellish the interiors of the most prestigious cars and give comfort and warmth to homes all over the world.

Not only aesthetics but also reliability. To give life to products that last over time, DANI's care starts from raw material sourcing and continues with scrupulous quality controls along the entire production chain.

Every day it chooses for the good of all of us, combining its production processes to sustainable solutions, to do its part and win a challenge, that of taking care of the planet, of its resources and future generations.

Talking about the future is a reality at Dani.","Leather Product Manufacturing","501-1,000 employees","Partnership","Z.I. Arzignano, Vicenza","Italy","gruppodani.com","https://www.linkedin.com/company/dani-s-p-a"
,"Craft & Glory","Handcrafted Full-Grain Leather Footwear,
Timeless Elegance & Traditional Techniques
Designed to be Durable. #Homegrown In India #GoodyearWelted 

- Inspired by history and love the era when goods were crafted for durability and rugged terrain. 

- We love minimalism, simplicity and workwear. Things crafted for a specific purpose.","Leather Product Manufacturing","11-50 employees","Partnership","Gurgaon, Haryana","India","craftandglory.in","https://www.linkedin.com/company/craftandglory"
,"Sadesa","Sadesa is one of the largest tanning groups in the world, specializing in high quality bovine leather for the most demanding footwear, leather goods and upholstery industries.
Sadesa operates ten industrial facilities throughout South America and Asia, with a worldwide raw material structure and a global sales network of offices and commercial alliances in the five continents.","Leather Product Manufacturing","1,001-5,000 employees","Privately Held","Buenos Aires","Argentina","sadesa.com","https://www.linkedin.com/company/sadesa"
,"RINO MASTROTTO","At the heart of the Rino Mastrotto lies a steadfast dedication to serving a diverse range of premium and luxury sectors, matched with an unyielding commitment to excellence and a rigorous focus on sustainability. To this end, we prioritise the ethical sourcing of materials, from leather to textiles, that minimise our environmental footprint.
All companies under our umbrella represent the best-in-class, promoting innovation in both product creation and bespoke service development. Integrated within our group, they unlock distinct synergies by providing our customers with unmatched access to resources and services, qualifying Rino Mastrotto as a unique and valued partner in the luxury industry.
As a premier network of distinguished service and production companies, we serve a wide array of luxury and high-end sectors, including fashion, automotive, and interior design.
All our brands represent the best-in-class in product and service development. Their presence within our group fosters invaluable synergies.
Thanks to our unique experience and savoir-faire, deeply rooted in a long family history, we provide luxury brands with endless inspiration, superior design capabilities, unparalleled craftsmanship, and absolute quality in everything we undertake. When engaging with stakeholders, we form partnerships based on mutual value, potential realisation, and shared sustainability goals. The cornerstone of these relationships is transparency, trust, and a commitment to creating a sustainable future.","Leather Product Manufacturing","1,001-5,000 employees","Privately Held","Trissino, Veneto","Italy","rinomastrotto.com","https://www.linkedin.com/company/rinomastrotto"
,"CONCERIA ZABRI","Specializzata nella produzione di croste scamosciate lisce, rifinite e articoli altamente personalizzati. 
Macchinari innovativi, grezzo minuziosamente selezionato, tinture all’avanguardia, laboratorio chimico con personale specializzato e un’attentissima preparazione al packaging, fanno della Zabri la migliore conceria di croste scamosciate in Italia. 
Merce disponibile in magazzino in centinaia e centinaia di colori, continuamente riassortiti e sempre tutti presenti nel nostro magazzino per una pronta consegna.
L’ideale per chi realizza il pronto moda ma anche le grandi quantità. 
Il servizio e la qualità sono i nostri punti di forza, oltre alle numerose certificazioni che abbiamo ottenuto ad oggi e che confermiamo con le varie verifiche. 
Scegliete la conceria Zabri, optate per la qualità a 360 gradi.","Leather Product Manufacturing","11-50 employees","Self Owned","Fucecchio, Tuscany","Italy","zabri.it","https://www.linkedin.com/company/conceria-zabri-s.p.a."
