"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Mettler-Toledo International, Inc","At METTLER TOLEDO, our mission is to empower industries worldwide with precision instruments and services that drive progress toward a better and more #sustainable future. Our teams operate at the forefront of #innovation, delivering cutting-edge instruments to a diverse range of industries, from #LifeSciences and #pharmaceuticals to #manufacturing and #logistics. 

With a rich legacy spanning several decades, METTLER TOLEDO (NYSE: MTD) has a global presence in 40 countries, serves more than 140 countries, and employs 17,300 ambitious minds. Our valued global team contributes to our success in pushing the boundaries of what’s possible in the fields of biomedical sciences, food & beverage, retail, chemical analysis, industrial sectors, transport & logistics, and academia.  

Through our comprehensive portfolio of solutions and services, we enable businesses to achieve new levels of accuracy, efficiency, and quality. METTLER TOLEDO products cater to the unique needs of various applications, including laboratory weighing, liquid handling, industrial weighing, chemical analysis, and product inspection, while upholding our GreenMT commitment to sustainable practices.  

Be at the forefront of precision and excellence and follow us for more information about live events, hiring opportunities, industry latest trends, best practices, and more.  

Become a member of our global team at METTLER TOLEDO https://jobs.mt.com

Benefit from informational videos on our YouTube channel: https://www.youtube.com/@mettlertoledo","Measuring and Control Instrument Manufacturing","10,001+ employees","Public Company","Greifensee","Switzerland","mt.com","https://www.linkedin.com/company/mettlertoledo"
,"Hexagon Manufacturing Intelligence","At Hexagon, we don’t just measure the world – we define its future.

As the global leader in measurement technologies, we provide the confidence that vital industries rely on to build, navigate, and innovate.

From microns to Mars, our solutions drive productivity, quality, safety, and sustainability.

Manufacturing Intelligence equips innovators with the technology to shape a better reality. 

By creating a digital thread for quality that connects the value chain, manufacturers can improve the entire process, achieve all of their desired outcomes and transform people’s experiences with products that redefine their category.

Fusing digital and real worlds, we create immersive digital twins of products, assets and facilities – manufacturers can test, explore, iterate entirely in the virtual world. Our system of engagement offers full enterprise alignment embedding advanced automation to drive optimisation and innovation to new levels.

We bring continuous improvement with generative, autonomous AI recommendations allowing manufacturers to create a higher quality world for all.

Measurement is the foundation of progress. When it has to be right, it has to be Hexagon.

For more information, visit hexagon.com/mi. Learn more about Hexagon (Nasdaq Stockholm: HEXA B) at hexagon.com.","Measuring and Control Instrument Manufacturing","5,001-10,000 employees","Public Company","Cobham, Surrey","United Kingdom","hexagon.com","https://www.linkedin.com/company/hexagon-manufacturing-intelligence"
,"WIKA Group","The WIKA Group is a global market leader in pressure and temperature measurement. The company also sets the standard in the measurement of level, force and flow, and in calibration technology. The broad portfolio of high-precision instruments, IIoT solutions and comprehensive services makes WIKA a strong and reliable partner for all the requirements of industrial measurement technology. The family-run business, founded in 1946, has a global presence with 11,200 employees. This includes our own subsidiaries, production sites and development departments, such as the Innovation Center in Klingenberg. There alone, over 100 engineers work on innovative sensing solutions that provide answers to global challenges. WIKA's unique experience and know-how make sensing technology smarter, add more value and prepare it for a sustainable future: “Smart in sensing”.","Measuring and Control Instrument Manufacturing","10,001+ employees","Privately Held","Klingenberg, Bayern","Germany","wika.com","https://www.linkedin.com/company/wikagroup"
,"ZEISS Industrial Quality Solutions","ZEISS Industrial Quality Solutions is a leading manufacturer of multidimensional metrology solutions. These include coordinate measuring machines, optical and multisensor systems and metrology software for the automotive, aircraft, mechanical engineering, plastics and medical technology industries. Innovative technologies such as 3D X-ray metrology for quality inspection round off the product portfolio.

Global Headquarters Germany:
Carl Zeiss Industrielle Messtechnik GmbH 
Carl-Zeiss-Strasse 22 
73447 Oberkochen, Germany 
info.metrology@zeiss.com

North America:
Carl Zeiss Industrial Metrology, LLC
6250 Sycamore Lane North
Maple Grove, MN 55369

Data privacy:
www.zeiss.com/data-protection

Imprint:
Carl Zeiss Industrielle Messtechnik
Carl-Zeiss-Straße 22
73447 Oberkochen, Deutschland
Tel.: +49 7364 20-0
Fax: +49 7364 20-3870

info.metrology@zeiss.com

Management Board:
Dr. Marc Wawerla (President & CEO)
Dr. Bettina Friedl
Chairman of the Supervisory Board:
Dr. Marc Wawerla

Commercial register: Ulm, HRB 501561
USt-IdNr. DE811515346

This is the official ZEISS Industrial Metrology LinkedIn account and it follows the ZEISS Netiquette Guidelines. Please visit  https://www.zeiss.com/metrology/imprint/netiquette.html for more information.","Measuring and Control Instrument Manufacturing","1,001-5,000 employees","Public Company","Oberkochen, Baden Wuerttemberg","Germany","zeiss.com","https://www.linkedin.com/company/zeiss-industrial-quality-solutions"
,"Anton Paar","Anton Paar GmbH, founded in 1922 as a one-man locksmith‘s workshop, today is a globally active high-tech company headquartered in Graz, Austria with 40 sales and service subsidiaries worldwide. The company currently counts 4,200 employees. Anton Paar develops and produces high-precision laboratory instruments as well as process measurement technology and provides custom-tailored automation and robotics solutions.

A love of research and high quality standards have made Anton Paar a world market leader in the fields of density measurement, the determination of dissolved CO2, rheometry, material characterization and the production of complex high-precision parts, e.g. for medicinal prostheses. Innovation is essential: About 14.5 % of the company’s annual turnover is invested in Research & Development.

Anton Paar provides solutions to industries in over 110 countries. Customers include, among others, the world’s largest soft drink producers, all major breweries, Formula 1, the chemical and pharmaceutical industry and food producers, including chocolate manufacturers.

Anton Paar GmbH is owned by the Santner Foundation, which is exclusively and directly aimed at charitable causes.

Legal notice: https://www.anton-paar.com/corp-en/legal-notice/","Measuring and Control Instrument Manufacturing","1,001-5,000 employees","Privately Held","Graz, Styria","Austria","anton-paar.com","https://www.linkedin.com/company/anton-paar-gmbh"
,"BUCHI Laboratory Equipment","For 85+ years, BUCHI has led in Lab Technology Solution, advancing R&D, quality control, and production globally. Our innovative solutions optimize processes and improve efficiency while prioritizing safety and sustainability. Let’s collaborate to shape the future of science. #QualityInYourHands","Measuring and Control Instrument Manufacturing","501-1,000 employees","Privately Held","Flawil","Switzerland","buchi.com","https://www.linkedin.com/company/büchi-labortechnik-ag"
,"Kistler Group","Kistler is the global market leader for dynamic pressure, force, torque and acceleration measurement technology. Cutting-edge technologies provide the basis for Kistler's modular solutions. Customers in industry and scientific research benefit from Kistler's experience as a development partner and its unique sensor technology, enabling them to optimize their products and processes so as to secure sustainable competitive edge. Some 2,000 employees at more than 60 facilities across the globe offer individual application-specific support at the local level. In 2024, the Kistler Group posted sales of mCHF 448, and about 9 percent of this figure is reinvested in research and technology.","Measuring and Control Instrument Manufacturing","1,001-5,000 employees","Privately Held","Winterthur","Switzerland","kistler.com","https://www.linkedin.com/company/kistler"
,"HORIBA","The HORIBA Group of worldwide companies provides an extensive array of instruments and systems for applications ranging from automotive R&D, process and environmental monitoring, in-vitro medical diagnostics, semiconductor manufacturing and metrology, to a broad range of scientific R&D and QC measurements. Proven quality and trustworthy performance have established widespread confidence in the HORIBA Brand.","Measuring and Control Instrument Manufacturing","5,001-10,000 employees","Public Company","Kyoto","Japan","horiba.com","https://www.linkedin.com/company/horiba"
,"Si-Ware Systems","Si-Ware Systems is a global deep-tech innovation company that delivers ready-to-deploy products and custom-developed solutions that bridge the physical and digital worlds through an integrated stack of technologies that sense, process, and respond to the world around us. With core expertise spanning material sensing, inertial sensing, sensor fusion, and sensing control software, we combine our multidisciplinary strengths across MEMS, optics, embedded systems, AI, and software to deliver fully integrated, scalable solutions. We collaborate with customers across industries to bring impactful innovations to life, contributing to a future shaped by deeper understanding, better-connected systems, and continuous innovation.","Measuring and Control Instrument Manufacturing","51-200 employees","Privately Held","Menlo Park, California","United States","si-ware.com","https://www.linkedin.com/company/si-ware-systems"
,"Bürkert Fluid Control Systems","We make ideas flow.

At Bürkert, everything revolves around fluids. Whether it’s measuring, controlling or regulating – our fascination with everything that flows has driven us forward for eight decades. This passion is reflected in our continuous development of innovative products and tailored system solutions that are used in fluid technology applications the world over. We focus primarily on the Food & Beverage and Pharma & Biotech industries, as well as on Lab & Analytical applications, and Hydrogen for the Energy sector. For these industries, we develop individual portfolios of components, system solutions and digital services that are precisely tailored to each of the various applications and requirements. 
Headquartered in Ingelfingen in southern Germany, Bürkert operates in over 30 countries worldwide with over 3,700 employees. Our global research, development and production sites in China, the USA, India and Europe enable us to respond flexibly and quickly to specific regional needs. Together, we design complete systems that unite resource conservation, energy efficiency, and process reliability – for future-ready industry.

Imprint: https://www.burkert.com/en/Site-Info/Site-Info
Data privacy: https://www.burkert.com/en/Data-Privacy/Data-Privacy","Measuring and Control Instrument Manufacturing","1,001-5,000 employees","Privately Held","Ingelfingen","Germany","burkert.com","https://www.linkedin.com/company/burkert-fluid-control-systems"
