"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ecoATM Gazelle","ecoATM and Gazelle are redefining how people and businesses manage technology responsibly. With more than 7,000 kiosks nationwide and a robust online platform, we make it easy to trade in, trade up, or recycle devices securely and sustainably.

For consumers, that means turning old tech into instant cash—or upgrading to a certified pre-owned device that’s better for your wallet and the planet. For our retail and brand partners, it means driving foot traffic, offering customers a value driving service they love, and supporting measurable ESG impact.

Together, ecoATM and Gazelle are building the infrastructure for a circular tech economy—one where every device gets a second life, every trade-in makes a difference, and sustainability scales across millions of users and organizations.","Retail Recyclable Materials & Used Merchandise","201-500 employees","Privately Held","San Diego, CA","United States","ecoatm.com","https://www.linkedin.com/company/ecoatm"
,"MV Recycling (UK) Ltd","MV Recycling UK Ltd are a fully EA accredited total waste management company that specialises in plastic recycling. We have 3 overseas facilities that reprocesses your plastic waste into new feedstock which is then used to create a variety of durable and recyclable products such as garden chairs, stadium seating, black bags, shopping bags and many more. 

MV Recycling UK Ltd was established in 2009 as a major paper plastic exporter. The MV brand was founded by Muhammed Master in 2006 who built the company to what it is today, his dedication to his customers and general work ethic to diverting previously landfilled waste has resulted in the expansion of the company and the reduction of carbon emissions for multiple businesses.

With satellite networking sites and partnerships throughout the UK, MV Recycling can guarantee 100% success rates, collections done on time and landfill cost reductions, from which we can ensure that customers are looked after and needs are fulfilled. Our proud and loyal customers are testimony to our success and ability to provide an excellent no hassle service throughout the UK. 

What separates MV Recycling UK Ltd from other recycling businesses is that we are knowledgeable of the circular economy and value our customers just as much as we value the waste product we purchase. We not only provide a tailored waste management service but can advise customers on how to better themselves environmentally. 

With a quick turn around and experience in dealing with both large and small companies on a local and national basis, with our simple 5 step process MV Recycling UK Ltd are determined to improve the depletion of natural resources to maintain an ecological balance for both the planet and our suppliers.","Retail Recyclable Materials & Used Merchandise","2-10 employees","Privately Held","Inskip, England","United Kingdom","mvrecycling.co.uk","https://www.linkedin.com/company/mvrecyclingukltd"
,"Modern American Recycling Services, Inc.","We are M.A.R.S.

Established in 1971, Modern American Recycling Services, Inc. (M.A.R.S., Inc.) was founded by “Butch” Dwight Caton. M.A.R.S is the largest barge dismantler and offshore decommissioning provider in the United States.
Recently the company has expanded its scope of offerings with the acquisition of a shipyard providing ship repair, conversions, and overhauls of all types of vessels, including tankers, dredgers, ATBs, tugs, barges and more. 

We are a company committed to providing quality demolition and recycling services to our customers, while protecting the environment and maintaining a safe working environment for our people.

We have facilities in Gibson Louisiana, Waggaman Louisiana, Houma Louisiana, Pascagoula Mississippi, Frederikshavn Danmark, and .......","Retail Recyclable Materials & Used Merchandise","501-1,000 employees","Privately Held","Gibson, LA","United States","modernamericanrecyclingservices.com","https://www.linkedin.com/company/modern-american-recycling-services-hq"
,"Happen Ventures","Happen Ventures specializes in waste diversion and sustainability solutions, focusing on reuse rather than recycling. Our innovative programs help businesses repurpose surplus inventory, reducing landfill waste and promoting environmental sustainability. With services tailored for retailers, warehouses, cosmetics companies, and consumer brands, we offer bulk pick-up options and streamlined processes for waste diversion. Join us in our mission to minimize environmental impact and create a more sustainable future through reuse and recycling initiatives","Retail Recyclable Materials & Used Merchandise","51-200 employees","Privately Held","Carolina , Puerto Rico","Puerto Rico","happenventures.com","https://www.linkedin.com/company/happen-ventures"
,"Laps","At Laps, we’re on a journey to change the way people buy and consume products, but this can only be achieved if we all set our wheels in motion.

We are a network of recommerce platforms where, not unlike a relay race, products are passed from one person to another, helping everyone advance.
The more relays – or laps – our products complete, the greater our collective impact becomes. 
And like any successful relay, it all starts with those who choose to participate.

Ready... Set...
Pass It Forward","Retail Recyclable Materials & Used Merchandise","51-200 employees","Privately Held","Montreal, Quebec","Canada","laps.com","https://www.linkedin.com/company/laps-group"
,"Lunettes de Zac","Zac collecte et reconditionne les montures de lunettes pour leur donner une seconde vie. 

Dans votre entreprise, votre école ou chez votre opticien, organisez une collecte de lunettes usagées !

Les montures sélectionnées sont nettoyées et réparées par nos Sublimeurs de lunette, des personnes en situation de handicap ou en réinsertion dans le Nord de la France. 

Retrouvez ces pépites en magasin au 35 rue Basse à Lille, chez nos opticiens partenaires partout en France  ou sur lunettesdezac.com !

Suivez nos aventures sur Instagram, Facebook, linkedin et Tiktok, ou abonnez-vous à la Newsletter sur notre site internet.","Retail Recyclable Materials & Used Merchandise","2-10 employees","Privately Held","Lille, Nord","France","lunettesdezac.com","https://www.linkedin.com/company/lunettes-de-zac"
,"CertiDeal","CertiDeal l’anti-déchet électronique positif pour la planète, et le portefeuille !

Des solutions pour le réemploi des produits électroniques  :
	•	Collecte et achat de produits électroniques usagés via les opérateurs, le site internet ou des associations 
	•	Vente de smartphones, tablettes et macs reconditionnés sur notre e-commerce 
	•	Vente à des opérateurs et acteurs du retail de produits issus du remploi 

CertiDeal assure aussi la réinsertion de personnes en état de détresse économique via divers programme dont la CertiAcadémie.

Chaque produit est vérifié et certifié par un expert avant d'être expédié à l'acheteur. CertiDeal assure la conformité du produit lors de votre achat, ce qui signifie qu’aucun produit ne sera expédié sans son tampon « certifié conforme ».

Nous sommes fiers de notre impact collectif :

	•	80 000 tonnes d’économie carbone grâce à nos programme de reprises et reconditionnement

	•	1 million de clients dans toute l’Europe 
	
	•	120 collaborateurs. La majorité formée chez nous. Des dizaines de CertiAcademiciens en poste à l’extérieur.

CertiDeal est une Entreprise de l’Economie Sociale et Solidaire.","Retail Recyclable Materials & Used Merchandise","11-50 employees","Privately Held","Paris, Ile-de-France","France","certideal.com","https://www.linkedin.com/company/certideal"
,"FGL Reciclagem  |  Equipamentos Industriais e Mineração","A FGL Reciclagem é uma empresa que atua no ramo de sucatas ferrosas e não ferrosas, peneiramento, comércio e locação de equipamentos industriais e de mineração.

Prezamos pela transparência nas negociações e visamos sempre parcerias duradouras.

Nossos principais objetivos são a qualidade e a satisfação dos clientes.","Retail Recyclable Materials & Used Merchandise","2-10 employees","Privately Held","Itaúna, Minas Gerais","Brazil","fglreciclagem.com.br","https://www.linkedin.com/company/fgl-reciclagem"
,"İKİNCİ EL ALIYORUZ","25 yıldır sektörde hizmet vermekte, özel sektör, kamu ve son kullanıcı bünyesinde bulunan stok fazlası veya atıl durumda olan ürünlerin güncel ticari değerleri üzerinden satın alım işlemlerini gerçekleştirmekteyiz.
Satın alma süreçleri, istenildiğinde Geri dönüşüm firmaları ile işbirliği yürütülerek lisanslı ve belgeli olarak yapılmaktadır.
Bilişim Ürünlerinde Kurumsal Satın Alma Platformu
Son yıllarda yaşanan hızlı teknolojik gelişimler nedeniyle özellikle bilgisayar ve server gibi ürünlerin yaşam süreleri kısalmıştır. Bu teknolojik gelişim rüzgarı ile birlikte hızla gelişen ve büyüyen kurumsal firmaların belirli periyotlar ile neredeyse tüm altyapısını oluşturan bilgi teknolojisi ürünlerini yenilemesi gerekliliği oluşmaktadır.
Kurumsal firmaların altyapısını oluşturan sistemin yenilenmesi oldukça zahmetli olmakla birlikte eski sistemlerin de kullanılmaması durumundan kaynaklanan gereksiz stoklar da oluşmaktadır.
İşte bu stoklar ikincielaliyoruz.com ile oluşturduğumuz ikinci el kurumsal alım satım platformu ile kolayca değerlendirilebilmektedir. Firma, kurum veya organizasyonunuzda bulunan kullanmadığınız teknolojik ürünleri iki şekilde değerlendirebiliyoruz;
• Hala kullanılabilir ve piyasa değeri mevcut olan ürünleri yerinde ekspertiz yaparak fiyatlandırıp toplu olarak satın alıyoruz, gerekli bakım ve yenilemeleri yapılan ürünler ise yeniden hayat buluyor.
• Güncel piyasa değeri olmayan ve elektronik atık statüsüne geçmiş ürünlerinizi ise elektronik geri dönüşüm fiyatına göre satın alıyoruz, lisanslı olarak imha ediyoruz.
Her iki durumda da firma bütçesine katkı sağlanmakla birlikte aynı zamanda da kaynakların bilinçli kullanımı ile geri dönüşüme de katkı sağlanmış olmaktadır.
2. El Total Station, Topraklama Cihazları, Spektrometre, GPS ve Dahası..
Şirketinizde kullanılma şansı olmayan çeşitli ikinci el Topraklama cihazlarından total station’a birçok ürünü alıyoruz. Bu sayede hem stoklarınızda yer açılmış olur hem 2. el elektronik cihazları alıcı firmalara satarak","Retail Recyclable Materials & Used Merchandise","11-50 employees","Privately Held","İstanbul, Bayrampaşa","Turkey","ikincielaliyoruz.com","https://www.linkedin.com/company/ikincielaliyoruz"
,"RE-Solutions","Waste management  and recycling services company.
We provide all Services in:
 Waste management
 Recycling Services
 Destructing: E-wast, Expired items, confidential documents","Retail Recyclable Materials & Used Merchandise","11-50 employees","Public Company","Dhahran , Eastern","Saudi Arabia","recycling-s.com","https://www.linkedin.com/company/itsresolution-services-llc"
