"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Innovapptive Inc","Innovapptive is an AI-powered, Mobile-First Connected Worker Platform built for the Office of the COO to drive measurable improvements in safety, reliability, productivity, and cost across asset-intensive industries.

Trusted by 50+ global enterprises, including Indorama, W.R.Grace, Westlake Chemicals, Shell, Hess, Par Pacific, Dominion Energy, Newmont Mining, Kimberly Clark, Airgas, AkzoNobel, UNICEF, and others, Innovapptive helps organizations modernize how frontline work is planned, executed, and governed, at scale.

At its core, Innovapptive unifies Predictions/Sensing, Operations, Maintenance, EHS and Supply Chain teams on a single, patented AI Powered low-code/no-code platform. Frontline workers are equipped with configurable, mobile-first applications for operator rounds, shift handovers, planning, scheduling, work execution, inspections, permits, safety checklists, digital work instructions, and inventory management. Back-office teams gain real-time visibility, intelligent planning, and execution control through integrated planning, scheduling, and analytics.

Unlike traditional point solutions that fragment execution, Innovapptive eliminates silos by connecting work identification, execution, capture, and inventory flows end-to-end. Built-in AI, machine learning, and natural language capabilities reduce decision and action latency by delivering predictive insights and recommendations directly into frontline workflows.

Enterprises no longer have to choose between field data capture tools and mobile EAM or inventory solutions. Innovapptive uniquely delivers the best of both—on one unified platform, enabling faster execution, higher compliance, improved collaboration, reduced downtime, and sustainable cost takeout.

Innovapptive powers modern operations, where execution drives value.","Mobile Computing Software Products","201-500 employees","Privately Held","Houston, Texas","United States","innovapptive.com","https://www.linkedin.com/company/innovapptive-inc"
,"Beem","Beem is America's Wallet! 

Powered by our Purchase Intelligence Platform, Beem has been helping 166M Americans increase their purchasing power as they make 600 purchases per year and contribute over $10 trillion annually towards the US GDP, since 2021.

We are the single logitudinal repository of siloed information for purchases with AI applied to it and an AI Agent market place that continues to expand this repository.

We also help retailers, airlines and convenience stores improve their ATV and Customer Frequency while increasing their margins.

Beem is going after the $600B annual revenue Purchase Intelligence market and be the dominant player in it.","Mobile Computing Software Products","51-200 employees","Privately Held","San Francisco, California","United States","trybeem.com","https://www.linkedin.com/company/trybeemapp"
,"9D Technologies","We’re Pakistan’s largest mobile app company, building powerful, user-focused digital products used by millions.

With AI, data, and creative design, we develop mobile applications that simplify everyday life, improving productivity, communication, wellness, and more.

For us, apps aren’t just products - they’re solutions. We’re shaping the future of smart, scalable, and impactful mobile experiences.","Mobile Computing Software Products","201-500 employees","Privately Held","Rawalpindi, Punjab","Pakistan","9dtechnologies.com","https://www.linkedin.com/company/9d-technologies"
,"GoCanvas","Make your field work easier with GoCanvas. No more piles of paperwork—just smooth job scheduling, dispatch, inspections, work orders, and daily reports, all in one place. GoCanvas keeps you on top of safety and compliance while helping the office and field stay connected. It’s all about getting the job done faster and smarter.","Mobile Computing Software Products","51-200 employees","Public Company","Reston, VA","United States","gocanvas.com","https://www.linkedin.com/company/gocanvas"
,"Bondex","A next-generation on-chain professional network focused on talent, reputation, and economic opportunities.","Mobile Computing Software Products","11-50 employees","Privately Held","Miami, Florida","United States","bondex.app","https://www.linkedin.com/company/bondexapp"
,"Mobile Marketing","Mobile Marketing is all about meeting your customers and users through their entire browsing cycle — from when they first hear about your app, to when they become loyal and regular users.

Through our work we can select the right acquisition channels to use and set up and optimise marketing campaigns towards the client’s objectives. The App Store and Google Play have more in common with e-commerce search than web search. We understand how to optimise across hundreds of keywords at a time while also drilling into the core terms that are critical for your app.

Marketing agency with vast experience in working with startups and mobile apps.

App Store Optimisation
App Store Optimisation is the process of improving an App Store listing on both the Apple App Store and the Google Play Store.

Apple Search Ads
Apple Search Ads promotes your app at the top of the iOS App Store search results, which means you are advertising to users actively searching for an app.

Media Buying
We plan and buy acquisition campaigns across LinkedIn, Twitter, Facebook, Snapchat and TikTok, with the core objective of placing your app in front of your target user groups, all over the world.

Google App Campaigns
Google App Campaigns help you promote your apps across Google inventory including Search, Google Play and YouTube.

Creative Services
Our experienced creatives use strategic storytelling and ASO knowledge to create optimised screenshots for every storefront.

We utilise a methodical and agile development process to ensure quality while keeping costs low and employ a comprehensive data-driven marketing process that allows us to build a niche-relevant user base around your product.

Whether it’s highly targeted mobile-first campaigns, app promotions, or geo-specific out-of-home targeting – We drive awareness, engagement and conversions, across all mobile devices.

Contact us today for all your mobile marketing needs.","Mobile Computing Software Products","11-50 employees","Privately Held","London","United Kingdom","growth.me.uk","https://www.linkedin.com/company/mobile-marketing-agency"
,"IRLY","We're changing the way Gen-Z dates.","Mobile Computing Software Products","11-50 employees","Privately Held","Toronto","Canada","irlyapp.com","https://www.linkedin.com/company/irlyapp"
,"TenSixty AI","Ten Sixty AI is one of the world's most powerful AI video engines for real estate allowing agents, teams and agencies to create jaw dropping cinematic videos from just photos. Plus the ability to use prompts to change anything in the video.","Mobile Computing Software Products","11-50 employees","Privately Held","Melbourne","Australia","tensixty.ai","https://www.linkedin.com/company/tensixty"
,"42Gears","42Gears is a leading, Gartner-recognized Unified Endpoint Management solution provider. 

42Gears' UEM solution, SureMDM, helps secure, monitor, and manage tablets, phones, desktops, wearables, VR, and not-so-smart devices. SureMDM supports Android, iOS, macOS, Linux, and Windows platforms. 42Gears also offers a private mobile app testing platform solution, AstroFarm. 

Founded in 2009, 42Gears today has over 23000+ happy customers spread across 170+ countries around the world. We've successfully deployed 7M+ devices and work with 200+ technology partners worldwide.","Mobile Computing Software Products","201-500 employees","Privately Held","Fremont, California","United States","42gears.com","https://www.linkedin.com/company/42gears"
,"Empower","Empower’s mission is to transform the “Gig Economy” so that hard-working Americans can earn a sustainable living. This transformation begins with the rideshare industry. To do that, Empower has built innovative software that provides the information and tools that drivers need to take control of their financial future and the choices that riders need to safely and affordably get from point A to point B.

Empower is a software company that is disrupting the rideshare industry, not by providing transportation, but by providing software that puts transportation decisions back into the hands of drivers and riders. 

With Empower's software, drivers can set their own rates and receive 100% of what the rider pays. By decentralizing rideshare in this way, Empower enables drivers to build and grow their own business and earn a sustainable living. And riders benefit as well, paying 15-20% less on average and having greater choice over their driver than they do when using a rideshare service like Uber or Lyft. With Empower, both drivers and riders win. 

TOGETHER WE WILL EMPOWER!","Mobile Computing Software Products","11-50 employees","Privately Held","McLean, Virginia","United States","driveempower.com","https://www.linkedin.com/company/rideempower"
