"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Tupuca, LDA","Tupuca is a food delivery service that enables its users to order food through an interactive mobile application that connects its user to multiple restaurants with dozens of food choices, and to share a meal with a non profit through donating.","Mobile Food Services","51-200 employees","Privately Held","Luanda, Luanda","Angola","tupuca.com","https://www.linkedin.com/company/tupuca-da"
,"bofrost*","bofrost* steht seit fast 60 Jahren für erstklassige Qualität, herausragenden Service und vor allem individuelle Beratung. Das 1966 gegründete Familienunternehmen mit Hauptsitz in Straelen am Niederrhein ist heute mit 258 Niederlassungen in 11 europäischen Ländern der europäische Marktführer im Direktvertrieb von Eis- und Tiefkühlspezialitäten. 3,7 Millionen Kunden, davon rund 2 Millionen in Deutschland, wissen die lückenlos geschlossene Tiefkühlkette und die erstklassige Frische, aber auch die Reinheits- und Geschmacksgarantie zu schätzen. Nachhaltigkeit, der verantwortungsvolle Umgang mit den Ressourcen der Natur und soziales Engagement sind wichtige Bestandteile der Firmenphilosophie. 

Seit Unternehmensgründung setzt sich bofrost* für Kinder in Not ein. In den vergangenen Jahren hat das Unternehmen durch das Engagement seiner Kunden und Mitarbeiter verschiedene Projekte für hilfsbedürftige Kinder mit insgesamt über 16 Millionen Euro allein in Deutschland unterstützt. Seit 2016 ist bofrost* Partner der „Stiftung RTL – Wir helfen Kindern e. V.“.","Mobile Food Services","10,001+ employees","Partnership","Straelen, North Rhine-Westphalia","Germany","bofrost.de","https://www.linkedin.com/company/bofrost"
,"Farmy","Farmy is the online-markt for your transparent weekly grocery shopping. We offer a large range of handpicked products from authentic producers.","Mobile Food Services","51-200 employees","Public Company","Altstetten, schweiz","Switzerland","farmy.ch","https://www.linkedin.com/company/farmy-ch"
,"YooKatale","YooKatale is a mobile food market for selling, buying and advertising food products and services in Uganda, Africa. 

We offer our services to homes and commercial 
clients.

Mission: To make food accessible everywhere. 
Vision : To connect people & communities to healthy  food anywhere.  
 
Core values 
Focus on the customer. 
Respect everyone. 
 Simplify everything.  
Be authentic & curious.  
Respect opportunities.  
Never give up.  

Work Culture
We are a hybrid company that integrates both physical and digital technology solutions to uplift & solve everyday problems in society.  

 Hybrid organizational structure.
 Yookatale's culture can be described as having a hierarchical structure, where the focus is on being customer-centric first, placing employees second, and considering stakeholders as the final priority. This approach emphasizes the importance of prioritizing customer needs and satisfaction, followed by ensuring the well-being and engagement of employees, and finally, considering the interests of stakeholders in the decision-making process. This hierarchy reflects a strategic alignment towards delivering value to customers, fostering a positive work environment for employees, and maintaining relationships with stakeholders to support the overall success of the organization.","Mobile Food Services","201-500 employees","Privately Held","Naguru","Uganda","yookatale.app","https://www.linkedin.com/company/yookatale"
,"Tuk Took Bites","Tuk Took is a young Colorado-based company making Indian food more accessible to North American consumers.

Our mission is to free the naan and to bring fresh, healthy Indian food options to more households in the region.

Our flagship grocery flagship products include Tuk Took’s original naan, naan pizza, samosas, curry pastes/sauces, and wraps. 
 
Our flagship restaurant products include Tuk Took’s Ayurvedic power grain salads, smoothies, bowls (butter chicken, saag paneer), and the ever-refreshing mango lassi.

Tuk Took is named after the legendary 3-wheeled vehicle (also known as a tuk-tuk or rickshaw) found throughout Asia.","Mobile Food Services","2-10 employees","Privately Held","Denver, Colorado","United States","tuktook.com","https://www.linkedin.com/company/tuk-took"
,"Yindii","Our mission is to help food businesses in Asia thrive to become more profitable by embracing sustainability through food waste reduction. Our food surplus app connects a community of eco-friendly businesses and consumers with a strong win-win model. Businesses make revenues instead of losses, get discovered by new customers and grow long lasting relationship. Conscious consumers can enjoy quality food at affordable price while discovering new brand and food.

Recognition
Tech Impact Company of the Year 2024 by Revive Tech Asia 
Tech Entrepreneur of the Year 2025 at Tech Award Asia 
Apple ""App of the Day"" in the App Store
Creative Social Impact Award by the Creative Economy Agency (CEA) 
Winner of the ASEAN ESG Business Model Competition
Finalist of Win Win War TV Show (Shark Tank for sustainability innovation)
Winner of the Innovation Challenge of Thailand Tourism Forum","Mobile Food Services","11-50 employees","Privately Held","Singapore River, Central Singapore Community Development Council","Singapore","yindii.co","https://www.linkedin.com/company/yindii"
,"Kona Ice","Kona Ice is dedicated to providing a unique experience, spreading fun, and creating smiles while giving back to our local communities. From our one-of-a-kind Flavorwave to our giveback of over $180 million, we strive to grow more each day. 

For information about starting your own Kona franchise, please visit us at https://www.ownakona.com/number-1-food-truck

Connect with us!
Facebook: https://www.facebook.com/konaiceexperience 
Instagram: https://www.instagram.com/konaice/ 
Twitter: https://twitter.com/KONAICE  
YouTube: https://www.youtube.com/user/KonaIceExperience","Mobile Food Services","1,001-5,000 employees","Privately Held","Florence, KY","United States","kona-ice.com","https://www.linkedin.com/company/kona-ice"
,"Sendme(YC W22)","Founded in 2020 in the ancient city of Ibadan, we are the fastest-growing food technology company in Nigeria. 

Sendme is using social commerce and artificial intelligence to meet the animal protein demands of Nigerian households and businesses at excellent prices.


We do not just sell animal protein, we are passionate about redefining the food experience because we believe that food should not be merely perceived as a means to satisfy hunger, rather, it is relished, appreciated, and celebrated for its unique taste and culture.

We are driven by a zeal to “go for more”. Therefore, we are committed to leveraging our strengths in technology to model a seamless and effective system that ensures quality and efficiency.","Mobile Food Services","201-500 employees","Privately Held","Ibadan, Oyo","Nigeria","sendme.ng","https://www.linkedin.com/company/sendme-ng"
,"Nyama Catering","Nyama Catering is a one-stop shop for all your event needs. We have done more than 14 000 events since 2006. Whether your party is for 15 or 5000 people, inside or outside, we proudly provide traditional South African food for all your occasions. We also have a DJ, mobile bar, photo booth and photographer/videographer. 

We specialize in the following traditional South African food:

-	Lamb Spitbraai
-	Pork Spitbraai
-	Ox Spitbraai
-	Mini Spitbraai
-	Braai
-	Full House Breakfast
-	Buffets
-	Potjiekos
-	Burgers 

We are passionate about creating stylish & mouth-watering events to a somewhat unhealthy extent. 
Our food is addictive, our service is unparalleled, and our commitment to perfection guarantees your function's success.","Mobile Food Services","51-200 employees","Self Owned","City of Tshwane, Gauteng","South Africa","nyama.co.za","https://www.linkedin.com/company/nyamacatering"
,"Bringmeister","Since 1997, Bringmeister is Germany's online supermarket for hundred thousands of private and business customers. Bringmeister is the trusted solution for weekly grocery shopping with an assortment of 20.000 articles, flexible same-day delivery and convenient online returns. 

Bringmeister is growing quickly. For the upcoming challenges, we are always looking for talents to deliver the best e-grocery experience for our customers. Are you interested in joining the team of almost 500 motivated Bringmeisters in Analytics, Category Management, Marketing, Operations, Product, Engineering or any of our further functions?

Please see the job openings for frequently updated job opportunities or follow us on LinkedIn for updates.","Mobile Food Services","201-500 employees","Public Company","Berlin, Berlin","Germany","bringmeister.de","https://www.linkedin.com/company/bringmeister-gmbh"
