"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"DraftKings Inc.","It's simple, we believe life is more fun when you're in on the action. For that reason, we’re committed to responsibly creating the world’s favorite games and betting experiences.

At DraftKings, The Crown Is Yours. 

We are driven by the thrill of the future and the pull of possibility. As an original, continuous gamechanger, we’re shaping the present and future of sports entertainment and digital experiences, leading the way into new markets with new products, and providing the ultimate experience to our customers. 

Here, we believe in the power and impact that comes from innovation, collaboration, and a winning culture. We’re a strong and dedicated global team of 4,000+ teammates driven to achieve great things. From your very first day, you’ll be part of an amazing culture that welcomes your ideas, champions your growth, and values you for you. 

Ready to own what’s next?","Mobile Gaming Apps","1,001-5,000 employees","Public Company","Boston, Massachusetts","United States","draftkings.com","https://www.linkedin.com/company/draftkings-inc-"
,"Wildlife Studios","Wildlife is a leading mobile gaming company based in São Paulo, Brazil. Our games have been downloaded over 4.5 billion times globally and we are one of the top mobile game developers and publishers in the world. Wildlife's portfolio includes hit games such as Racing Penguin, Bike Race, Sniper 3d, Zooba, Tennis Clash, War Machines, Color by Number & Midas Merge.  

Global, diversified, and backed by top-tier investment firms, our 500+ employees are located in our offices in Brazil, the United States and Helsinki.

We believe in games that are free-to-play and played on smartphones – the largest and fastest growing platform. 

Join us on our journey to create unforgettable gaming experiences. Discover more about our projects, company culture, and career opportunities on our website.","Mobile Gaming Apps","501-1,000 employees","Privately Held","São Paulo, São Paulo","Brazil","wildlifestudios.com","https://www.linkedin.com/company/wildlife-studios"
,"Rooter.gg","We are building a category-defining platform at the intersection of mobile gaming and creator-led commerce in India. With a compelling dual-platform model — our foundation in Game streaming and our recently launched in-game purchase marketplace — we boast 85 Mn+ registered users spending 20 mins every day on the platform. Today, we are building one of the most robust Gaming ecosystems in the country - connecting ardent Gamers, passionate creators, esports professionals, brands, and gaming publishers with each other. In the course of our journey, we've raised USD 37 Mn in primary capital from a marquee investor base spread across India, US, Europe, and Southeast Asia.","Mobile Gaming Apps","51-200 employees","Privately Held","New Delhi, Delhi","India","rooter.gg","https://www.linkedin.com/company/hello-rooter"
,"Funsol Technologies (Pvt). Ltd","Quality Content Creators in Mobile Gaming & Mobile Apps | More than 500M users around the globe | Innovative Technologies Hub | Dynamic organisational structure & career growth for tech potential around the town.","Mobile Gaming Apps","201-500 employees","Privately Held","Islamabad, Federal","Pakistan","funsoltech.com","https://www.linkedin.com/company/funsol-technologies"
,"Tamatem Games","Tamatem is the leading mobile games publisher in the Arabic speaking market. We partner with international studios and developers, to localize and make their games culturally relevant for the Arab gamer.

Our experience in localization, user acquisition, distribution, cross-promotion, monetization, community, support and whales management we can help get your game on the top of charts, increase revenue and ensure its success in the Arabic market. Whether you are looking to publish a newly successful international game or trying to revive an old hit title, Tamatem is your best partner. We focus on publishing MMO-RPG, strategy, builder, mid-core, SLG, puzzle and trivia games.

Tamatem has published over 50 games on both iOS and Android with over 150M downloads. Tamatem is a 500 Startups and Endeavor company with offices in Amman, Jordan.","Mobile Gaming Apps","51-200 employees","Privately Held","Amman","Jordan","tamatem.co","https://www.linkedin.com/company/tamatem-inc-"
,"Head Digital Works","We are one of India's oldest online skill-gaming companies that develop and operate zeal-driven applications for online gaming enthusiasts. With over 80 million users and multiple brand verticals like A23 Rummy, A23 Poker, and Adda52, Head Digital Works has come a long way in the past 19 years. What started from a small garage in 2006 with nothing but a dream - ""To become India's leading online gaming platform"" has now turned into one of the premier skilled-gaming companies in India.

We're a diverse group of thinkers and doers who are reimagining what's possible to make it easier for all of us to do what we love in new ways.","Mobile Gaming Apps","501-1,000 employees","Privately Held","Hyderabad, AP","India","hdworks.in","https://www.linkedin.com/company/head-digital-works-pvt-ltd"
,"Homa","Homa is a gaming technology lab that gives game creators the data-driven tools and human expertise needed to turn their creative ideas into commercial hits. By smashing the odds with data, Homa is the cheat code supercharging developer fortunes. It’s a full-on game changer for game makers.","Mobile Gaming Apps","201-500 employees","Privately Held","Paris, Ile-de-France","France","homagames.com","https://www.linkedin.com/company/homa-games"
,"CrazyLabs","Welcome to the official CrazyLabs page! If you’ve ever lost track of time playing a mobile game, there’s a statistically high chance we’re the ones to blame . 


CrazyLabs is a top casual and hybrid-casual mobile games developer and publisher, with over 7 billion downloads and over 10 years of experience.

We are a team of a unique blend of 30+ nationalities, working together and being truly connected. And all of us believe that if we aren’t having fun making it, you won't have fun playing it.

Join the lab, follow the page for behind the scenes of our Crazy world.","Mobile Gaming Apps","201-500 employees","Privately Held","Tel Aviv, Israel","Israel","crazylabs.com","https://www.linkedin.com/company/crazylabs"
,"Nordeus","Let’s travel back to 2010 for a minute. Nordeus started with three friends, who came back from Copenhagen to make their childhood dreams come true in Serbia. They combined their love for football and gaming, and Nordeus was born. But let’s fast forward to today, with more than 280 individually amazing people working at Nordeus, powering mobile sports games enjoyed by players in every country on Earth. 

Football management is all about love and passion for football. Our game Top Eleven, launched in 2010, lets you create and manage your club to compete against opponents worldwide. With over 300 million registered users today, it's the most successful mobile football management game.

Thanks to the proven decade-long success with Top Eleven, we took Golf Rival under our wing as part of Take-Two Interactive Software and Zynga companies.

When we are not scoring goals on the football pitch or delivering the next big 3D update in Top Eleven,  we are creating a better future for generations to come.
Nordeus Foundation, launched in 2021, is focused on helping children acquire skills and knowledge needed to win in the digital economy by supporting education in Serbia and developing a stimulating and creative environment.

On a mission to drive digital innovation in Serbia and put the country on the global gaming map, we co-founded non-government organizations to help usher in the next generation of tech-first entrepreneurs and gaming enthusiasts:
- Digital Serbia Initiative - with the strategic goal of developing a strong, globally competitive digital economy
- Serbian Games Association - to support Serbia’s video games sector’s growth and enhance its ability to compete globally.

In short, we are part of something bigger than a job. 

If you want to experience the unique feeling of directly creating and impacting sports mobile games that touch lives of millions worldwide, you know what to do- join us!","Mobile Gaming Apps","201-500 employees","Public Company","Belgrade, Serbia","Serbia","nordeus.com","https://www.linkedin.com/company/nordeus"
,"High 5 Games","High 5 Games is laser-focused on making an impression through innovative casino content for the land-based, mobile, online, and social markets. With a collection of over 500 casino slot games, its own full casino platforms, and a strong history of entertaining players, the casino technology company is highly respected in the B2C and B2B social and online gaming worlds. H5G holds licenses and game certifications in multiple jurisdictions around the globe.

H5G’s world-renowned and fast-expanding slot games portfolio has grown to over 500+ diverse games. The H5G software offers dynamic and distinct styles players cannot resist. Each game is designed to offer a unique experience to the gamer, taking the production to the next level with every newly released game. H5G has become the industry’s leading content provider with its classic games and continuing production of slot titles with unique experiences. 

H5G also operates High 5 Casino, the premier destination for the most robust and largest slot content library in the social casino category with nearly 17 million players worldwide. In 2012, the social casino app launched with only 30 slots. It has since become an extremely popular game with over 400+ slots for players to browse and play. In 2020, High 5 Casino expanded its reach, with the company launching the app into the real-money market. The in-house casino platform will feature a full list of the company’s original games, as well as integrating popular promotions, third-party games from well-known content providers, and a one-of-a-kind experience.
 
To find out more about High 5 Games, please visit www.high5games.com or contact Sales@high5games.com. 

Regulated by Malta Gaming Authority under licence number MGA/B2B/545/2018

Gambling can be addictive - Play responsibly - 18+/21+ (U.S)","Mobile Gaming Apps","51-200 employees","Privately Held","Mahwah, New Jersey","United States","high5games.com","https://www.linkedin.com/company/high-5-games"
