"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Sony Pictures Animation","Sony Pictures Animation produces a variety of animated entertainment for audiences around the world. The studio is currently in production on ""Spider-Man: Beyond the Spider-Verse,"" the highly-anticipated conclusion to the Spider-Verse trilogy, which began with 2018's Academy Award-winning ""Spider-Man: Into the Spider-Verse.""

The studio's additional upcoming feature films include ""GOAT,"" an original animated sports comedy from producer Stephen Curry's Unanimous Media, and the tentatively-titled ""K-Pop: Demon Hunters,"" a musical action adventure set against the backdrop of the most popular music movement of this generation.

The division is also behind the visually-groundbreaking and critically-acclaimed ""The Mitchells vs. The Machines,"" the hit film series ""Cloudy with a Chance of Meatballs,"" and the beloved monster franchise ""Hotel Transylvania,"" which will continue its story with the studio's upcoming ""Motel Transylvania"" series.

Sony Pictures Animation, which was founded in 2002, is a division of the Sony Pictures Motion Pictures Group for Sony Pictures Entertainment, a subsidiary of the Tokyo-based Sony Group Corporation.

•	Facebook: https://www.facebook.com/SonyPicturesAnimation
•	Twitter: https://twitter.com/SonyAnimRecruit
•	YouTube: http://www.youtube.com/user/SonyAnimation

To send in a general application, please fill out this Express Future Interest Form and we will be in touch if we find a suitable fit: https://bit.ly/4akxrp3","Movies and Sound Recording","51-200 employees","Public Company","Culver City, California","United States","sonypicturesanimation.com","https://www.linkedin.com/company/sony-pictures-animation"
,"Blender","The Blender Foundation is an independent public benefit organization. Its spin-off corporation Blender Institute hosts the foundation’s offices and currently employs 50 people who work on the Blender software and creative projects to validate and test Blender in production environments.","Movies and Sound Recording","11-50 employees","Privately Held","Amsterdam","Netherlands","blender.org","https://www.linkedin.com/company/blender-org"
,"Sundance Institute","Sundance Institute is a nonprofit organization dedicated to the discovery and development of independent artists and audiences. Through its programs, the Institute seeks to discover, support, and inspire independent film and theatre artists from the United States and around the world, and to introduce audiences to their new work.

All official communications from Sundance Institute, including those related to employment and professional opportunities, will only come from an email address ending in @sundance.org or from our official recruitment platform, ClearCompany Talent Management. Sundance Institute will never request credit card details, ask you to make a purchase with the promise of reimbursement, solicit funds in any form relating to job opportunities, or ask for resumes or other personally identifiable information outside of established and valid communication methods.","Movies and Sound Recording","51-200 employees","Non Profit","Park City, Utah","United States","sundance.org","https://www.linkedin.com/company/sundanceorg"
,"Diamond","Diamond brings ideas to life, inspiring culture through the power of intellect and creativity.","Movies and Sound Recording","51-200 employees","Privately Held","Las Vegas, Nevada","United States","diamond.llc","https://www.linkedin.com/company/diamond"
,"Cineplanet","Somos Cineplanet, una empresa peruana que nació en 1999.  Somos la cadena de cines número uno del país conformada por más de 2,800 colaboradores y 36 cines a nivel nacional.
 
Nuestro compromiso es contribuir a nuestra sociedad llevando un sano entretenimiento a más hogares peruanos y con una visión clara ""Impactar positivamente en la vida de las personas y la sociedad"".

Nuestros valores son:
1. Centrados en el cliente
2. Íntegros y transparentes
3. Naturalmente innovadores
4. Equipo
5. Muy determinados
6. Apasionados por nuestra gente

Si quieres ""Transformar un día común en historias extraordinarias"" sé parte de nuestra familia.","Movies and Sound Recording","1,001-5,000 employees","Privately Held","Lima, Lima","Peru","cineplanet.com.pe","https://www.linkedin.com/company/cineplanet"
,"Festival de Cannes","Le Festival de Cannes est aujourd’hui le rassemblement cinématographique le plus prestigieux et l’événement culturel le plus médiatisé au monde.

The Festival de Cannes is now the world’s most prestigious film gathering, as well as its most widely publicised cultural event.","Movies and Sound Recording","11-50 employees","Public Company","Paris, Île-de-France","France","festival-cannes.com","https://www.linkedin.com/company/festival-de-cannes"
,"Cinesite","Superheroes, fantastic beasts, dinosaurs of the 21st century, and galaxies undiscovered. Cinesite is an award-winning digital entertainment studio with 30 years of experience and work on hundreds of film, TV and streaming productions. Our visual effects and animation teams breathe life into filmmakers’ visions. 

Alongside our skilled artists and engineers, we work closely with filmmakers and studios to achieve the impossible, whether through complex visual effects or conceiving and realising entire animated films. We tinker, mold, and craft to blow things out of the water - sometimes literally.  We make this magic happen from our studios in London, Montreal and Vancouver.
--
Super-héros, bêtes fantastiques, dinosaures du XXIe siècle et galaxies méconnues. Cinesite est un studio de contenu numérique de divertissement récompensé avec plus de 30 ans d’expérience et ayant travaillé sur des centaines de films, des productions télévisuelles et issues de plateformes de partage. Nos équipes d’effets visuels et d’animation donnent vie aux visions des réalisateurs. Nos talentueux artistes travaillent en étroite collaboration avec les réalisateurs et les studios afin de créer l’impossible grâce à de complexes effets visuels ou en concevant et réalisant des films d’animation.

Nous bricolons, formons et façonnons afin de faire surgir des éléments hors de l’eau – parfois de façon littérale.  Nous faisons opérer la magie depuis nos studios de Londres, Montréal et Vancouver.","Movies and Sound Recording","501-1,000 employees","Privately Held","London, London","United Kingdom","cinesite.com","https://www.linkedin.com/company/cinesite"
,"Berlin International Film Festival (Berlinale)","The Berlinale is a unique place of artistic exploration and entertainment. It is one of the largest public film festivals in the world, attracting tens of thousands of visitors from around the globe each year. For the film industry and the media, the eleven days in February are also one of the most important events in the annual calendar and an indispensable trading forum.

The Berlin International Film Festival enjoys an eventful history. The festival was created for the Berlin public in 1951, at the beginning of the Cold War, as a “showcase of the free world”. Shaped by the turbulent post-war period and the unique situation of a divided city, the Berlinale has developed into a place of intercultural exchange and a platform for the critical cinematic exploration of social issues. To this day it is considered the most political of all the major film festivals.

The Berlinale brings the big stars of international cinema to Berlin and discovers new talents. It accompanies filmmakers of all disciplines on their paths into the spotlight and supports careers, projects, dreams, and visions. Thanks to its numerous industry initiatives, the Berlinale is a significant driver of innovation and an important economic factor internationally as well as for companies in Germany and Berlin. 

Website: https://www.berlinale.de/en/home.html
Imprint: https://www.berlinale.de/de/impressum.html
Privacy Policy: https://www.kbb.eu/en/datenschutz","Movies and Sound Recording","201-500 employees","Self Employed","Berlin, Berlin","Germany","berlinale.de","https://www.linkedin.com/company/berlinale"
,"Conspiração Filmes","Com 10 indicações ao Emmy International, a Conspiração é a produtora independente na América Latina, com maior número de indicações a premiação e vencedora da categoria Melhor Comédia com ""A Mulher Invisível"". É coprodutora do vencedor do Oscar de Melhor Filme Internacional e Globo de Ouro de Melhor Atriz - Drama, além de maior bilheteria pós pandemia do Brasil ""Ainda Estou Aqui"". É realizadora de séries de sucesso como ""FIM"" (Globoplay), ""Sob Pressão"" (TV Globo), ""DOM"" (Prime Video), ""Anitta: Made in Honório"" (Netflix), ""Detetives do Prédio Azul"" (Gloob) e ""1 Contra Todos"" (Fox), além de séries de não-ficção como ""Viajando com Os Gil"" (Prime Video), ""Angélica: 50 & Tanto"" (Globoplay) e ""Se Eu Fosse Luísa Sonza"" (Netflix).

No cinema, participou de festivais renomados como Cannes, Berlim, Sundance, Veneza e Toronto, e responsável por sucessos de bilheteria como ""Eu Tu Eles"" (Menção especial de Un Certain Regard), ""2 Filhos de Francisco"" - ambos indicações oficiais do Brasil ao Oscar de Melhor Filme Estrangeiro -, ""Vai Que Cola"", ""O Auto da Compadecida 2"" e ""Vitória"". Atualmente, trabalha em novos títulos, incluindo ""Detetives do Prédio Azul 4 - O Fantástico Reino de Ondion"", ""Velhos Bandidos"" e “Bajo Presión"", adaptação do ""Sob Pressão"" no México.","Movies and Sound Recording","51-200 employees","Privately Held","Rio de Janeiro, RJ","Brazil","vagas.com.br","https://www.linkedin.com/company/conspiracao-filmes"
,"Rising Sun Pictures","ABOUT RISING SUN PICTURES (RSP)

For over three decades, RSP has been delighting and inspiring audiences worldwide, by creating some of Hollywood’s most memorable screen moments. 

Its Adelaide studio is home to more than 200 exceptional crew who enjoy the advantage of its head office being located in one of the world’s most liveable cities. Its sterling reputation cemented by its creative leadership has made it a trusted partner for studios and filmmakers worldwide. 

Focusing on producing only the highest quality and innovative solutions, RSP has an extremely flexible, custom pipeline, which allows the company to scale up quickly and adjust its workflow to meet the needs of clients and audiences’ demand for evermore spectacular visuals. 

RSP is dedicated to developing the next generation of VFX artists through its unique accredited training program, delivered in partnership with the UniSA. 
#RSPVFX

OUR CULTURE

RSP is a collective of like-minded individuals who are passionate about creativity and are known for delivering great work. What’s more, we like to have a bit of fun! Whether it be Friday night drinks, a bit of cosplay in the office, celebrating at the cinema, or heading out for a night on the town to one of the many festivals in our beautiful city.

We strive to create a space for our culture to thrive, with a happy, productive team who understand the importance of culture and community. We love to spend time with our family and friends and strive for sustainable work practices. That doesn’t mean that we don’t work hard, because we do; but we do so, within a defined set of expectations, especially in an industry that can often be unpredictable. We have an open, honest, transparent workplace with personable and approachable staff.","Movies and Sound Recording","201-500 employees","Privately Held","Adelaide, South Australia","Australia","rsp.com.au","https://www.linkedin.com/company/rising-sun-pictures"
,"THE THIRD FLOOR Inc.","THE THIRD FLOOR is a visualization studio dedicated to supporting the production of next-generation The company's artists collaborate with directors, producers and key crew to create media content for virtual reality experiences, shows, commercials, video games, and themed attractions. They use specialized skills to produce high-quality content. storytelling and computer animation to create digital versions of shots and scenes to streamline physical production and post. 

Since its founding in 2004, the company has contributed to breakthrough projects from Avatar to Gravity.  Recent credits include Rogue One: A Star Wars Story, Doctor Strange, The Jungle Book, Captain America: Civil War and Game of Thrones.   THE THIRD FLOOR has received three Emmy Awards, as well as awards from the Visual Effects Society, the Themed Entertainment Association, Hollywood Post Alliance and SIGGRAPH.  For further information and credits, visit thethirdfloorinc.com.

THE THIRD FLOOR is proud to be Certified as a Great Place to Work by the Great Place to Work Institute! You can visualize a career here by visiting our careers page: thethirdfloorinc.com/careers/

Please protect yourself from job scams and fraud

Beware of hiring frauds. Do not provide your personal information or documents if you are unsure of the authenticity of a communication. There are individuals who are falsely claiming to represent The Third Floor (including impersonating and falsely using the names of current and past Third Floor employees) and contacting candidates with fake job offers, fake documents, and seeking personal information as well as payments. 

We will never ask you to pay money during the recruitment process. DO NOT PAY/WIRE ANY MONEY. Please see our website https://thethirdfloorinc.com/careers/  for more details and please report any suspicious e-mail/activity to legal@thethirdfloorinc.com","Movies and Sound Recording","201-500 employees","Privately Held","Los Angeles, California","United States","thethirdfloorinc.com","https://www.linkedin.com/company/the-third-floor-inc-"
,"National Film Development Corporation (NFDC)","The National Film Development Corporation aims at fostering excellence through cinema and strives to effectively promote Indian cinema and the diversity of its culture internationally. It aims to create domestic and global appreciation of independent Indian cinema.
 
The corporation supports and encourages films made in various languages to develop talent and to facilitate the growth of Indian cinema in all languages through productions and co-productions, script development and need based workshops.
 
NFDC is actively co-producing projects involving public-private partnerships and facilitating line production services of shooting in India and animation services of overseas clients.","Movies and Sound Recording","201-500 employees","Government Agency","Mumbai, Maharashtra","India","nfdcindia.com","https://www.linkedin.com/company/nfdcindia"
,"Fabula Productions","In 2004, Pablo and Juan de Dios Larraín created Fabula, a film and advertising producer. We have produced 25 films, one TV Series and more than 500 national and internationals commercials. We are a great multidisciplinary team that works together to transform ideas and projects into quality productions.","Movies and Sound Recording","51-200 employees","Privately Held","Las Condes, Santiago Metropolitan Region","Chile","fabula.cl","https://www.linkedin.com/company/fabula-prod"
,"Porta dos Fundos","Porta dos Fundos is a creative collective founded in 2012 by Antonio Tabet, Fábio Porchat, Gregorio Duvivier, João Vicente de Castro and Ian SBF. What began unpretentiously, with a group of friends in search of creative freedom, is now a consolidated film production company, winner of the International Emmy Award for Best Comedy in 2019, for the Christmas Special made for Netflix.

It is one of the top YouTube channels in Brazil, surpassing 8 billion views and 17 million subscribers. In April 2019, it also arrived in Mexico, already with over 4 million subscribers.

Porta dos Fundos has become a reference in multiplatform entertainment, operating in series, movies, branded content, among other productions, establishing partnerships with TV channels and streaming platforms.

Among the productions created today are the late show “Greg News”, which is in its 6th season on HBO Brazil, the GNT and Globo hit ""Que História É Essa, Porchat?"", besided the series ""Men?"" and “Harina”, available on Amazon Prime Video.

In 2017, Porta dos Fundos became part of Paramount (formerly ViacomCBS) – entertainment group that includes MTV, Nickelodeon and Comedy Central. In 2020, it brought to the market the Porta dos Outros project, that offers consultancy for companies wishing to become content publishers and boost their own digital channels.","Movies and Sound Recording","51-200 employees","Partnership","Rio de Janeiro, Rio de Janeiro","Brazil","portadosfundos.com.br","https://www.linkedin.com/company/porta-dos-fundos"
,"Dwarf Animation Studio","Dwarf Animation is a place of convergence between cutting-edge technology and traditional medium to design computer animation films.
At Dwarf we innovate in the art of storytelling by pushing the boundaries on inventing immersive and believable worlds. 
We are fostering a philosophy that bring together artists and technologists in a creative, innovative yet collaborative environment.","Movies and Sound Recording","51-200 employees","Privately Held","Pérols, Occitanie","France","dwarfanimation.com","https://www.linkedin.com/company/dwarfanimationstudio"
,"Pathé Films","Chaque année, Pathé produit et distribue une douzaine de films qui font battre le cœur des spectateurs.","Movies and Sound Recording","51-200 employees","Self Owned","Paris, Île-de-France","France","pathefilms.com","https://www.linkedin.com/company/pathé-films"
,"Vitrine Filmes","A Vitrine Filmes, em dez anos de atuação, já distribuiu mais de 160 filmes e alcançou mais de 4 milhões de espectadores. Entre seus maiores sucessos estão 'O Som ao Redor', 'Aquarius'; e 'Bacurau' de Kleber Mendonça Filho e Juliano Dornelles. Outros destaques são 'A Vida Invisível', de Karim Aïnouz, representante brasileiro do Oscar 2020, 'Hoje Eu Quero Voltar Sozinho', de Daniel Ribeiro, e 'O Filme da Minha Vida', de Selton Mello. Entre os documentários, a distribuidora lançou 'Divinas Divas', dirigido por Leandra Leal e 'O Processo', de Maria Augusta Ramos, que entrou para a lista dos 10 documentários mais vistos da história do cinema nacional. 

Além do cinema nacional, a Vitrine Filmes vem expandindo o seu catálogo internacional ao longo dos anos, tendo sido responsável pelo lançamento dos sucessos “O Farol”, de Robert Eggers, indicado ao Oscar de Melhor Fotografia; “Você Não Estava Aqui”, dirigido por Ken Loach, e premiado com o Oscar de Melhor Filme Internacional 2021: 'DRUK - Mais uma rodada', de Thomas Vinterberg.

Em 2021, a Vitrine Filmes apresenta mais novidades, começando a atuar diretamente na produção audiovisual e também na capacitação de profissionais, com o programa de formação Vitrine Lab. Entre as estreias deste ano estão a Sessão Vitrine edição especial de 10 anos com lançamento coletivo de quatro longas, entre eles ""A Torre"", de Sérgio Borges, ""Entre Nós, um Segredo"", de Beatriz Seigner e Toumani Kouyaté, ""Chão"", de Camila Freitas e ""Desvio"", de Arthur Lins; o novo documentário sobre o impeachment da Dilma, ""Alvorada"", de Anna Muylaert e Lô Politi; “First Cow”, da diretora Kelly Reichardt e os títulos que estiveram em Cannes como, ""Slalom - Até o limite"" de Charlène Favier, ""Edifício Gagarine"", de Fanny Liatard e Jérémy e ""O Empregado e o Patrão"" de Manuel Nieto Zas que faz parte da nova edição do selo Sessão Vitrine.","Movies and Sound Recording","11-50 employees","Privately Held","São Paulo, São Paulo","Brazil","vitrinefilmes.com.br","https://www.linkedin.com/company/vitrine-filmes"
,"UNIT IMAGE","Unit Image is a Paris Based Creative studio.
We specialise in 3d animation & visual FX for commercial, music video, and shorts films.

Our culture and experience regarding animation and graphic design allow us to go through all the processes involved in a project.","Movies and Sound Recording","51-200 employees","Privately Held","Paris, Île-de-France","France","unit-image.fr","https://www.linkedin.com/company/unit-image"
,"Lucky Red","Fondata nel 1987 da Andrea Occhipinti, Lucky Red è oggi la prima distribuzione indipendente italiana in termini di Box Office e admissions. 
La distribuzione ha sempre rappresentato il core business della Società, ma Lucky Red è oggi impegnata anche nella produzione di contenuti per il cinema e non solo.
La Società è attiva in ogni fase del mercato, essendo coinvolta direttamente anche nel settore dell’esercizio cinematografico con Circuito Cinema e delle vendite internazionali con True Colours.
Lucky Red è oggi una realtà solida e affidabile, riconosciuta a livello internazionale, sia nella produzione che nella distribuzione, con una forte identità costruita in 30 anni di attività.","Movies and Sound Recording","11-50 employees","Privately Held","Rome","Italy","luckyred.it","https://www.linkedin.com/company/lucky-red"
,"Pathé","Au premier rang du cinéma européen, Pathé est présent dans les différents métiers de la production (France, Royaume-Uni), de la distribution (France, Royaume-Uni, Suisse), et de l’exploitation de salles (France, Pays-Bas, Suisse, Belgique, Tunisie, Sénégal).
En 2022, Pathé a réalisé un chiffre d’affaires de 845 millions d’euros et employait, à la fin 2022, plus de 2 800 personnes dans six pays.


Films
Pathé est l’un des principaux producteurs et distributeurs européens de films de cinéma.
S’appuyant sur la richesse de son histoire, la société commercialise un important catalogue de films dont le fonds s’enrichit constamment de nouvelles productions et acquisitions. Le catalogue est également préservé avec des restaurations d’une haute qualité.


Cinémas
Pathé Cinémas poursuit une modernisation permanente de ses cinémas couplée à une recherche constante d’innovations. Cette montée en gamme s’appuie sur 4 axes :
– Une politique active de création, de reconstruction et de rénovation des cinémas
– Des technologies de projections innovantes
– Des services performants pour un parcours client agréable
– Des équipes au service des clients","Movies and Sound Recording","1,001-5,000 employees","Self Owned","Paris, Île-de-France","France","pathe.com","https://www.linkedin.com/company/pathé"
,"BRON","BRON Media Corp. (“BRON”) is the parent to two main operating hubs – BRON Studios and BRON Digital. Co-founded in 2010 by Aaron L. Gilbert and Brenda Gilbert, BRON is the prolific and award-winning studio behind some of the most high-profile films of the last decade, in both the independent and studio worlds. BRON has produced or executive produced more than 125 productions, and BRON companies have received hundreds of honors including 38 Academy Awards nominations (6 wins), 39 BAFTA Awards nominations, and more than 250 Film Festival Award nominations. BRON is well known for many culture-shifting and history-making productions over the years and the Company’s focus is on live-action and animated film and television production, leaning in heavily with interactive gaming, music, and culture.

BRON Studios | BRON’s creative team develops and produces live-action scripted and nonscripted film and series television content for global release including a direct-to-consumer model. BRON works with some of the industry’s top creators, filmmakers, and on-screen talent, leveraging its relationships across the film, television, music, and fashion space to build community-led content offerings. BRON has been a financial backer, back-office studio, and co-producing partner to some of the most notable start-up production companies, such as Kid Cudi’s Mad Solar, the team behind HBO’s EUPHORIA and HBO’s THE IDOL (starring the Weeknd), Apple’s BLACK BIRD and Focus’ TAR, Apple’s THE MORNING SHOW, and A24’s X.

BRON Digital | BRON Digital is a state-of-the-art virtual production company that uses Epic Games’ Unreal Engine at its core. We provide a comprehensive breakdown and development of IPs – matching them with the appropriate virtual production tools (motion capture, digital facial performance, and real-time shot production, etc.) to provide a seamless journey for creatives into the digital future across a variety of mediums and platforms.","Movies and Sound Recording","11-50 employees","Privately Held","Vancouver, British Columbia","Canada","bronstudios.com","https://www.linkedin.com/company/bron-studios"
,"Vetor Zero","A pioneer studio in computer graphics in the Brazilian advertising production industry.
 
We believe that staying at the verge of audiovisual production – thanks to our restless spirit constantly looking for new technologies, styles and languages – is what gives us the foundations to help countless creative minds to turn their visions into reality, as we have done in the past thirdy years.

We work and develop with motion design, illustration, 2D animation, 3D, stop motion and live action for all kinds of media, and when the next amazing technique comes we will be ready to put it on behalf of our partners and their stories.","Movies and Sound Recording","51-200 employees","Privately Held","São Paulo, São Paulo","Brazil","vetorzero.com.br","https://www.linkedin.com/company/vetor-zero"
,"France tv distribution","France tv distribution works with producers and licensors to maximise revenues from their programmes across all media platforms.
Since January 2017, France tv distribution has gone hand in hand with distributing films abroad. As a major player on the distribution of rights in France and in foreign markets, this new activity is added to its savoir-faire.


Filiale du groupe France Télévisions, France tv distribution est le partenaire des producteurs et des ayants droit dans la recherche de financement et de préventes de leurs programmes sur tous supports médias (édition et distribution vidéo et VOD, édition musicale, de magazines et livres, droits dérivés et financement de programmes audiovisuels). Depuis janvier 2017, France tv distribution accompagne également le cinéma à l’international, tous territoires et tous droits.","Movies and Sound Recording","51-200 employees","Privately Held","Paris, Île-de-France","France","francetvdistribution.com","https://www.linkedin.com/company/francetvdistribution"
,"Spellbound Visual Effects & Animation Pvt. Ltd.(India)","Founded in 2015, Spellbound Visual Effects & Animation Pvt. Ltd. was formed by a team of leading industry professionals. Headquartered in Chennai, Tamil Nadu, India, it commenced its operations by providing multi-vendor services for Visual Effects & Animation.

Spellbound specializes in making outsourcing an entirely seamless component of post
production. We deliver high quality results to a mission relevant and daily decision environment.

Our professionals have more than ten years experience in the visual effects and animation industry and built a company specialising in Roto, Paint/Prep, Compositing, Matchmove, Rotomation and Animation services. Contributing to more than forty international motion pictures, our team has consistently delivered both 2D work and native stereo shots requiring roto, paint/prep, compositing, matchmove, and rotomation.

Spellbound is driven by the tenet of maintaining total client satisfaction. We provide an exceptional cohesion of quality, cost effectiveness, and rapid turnaround. 

We understand communication is the core of any production and have an international staff in Chennai, Vancouver and Los Angeles.","Movies and Sound Recording","51-200 employees","Privately Held","Chennai, Tamil Nadu","India","spellboundvfx.com","https://www.linkedin.com/company/spellbound-visual-effects-&-animation-pvt-ltd--india-"
