"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"British Film Institute (BFI)","We are a cultural charity, a National Lottery distributor, and the UK's lead organisation for film and the moving image. Funded by the UK Government.

Our mission is:

• To support creativity and actively seek out the next generation of UK storytellers

• To grow and care for the BFI National Archive, the world’s largest film and television archive

• To offer the widest range of UK and international moving image culture through our programmes and festivals—delivered online and in venue

• To use our knowledge to educate and deepen public appreciation and understanding of film and the moving image

• To work with Government and industry to ensure the continued growth of the UK’s screen industries

Founded in 1933, the BFI is a registered charity governed by Royal Charter.

The BFI Board of Governors is chaired by Jay Hunt.","Movies, Videos and Sound","501-1,000 employees","Non Profit","London","United Kingdom","bfi.org.uk","https://www.linkedin.com/company/british-film-institute"
,"Method Studios","Method Studios is a global content creation studio known for photorealistic product development and seamless VFX. Method works alongside creatives and teams on brand work, advertising, live-event films and real-time productions. 

With offices in Los Angeles and New York, team members based around the world, and a dedicated real-time and gaming team in Vancouver, Method offers a range of services that allows us to streamline the entire post-production process, and bring our clients’ creative vision to life.

Our Creative Services organization, which includes renowned brands such as Company 3, Powerhouse VFX, and SDFX Studios, boasts the largest fully-integrated suite of services in the industry.  With the most consistently sought-after creative directors, technologists and artists, we are uniquely positioned to be a valuable partner for projects of all scopes and sizes.","Movies, Videos and Sound","501-1,000 employees","Privately Held","Santa Monica, CA","United States","methodstudios.com","https://www.linkedin.com/company/method-studios"
,"Red Chillies Entertainment","Red Chillies Entertainment was founded in 2002 founded by Shah Rukh Khan and Gauri Khan, has ever since, the company has been on a steady growth curve in the sphere of motion picture production and distribution. Red Chillies Entertainments has branched itself into other domains of production as well, and currently parents Film Production, VFX - special effects, and a film distribution company.","Movies, Videos and Sound","201-500 employees","Privately Held","Mumbai, Maharashtra","India","redchillies.com","https://www.linkedin.com/company/red-chillies-entertainments-pvt--ltd-"
,"Rodeo FX","We create moving work that has the power to resonate with all of us. We bring our passion for craft and technological creativity to all our projects.

Full-service, award-winning creative company with teams in Montreal, Quebec City, Toronto, Los Angeles, and Paris.","Movies, Videos and Sound","501-1,000 employees","Privately Held","Montreal, Quebec","Canada","rodeofx.com","https://www.linkedin.com/company/rodeo-fx"
,"Qube Cinema","Qube Cinema is a provider of end-to-end movie technology and solutions. The company draws on decades of experience in cinema and provides a seamless environment for exhibitors, filmmakers and post-production companies with products and services that are flexible, reliable and cost-effective.

Qube’s products and services are well established globally, with thousands of installations serving 136 countries across the world.

Qube Cinema has been a leading provider of technology in the film, video and audio domains and has pioneered several technology revolutions over the last four decades. The company was instrumental in bringing computer-based digital non-linear editing to India with Avid Technology, transforming the industry and forever changing the way Indian film and television programs were edited. The company subsequently brought digital cinema sound to India with DTS and helped Indian cinema leapfrog a generation, form mono sound directly to digital.

In 2005, Qube Cinema became one of the pioneers of the digital cinema transformation worldwide with its Qube digital cinema server and QubeMaster Pro digital cinema mastering products.

Qube continues to innovate with Qube Wire, a truly unique self-service digital cinema content delivery and key management service that has quickly become the market leader.

The company is also setting up virtual production facilities and has multiple other pathbreaking services under development — all with the aim of bringing to life the passion of every storyteller, to engage, entertain and enlighten the world.","Movies, Videos and Sound","501-1,000 employees","Privately Held","Chennai, Tamil Nadu","India","qubecinema.com","https://www.linkedin.com/company/qubecinema"
,"Toronto International Film Festival","TIFF is dedicated to presenting the best of international and Canadian cinema to film lovers. What began as a ten-day film festival has grown to embrace programming 365 days a year. TIFF offers screenings, lectures, discussions, festivals, workshops, industry support and the chance to meet filmmakers from Canada and around the world.

In September 2010, the opening of our new home, TIFF Lightbox, enabled TIFF to expand to truly become a creative, community and global leader, and one of the world’s premier organizations in the discovery and understanding of film.

Our Mission: Transform the way people see the world through film

Our Vision: A more engaged, informed, connected world

Our Values: Courageous, Collaborative, Purposeful, Inclusive and Celebratory

For current career opportunities visit tiff.net/careers","Movies, Videos and Sound","201-500 employees","Non Profit","Toronto, Ontario","Canada","tiff.net","https://www.linkedin.com/company/tiff-net"
,"NEON","In only eight years, NEON has garnered 39 Academy Award nominations (7 this year), 11 total wins (5 this year), including two Best Picture wins, and has grossed over $400M at the box office. The company continues to push boundaries and take creative risks on bold cinema such as Sean Baker’s Anora, which recently took home five Academy Awards including Best Picture, and was released in theaters to the highest per-screen average of 2024; as well as Bong Joon Ho’s Parasite, which made history winning four Academy Awards, becoming the first non-English-language film to claim Best Picture, and grossed over $54M at the domestic box office. 

NEON has built an impressive streak winning the coveted Palme d’Or at the Cannes Film Festival, with six consecutive wins, including this most recent year’s winner It Was Just an Accident from Iranian filmmaker Jafar Panahi, as well as Anora, Parasite, Anatomy of a Fall, Titane, and Triangle of Sadness. In 2024, NEON was named The Hollywood Reporter’s Independent Studio of the Year and received the Clio Award for Studio of the Year.

Recent NEON releases include Mike Flanagan’s The Life of Chuck and Osgood Perkins’ horror film The Monkey, both of which are based on the short stories by Stephen King. The Monkey marked NEON’s second biggest opening weekend at the box office following Perkins’ Longlegs, which is the highest grossing independent film of the year at $75 million domestically. 

As a burgeoning leader in the production space, NEON’s recent and upcoming in-house productions include: David Robert Mitchell’s They Follow starring Maika Monroe; Michael Covino’s Splitsville starring Dakota Johnson and Adria Arjona; the highly anticipated Boots Riley feature I Love Boosters starring Keke Palmer, Naomi Ackie, LaKeith Stanfield, Demi Moore, and Eiza González; The Wrong Girls starring Kristen Stewart and Alia Shawkat; Tilman Singer’s Cuckoo starring Hunter Schafer; and Brandon Cronenberg’s Infinity Pool.","Movies, Videos and Sound","11-50 employees","Privately Held","New York, NY","United States","neonrated.com","https://www.linkedin.com/company/neonrated"
,"STUDIOCANAL","STUDIOCANAL, CANAL+’s in-house studio, is Europe’s leading film and television studio, with worldwide production and distribution capabilities. It operates directly in nine major European markets including Austria, Benelux, Denmark, France, Germany, Ireland, Poland, Spain and the United Kingdom, as well as in Australia and New Zealand, and offices in the United States and China. STUDIOCANAL finances, produces, and distributes 200 films per year. It owns one of the most prestigious catalogues in the world and the largest catalogue of European titles, boasting more than 9 400 titles from 60 countries. With a catalogue spanning 100 years of film history, STUDIOCANAL has invested close to 25 million euros into the 4K restoration of nearly 1 000 classic feature films over the past 7 years. 
 
STUDIOCANAL also produces over 15 series each year, including local creations and premium international co-productions, and distributes its scripted productions and CANAL+ Originals globally (2,000 hours of current and library content in distribution). Projects are produced in-house by STUDIOCANAL or through its worldwide network of production companies, including 2e Bureau, Flab, Kissman, Pernel, Upside and Grands Ducs Films in France; Birdie Pictures, Urban Myth Films, Strong Film & Television, Sunny March TV and Brock Media in the UK; Bambú Producciones and Te Espero en Marte in Spain; Lailaps Films and STUDIOCANAL Series in Germany; Opus TV in Poland; Sam Productions in Denmark; Dingie in Belgium; and The Picture Company in the United States.","Movies, Videos and Sound","201-500 employees","Privately Held","Issy-les-Moulineaux, Île-de-France","France","studiocanal.com","https://www.linkedin.com/company/studiocanal"
,"The SPA Studios (Sergio Pablos Animation)","Animagic S.L. was born on 2004 as a small Animation service company, and then changed its name to THE SPA Studios (standing for Sergio Pablos Animation) on 2010. Since the beginning, our focus has been on producing high quality work in all things Animation, providing Production and Pre-Production services for such clients as Universal, Blue Sky, Warner and Disney to name a few.

At the same time, we've made a great effort in developing original content for Feature Animation Films. We successfully created and developed the original Story and materials on which Universal's ""Despicable Me"" is based, and are currently in negotiations in regards to several other Feature Film properties.","Movies, Videos and Sound","51-200 employees","Privately Held","Madrid, Madrid","Spain","thespastudios.com","https://www.linkedin.com/company/the-spa-studios"
,"Marché du Film - Festival de Cannes","The Marché du Film, the business wing of the Festival de Cannes, is the industry’s largest international gathering of film professionals, bringing together an impressive network of 14,000 film professionals spanning more than 140 countries. This includes buyers, sales agents, producers, distributors, festival representatives, financiers and more. 

Each year, the film market hosts over 1,200 market screenings and introduces 4,000 new film projects from the industry’s most vibrant talents. Additionally, it shines a spotlight on film institutions and commissions from nearly 90 countries, represented across 60 pavilions. 

With a variety of tailored programs and over 200 industry events & conferences, the Marché du Film is dedicated to strengthening the global film community by fostering strategic partnerships, facilitating project financing, showcasing the latest innovations and providing insights into the industry’s latest challenges and trends — all within the illustrious and iconic setting of Cannes.","Movies, Videos and Sound","11-50 employees","Privately Held","Paris, Ile-de-France","France","marchedufilm.com","https://www.linkedin.com/company/marchedufilm"
