"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Universal Audio","Founded in 1958 by recording pioneer Bill Putnam Sr., and refounded in 1999 by Bill Putnam Jr., Universal Audio is best known for its classic, hand-built analog hardware, award-winning line of Apollo audio interfaces, and advanced UAD Digital Signal Processing technology for recording, mixing, and mastering audio. 

Headquartered in Scotts Valley, California, with offices in Los Angeles, Colorado, and Amsterdam, UA is focused on merging the best of vintage analog and modern digital technology. 

With its rich recording heritage, UA has been “Setting the tone since 1958.”","Music","201-500 employees","Privately Held","Scotts Valley, CA","United States","uaudio.com","https://www.linkedin.com/company/universal-audio"
,"TuneCore","TuneCore—owned by Believe, one of the world’s leading digital music companies—is the leading development partner for self-releasing artists to build their audiences and careers, with technology and services across distribution, publishing administration, and a range of promotional offerings.

How We Are Different:

- TuneCore Music Distribution helps artists, labels and managers sell their music through Spotify, Apple Music, Amazon Music, YouTube Music, Deezer, TikTok and more than 150 download and streaming stores worldwide, while retaining 100 percent of their rights for a low annual flat fee.

- TuneCore advocates for diversity, equity and inclusion across all of our platforms and throughout our company. As part of our commitment to gender equity, since 2021, Believe and TuneCore have sponsored BE THE CHANGE: Gender Equity in Music, a groundbreaking study that explores the challenges and experiences of women and gender expansive creators and professionals in the music industry. 

- TuneCore is committed to the well-being of our employees and aims to create a workplace that fosters both personal and professional growth. Our inclusive benefits package includes, but is not limited to: 

• 4 ½ day work week with “Wellness Fridays” year round, paid time off, unlimited paid sick days, and week-long company-wide time-off between Christmas and New Years.
• 4 month Universal Paid Parental Leave for both parents
• 401k match starting at day 1 and $125/month direct to student loan repayment
• Comprehensive health, vision, dental, FSA and dependent care 
• Weekly catered lunches, happy hours & in-office performances, and employee showcases

- TuneCore is proud to be included in Fast Company’s top ten list of Most Innovative Music Companies in 2023 and 2024, and recognized on Crain’s Top 100 Places to Work in NYC list from 2022 through 2024.

Our Artist Support Team makes things easy for you. Submit a request here: https://support.tunecore.com/hc/en-us/requests/new","Music","51-200 employees","Public Company","Brooklyn, NY","United States","tunecore.com","https://www.linkedin.com/company/tunecore"
,"Gibson, Inc.","Gibson, the leading iconic guitar brand, has shaped the sounds of generations of musicians and music lovers across genres for 127 years. Founded in 1894 and headquartered in Nashville, Gibson has a legacy of world-class craftsmanship, legendary music partnerships, and progressive product evolution that is unrivaled among musical instrument companies. The Gibson Brands portfolio includes Gibson, the leading guitar brand, as well as many of the most beloved and recognizable music brands, including Epiphone which has been on every stage since 1873, Kramer the original MADE TO ROCK HARD guitar brand, MESA/Boogie the home of tone, and KRK behind great music for over 30 years.  Gibson Brands is dedicated to quality, innovation, and sound excellence so that music lovers for generations to come will continue to experience music shaped by Gibson. 
Learn more at Gibson.com and follow us on Twitter, Facebook, Gibson TV, and Instagram.","Music","1,001-5,000 employees","Privately Held","Nashville, TN","United States","gibson.com","https://www.linkedin.com/company/gibson-guitar"
,"Songtrust","**We're hiring! Check out our openings here: https://www.songtrust.com/songtrust-careers

We partner with songwriters, representatives, and businesses to build healthy songwriting careers. Songwriters build healthy careers when they take an active role in managing their business and owning their music. We empower them to do this by providing education, enabling them to register and collect all their publishing royalties, and relentlessly searching for ways to simplify and unite the music industry around the world.

Founded in 2011, Songtrust helps music creators own their music, and own their careers.

A Downtown Company.","Music","51-200 employees","Privately Held","New York, NY","United States","songtr.st","https://www.linkedin.com/company/songtrust"
,"Columbia Records","Columbia Records is an American flagship recording label, under the ownership of Sony Music Entertainment, operating under the Columbia Music Group. It was founded in 1888, evolving from an earlier enterprise, the American Graphophone Companyâsuccessor to the Volta Graphophone Company.[1] Columbia is the oldest brand name in recorded sound,[2][3] being the first record company to produce recorded records as opposed to blank cylinders. Columbia Records went on to release records by an array of notable singers, instrumentalists, and bands. From 1961 to 1990, its recordings were released outside the U.S. and Canada on the CBS Records label (for Columbia Broadcasting System, its parent from 1938 to 1988) before adopting the Columbia name in most of the world.

It is one of Sony Music's three flagship record labels with the others being Epic Records and RCA Records.

Until 1989, Columbia Records had no connection to Columbia Pictures, which used various other names for record labels they owned, including Colpix, Colgems, Bell and later Arista; rather, it was connected to CBS, which stood for Columbia Broadcasting System, a broadcasting media company which purchased Columbia Records in the late 1930s, and which had been co-founded in 1927 by Columbia Records itself. Though Arista was sold to BMG, it would later become a sister label to Columbia Records through Sony Music; both are connected to Columbia Pictures through Sony Corporation of America, worldwide parent of both the music and motion picture arms of Sony.

As of 2012, Columbia Records has the highest label share in Adult Contemporary radio in the US, it was also ranked the number-one AC label that year.","Music","501-1,000 employees","Public Company","new york","United States","columbiarecords.com","https://www.linkedin.com/company/columbia-records"
,"Resident Advisor","Founded in 2001, Resident Advisor is one of the world's longest-running music media brands and a cornerstone of the dance, electronic and DJ ecosystem. As an independent company run by devoted dance music enthusiasts, we're committed to connecting hyper-niche local scenes with the global electronic music community.

The site's audience of over 6 million monthly users are drawn in by a combination of news, finger-on-the-pulse journalism, club listings and ticketing, RA-branded events at venues and festivals worldwide, original films and a weekly mix series that has run continuously since 2006.

Our mission is to bring together the world's electronic music communities. As a certified B Corp, we're committed to doing good and continuing to champion inclusivity and equity in all aspects of our work. 

Interested in joining us? Please check out our vacancies on Doors Open, our not-for-profit electronic music jobs board.","Music","51-200 employees","Privately Held","London, London","United Kingdom","ra.co","https://www.linkedin.com/company/resident-advisor"
,"Splice","Splice is the leading music creation platform, empowering musicians, producers, and sound designers with the tools to bring their ideas to life. The company’s sound-first approach features a vast library of high-quality sonic ingredients, powered by sophisticated AI tools, to assist in deep sound discovery and idea generation. Tools like Splice INSTRUMENT and Sounds are heard around the world—playing a vital role in music's soundscape. Trusted by millions, Splice also provides affordable access to plugins and DAWs through a rent-to-own gear marketplace.","Music","51-200 employees","Privately Held","New York, New York","United States","splice.com","https://www.linkedin.com/company/splice-com"
,"Music Gateway","Music Gateway is a leading global music tech company dedicated to empowering artists, producers, and music professionals at every stage of their careers. Our mission is simple: to break down barriers in the music industry and provide a centralized platform for growth, collaboration, and success.

What We Do
From sync licensing to music promotion, distribution, publishing, and more, Music Gateway is designed to streamline the way creatives and industry professionals connect and work together globally. Whether you're an emerging artist, an established band, or a music business, we offer a suite of innovative services to help you manage your music and career—all in one place.

How We Help

 Music Promotion: Amplify your music with playlist placements, digital marketing, and fan growth campaigns.
 Sync Licensing: Get your tracks featured in TV, film, and advertisements with our expert representation.
 Music Distribution: Distribute your music to all major platforms, reaching audiences worldwide.
 Publishing Services: Maximize your royalties with our efficient rights management and publishing administration.
 Collaboration Tools: Connect with top talent, hire professionals, and discover fresh opportunities through our intuitive project management system.
 A&R Services: Scout new talent or launch your career with a platform designed by industry experts for industry experts.

Why Choose Us?
Trusted by creatives worldwide, Music Gateway saves you time, reduces risk, and helps you focus on what you do best—making music. With secure remote-working tools and a growing list of opportunities every month, we’ve become the go-to platform for creatives who want to thrive in a competitive industry.

Join us as we redefine what's possible in music. ","Music","11-50 employees","Public Company","Reigate, Surrey","United Kingdom","musicgateway.com","https://www.linkedin.com/company/music-gateway"
,"Music Tribe","There's a Musician in Every Human Being.

Our purpose is to empower those who have not and cannot.

Together, we are Music Tribe.

Uli Behringer
Founder, Customer
Empowerment Obsessor (CEO)

Uli Behringer
Founder, Customer Empowerment Obsessor (CEO)
https://www.linkedin.com/in/ulibehringer/

Our Tribers:
https://www.facebook.com/groups/MyMUSICTribe/

Our Brands:
https://community.musictribe.com/#brandtribe

Our Music Tribe City:
https://www.youtube.com/watch?v=tshychHzoa8","Music","1,001-5,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","musictribe.com","https://www.linkedin.com/company/musictribe"
,"Spinnin' Records","Spinnin' Records is an independent dance record label from the Netherlands, which started in 1999. Currently, Spinnin is recognized as one of the top dance labels in the world.","Music","51-200 employees","Public Company","Hilversum, Noord-Holland","Netherlands","spinninrecords.nl","https://www.linkedin.com/company/spinnin-records"
