"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ZEISS Microscopy","ZEISS is one of the world leading manufacturers of microscopes. In addition to excellent light and electron/ion microscopes, ZEISS also offers a broad range of optical sectioning systems as well as high-resolution X-ray microscopes. ZEISS Microscopy is a leading provider of microscope solutions in the life sciences, materials research, routine and industry markets.

Our microscope systems are much more than just hardware. A dedicated and well-trained sales force, an extensive support infrastructure, and a responsive service team enable customers to use their ZEISS instruments to their full potential.

Data Privacy: https://www.zeiss.com/data-protection

Imprint:

Carl Zeiss Microscopy GmbH
Carl-Zeiss-Promenade 10
07745 Jena, Germany
microscopy@zeiss.com

Local court Jena, HRB 210536
VAT REG No: DE814503774

Chairman of the Supervisory Board: Dr. Marc Wawerla

Management Board:
Dr. Michael Albiez (President & CEO)
Sandro Förster","Nanotechnology Research","1,001-5,000 employees","Privately Held","Jena, Thüringen","Germany","zeiss.com","https://www.linkedin.com/company/carl-zeiss-microscopy-gmbh"
,"Nanotechnology World","Where does the industry go to find the next breakthrough? Nanotechnology World is the definitive digital infrastructure and discovery engine for the global nano-industry.

We provide a specialized B2B platform designed to bridge the gap between innovation and commercialization. Our ecosystem serves as a central hub for decision-makers and R&D leaders to access a global supplier directory, comprehensive product catalogs, and critical event listings.

Moving beyond simple information, we provide in-depth market trends and strategic analysis to help organizations navigate the evolving nanotech landscape. Whether you are sourcing advanced materials, listing new products, or seeking data-driven industry insights, Nanotechnology World is where the industry connects to do business.","Nanotechnology Research","2-10 employees","Privately Held","Perth, Western Australia","Australia","nanotechnologyworld.org","https://www.linkedin.com/company/nanotechnology-world"
,"Oxford Instruments plc","Oxford Instruments is a leading provider of high technology tools and systems for research and industry. We design and manufacture equipment that can fabricate, analyse and manipulate matter at the atomic and molecular level. 

Our purpose is to accelerate the breakthroughs that create a brighter future for our world.","Nanotechnology Research","1,001-5,000 employees","Public Company","High Wycombe, England","United Kingdom","oxinst.com","https://www.linkedin.com/company/oxford-instruments"
,"INL  - International Iberian Nanotechnology Laboratory","Established in 2009, the International Iberian Nanotechnology Laboratory (INL) is a collaborative research and technology organisation founded by Spain and Portugal. Headquartered in Braga, northern Portugal, INL operates within an international legal framework to conduct interdisciplinary research and implement nanotechnologies for the benefit of society.

INL focuses on strategic research areas that deepen our understanding of fundamental phenomena, serving as the basis for the development of innovative technologies. By progressing through the innovation pipeline, these technologies aim to address current global challenges, aligning with the priorities outlined in the United Nations Sustainable Development Goals. Key areas include clean water, clean energy, zero hunger, good health, and overall well-being.

The INL community is now about 500 people. INL’s mission is two-fold: to carry out excellent research in nanotechnology, and to engage with society by means of technology transfer and public outreach. This twin approach guides the organisation to navigate the unknown universe of science, and to identify new research areas at the intersection of established knowledge fields. The overarching objective is to advance research anchored in nanotechnology towards new science and novel methodologies, and to devise nanotechnology-based solutions, in the physical and human environments, mediated by cutting-edge research in information and communication technologies.","Nanotechnology Research","201-500 employees","Non Profit","Braga, Braga","Portugal","inl.int","https://www.linkedin.com/company/international-iberian-nanotechnology-laboratory"
,"Bruker Nano Surfaces & Metrology","For 60 years, Bruker has enabled scientists to make breakthrough discoveries and develop new applications that improve the quality of human life. Bruker’s high-performance scientific research instruments and high-value analytical solutions enable scientists to explore life and materials at molecular, cellular and microscopic levels. More specifically, Bruker’s Nano Surfaces Division provides the world’s largest selection of AFMs, stylus profilers, 3D optical microscopes, tribometers, indenters and testers, and fluorescence microscopy systems. 

Our extensive suite of application-focused instrumentation for materials research addresses the full range of metrology techniques, sample sizes, imaging resolutions, and analysis software. Our production-ready tools help solve crucial inspection and QA issues, while anticipating the next generation of needs and standards. Our mechanical testing products incorporate proprietary multi-sensing technology with high-sample-rate data-acquisition, highest-accuracy force sensors and amplifiers, and high-frequency acoustic emission sensors and amplifiers to enable a wide variety of applications. Whatever your metrology needs, Bruker has a high-performance solution that will suit your budget. 

Privacy Policy: https://goto.bruker.com/LI-Bruker-PrivacyPolicy

Imprint:
Bruker Corporation
40 Manning Road
Billerica, MA 01821, USA","Nanotechnology Research","201-500 employees","Public Company","Santa Barbara, CA","United States","bruker.com","https://www.linkedin.com/company/bruker-nano-inc-"
,"Quandela","Quandela specialises in the production of photon-based quantum computing and cloud solutions, enabling organisations to achieve their quantum transformation.","Nanotechnology Research","51-200 employees","Self Owned","Massy, Île-de-France","France","quandela.com","https://www.linkedin.com/company/quandela"
,"FEI Company","FEI is now part of Thermo Fisher Scientific. To see what’s new, follow our new LinkedIn page, Accelerating Microscopy: https://ter.li/accelerating-microscopy

Thermo Fisher Scientific Inc. is the world leader in service science. Our mission is to enable our customers to make the world healthier, cleaner and safer. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market, and increase laboratory productivity.","Nanotechnology Research","1,001-5,000 employees","Public Company","Hillsboro, Oregon","United States","ter.li","https://www.linkedin.com/company/feicompany"
,"QuTech","At QuTech, we work on a radically new technology with world-changing potential. Our mission: to develop scalable prototypes of a quantum computer and an inherently safe quantum internet, based on the fundamental laws of quantum mechanics.

Established by TU Delft and the Netherlands Organisation for Applied Scientific Research TNO, the focus at QuTech currently covers nearly all facets of quantum computing, including theoretical physics, new materials, quantum coding, and the actual development of (components of) a quantum computer.","Nanotechnology Research","201-500 employees","Public Company","Delft, Zuid-Holland","Netherlands","qutech.nl","https://www.linkedin.com/company/qutech"
,"Oxford Instruments Materials Science","𝙒𝙚𝙡𝙘𝙤𝙢𝙚 𝙩𝙤 𝙊𝙭𝙛𝙤𝙧𝙙 𝙄𝙣𝙨𝙩𝙧𝙪𝙢𝙚𝙣𝙩𝙨 𝙈𝙖𝙩𝙚𝙧𝙞𝙖𝙡𝙨 𝙎𝙘𝙞𝙚𝙣𝙘𝙚

At Oxford Instruments, we support materials scientists in shaping the future through advanced, high-performance tools that accelerate discovery and development. We recognise the importance of researchers’ time and are committed to optimising every moment spent creating more efficient, functional, and sustainable materials.

Our comprehensive materials science portfolio includes electron microscopy detectors, Raman microscopes, scientific cameras, spectrometers, atomic force microscopes (AFM), NMR instruments, and nanoindentation systems.

𝙒𝙝𝙖𝙩 𝙩𝙤 𝙀𝙭𝙥𝙚𝙘𝙩 𝙤𝙣 𝙏𝙝𝙞𝙨 𝘾𝙝𝙖𝙣𝙣𝙚𝙡:
 Product Focus - Explore our tools engineered for performance, accuracy, and reliability.
 Application Notes - Practical insights for applying our technologies across diverse materials.
 Solution Notes - See how we solve complex materials science challenges with tailored systems.
 Technical Articles - Deep dives into advances across characterisation and materials research.
 eBooks - In-depth resources to expand your expertise.
 Webinars - Expert-led discussions on emerging trends and innovations.
 Case Studies - Real-world examples of how our instruments accelerate scientific progress.
 Application Images - Visual snapshots of our technologies in action.

These cutting-edge solutions are designed to support a wide range of applications, from metals and ceramics to polymers, coatings, 2D materials, biomaterials, additive manufacturing, and beyond. Oxford Instruments drives technological progress at every scale, and we are proud to support this community with instruments defined by precision, productivity, and expert support, helping turn ideas into impactful innovations.","Nanotechnology Research","1,001-5,000 employees","Public Company","High Wycombe, Buckinghamshire","United Kingdom","oxinst.com","https://www.linkedin.com/company/oi-materials-science"
,"Nanotechnology Industries Association","The Nanotechnology Industries Association (NIA) is the leading voice of the nanotechnology industries. On behalf of membership across Europe and around the world, we support the development of nanotech innovations that improve the lives of consumers, preserve our environment and advance our world.

NIA and our Members are committed to the safe, sustainable and beneficial use of nanotechnology and nanomaterials across all industries. We believe in fostering a better understanding of nanotechnology’s important role in society and building a positive global environment for nanotech innovation.","Nanotechnology Research","2-10 employees","Non Profit","Brussels, Brussels","Belgium","nanotechia.org","https://www.linkedin.com/company/nanotechnology-industries-association"
