"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Höegh Evi","Höegh Evi is the vital link to secure transition—delivering fast, adaptable, and secure solutions that respond to countries’ evolving energy needs. For 50 years, Höegh Evi has been a pioneer and global leader in floating energy infrastructure, with one of the world’s largest fleets of FSRUs (floating storage and regasification units) for importing natural gas.  
Today, Höegh Evi is building the infrastructure needed to make the energy transition possible, with floating terminals for ammonia and hydrogen import, the world’s first floating ammonia-to-hydrogen cracker, and services for carbon transport and permanent storage.  

Höegh Evi is a global company with a highly skilled global team of 900 employees at sea and onshore. Learn more at hoeghevi.com","Natural Gas Distribution","501-1,000 employees","Privately Held","oslo",,"hoeghevi.com","https://www.linkedin.com/company/hoeghevi"
,"Compass","Somos a Compass, uma empresa da @Cosan.  Nascemos do sonho de pessoas que acreditavam que poderiam contribuir com a transformação do mercado de gás do Brasil, ampliando e diversificando a sua oferta, desenvolvendo a infraestrutura e expandindo a sua demanda.

Hoje esse sonho vem se tornando realidade com o propósito de promover uma transição energética segura e eficiente. O nosso time se dedica todos os dias para levar segurança, flexibilidade e competitividade à matriz energética brasileira.

Nosso foco é entregar resultados concretos sempre com impactos positivos. E como fazemos isso? Com um jeito só nosso: sempre ousados, conectados, transparentes.

Para saber mais, acesse nosso site!","Natural Gas Distribution","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","compassbr.com","https://www.linkedin.com/company/compassbr"
,"OQGN","We are OQ Gas Networks. A member of the OQ Group.","Natural Gas Distribution","201-500 employees","Government Agency","Alkhuair, Muscat","Oman","oqgn.om","https://www.linkedin.com/company/weareoqgn"
,"Necta Gás Natural","Há mais de 26 anos, a Necta Gás Natural atua como uma referência no fornecimento, distribuição e desenvolvimento de soluções sustentáveis em gás natural e biometano. Com forte presença no mercado energético, entregamos energia limpa, segura e de alta performance para indústrias, comércios, residências e mobilidade.

Somos uma empresa comprometida com a sustentabilidade, inovação e geração de valor para clientes, parceiros e comunidades.

Nossa missão é transformar energia em desenvolvimento sustentável, conectando pessoas, empresas e cidades às melhores soluções em gás natural, sempre com segurança e qualidade.

Seja nosso parceiro na construção de um futuro energético mais limpo e inteligente.","Natural Gas Distribution","51-200 employees","Public Company","Ribeirão Preto, São Paulo","Brazil","nectagas.com.br","https://www.linkedin.com/company/nectagas"
,"American Gas Association","The American Gas Association, founded in 1918, represents more than 200 local energy companies that deliver clean natural gas throughout the United States.  There are more than 73 million residential, commercial and industrial natural gas customers in the U.S., of which 95 percent — just under 69 million customers — receive their gas from AGA members. AGA is an advocate for natural gas utility companies and their customers and provides a broad range of programs and services for member natural gas pipelines, marketers, gatherers, international natural gas companies and industry associates. Today, natural gas meets more than one-fourth of the United States' energy needs.","Natural Gas Distribution","51-200 employees","Non Profit","Washington, DC","United States","aga.org","https://www.linkedin.com/company/american-gas-association"
,"Megha City Gas Distribution Private Limited","MeghaGas is executing the City Gas Distribution (CGD) projects in India. Supplies Piped Natural Gas to domestic, commercial, and industrial customers & CNG for the Automobile sector. Caters to 10% of the population & 10% of the geographical area in India.","Natural Gas Distribution","1,001-5,000 employees","Privately Held","Hyderabad, TELANGANA","India","meghagas.com","https://www.linkedin.com/company/meghacitygas"
,"Sulgás","Somos a Sulgás!

Responsáveis pela distribuição do gás natural canalizado no Rio Grande do Sul, contribuímos para o desenvolvimento econômico e social do Estado, atuando de forma eficiente, segura e sustentável. Estamos atentos ao futuro, com o objetivo de transformar o mercado, utilizando fontes de energia de transição.
 
Buscamos pessoas proativas e que consigam trabalhar coletivamente para que, juntos, possamos consolidar nosso legado no mercado de gás natural e biometano no país. Não fazemos distinção entre pessoas candidatas, seja por gênero, deficiência, orientação sexual, raça/etnia, idade, origem, constituição familiar ou estética. Valorizamos tudo aquilo que te torna um indivíduo único.
 
Se você se identificou com a nossa proposta, queremos conhecê-lo!
 
Acesse nossa página de carreiras: https://www.sulgas.com.vc/trabalhe-conosco/","Natural Gas Distribution","51-200 employees","Partnership","Porto Alegre, Rio Grande do Sul","Brazil","sulgas.com.vc","https://www.linkedin.com/company/sulgasrs"
,"Promigas Perú","Lideramos la transformación energética del norte del Perú con la distribución y comercialización de gas natural, generando valor, progreso y bienestar en las cinco regiones donde operamos.
Somos Energía que Impulsa Desarrollo.","Natural Gas Distribution","201-500 employees","Privately Held","Lima, Lima","Peru",,"https://www.linkedin.com/company/promigasperu"
,"Gasmig - Companhia de Gás de Minas Gerais","A Companhia de Gás de Minas Gerais (Gasmig) é a distribuidora exclusiva de gás natural canalizado em todo o território mineiro, por outorga de concessão pelo Estado de Minas Gerais, atendendo aos segmentos industrial, uso geral, residencial, gás natural comprimido, gás natural liquefeito, automotivo e termelétrico.

A Gasmig é uma sociedade anônima sob o controle indireto do Estado de Minas Gerais, sendo seus acionistas a Companhia Energética de Minas Gerais – CEMIG (99,6%) e o Município de Belo Horizonte – PBH (0,4%).

MISSÃO
Desenvolver soluções energéticas limpas e seguras por meio do gás natural, criando valor para clientes, colaboradores e acionistas, contribuindo para o desenvolvimento de Minas Gerais.

VISÃO
Duplicar a extensão de rede, expandindo a atuação para mais quatro mesorregiões de Minas Gerais ainda não atendidas e triplicando o número de clientes atendidos até 2027.","Natural Gas Distribution","201-500 employees","Public Company","Belo Horizonte, Minas Gerais","Brazil","gasmig.com.br","https://www.linkedin.com/company/gasmig"
,"Énestas Energy & Gas","Énestas is a mexican company with an innovative business model that comes from the necessity to generate power at a lower cost, reduce the energy consumption, and take care of the environment.

Our Mission
To provide the development of an efficient electrical and thermal consumption of medium and small companies through the operation, maintenance and financing of cogeneration and trigeneration projects.

Our Vision
Create the largest network of efficient electrical and thermal consumption in Mexico and other countries.","Natural Gas Distribution","201-500 employees","Privately Held","México, México","Mexico","enestas.com","https://www.linkedin.com/company/enestas"
,"Compagas","Ao seu lado, levando mais eficiência,
valor e conforto. Sempre.
Mais do que gás natural, entregamos tranquilidade.
Nosso compromisso é oferecer um fornecimento contínuo e seguro, que se integra à rotina da sua indústria, comércio, condomínio ou empreendimento sem interrupções.","Natural Gas Distribution","51-200 employees","Privately Held","Curitiba, Paraná","Brazil","compagas.com.br","https://www.linkedin.com/company/companhia-paranaense-de-gas-compagas"
,"Naturgy México","Una energética no solo adaptada al futuro, sino al presente. 
Contrata tu servicio aquí: bit.ly/2O2FS3g","Natural Gas Distribution","501-1,000 employees","Privately Held","México , CDMX","Mexico","naturgy.com.mx","https://www.linkedin.com/company/naturgymx"
