"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Kara Healthcare","Kara Healthcare is a quality care provider devoted to delivering first-class dementia, nursing, residential, and respire care to residents living in our homes. We believe our residents deserves choice, dignity, and independence. 

Our main focus is to create a friendly, safe, and warm environment for everyone in our homes. Tailored care plans and 24-hour personal support for each resident help us achieve this. We offer a wide variety of care options from short and long-term residential to person-centred nursing care. 

Kara Healthcare are continuously looking to recruit talented individuals to join our caring, enthusiastic, and supportive team. Everyone here has a fundamental part to play. 

We are fully committed to regularly train, nurture, and support our staff. Creating a friendly, professional, and safe environment is incredibly important to us. 

Please visit our Jobs section, or alternatively our website, for regular job updates.","Nursing Homes and Residential Care Facilities","501-1,000 employees","Privately Held","Leicester, England","United Kingdom","karahealthcare.com","https://www.linkedin.com/company/kara-healthcare"
,"Hallmark Luxury Care Homes","At Hallmark Luxury Care Homes, we live for every moment.

In each of our 22 homes, our teams across lifestyle, nursing, hospitality, housekeeping, care, admin, customer relationship management, gardening and maintenance all work together to set the standard for exceptional resident experiences.

As a family-owned business, we live by our values to create a distinct team culture of openness and unity. So, from the moment you join our team you’ll feel like a valued part of the family – because that is what you are to us.

We know that getting older comes with its own unique challenges. But we believe ageing is a privilege, and that everyone should be embraced, celebrated, and supported to thrive in later life. Support us in delivering on our vision, and join our team of talented, bighearted individuals.

On behalf of the Hallmark family, we’re excited to meet you.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Privately Held","Billericay","United Kingdom","hallmarkcarehomes.co.uk","https://www.linkedin.com/company/hallmarkcarehomes"
,"MealSuite","MealSuite is a fully integrated, end to end, dietary, food production, inventory, kitchen management and point of sale solution on a mission to revolutionize the continuum of care through food service technology. 

Since 1989, our industry leading innovations have empowered food service operators across North America to streamline administrative labor, cut down on food waste, reduce risk and meet regulatory requirements, so they can spend more time focusing on what matters most: improving the quality of life for their patients and residents. 

Dedicated to delivering SMILES & SATISFACTION to healthcare & senior living communities, we pride ourselves on providing personalized solutions matched with unparalleled customer service.","Nursing Homes and Residential Care Facilities","51-200 employees","Privately Held","Dallas, Texas","United States","mealsuite.com","https://www.linkedin.com/company/meal-suite"
,"Lottie","Meet Lottie - a family’s trusted (& free) guide to best understand, find and fund care. Backed by Accel and General Catalyst, Lottie is on a mission to elevate later life for everybody and to build the care sector of the future.","Nursing Homes and Residential Care Facilities","51-200 employees","Privately Held","London","United Kingdom","lottie.org","https://www.linkedin.com/company/thankslottie"
,"Cogir Senior Living","Cogir Senior Living draws upon 20 years of residential and senior living management, as well as hospitality expertise. It is this combination of French-inspired je ne sais quoi and West Coast spirit that make COGIR Senior Living residences so indefinably unforgettable.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Privately Held","Scottsdale, Arizona","United States","cogirusa.com","https://www.linkedin.com/company/cogir-senior-living"
,"Amstelring","Bij Amstelring kijken en luisteren we naar mensen. Wie waren zij voordat ze hulp, ondersteuning en zorg nodig hadden? Wat willen en kunnen zij nu de gevolgen van dementie, ouderdom en chronische ziekten zichtbaar en merkbaar zijn? En wie en wat is belangrijk in deze fase van hun leven?

Het gewone leven ondersteunen, dat doen we samen, gelijkwaardig en met respect voor elkaars rol, positie en bijdrage. Dat is onze missie en zijn onze waarden.

Samen is met zo'n 3.700 professionals op 23 locaties, in circa 50 wijkzorgteams, op de dagbesteding, in de thuisbegeleiding en in de ondersteuning. En met de inzet van vele naasten en vrijwilligers. Amsterdam, de regio Amstelland De Meerlanden en Haarlemmermeer is ons werkgebied.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Non Profit","Amsterdam, Noord-Holland","Netherlands","werkenbijamstelring.nl","https://www.linkedin.com/company/amstelring"
,"Aria Care","We provide the very best in residential care, nursing care and dementia care for those who need help and support, through an amazing portfolio of some 50 homes located in England, Scotland and Jersey.

We are passionate about the individual care for our residents. Understanding their rich and colourful life stories, their interests and their needs, helps shape all that we do for them. We always provide support that is as personal and unique as they are, and care for them as though they are a part of our family.

Whether you’re looking for permanent, respite or convalescent care for a loved one, by caring about the things that matter most to you both, we can help you to find a home-from-home suited to their specific needs. We're here to help make later life as fulfilling and enjoyable as possible – because it’s all about your loved one and your family.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Privately Held","Colchester","United Kingdom","ariacare.co.uk","https://www.linkedin.com/company/ariacareuk"
,"Stichting tanteLouise","TanteLouise biedt de beste zorg, waar thuis ook is. Daar maken wij geen geheim van. Sterker nog: tante vindt dat iedereen mag weten hoe ruim 2.500 betrokken medewerkers en vrijwilligers er elke dag voor zorgen dat iedereen op de Brabantse Wal op een waardige manier oud kan worden. Liefst zo lang mogelijk thuis natuurlijk - en ook daar helpen we graag bij - maar ook in de gastvrije omgeving van één van onze zorg- en verpleegcentra, waarvan er altijd wel een in de buurt is.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Non Profit","Bergen op Zoom, Noord-Brabant","Netherlands","werkenbijtantelouise.nl","https://www.linkedin.com/company/tantelouise"
,"Healthcare Ireland Group","Healthcare Ireland Group is the fastest growing healthcare company in Northern Ireland. We aim to offer a professional and high standard of care to all our residents. This includes long-term and short term care for older people within an outstanding setting. Moreover, highly professional health care assistance for people living with dementia, complex needs, and palliative care.

As an employer, we aim to create the best health care company to work for by following our family-friendly values and respect for all without compromising the work ethics.","Nursing Homes and Residential Care Facilities","1,001-5,000 employees","Privately Held","Holywood, Northern Ireland","United Kingdom","healthcareirelandgroup.com","https://www.linkedin.com/company/healthcareireland"
,"Tobin & Associates","Our team is passionate about identifying and developing healthcare leaders. We've noticed that technology has made connections more impersonal, and service has often been overlooked. Since 1988, we've focused on building connections tailored to your unique needs. With our global reach, our expert team is dedicated to providing exceptional service and quality within the industry.

We aim to save you time and effort by strategically partnering with organizations to streamline the search for top talent. This allows your organization to focus on other business goals while Tobin handles your temporary or full-time staffing needs.

Unlike most recruiters who conclude their work once a position is filled, we offer ongoing support. We provide tools, programs, and continuous assistance to ensure your leaders remain sharp, current, and knowledgeable. Our leadership training offers practical insights that executives can immediately apply to make a significant impact within their organizations.

We are eager to collaborate with forward-thinking companies that are committed to the growth and empowerment of their teams. If your organization aligns with this vision, please reach out to discuss how we can work together to ensure your organization's sustainability and ongoing success.","Nursing Homes and Residential Care Facilities","11-50 employees","Privately Held","Canal Winchester, OH","United States","tobinsearch.com","https://www.linkedin.com/company/tobin-&-associates"
