"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Volkswagen Group Services - South America","Volkswagen Group Services is a Volkswagen Group company oriented towards working for Group companies worldwide. We provide services in the areas of production, logistics, data engineering (IT), engineering, quality, business services, human resources, communication and administrative and financial services. We are focused on our clients’ activities and take responsibility for carrying them out on their behalf.
Currently we have offices in seven European locations: Palmela, Lisbon, Madrid, Pamplona, Barcelona, Martorell, Valencia.
In 2023 we started our South America operation, with our first headquarters in Brazil.","Office Administration","201-500 employees","Privately Held","São Paulo, SP","Brazil","volkswagen-groupservices.pt","https://www.linkedin.com/company/volkswagen-group-services-south-america"
,"Ghana Institution of Engineering","The Ghana Institution of Engineering was officially founded in 1968 to succeed the Ghana Group of Professional Engineers, as an autonomous professional body with no political affiliation. The Institution derives its authority from the Engineering Council ACT 2011, Act 819 and the professional bodies Registration Decree NRCD143 of 1973. Late Ing. Dr. E. Sackey became its first President.

The GhIE Logo is formed by a perfect circle with a spur gear at the centre that is surrounded by a spider's web. The spur gear is considered a recognizable symbol of engineering while the spider's web, which is so slim and wonderfully woven to perform a function, expresses ingenuity and strength, both attributes required in engineering to solve problems of mankind. The GhIE logo also symbolises the unity of all the disciplines of engineering viz Civil, Mechanical, Electrical, Chemical, Agricultural, Marine, Mining, Computer, Biomedical, etc. The Logo remains relevant in this era of the world wide web (www) which has transformed the practice of engineering.

Vision: Promoting Engineering Excellence for Society.

Mission: 1. To be leaders in the development of science, engineering and 
                  technology at all levels of society.

               2. Share knowledge and instill in the membership professionalism and 
                   ethical practice.

               3. Establish structures to ensure the good corporate image of the 
                   institution at all times.","Office Administration","11-50 employees","Non Profit","Accra","Ghana","ghie.org.gh","https://www.linkedin.com/company/ghana-institution-of-engineering"
,"JUST ONE","JUST ONE is a Headhunting firm, providing Recruitment Services at all levels of seniority for all the sectors of industries. 
We are based in U.K, France, Greece, Switzerland, Italy, Spain, Poland and Romania, covering all functions and seniority levels, whether it be executives, operational managers, engineers, or highly skilled technical experts.
We make the difference, presenting a large choice of candidates in a very short timeframe, providing efficient reports with crucial information on our candidates. 
Our main purpose is a win-win collaboration and our ultimate goal: the hiring.
Thank you for contacting us at info@justone.gr !","Office Administration","11-50 employees","Self Employed",,,"justone.gr","https://www.linkedin.com/company/j1gr"
,"KEPLER by SKV","Kepler simplifies not just setting up your office but also managing it seamlessly. From selecting the perfect location to designing, building, and operating your workspace, we take care of everything—so you can focus on growing your business.

As part of the SKV Group, we bring over 15 years of expertise in creating exceptional workspaces for some of India’s most respected brands. Our managed offices are flexible, cost-efficient, and tailored to your needs, ensuring your workspace evolves as your business expands, restructures, or optimises operations.

With Kepler, you get more than just an office—you get a complete workspace solution. Our dedicated team handles IT, security, maintenance, and facilities management, ensuring a smooth, uninterrupted work environment for your team.

We believe a well-designed office is more than just a place to work—it’s a catalyst for productivity and success. Kepler delivers precision-driven, future-ready workspaces that empower businesses to thrive today and tomorrow.","Office Administration","11-50 employees","Privately Held","New Delhi , New Delhi","India","workplacetrendsindia.in","https://www.linkedin.com/company/kepler-by-skv"
,"MI","XXX","Office Administration","Self-employed","Privately Held",,"Malaysia",,"https://www.linkedin.com/company/msssssss"
,"Mozares Community","-","Office Administration","Self-employed","Privately Held","São Paulo, SP","Brazil",,"https://www.linkedin.com/company/zarolu"
,"The Admin Wrap","A weekly newsletter packed with news, events, training, and much more. Specifically for the UK Admin Community, this newsletter keeps you informed with what's going on in the world of admin","Office Administration","Self-employed","Privately Held","London","United Kingdom","theadminwrap.com","https://www.linkedin.com/company/the-admin-wrap"
,"Ancora Company","A Âncora Offices Escritórios Virtuais foi projetada para operar como uma plataforma de apoio empresarial, no centro de Joinville, Santa Catarina, Brasil. Estamos localizados em sala térreo do edifício Turim, ponto privilegiado para a instalação de empresas, seja ela startup, micro, pequena, média ou grande empresa.","Office Administration","2-10 employees","Partnership","Joinville, Santa Catarina","Brazil","ancoraoffices.com.br","https://www.linkedin.com/company/ancora-company"
,"iF Chile","Es un espacio de trabajo, creación, inspiración y conexión. Para creativos, artistas, escritores, emprendedores y todo aquel que esté desarrollando nuevos proyectos. 
Está formado por las principales organizaciones de apoyo al emprendimiento e innovación del país. universidades, empresas privadas, emprendedores e inversionistas. iF reúne investigación, laboratorios, incubadoras, aceleradoras de negocios, talleres, charlas y eventos.","Office Administration","11-50 employees","Privately Held","Providencia, Santiago Metropolitan Region","Chile","ifchile.com","https://www.linkedin.com/company/if-chile"
,"Commission de Régulation de l'Électricité et du Gaz (CREG) لجنة ضبط الكهرباء والغاز","La Commission de Régulation de l’Electricité et du Gaz (CREG) a été créée par la loi n°02-01 du 05 février 2002 relative à l’électricité et à la distribution du gaz par canalisations. La CREG est un organisme indépendant, dotée de la personnalité juridique et de l’autonomie financière.

Elle a pour mission de veiller au fonctionnement concurrentiel et transparent du marché de l’électricité et du marché national du gaz, dans l’intérêt des consommateurs et celui des opérateurs","Office Administration","51-200 employees","Government Agency","Cheraga., Alger","Algeria","creg.dz","https://www.linkedin.com/company/la-commission-de-régulation-de-l-électricité-et-du-gaz-creg-لجنة-ضبط-الكهرباء-والغاز"
,"Decaedro","Nossa missão é auxiliar nossos clientes a atingirem seus objetivos, focando exclusivamente em suas 
operações, enquanto nós cuidamos do resto.","Office Administration","2-10 employees","Privately Held","Brasília, Distrito Federal","Brazil","decaedrobm.com","https://www.linkedin.com/company/decaedrobm"
,"Management Support Assistant2","Management Support Assistant2 is hét detacheringbureau voor Assistants, vroeger ook wel secretaresses genoemd, met kantoren in Amsterdam, Rotterdam en Den Haag. 

Onze missie: werk maken van kwaliteit. Elke dag opnieuw. Niet vanuit regeltjes of starre voorschriften, wél vanuit een houding. Bij ons is kwaliteit dé mentaliteit. We willen de beste dienstverlener zijn voor onze opdrachtgevers. En de beste werkgever voor zowel onze Assistants als de medewerkers op onze kantoren. Volgens ons kan het één niet zonder het ander. 

Detachering van Assistants, van Personal Assistant, Office Manager, Assistant to the office, Management Assistant tot junior Assistant enz... 

Management Support Assistant2 maakt onderdeel uit van Personal Choice Professionals waartoe ook behoren Skilled4Finance en Experts4HR.","Office Administration","51-200 employees","Privately Held","Den Haag, Zuid-Holland","Netherlands","assistant2.nl","https://www.linkedin.com/company/management-support-assistant2"
,"Horizontal Solutions Group Synergy","Somos HSG, una empresa de administración de propiedad horizontal, que busca hacerte la vida más fácil, quitándote el dolor de cabeza que puede suponer administrar y gerenciar una copropiedad. Integramos a las personas con soluciones tecnológicas, de manera sencilla y accesible.  Por ello, brindamos servicios especializados que propician habitar en un espacio compartido de manera agradable, segura y confiable para todos. Nuestro objetivo es construir comunidades donde las personas puedan prosperar y crecer en comunidad.","Office Administration","51-200 employees","Self Owned","Bogotá, Bogotá","Colombia","hsgsynergy.com","https://www.linkedin.com/company/horizontal-solutions-group-synergy"
,"Freelance Office","Wij nemen de eindeloze papierwinkel graag uit handen, zodat jij letterlijk terugkeert naar de kern van je zaak. Dat doen we vanaf één uur per week, volledig op maat van je onderneming. 

Zoek je een permanente of tijdelijke office manager, management assistent, sales assistent over heel België? Contacteer ons!

Tijd en geld besparen start hier!","Office Administration","11-50 employees","Self Owned","HEVERLEE, Vlaams Brabant","Belgium","freelanceoffice.be","https://www.linkedin.com/company/freelanceoffice-be"
,"Sommet de la Francophonie - Djerba 2022","La Tunisie s'est vue honorée par ses pairs francophones pour accueillir le XVIIIème Sommet de la Francophonie qui se tiendra les 19 et 20 novembre 2022 sur l’île de Djerba","Office Administration","501-1,000 employees","Government Agency","Djerba","Tunisia","francophoniedjerba2022.tn","https://www.linkedin.com/company/sommet-de-la-francophonie-djerba-2022"
,"Areej Group","AREEJ GROUP was established as a long-lasting organization to develop over several generations. Establishing a positive reputation as we work to be distinctive in our services and approach to delivering the best in all of our work areas.

Creating a remarkable, multinational & equal opportunity team that we can rely on

Since 2003, we have served our customers proudly, having successfully diversified into physical security, trading, distribution, project management, real estate & customized and private jewelry.

2- Areej Project management: Total customer experience low current systems , interiors & fit-out

3- House of Areej Jewelry : Fine jewelry Brand 

4- Areej Event management 

5- Areej Properties

6- Areej Baghdad : retail & distribution of electronics and security systems","Office Administration","51-200 employees","Partnership","Deira, Dubai","United Arab Emirates","areejgroup.net","https://www.linkedin.com/company/areej-group"
,"Multiplus Co. e Apoio Administrativo","A Multiplus Coworking tem o propósito de facilitar o dia a dia das empresas, oferecendo soluções completas em recursos humanos, departamento pessoal, recrutamento e seleção, além de serviços administrativos, financeiros e de marketing.

Tudo em um só lugar, apoiando o crescimento e a organização dos negócios.","Office Administration","11-50 employees","Privately Held","São Paulo, SP","Brazil","multiplus-co.com.br","https://www.linkedin.com/company/multiplus-co-e-apoio-administrativo"
,"QUALITY RH","Somos especializados nos setores: Financeiros, Óleo e Gás, Tecnologia da Informação, Advocacia e Indústria Atua como uma extensão de sua empresa aprimorando a gestão do departamento de Recursos Humanos de forma estratégica.

Contamos com a melhor tecnologia, o sistema TOTVS RM, para a segurança e eficiência em todos os processos. A capacidade de gerar arquivos eletrônicos, integrar relatórios e operações financeiras/contábeis oferece um ambiente confiável para a gestão da folha de pagamento.","Office Administration","11-50 employees","Privately Held","Rio de Janeiro, RJ","Brazil","qualityrhrio.com.br","https://www.linkedin.com/company/quality-rh"
,"SDRT - Région Souss Massa","Organisme gouvernemental pour le développement régional du tourisme dans la région Souss Massa.

Missions : 
• Contribution à la mise en œuvre de la stratégie nationale du tourisme au niveau régional
• Développement de nouveaux produits de tourisme dans la région 
• Valorisation du capital culturel et naturel de la région
• Réalisation des projets en relation avec l’objet de la société comme maître d’ouvrage délégué
• Veille à la gestion et accompagnement du produit touristique
• Développement et gestion de la destination touristique notamment à travers le digital
• Mobilisation des ressources nécessaires à la réalisation de l’objectif de création de la société.","Office Administration","11-50 employees","Privately Held","Agadir, Maroc","Morocco","sdrtourisme-sm.ma","https://www.linkedin.com/company/sdrt-soussmassa"
