"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"OTTO","OTTO is the largest german online shop and one of the largest employers in Hamburg. For over 75 years, we have been constantly evolving to offer our customers the best shopping experience possible.
 
Our channel is all about jobs, career tips, and insights into our working world. We also keep you up to date on topics that matter to us—such as tech, diversity, and sustainability.
 
What makes OTTO special? With over 18 million items from more than 34,000 brands, over 12.2 million customers, and over 6,200 partners, OTTO is the largest german online shop. With courage, passion, and openness to change, we invest in new technologies. Always at the center: our customers and the positive shopping experience in the app and on otto.de.
 
How do we work at OTTO? With around 6,000 employees, we are one of Hamburg's largest employers. New Work is part of our work culture. We work hybrid, i.e., both on our campus in Bramfeld and remotely from home or another mobile location, depending on the job and task.
 
Work-life balance is important to us at OTTO. To this end, we offer various benefits such as flexitime, workation, sabbaticals, and part-time work – even in all management positions. You can find all this here on LinkedIn or on Instagram https://www.instagram.com/otto_inside/
 
You can find more information about tech on our tech blog: https://otto.de/techblog
 
If you have any questions about our job postings or your application, please contact the relevant person in OTTO's recruitment department. You can contact them directly here: otto.me/2nfQU8d
 
Legal notice: https://www.otto.de/unternehmen/de/impressum/","Online and Mail Order Retail","5,001-10,000 employees","Privately Held","Hamburg, Hamburg","Germany","otto.de","https://www.linkedin.com/company/otto"
,"Book of the Month","Our mission is to bring the best new fiction forward. Celebrating and championing emerging authors and the distinctively fresh work they are uniquely capable of writing. Providing our readers with books they might not have found elsewhere. Since our founding in 1926, we’ve chosen many unknown books that later became iconic works of American fiction.

Want to join the club? We’re always looking to hire new teammates, so check out our job posting.","Online and Mail Order Retail","51-200 employees","Privately Held","New York, New York","United States","bookofthemonth.com","https://www.linkedin.com/company/book-of-the-month"
,"flaconi","With over 5 million active customers, flaconi is Germany's leading online retailer for beauty and perfume. The online shop’s extensive portfolio consists of around 1,000 national and international brands and 50,000 products. With categories such as perfume, skincare, makeup, haircare, natural cosmetics, beauty tools, and accessories, the online shop covers all product segments and offers a diverse selection of products for individual and daily beauty routines. Founded in 2011 as one of the first online perfumeries, flaconi is now successfully continuing its history as one of the largest, holistic beauty online pure players in Germany  flaconi is proud to work with around 700 employees from 60 different nations at its headquarters in Berlin-Charlottenburg and in its logistics center in Halle. 

The flaconi online shop has won numerous awards and is present not only in Germany but also in Austria, France, Poland, Switzerland, Belgium, the Netherlands, Denmark, Sweden, Finland, Czechia, and Italy.","Online and Mail Order Retail","501-1,000 employees","Public Company","Berlin, Berlin","Germany","flaconi.de","https://www.linkedin.com/company/flaconi-gmbh"
,"Kaufland e-commerce","++ WHO WE ARE ++
We at Kaufland e-commerce are an independent tech company within Schwarz Digits, responsible for operating and developing Kaufland’s international online marketplaces. 
Our company is comprised of over 850 talents hailing from more than 60 nations. We unite this diversity of perspectives and strengths in interdisciplinary teams to help us find the best solutions for various projects. For projects like the Kaufland-App and the Kaufland Card, we work in close cooperation with our colleagues from Kaufland, combining online and branch stores into one shopping experience for our customers. 

++WHAT WE DO ++
The international Kaufland marketplaces are the beating heart of our day-to-day work. Together as a team, we make sure our customers have an outstanding and safe shopping experience. More than 13,000 online sellers offer a wide range of products in over 6,400 categories.
The success of the Kaufland marketplaces is based on our Kaufland Global Marketplace brand – a comprehensive all-in-one solution that allows sellers to use just one registration to sell on all five online marketplaces.

++ WHAT SETS US APART ++
We have a dynamic company culture which is marked by flat hierarchies, a strong team spirit and an open culture based on learning and making mistakes. One of the foundational elements of our culture are our Company Principles, which we actively live and which are integrated in various processes from onboarding onward.

++ OUR VISION AND MISSION ++
We firmly believe that our success is based on a forward-thinking mindset, guided by a clear vision. Our goal is to offer added value to our customers, our partners and our society. #FromEuropeForEurope
Learn more about our Vision & Mission: https://kaufland-ecommerce.com/en/culture/

We offer flexibility. You can work in any of our offices in Cologne, Darmstadt, Düsseldorf or remotely from anywhere inside of Germany.

Imprint: https://kaufland-ecommerce.com/impressum/","Online and Mail Order Retail","501-1,000 employees","Privately Held","Köln, Nordrhein-Westfalen","Germany","kaufland-ecommerce.com","https://www.linkedin.com/company/kauflandecommerce"
,"TipTop Things Limited","Our mission is to leverage technology to enhance everyday items, while making a positive impact on the planet.","Online and Mail Order Retail","2-10 employees","Privately Held","Hong Kong, Hong Kong","Hong Kong","nanobag.com","https://www.linkedin.com/company/tiptopthings"
,"Yandex Market","Яндекс Маркет — сервис для покупок, который продаёт более 75 миллионов товаров. Он помогает заказать всё нужное: от смартфона новой модели до детского конструктора. На Маркете удобно торговать — к нему подключились уже более 52 тыс. магазинов-партнёров. Сервис берёт на себя обработку, доставку заказов и общение с покупателями. Купить товары на маркетплейсе можно на его сайте и в приложении для Android или iOS, а ещё в приложении Яндекс Go — в разделе «Маркет».","Online and Mail Order Retail","10,001+ employees","Public Company","Арбат, Москва","Russia","yandex.ru","https://www.linkedin.com/company/yandex-market"
,"apotea.se","Apotea.se är Sveriges första fullskaliga apotek som inte har någon fysisk butik utan bara finns på nätet. Syftet är att öka servicen och underlätta vardagen för våra kunder. Vi som arbetar på apotea.se har lång erfarenhet av näthandel och sedan 2011 har vi Läkemedelsverkets tillstånd att bedriva apotek med ett heltäckande sortiment av både receptfria och receptbelagda läkemedel. Hos oss kan du dock handla mycket mer än bara läkemedel – vi har det mesta för din kropp, hälsa och ditt välbefinnande. Precis som på ett vanligt apotek fast med nätets bekvämlighet!","Online and Mail Order Retail","501-1,000 employees","Public Company","Stockholm","Sweden","apotea.se","https://www.linkedin.com/company/apotea-se"
,"YesStyle.com","YesStyle.com is a subsidiary of YesAsia Holdings Limited (2209.HK: Hong Kong Stock Exchange), a publicly listed company that owns and operates a number of online retail platforms, including YesAsia.com and AsianBeautyWholesale.com. On the strength of YesStyle.com’s growth and success, the company made its initial public offering in July 2021.

Launched in July 2006, the YesStyle.com website brought the success of YesAsia.com’s proven e-commerce platform and technology to the next level by diversifying into beauty, fashion and lifestyle products, and quickly established itself as an exciting and unique shopping destination. We at YesStyle pride ourselves on our wide selection of quality products from premium brands across Asia, including Cosrx, Dear, Klairs, Mizon, Memebox, Some by Mi, Purito, romand, CLIO, HOLIKA HOLIKA, SKINFOOD and chuu. Our selection features everything from beauty products and casual or chic fashion for women, men and children to home accessories, decorations, gadgets, lifestyle items, outdoor equipment, travel goods, pet supplies and more.

With our meticulously curated collections and recommendations, we serve our customers across the globe for every occasion or situation. Our commitment to quality and our “customers first” mindset has helped YesStyle become one of the fastest growing e-commerce businesses worldwide, with an average year-on-year business growth of 35% and an Instagram following of over 1.3 million users.

Our Mission:
""To provide customers with an exciting shopping experience, superior service and a fine selection of affordable, high quality Asian beauty products, and Asian fashion and lifestyle products.""

YesStyle’s future business strategies are to continue striving for a perfect customer experience to maintain our competitive edge, to build strategic alliances with premium brands, and to grow and develop our talents to maintain our business success.

Come explore how we find our yes!","Online and Mail Order Retail","501-1,000 employees","Public Company","Hong Kong","Hong Kong","yesstyle.com","https://www.linkedin.com/company/yesstyle.com-limited"
,"Pensoinverde","Pensoinverde è un e-commerce green con l’obiettivo di proporre prodotti sostenibili, realizzati in maniera etica e con materiali che rispettano l’ambiente.","Online and Mail Order Retail","2-10 employees","Privately Held","Bergamo, Lombardia","Italy",,"https://www.linkedin.com/company/pensoinverde2019"
,"Ananse Africa","Ananse Africa is an ECOMMERCE PLATFORM equipping African fashion designers and artists for local and international trade, creating entrepreneurship opportunities for women and youth. Our technology solution solves key problems behind the market challenges that prevent African fashion designers and artists from being commercially successful and growing their businesses. Ananse's all-in-one trade solution allows African fashion designers and artists to transact seamlessly with customers worldwide.","Online and Mail Order Retail","11-50 employees","Privately Held","Johannesburg","South Africa","ananse.com","https://www.linkedin.com/company/ananse-africa"
