"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"dr.consulta","O dr.consulta é uma plataforma de gestão de saúde que nasceu em 2011 com a missão de salvar vidas e transformar o jeito de cuidar das pessoas.

Começamos na favela de Heliópolis e, hoje, contamos com 30 centros médicos distribuídos pela Grande São Paulo, em regiões movimentadas e conectadas por transporte público. São mais de 60 especialidades, 3 mil tipos de exames e atendimento também por telemedicina.

Já impactamos mais de 4 milhões de pacientes únicos com o apoio de cerca de 1.200 profissionais de saúde comprometidos em oferecer acolhimento integral e de qualidade.

Nosso propósito envolve garantir uma jornada de saúde facilitada, com qualidade e para todos: com informação, consultas, exames, odontologia e procedimentos, sempre com respeito e agilidade.

Porque, pra gente, toda interação é uma consulta e todo mundo aqui é doutor em cuidar.

Quer fazer parte dessa transformação? Conheça nossas oportunidades: drconsultacentromedicoltda.pandape.infojobs.com.br

dr.consulta, Doutor em cuidar de você.

Registro CREMESP: 981644
RT: Dr. Tin Hung Ho CRM-SP nº 121.152 | RQE nº 59.727 e Dra. Tatiana Estevão Sampaio CRO-SP nº 97.095
RT RJ: Dra Luana Rizzo Cazzola Rockenbach (CRM 5299672-6 e RQE 28758)","Outpatient Care Centers","1,001-5,000 employees","Privately Held","São Paulo, São Paulo","Brazil","drconsulta.com","https://www.linkedin.com/company/drconsulta"
,"Zentria","Somos un ecosistema de salud con una mirada integrada hacia el bienestar para gestionar de forma eficiente y preventiva la calidad de vida de los colombianos. Conectamos todas las etapas de la vida del paciente para brindar un modelo de atención integral y cercano.

Unificar y centralizar los servicios de salud en un solo lugar es lo que propone Zentria. Llevando al nombre su principal característica, también hace evidente nuestra disposición de poner a las personas en el centro de todo. Zentria potencia la capacidad de actuar con estrategia e inteligencia, permitiendo optimizar procesos y volver más simple la experiencia de cada uno.","Outpatient Care Centers","10,001+ employees","Privately Held","Bogotá","Colombia","zentria.com.co","https://www.linkedin.com/company/grupo-zentria"
,"Klinic","Centro de especialidades médicas y odontológicas.","Outpatient Care Centers","51-200 employees","Privately Held","Guayaquil","Ecuador","klinic.med.ec","https://www.linkedin.com/company/centro-médico-klinic"
,"CDS - La tua Casa della Salute","CDS | La tua casa della salute – Fondata nel 2013, CDS è un network di poliambulatori specialistici, diagnostici, odontoiatrici e fisiokinesiterapici nato con l’obiettivo di contribuire alla tutela del diritto alla salute e garantire ai cittadini un servizio sanitario di alta qualità e prenotazioni in tempi brevi. La società conta 40 strutture tra Liguria, Sardegna e Piemonte, impiega oltre 600 dipendenti e più di 1.200 medici ed eroga ogni anno oltre 1.2 milione di prestazioni sanitarie. Dal 2020 CDS è controllata da Italmobiliare, holding della famiglia Pesenti quotata nel segmento STAR di Borsa Italiana, che ha dato grande impulso al piano di sviluppo della società. 

Per maggiori informazioni è possibile visitare il sito www.cds.it o contattare i nostri Uffici Amministrativi al numero 010 8078641","Outpatient Care Centers","501-1,000 employees","Privately Held","Genoa, Liguria","Italy","cds.it","https://www.linkedin.com/company/casa-della-salute"
,"Bienestar I.P.S.","Somos una Institución Prestadora de Servicios de Salud interesada en satisfacer las necesidades, y cuidar del bienestar físico, mental y social de la comunidad, cuyos valores corporativos (Dignidad Humana, Ética, Honestidad, Rectitud y Respeto) son los pilares para cumplir con los objetivos de Crecimiento, Calidad y servicio.

Hemos prestado nuestros servicios de manera satisfactoria a los diferentes regímenes de la salud colombiana.

Régimen Contributivo: Colmena (hoy Aliansalud), Cajanal, Caprecom (POS y Planes de Atención Complementaria – PAC), Cafesalud, Famisanar (POS y PAC), Solsalud, Humanavivir, Instituto del Seguro Social y Nueva EPS

Régimen Subsidiado: Barranquilla Sana, Caprecom, Humanavivir, Emdisalud, Mutual Ser Comparta, Coosalud y Barrios Unidos de Quibdo

Adicionalmente hemos atendido el Régimen Especial de Foncolpuertos y el PAC de Electricaribe.","Outpatient Care Centers","1,001-5,000 employees","Self Employed","Barranquila","Colombia","bienestarips.com","https://www.linkedin.com/company/bienestar-i-p-s"
,"CEPEM Consultorios Médicos","CEPEM constituye hoy una Institución que se destaca por la excelencia que otorga en todas sus prestaciones y que sigue manteniendo la misma filosofía de brindar atención médica personalizada del mejor nivel.

CEPEM es, para el cuidado de la salud, un lugar de referencia acreditado y único en la zona oeste. 

En CEPEM brindamos la infraestructura e instalaciones para que profesionales médicos atiendan sus pacientes en un ambiente confortable y adecuadamente equipado.","Outpatient Care Centers","51-200 employees","Privately Held","Morón","Cuba","cepem.com.ar","https://www.linkedin.com/company/cepemconsultoriosmedicos"
,"Maffei Centro Médico & Investigación Clínica Aplicada","Expertos en Endocrinología Clínica desde 1992, nos dedicamos también en varias disciplinas asociadas lo que hace de nosotros un Centro de Salud multidisciplinario. Nuestros áreas de Medicina Clínica, Estética Médica, Investigación Clínica y PINE cuentan más de 70 profesionales que trabajan de manera conjunta con el fin de llegar a un diagnóstico de calidad y a un tratamiento a su medida. 

Le ofrecemos nuestra experiencia en: cardiología, dermatología, flebología, neumología, nutrición, psicología, reumatología, sexología y cosmetología.

La directora, Dra. Laura Maffei, especialista en Endocrinología Clínica, publicó y presentó numerosos trabajos en el país y en el mundo. Es también miembro de la Sociedad Argentina de Endocrinología (SAEM), la Sociedad Argentina de Osteoporosis (SAO), la Endocrine Society, la American Society of Bone and Mineral research (ASBMR) et la Sociedad Argentina de Endocrinología y Metabolismo (SAEM -Departamento de Psiconeuroendocrinología).

Hace 25 años que tenemos como prioridad el bienestar de cada paciente: seguimiento médico de excelencia, equipos de última generación, laboratorio de análisis clínico, educación terapéutica, talleres y charlas de salud, apoyo psicológico e interfaz web moderna en la cual puede sacar turno, pedir recetas y enviar análisis. Le proponemos una atención personalizada, tomando en cuenta su salud tan como su bienestar físico y mental. 

Somos una organización médica privada que funciona desde 1991, estratégicamente ubicada frente al Hospital Fernandez en la ciudad de Buenos Aires. Nuestro centro cubre más de 400 m2 y recibe alrededor de 10 000 consultas por año. 

Cada uno de nuestros áreas (Endocrinología Clínica y Diabetología, Especialidades Médicas, PINE e Investigación Clínica) dispone de equipos modernos que nos permite elaborar diagnósticos y tratamientos de calidad.","Outpatient Care Centers","11-50 employees","Self Owned","Palermo, Buenos Aires","Argentina","maffei.com.ar","https://www.linkedin.com/company/centro-médico-dra-laura-maffei"
,"Vantis","Bei Vantis stehen wir an vorderster Front der medizinischen Innovation. Mit einem starken Fokus auf Technologie und chronischen Krankheiten arbeiten wir daran, die traditionelle Gesundheitsversorgung radikal zu verbessern.

Wie machen wir das? Durch die Kombination digitaler Behandlungswege und einer maßgeschneiderten, patientenzentrierten Versorgung vor Ort.","Outpatient Care Centers","51-200 employees","Privately Held","Munich, Bavaria","Germany","vantis-health.com","https://www.linkedin.com/company/vantis-gmbh"
,"Bio Sana's Serviços Médicos S/S LTDA","A Bio Sana's foi idealizada por dois médicos onco-hematologistas e uma enfermeira especialista em tratamento avançado de lesões da pele. Nossa equipe é composta por profissionais com sólida formação acadêmica, vasta experiência em hospitais de ponta, além de atuação em instituições de ensino e de pesquisa, com participação nos principais congressos e eventos, no Brasil e no exterior.


O paciente é a principal razão de nossa existência. Por ele desenvolvemos pesquisas, fazemos estudos, investimos em instalações e equipamentos modernos e, permanentemente, buscamos produtos e condutas cada vez mais eficientes e seguros.
 
Nosso objetivo é ser referência nas áreas de onco-hematologia e no tratamento avançado de lesões da pele, trabalhando cada paciente de forma humanizada, trazendo a solução para o seu problema e avaliando, também, os desdobramentos da doença em sua vida. 
 
Ética, acolhimento e respeito ao próximo, qualidade e segurança dos serviços prestados. entusiasmo, espírito de equipe e inovação constante pautam o trabalho da Bio Sana's.","Outpatient Care Centers","11-50 employees","Privately Held","São Paulo, São Paulo","Brazil","biosanas.com.br","https://www.linkedin.com/company/biosanas-serviços-médicos"
,"Clínica Costanera Valdivia","Clínica Costanera nace en el año 2019 con el objetivo de posicionarse como un polo de tecnología y salud en la zona sur de Chile. Disponemos de una infraestructura de primer nivel, que junto a un equipo multidisciplinario de especialistas nos permite entregar atenciones de primer nivel a nuestra comunidad.

Tu salud es nuestra felicidad. Conócenos!","Outpatient Care Centers","51-200 employees","Self Owned",,,"ccostanera.cl","https://www.linkedin.com/company/clinicacostanera-valdivia"
