"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Suzano","Suzano, the company resulting from the merger of Suzano Pulp & Paper and Fibria, is committed to being a global reference in the sustainable use of natural resources. The world's leading producer of eucalyptus pulp and one of Latin America’s largest paper producers, Suzano exports to more than 80 countries and, through its products, plays a part in the lives of over two billion people. With ten mills and the joint operation Veracel, Suzano has annual installed capacity of 10,9 million tons of market pulp and 1.4 million tons of paper. Suzano has more than 35,000 direct and indirect employees and for over 90 years has invested in innovative solutions based on eucalyptus cultivation that enable it to substitute the use of fossil-based materials with renewable bio-based materials. The company adopts the highest standards of corporate governance on the exchanges where its stock is traded, namely the B3 in Brazil and the NYSE in the United States.

Check our job opportunities at https://jobs.kenoby.com/suzanointernational","Paper and Forest Product Manufacturing","10,001+ employees","Public Company","São Paulo, SP","Brazil","suzano.com.br","https://www.linkedin.com/company/suzano"
,"Klabin","Somos a maior produtora e exportadora de papéis para embalagens do Brasil, líderes nos mercados de embalagens de papelão ondulado, sacos industriais e papel-cartão e a única indústria do País a oferecer soluções em celuloses de fibra curta, fibra longa e fluff. Com mais de 120 anos de história, temos 22 unidades industriais no Brasil e uma na Argentina e uma capacidade produtiva anual de 4,5 milhões de toneladas de celulose de mercado e papéis.
 
Toda a gestão da Klabin está orientada para o desenvolvimento sustentável e buscamos crescimento integrado e responsável, que une rentabilidade, desenvolvimento social e compromisso ambiental. Desde 2014 integramos o Índice de Sustentabilidade Empresarial (ISE) da B3 e, desde 2020, o Índice Dow Jones Best-in-Class, com participação na carteira Global e de Mercados Emergentes.
 
Saiba mais sobre a nossa atuação em klabin.com.br. 
 
 Atenção! A Klabin e seus parceiros de recrutamento não cobram qualquer valor dos candidatos em seus processos seletivos.","Paper and Forest Product Manufacturing","10,001+ employees","Public Company","São Paulo, SP","Brazil","klabin.com.br","https://www.linkedin.com/company/klabin"
,"Bracell","Bracell is one of the world's largest dissolving pulp and special cellulose producers with two main operations in Brazil in Camaçari, Bahia and in Lençóis Paulista, São Paulo. By the time its São Paulo expansion known as ‘Project Star’ completes in 2021, Bracell will have annual production capacity of approximately 2.0 million tons of dissolving pulp, and will employ approximately 7,300 direct and indirect employees. In addition to its Brazil mill operations, Bracell Group holds a management office in Singapore and sales offices in Asia, Europe and the United States.","Paper and Forest Product Manufacturing","5,001-10,000 employees","Privately Held","São Paulo, São Paulo","Brazil","bracell.com","https://www.linkedin.com/company/bracell"
,"APP Group","APP serves as the holding company for multiple Indonesia pulp and paper manufacturing as well as forestry entities, catering to the increasing global need for high-quality tissue, packaging, and paper. Our products reach over 150 countries spanning six continents. APP Group serves as group name of pulp, paper and forestry entities under APP and its affiliates including the pulp and paper and forestry operation in China.

Driven by a dedication to sustainability and ethical practices, we prioritize the well-being of our employees, society, and environment. Our approach involves harnessing technological advancements and fostering innovation, collaborating closely with communities, and upholding internationally recognized business and operational standards throughout our production and supply chain.

Aligned with the Environmental, Social, and Governance (ESG) principles, our Sustainability Roadmap Vision 2030 steers our actions toward safeguarding environment, bolstering local communities, preserving biodiversity, and striving for carbon neutrality in all our endeavors.","Paper and Forest Product Manufacturing","10,001+ employees","Privately Held","Central Jakarta, Special Capital Region of Jakarta","Indonesia","app.co.id","https://www.linkedin.com/company/appgroupid"
,"International Paper","International Paper (NYSE: IP; LSE: IPC) is the global leader in sustainable packaging solutions. With company headquarters in Memphis, Tennessee, USA, and EMEA (Europe, Middle East and Africa) headquarters in London, UK, we employ more than 65,000 team members and serve customers around the world with operations in more than 30 countries. Together with our customers, we make the world safer and more productive, one sustainable packaging solution at a time.

Learn more at internationalpaper.com.","Paper and Forest Product Manufacturing","10,001+ employees","Public Company","Memphis, Tennessee","United States","internationalpaper.com","https://www.linkedin.com/company/international-paper"
,"Eldorado Brasil Celulose S/A","Eldorado Brasil stands out as one of the largest and most efficient producers of pulp in the world, combining high productivity with a strong commitment to sustainability. With 285,000 hectares of planted forests in Mato Grosso do Sul and a production capacity of 1.8 million tons of pulp per year, we export to over 40 countries.

Our difference lies in #NossaGente, a dedicated team that drives our continuous innovation and transformation in the industry. Every step of our production process, from forest management to logistics, is guided by sustainable practices and innovative solutions, ensuring a better future for everyone.","Paper and Forest Product Manufacturing","1,001-5,000 employees","Privately Held","Três Lagoas, Mato Grosso do Sul","Brazil","eldoradobrasil.com.br","https://www.linkedin.com/company/eldorado-brasil-celulose-e-papel"
,"CMPC","We are one of the global leaders in the pulp industry, present in 12 countries and exporting to more than 50 markets. Recognized by the Dow Jones Sustainability Index as the most sustainable forestry company in the world, we produce pulp, paper, packaging, and wood products with innovation, efficiency, and respect for the environment.

Our commitment is clear: to combine operational excellence, social and environmental responsibility, and the strength of our people to turn our purpose —we make natural fibers for a better future — into reality for communities and the planet.","Paper and Forest Product Manufacturing","10,001+ employees","Privately Held","Chile, RM","Chile","cmpc.com","https://www.linkedin.com/company/somoscmpc"
,"Sappi","We strive to use every part of the tree to make world-class products for customers in over 150 countries. From paper and pulp to cosmetics, medicine and more, we are driving the bio-based circular economy alongside our partners to help build a thriving, more sustainable world. 

We operate woodfibre manufacturing facilities on three continents (ten production facilities in Western Europe, four in North America and five in Southern Africa). Our scale magnifies our impact. Every year we produce 5.7 million tons of paper, 2.4 million tons of paper pulp, and 1.4 million tons per year of dissolving pulp. 

The success of our business is built on the ingenuity, energy and tenacity of more than 11,400 employees spread across 35+ countries. We champion our people, and the unique qualities they bring. Every idea, collaboration and perspective creates breakthroughs for us all — on the path to a better future. A career at Sappi is an opportunity to put down roots where it matters.  

Find out more about our products, impact, people and careers on our website.","Paper and Forest Product Manufacturing","10,001+ employees","Public Company","Rosebank, Gauteng","South Africa","sappi.com","https://www.linkedin.com/company/sappi"
,"APRIL","Asia Pacific Resources International Limited (APRIL) Group is one of the largest, most technologically advanced and efficient makers of pulp and paper products in the world.

We make products that are used by millions of people every day in liquid packaging, printing and writing paper, tissues, shopping bags, food packaging, magazines and books.

Our products, including our flagship PaperOneTM office paper, are proudly marketed and sold in more than 70 countries around the world.

Our business is built on a Sustainable Forest Management Policy. Our operations include a state-of-the-art pulp and paper mill and plantation forests in Riau Province, Sumatra, Indonesia. APRIL employs around 9,000 people directly and provides indirect employment to 90,000. Today, the residential townsite houses up to 7,000 employees and their families.

https://www.instagram.com/discoverapril/
https://twitter.com/APRILpulp
www.aprilasia.com","Paper and Forest Product Manufacturing","10,001+ employees","Privately Held","Singapore","Singapore","aprilasia.com","https://www.linkedin.com/company/april"
,"ARAUCO","Ser un referente mundial en el desarrollo sustentable de productos forestales es la visión que ha impulsado a ARAUCO durante más de 40 años de trayectoria. En este tiempo hemos alcanzado una sólida posición como una de las mayores empresas forestales del mundo, no sólo en términos de superficie, rendimiento y producción de calidad, sino también en cuanto a innovación, responsabilidad ambiental y compromiso social.

Los productos y servicios de nuestras cinco áreas de negocio son el reflejo de una gestión sostenible que combina el manejo responsable y eficiente de nuestros recursos naturales y humanos junto con el uso de la más alta tecnología, para entregar producción de calidad a nuestros clientes en más de 75 países alrededor del mundo.

El éxito de nuestra gestión de negocio se basa no sólo en satisfacer las necesidades de nuestros clientes, sino en saber equilibrar las necesidades de la compañía y las de nuestros trabajadores con las necesidades ambientales y sociales del entorno. Desde aquí nace el manejo responsable y eficiente de los recursos naturales, el cuidado integral por la salud y seguridad ocupacional de quienes trabajan para la empresa, y nuestra contribución activa al desarrollo de las comunidades en las cuales mantenemos operaciones.

Video Corporativo.
http://www.arauco.cl/informacion.asp?idq=245&parent=243&ca_submenu=243","Paper and Forest Product Manufacturing","10,001+ employees","Privately Held","Santiago, Las Condes","Chile","arauco.cl","https://www.linkedin.com/company/arauco"
