"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Veracel Celulose S/A","A Veracel Celulose S/A, empresa situada no extremo sul do Estado da Bahia e fornecedora de celulose branqueada de eucalipto, tem na sustentabilidade das operações o fundamento de suas ações, que são baseadas nos elementos econômico, social e ambiental do empreendimento.
A Veracel é fruto da parceria de duas líderes internacionais no setor de celulose e papel, a brasileira Suzano e a sueco-finlandesa Stora Enso.
A Veracel quer ser uma referência mundial em sustentabilidade e destacar-se como uma empresa ambientalmente correta, socialmente justa e economicamente viável.","Paper and Forest Products","1,001-5,000 employees","Privately Held","Eunápolis, Bahia","Brazil","veracel.com.br","https://www.linkedin.com/company/veracelcelulose"
,"Sylvamo Brasil","Acreditamos no compromisso do papel para educar, comunicar e entreter. O papel nos conecta uns aos outros, e é um vínculo duradouro com os recursos naturais renováveis. Nosso objetivo é produzir o papel que você precisa da maneira mais responsável e sustentável, inovando e criando valor para nossos clientes e investidores.

O futuro do papel merece uma empresa comprometida com o sucesso de todo o ecossistema. Desde as florestas que amamos até as comunidades onde vivemos, passando por quem confia em nosso papel: sabemos que o bem-estar de cada um depende do bem-estar de todos.

Sylvamo: a empresa de papel do mundo.","Paper and Forest Products","5,001-10,000 employees","Privately Held","Mogi-Guacu, São Paulo","Brazil","sylvamo.com","https://www.linkedin.com/company/sylvamo-brasil"
,"Saica Group","Saica is one of the largest European players in the development and production of recycled paper for corrugated cardboard, with a production of 3.3 million tonnes of paper. With more than 10,000 employees across Spain, France, Italy, Portugal, UK, Ireland, Turkey, Luxembourg and The Netherlands, Saica has four business areas: production of recycled paper for corrugated board (Saica Paper), waste management and environmental services (Saica Natur), production of corrugated board packaging (Saica Pack) and flexible packaging (Saica Flex).","Paper and Forest Products","10,001+ employees","Privately Held","Zaragoza - 500015","Spain","saica.com","https://www.linkedin.com/company/saica-group"
,"Masisa","Somos referente Latinoamericano en la producción y comercialización de tableros de madera y soluciones para muebles y revestimientos de interior, ofreciendo productos y servicios de calidad, innovadores y sustentables, que transforman espacios e inspiran a miles de clientes en los países donde operamos. 

Más de 4.000 personas directas e indirectas forman parte de los diferentes equipos que hay al interior de MASISA. Nuestros negocios industrial y comercial, se desarrollan en Estados Unidos, Chile, Colombia, Ecuador, México, Perú y Venezuela. Además de atender mercados en Norteamérica y Asia.

Creemos que el éxito se construye en equipo, porque un ambiente de trabajo amigable y de respeto, es el que propicia que las nuevas ideas prosperen. Es por esto que favorecemos el emprendimiento y estamos abiertos a propuestas de cambio.

Entendemos que la transformación y el cambio son el camino para conseguir nuestros sueños y continuar impactando positivamente en nuestros clientes, colaboradores y sus familias.","Paper and Forest Products","1,001-5,000 employees","Self Owned","Las Condes, Región Metropolitana de Santiago","Chile","masisa.com","https://www.linkedin.com/company/somosmasisa"
,"Corticeira Amorim","Corticeira Amorim is the world’s largest player in the cork industry. A vertically integrated company that generates sales exceeding €1,000 billion to more than 100 countries through its own network of subsidiaries. Amorim’s responsible approach to raw materials and sustainable production illustrates the remarkable interdependence between industry and the vital cork ecosystem - one of the world’s most balanced examples of social, economic and environmental development. Fostered by innovation and research, the company supplies products and applications to some of the world’s most technological, disruptive and demanding activities, including the aerospace, automobile, construction, energy, design and wines and spirits sectors.","Paper and Forest Products","1,001-5,000 employees","Privately Held","Mozelos, Portugal","Portugal","amorim.com","https://www.linkedin.com/company/amorim"
,"PAPELERA NACIONAL S.A.","PAPELERA NACIONAL S.A. se constituyó legalmente el 28 de febrero de 1961 en Ecuador,  Cantón Marcelino Maridueña y tuvo como socios fundadores a las compañías norteamericanas W.R. Grace INC., International Paper CO., Sociedad Agrícola e Industrial San Carlos S.A. y a la Organización Noboa. 
El inicio de las operaciones arrancó en 1968, con una producción de papel kraft de 10.000 toneladas métricas por año y el montaje de una planta de pulpa de bagazo de caña de azúcar, para aprovechar las materias primas fibrosas generales del azúcar del Ingenio San Carlos, y utilizarlas en las fabricación de papel. A través de los años, se fueron realizando ampliaciones en la capacidad instalada de la fábrica; se adquirieron nuevos equipos, así como tecnología que se incorporó en procesos de control y preparación de fibras. 
Actualmente, la producción llega a 150.000 toneladas métricas de papel kraft por año.","Paper and Forest Products","201-500 employees","Privately Held","Marcelino Maridueña, Guayas","Ecuador","papeleranacional.com","https://www.linkedin.com/company/papelera-nacional-s-a-"
,"Billerud","We are a world leading company in high performance paper and packaging materials; passionately committed to sustainability, quality and customer value. 

The company has nine production units in Sweden, USA, and Finland with around 6000 employees in over 19 countries and customers in over 100 countries. We help reduce our customers’ climate impact by inspiring them to make the best packaging choices with confidence. 

We spare no effort to reduce our carbon footprint, and to make high performance products that help our customers do the same. Because at Billerud, we understand that the right packaging materials and solutions can be important toolsto help fight climate change. That's why we see it as our responsibility to enable sustainable choices, for a better tomorrow. Because it’s only when you have tomorrow in mind that you’ll do your very best today.","Paper and Forest Products","5,001-10,000 employees","Public Company","Solna, Stockholm","Sweden","billerud.com","https://www.linkedin.com/company/billerud"
,"Paracel","Paracel nace con la visión de generar un impacto positivo en la sociedad y fomentar el aumento de la demanda de productos biodegradables.","Paper and Forest Products","1,001-5,000 employees","Privately Held","Asuncion, Central","Paraguay","paracel.com.py","https://www.linkedin.com/company/paracelpy"
,"Kruger Inc.","A forward-looking and progressive company since its very foundation over a century ago, the Kruger organization is constantly evolving and looking for the best talent for its establishments located across Canada and the US. 

In addition to its traditional industry sectors where the Company built a solid reputation worldwide, namely pulp and paper, paperboard and packaging, Kruger Inc. is now active in such diverse sectors as green energy, tissue products, recycling and biomaterials. 

We put sustainable development and the responsible use of resources at the core of our success and several of our establishments and practices are certified under the strictest industry standards.","Paper and Forest Products","5,001-10,000 employees","Privately Held","Montreal, Quebec","Canada","kruger.com","https://www.linkedin.com/company/kruger-inc-"
,"Softys Professional Ecuador","NUESTRO PAPEL ES CUIDAR BIEN DE TI.

La División Institucional de PROTISA ECUADOR y su marca SOFTYS PROFESSIONAL está dirigida a atender empresas e instituciones con productos de papel Tissue que colaboran en la creación de ambientes limpios e higiénicos en sus instalaciones, permitiendo el sano desempeño de sus actividades.

La calidad de nuestros papeles higiénicos, toallas de papel en rollo, toallas de papel dobladas, faciales y sabanillas aseguran siempre los mejores resultados, ya que nuestro objetivo principal es satisfacer las altas exigencias y estándares de calidad e higiene del mercado, además de contar con procesos productivos amigables con el medio ambiente.

En la búsqueda de entregar facilidades a nuestros clientes, es que tenemos productos especiales para diferentes segmentos del mercado, como HORECA (Hoteles, Restaurantes y Catering), INDUSTRIAS, OFICINAS e instituciones de SALUD.","Paper and Forest Products","10,001+ employees","Privately Held","Guayaquil, Guayas","Ecuador","eliteprofessional.com.ec","https://www.linkedin.com/company/elite-professional-ecuador"
